"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"1","[Millions of chained (2009) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1999 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 25, 2016    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2016 1:24:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    National defense consumption expenditures and gross investment","A824RX1","503,580.0","508,852.0","522,568.0","532,780.0","500,943.0","522,790.0","512,597.0","512,668.0","519,598.0","528,369.0","534,156.0","537,845.0","549,861.0","562,836.0","572,383.0","584,128.0","583,678.0","625,318.0","617,257.0","635,479.0","640,853.0","648,000.0","668,379.0","653,383.0","659,101.0","664,630.0","679,066.0","659,280.0","672,588.0","677,967.0","674,248.0","690,474.0","676,611.0","690,992.0","706,889.0","707,974.0","719,719.0","733,619.0","764,491.0","774,458.0","757,499.0","788,445.0","804,888.0","802,272.0","798,588.0","810,997.0","825,896.0","818,621.0","788,396.0","801,286.0","805,088.0","785,271.0","777,916.0","769,200.0","770,756.0","754,732.0","734,421.0","723,621.0","709,449.0","698,841.0","690,613.0","689,794.0","697,348.0","678,579.0","680,294.0","680,787.0","678,377.0","683,098.0"
"21","2","Consumption expenditures \1\","A997RX1","420,220.0","420,714.0","431,565.0","444,955.0","412,164.0","435,069.0","422,807.0","422,965.0","430,236.0","434,368.0","437,482.0","439,299.0","449,894.0","455,597.0","459,584.0","470,757.0","468,028.0","505,251.0","494,677.0","510,582.0","513,930.0","517,528.0","531,163.0","517,139.0","523,416.0","524,622.0","536,252.0","518,566.0","529,422.0","528,319.0","527,564.0","538,571.0","526,041.0","533,487.0","548,752.0","549,607.0","559,085.0","562,120.0","588,627.0","596,975.0","587,449.0","612,113.0","626,592.0","626,998.0","625,346.0","633,674.0","647,086.0","637,927.0","620,663.0","630,701.0","636,663.0","616,935.0","617,032.0","610,119.0","614,208.0","603,690.0","586,330.0","579,320.0","562,915.0","553,437.0","552,137.0","547,558.0","556,554.0","539,320.0","544,711.0","543,400.0","542,666.0","544,353.0"
"22","3","  Gross output of general government","W085RX1","432,320.0","434,942.0","447,380.0","459,167.0","428,434.0","448,974.0","438,294.0","437,365.0","448,199.0","450,354.0","454,223.0","456,907.0","467,618.0","473,101.0","480,649.0","489,452.0","487,732.0","524,764.0","514,024.0","529,937.0","532,820.0","536,605.0","550,468.0","536,951.0","543,296.0","545,050.0","557,256.0","540,192.0","551,484.0","550,807.0","550,329.0","561,504.0","548,680.0","556,109.0","571,416.0","572,510.0","582,319.0","585,493.0","612,044.0","620,421.0","610,744.0","635,291.0","649,884.0","650,252.0","648,463.0","656,482.0","670,046.0","661,145.0","644,462.0","655,090.0","661,646.0","642,529.0","641,812.0","634,506.0","638,380.0","627,788.0","610,281.0","603,079.0","586,563.0","576,859.0","575,323.0","570,522.0","579,368.0","562,065.0","567,434.0","566,164.0","565,479.0","567,311.0"
"23","4","    Value added","W086RX1","312,947.0","311,459.0","311,389.0","310,501.0","308,168.0","308,657.0","308,161.0","307,343.0","307,963.0","308,046.0","308,242.0","307,994.0","310,495.0","312,215.0","313,273.0","312,791.0","317,609.0","320,766.0","322,039.0","322,934.0","326,109.0","326,324.0","329,340.0","331,535.0","332,803.0","332,926.0","334,081.0","335,491.0","333,337.0","333,794.0","337,169.0","338,628.0","337,724.0","338,135.0","341,815.0","343,607.0","346,650.0","350,244.0","356,847.0","362,112.0","365,656.0","371,634.0","376,830.0","379,688.0","382,394.0","384,590.0","386,470.0","388,251.0","389,258.0","390,369.0","391,415.0","392,813.0","389,633.0","388,035.0","387,036.0","385,097.0","383,052.0","381,571.0","374,874.0","374,260.0","374,892.0","373,382.0","371,036.0","368,405.0","366,167.0","364,949.0","365,068.0","364,627.0"
"24","5","      Compensation of general government employees","B237RX1","195,152.0","194,198.0","194,790.0","194,507.0","192,566.0","193,696.0","193,594.0","193,005.0","193,944.0","194,313.0","194,751.0","194,762.0","197,803.0","199,730.0","200,651.0","199,714.0","204,220.0","206,811.0","207,348.0","207,309.0","209,637.0","208,780.0","210,738.0","211,787.0","211,833.0","210,699.0","210,641.0","210,773.0","207,352.0","206,531.0","208,640.0","208,816.0","206,588.0","205,659.0","207,957.0","208,353.0","209,933.0","212,045.0","217,068.0","220,675.0","222,537.0","227,205.0","231,543.0","233,939.0","235,029.0","235,856.0","236,581.0","237,441.0","237,793.0","238,272.0","238,737.0","239,590.0","236,207.0","234,476.0","233,481.0","231,630.0","229,750.0","228,581.0","222,255.0","222,130.0","223,325.0","222,302.0","220,347.0","218,016.0","216,017.0","214,958.0","215,349.0","215,156.0"
"25","6","        Military","B4080X1","123,238.0","122,719.0","123,838.0","123,546.0","123,358.0","123,407.0","125,113.0","125,714.0","126,657.0","127,020.0","126,523.0","127,444.0","130,939.0","131,667.0","132,004.0","131,630.0","136,320.0","140,188.0","139,711.0","138,810.0","141,100.0","139,737.0","139,614.0","140,928.0","140,951.0","139,278.0","138,671.0","139,116.0","136,153.0","135,367.0","137,012.0","136,474.0","134,906.0","134,087.0","136,048.0","135,706.0","137,583.0","138,606.0","142,546.0","145,928.0","147,928.0","151,567.0","154,316.0","154,196.0","154,942.0","154,946.0","154,234.0","153,662.0","153,694.0","153,982.0","153,926.0","153,754.0","151,500.0","150,201.0","149,403.0","148,066.0","146,665.0","146,473.0","146,112.0","144,843.0","143,546.0","142,533.0","140,891.0","138,536.0","136,966.0","136,148.0","136,212.0","135,748.0"
"26","7","        Civilian","W090RX1","71,452.0","71,023.0","70,547.0","70,548.0","68,874.0","69,899.0","68,234.0","67,141.0","67,162.0","67,170.0","68,037.0","67,183.0","66,855.0","67,996.0","68,567.0","68,034.0","67,910.0","66,691.0","67,707.0","68,565.0","68,609.0","69,090.0","71,131.0","70,878.0","70,899.0","71,446.0","71,998.0","71,681.0","71,238.0","71,212.0","71,669.0","72,403.0","71,748.0","71,646.0","71,966.0","72,725.0","72,393.0","73,499.0","74,558.0","74,748.0","74,605.0","75,638.0","77,238.0","79,735.0","80,085.0","80,908.0","82,331.0","83,742.0","84,056.0","84,245.0","84,757.0","85,761.0","84,640.0","84,209.0","84,007.0","83,483.0","82,987.0","82,026.0","76,213.0","77,301.0","79,674.0","79,673.0","79,356.0","79,336.0","78,889.0","78,638.0","78,951.0","79,195.0"
"27","8","      Consumption of general government fixed capital \2\","B432RX1","116,772.0","116,238.0","115,778.0","115,263.0","114,726.0","114,336.0","114,007.0","113,756.0","113,596.0","113,399.0","113,243.0","113,027.0","112,829.0","112,802.0","112,999.0","113,340.0","113,876.0","114,521.0","115,228.0","116,087.0","116,968.0","117,944.0","119,003.0","120,110.0","121,268.0","122,460.0","123,629.0","124,865.0","126,053.0","127,313.0","128,579.0","129,837.0","131,134.0","132,477.0","133,858.0","135,249.0","136,711.0","138,194.0","139,775.0","141,440.0","143,124.0","144,429.0","145,286.0","145,745.0","147,355.0","148,731.0","149,891.0","150,816.0","151,478.0","152,115.0","152,699.0","153,245.0","153,463.0","153,606.0","153,605.0","153,524.0","153,365.0","153,056.0","152,682.0","152,196.0","151,627.0","151,144.0","150,759.0","150,467.0","150,239.0","150,089.0","149,806.0","149,556.0"
