"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","103,476.0","100,332.0","97,418.0","92,440.0","84,663.0","88,470.0","88,383.0","83,458.0","96,622.0","98,738.0","101,436.0","105,790.0","111,518.0","113,410.0","118,171.0","125,749.0","133,496.0","131,250.0","133,028.0","135,784.0","130,296.0","128,925.0","124,284.0","119,314.0","117,750.0","128,940.0","149,762.0","158,982.0","175,111.0","173,151.0","174,747.0","174,343.0","184,122.0","204,910.0","219,642.0","214,458.0","209,938.0","239,724.0","246,224.0","258,389.0","249,692.0","252,142.0","250,072.0","244,013.0","237,466.0","207,046.0","214,614.0","235,113.0","244,352.0","240,843.0","257,842.0","246,938.0","221,847.0","236,213.0","233,675.0","227,695.0","244,581.0","274,689.0","291,244.0","308,555.0","336,608.0","338,227.0","333,584.0","343,107.0","347,882.0","351,531.0","368,854.0","349,685.0","340,696.0","326,569.0","315,553.0","314,677.0","325,851.0","362,888.0","386,385.0","388,804.0"
"21","2","Domestic industries","A445RC1","97,215.0","93,896.0","90,670.0","85,504.0","77,463.0","81,089.0","81,095.0","76,926.0","89,146.0","90,778.0","93,684.0","97,558.0","102,654.0","104,322.0","108,243.0","115,493.0","121,012.0","117,205.0","116,624.0","119,125.0","111,085.0","110,761.0","107,259.0","103,838.0","103,890.0","115,587.0","135,394.0","142,038.0","159,099.0","156,567.0","158,351.0","157,144.0","164,975.0","185,731.0","199,883.0","196,094.0","187,502.0","220,043.0","223,756.0","231,497.0","221,924.0","219,362.0","211,088.0","205,101.0","197,218.0","170,194.0","179,721.0","205,222.0","214,214.0","213,340.0","230,358.0","213,348.0","190,233.0","202,606.0","202,537.0","193,705.0","211,671.0","240,344.0","256,246.0","270,582.0","301,985.0","301,783.0","295,746.0","305,738.0","312,339.0","311,607.0","333,087.0","308,529.0","298,838.0","288,117.0","276,205.0","276,440.0","284,557.0","314,420.0","338,629.0","334,284.0"
"22","3","  Financial","A587RC1","13,592.0","13,288.0","13,277.0","13,903.0","14,043.0","14,290.0","15,787.0","17,000.0","16,623.0","17,103.0","18,442.0","18,391.0","19,100.0","19,559.0","19,033.0","19,775.0","20,748.0","21,432.0","21,223.0","21,579.0","20,812.0","20,657.0","21,425.0","20,397.0","20,321.0","19,490.0","19,159.0","20,861.0","22,986.0","24,059.0","25,285.0","26,650.0","28,463.0","30,657.0","32,470.0","34,544.0","36,369.0","39,495.0","41,554.0","42,371.0","41,189.0","41,725.0","39,965.0","38,467.0","35,241.0","31,985.0","29,899.0","32,597.0","31,225.0","28,619.0","26,755.0","25,021.0","19,529.0","22,271.0","24,534.0","29,655.0","33,657.0","36,510.0","33,579.0","32,913.0","32,879.0","32,122.0","30,437.0","34,161.0","41,601.0","44,280.0","46,873.0","48,538.0","54,923.0","57,301.0","53,930.0","52,627.0","50,567.0","58,860.0","63,087.0","61,956.0"
"23","4","  Nonfinancial","A463RC1","83,623.0","80,608.0","77,393.0","71,601.0","63,420.0","66,799.0","65,308.0","59,926.0","72,523.0","73,675.0","75,242.0","79,167.0","83,554.0","84,763.0","89,210.0","95,718.0","100,264.0","95,773.0","95,401.0","97,546.0","90,273.0","90,104.0","85,834.0","83,441.0","83,569.0","96,097.0","116,235.0","121,177.0","136,113.0","132,508.0","133,066.0","130,494.0","136,512.0","155,074.0","167,413.0","161,550.0","151,133.0","180,548.0","182,202.0","189,126.0","180,735.0","177,637.0","171,123.0","166,634.0","161,977.0","138,209.0","149,822.0","172,625.0","182,989.0","184,721.0","203,603.0","188,327.0","170,704.0","180,335.0","178,003.0","164,050.0","178,014.0","203,834.0","222,668.0","237,669.0","269,106.0","269,662.0","265,309.0","271,576.0","270,738.0","267,327.0","286,215.0","259,991.0","243,915.0","230,815.0","222,276.0","223,813.0","233,990.0","255,561.0","275,543.0","272,329.0"
"24","5","Rest of the world","B394RC1","6,260.0","6,436.0","6,748.0","6,936.0","7,200.0","7,380.0","7,288.0","6,532.0","7,476.0","7,960.0","7,752.0","8,232.0","8,864.0","9,088.0","9,928.0","10,256.0","12,484.0","14,044.0","16,404.0","16,660.0","19,212.0","18,164.0","17,024.0","15,476.0","13,860.0","13,352.0","14,368.0","16,944.0","16,012.0","16,584.0","16,396.0","17,200.0","19,148.0","19,180.0","19,760.0","18,364.0","22,436.0","19,680.0","22,468.0","26,892.0","27,768.0","32,780.0","38,984.0","38,912.0","40,248.0","36,852.0","34,892.0","29,892.0","30,139.0","27,503.0","27,484.0","33,590.0","31,614.0","33,607.0","31,138.0","33,989.0","32,909.0","34,345.0","34,998.0","37,973.0","34,623.0","36,443.0","37,838.0","37,370.0","35,544.0","39,925.0","35,767.0","41,155.0","41,858.0","38,452.0","39,348.0","38,237.0","41,294.0","48,468.0","47,755.0","54,520.0"
"25","6","  Receipts from the rest of the world","B933RC1","7,676.0","7,872.0","8,220.0","8,420.0","8,692.0","8,912.0","8,856.0","8,164.0","9,168.0","9,916.0","9,788.0","10,252.0","10,688.0","11,400.0","12,120.0","12,796.0","15,104.0","16,844.0","19,016.0","19,336.0","21,980.0","21,012.0","20,180.0","18,420.0","16,764.0","16,596.0","18,032.0","20,232.0","20,424.0","20,832.0","20,820.0","21,676.0","23,292.0","23,832.0","24,588.0","23,448.0","27,024.0","26,272.0","29,128.0","33,580.0","34,896.0","40,816.0","47,396.0","47,132.0","48,792.0","45,260.0","43,408.0","37,920.0","38,144.0","36,812.0","37,236.0","40,120.0","37,073.0","37,266.0","34,738.0","37,604.0","37,264.0","39,327.0","42,473.0","45,348.0","44,589.0","46,416.0","46,563.0","46,847.0","45,090.0","48,382.0","44,754.0","48,970.0","50,365.0","49,708.0","47,306.0","47,488.0","53,027.0","59,041.0","60,680.0","62,940.0"
"26","7","  Less:  Payments to the rest of the world","B934RC1","1,416.0","1,436.0","1,472.0","1,484.0","1,492.0","1,532.0","1,568.0","1,632.0","1,692.0","1,956.0","2,036.0","2,020.0","1,824.0","2,312.0","2,192.0","2,540.0","2,620.0","2,800.0","2,612.0","2,676.0","2,768.0","2,848.0","3,156.0","2,944.0","2,904.0","3,244.0","3,664.0","3,288.0","4,412.0","4,248.0","4,424.0","4,476.0","4,144.0","4,652.0","4,828.0","5,084.0","4,588.0","6,592.0","6,660.0","6,688.0","7,128.0","8,036.0","8,412.0","8,220.0","8,544.0","8,408.0","8,516.0","8,028.0","8,004.0","9,308.0","9,752.0","6,532.0","5,459.0","3,659.0","3,600.0","3,615.0","4,355.0","4,982.0","7,475.0","7,375.0","9,966.0","9,973.0","8,725.0","9,477.0","9,546.0","8,457.0","8,987.0","7,815.0","8,507.0","11,256.0","7,958.0","9,251.0","11,733.0","10,573.0","12,925.0","8,420.0"
"27","8","    Corporate profits with inventory valuation adjustment","A052RC1","95,762.0","92,583.0","89,766.0","85,019.0","77,607.0","81,770.0","82,028.0","77,438.0","90,928.0","93,068.0","95,488.0","99,263.0","104,109.0","105,437.0","109,952.0","117,600.0","125,735.0","124,017.0","126,465.0","130,029.0","125,492.0","125,463.0","122,556.0","119,712.0","120,667.0","133,846.0","156,127.0","166,275.0","182,802.0","181,031.0","182,604.0","181,967.0","191,303.0","211,847.0","226,531.0","221,499.0","217,327.0","247,550.0","254,575.0","267,351.0","259,354.0","263,029.0","262,708.0","258,924.0","255,176.0","225,618.0","232,110.0","249,595.0","253,882.0","246,382.0","260,352.0","247,379.0","221,180.0","233,356.0","227,544.0","217,210.0","228,658.0","253,630.0","265,351.0","278,130.0","301,952.0","298,293.0","287,325.0","289,475.0","285,832.0","285,005.0","301,798.0","286,045.0","284,416.0","275,297.0","266,939.0","266,368.0","275,497.0","311,285.0","334,330.0","337,093.0"
"28","9","Domestic industries","A390RC1","89,502.0","86,147.0","83,016.0","78,084.0","70,406.0","74,389.0","74,738.0","70,906.0","83,451.0","85,109.0","87,735.0","91,032.0","95,247.0","96,349.0","100,024.0","107,344.0","113,250.0","109,974.0","110,059.0","113,368.0","106,281.0","107,298.0","105,533.0","104,235.0","106,810.0","120,493.0","141,761.0","149,329.0","166,787.0","164,448.0","166,209.0","164,768.0","172,157.0","192,668.0","206,769.0","203,136.0","194,891.0","227,869.0","232,107.0","240,460.0","231,586.0","230,249.0","223,722.0","220,014.0","214,928.0","188,769.0","197,217.0","219,705.0","223,743.0","218,879.0","232,868.0","213,789.0","189,566.0","199,749.0","196,405.0","183,223.0","195,749.0","219,285.0","230,354.0","240,159.0","267,329.0","261,849.0","249,485.0","252,105.0","250,289.0","245,081.0","266,029.0","244,889.0","242,557.0","236,845.0","227,590.0","228,129.0","234,204.0","262,818.0","286,574.0","282,575.0"
"29","10","  Financial","A392RC1","13,704.0","13,399.0","13,397.0","14,044.0","14,216.0","14,491.0","16,011.0","17,243.0","16,880.0","17,360.0","18,685.0","18,606.0","19,272.0","19,679.0","19,092.0","19,763.0","20,656.0","21,285.0","21,047.0","21,398.0","20,653.0","20,554.0","21,413.0","20,511.0","20,596.0","19,907.0","19,698.0","21,503.0","23,711.0","24,870.0","26,183.0","27,636.0","29,539.0","31,766.0","33,553.0","35,544.0","37,227.0","40,278.0","42,330.0","43,206.0","42,150.0","42,923.0","41,510.0","40,471.0","37,814.0","34,884.0","32,881.0","35,419.0","33,644.0","30,867.0","29,066.0","27,627.0","22,663.0","25,644.0","27,856.0","32,638.0","36,011.0","38,485.0","35,423.0","34,878.0","35,213.0","34,589.0","32,804.0","36,193.0","43,062.0","45,401.0","47,885.0","49,675.0","56,415.0","59,003.0","55,694.0","54,310.0","52,023.0","60,316.0","64,773.0","64,099.0"
"30","11","    Federal Reserve banks","J397RBC1","2,812.0","3,016.0","3,132.0","3,340.0","3,424.0","3,532.0","3,608.0","3,540.0","3,396.0","3,208.0","3,320.0","3,324.0","3,340.0","3,308.0","3,296.0","3,432.0","3,840.0","4,308.0","4,748.0","5,008.0","5,268.0","5,608.0","5,940.0","5,908.0","5,692.0","5,620.0","5,428.0","5,700.0","5,868.0","5,792.0","5,864.0","5,964.0","5,912.0","6,068.0","6,128.0","6,328.0","6,812.0","7,272.0","7,920.0","8,576.0","8,620.0","9,028.0","9,576.0","10,508.0","11,616.0","12,344.0","11,140.0","12,092.0","13,276.0","13,964.0","14,932.0","15,400.0","15,284.0","15,704.0","15,372.0","14,621.0","14,161.0","14,233.0","14,748.0","15,202.0","15,651.0","15,999.0","16,888.0","17,194.0","16,555.0","16,591.0","16,270.0","15,968.0","15,990.0","15,426.0","15,256.0","15,392.0","15,471.0","16,280.0","16,558.0","16,686.0"
"31","12","    Other","B398RC1","10,892.0","10,383.0","10,265.0","10,704.0","10,792.0","10,959.0","12,403.0","13,703.0","13,484.0","14,152.0","15,365.0","15,282.0","15,932.0","16,371.0","15,796.0","16,331.0","16,816.0","16,977.0","16,299.0","16,390.0","15,385.0","14,946.0","15,473.0","14,603.0","14,904.0","14,287.0","14,270.0","15,803.0","17,843.0","19,078.0","20,319.0","21,672.0","23,627.0","25,698.0","27,425.0","29,216.0","30,415.0","33,006.0","34,410.0","34,630.0","33,530.0","33,895.0","31,934.0","29,963.0","26,198.0","22,540.0","21,741.0","23,327.0","20,368.0","16,903.0","14,134.0","12,227.0","7,379.0","9,940.0","12,484.0","18,017.0","21,850.0","24,252.0","20,675.0","19,676.0","19,562.0","18,590.0","15,916.0","18,999.0","26,507.0","28,810.0","31,615.0","33,707.0","40,425.0","43,577.0","40,438.0","38,918.0","36,552.0","44,036.0","48,215.0","47,413.0"
"32","13","  Nonfinancial","A399RC1","75,798.0","72,748.0","69,619.0","64,040.0","56,190.0","59,898.0","58,727.0","53,663.0","66,571.0","67,749.0","69,050.0","72,426.0","75,975.0","76,670.0","80,932.0","87,581.0","92,594.0","88,689.0","89,012.0","91,970.0","85,628.0","86,744.0","84,120.0","83,724.0","86,214.0","100,586.0","122,063.0","127,826.0","143,076.0","139,578.0","140,026.0","137,132.0","142,618.0","160,902.0","173,216.0","167,592.0","157,664.0","187,591.0","189,777.0","197,254.0","189,436.0","187,326.0","182,212.0","179,543.0","177,114.0","153,885.0","164,336.0","184,286.0","190,099.0","188,012.0","203,802.0","186,162.0","166,903.0","174,105.0","168,549.0","150,585.0","159,738.0","180,800.0","194,931.0","205,281.0","232,116.0","227,260.0","216,681.0","215,912.0","207,227.0","199,680.0","218,144.0","195,214.0","186,142.0","177,842.0","171,896.0","173,819.0","182,181.0","202,502.0","221,801.0","218,476.0"
"33","14","    Manufacturing","Q400RBC1","45,919.0","42,509.0","40,688.0","37,251.0","31,110.0","34,982.0","33,549.0","28,250.0","38,634.0","40,057.0","38,967.0","42,215.0","45,033.0","45,544.0","47,982.0","51,891.0","56,610.0","55,617.0","53,542.0","54,049.0","51,681.0","50,361.0","53,320.0","48,615.0","45,852.0","58,017.0","73,184.0","74,884.0","85,563.0","83,387.0","82,165.0","78,949.0","82,126.0","90,592.0","95,162.0","97,932.0","89,807.0","109,413.0","110,637.0","113,481.0","113,217.0","108,138.0","104,692.0","102,506.0","108,045.0","86,894.0","90,155.0","105,132.0","113,619.0","113,125.0","122,335.0","100,768.0","89,906.0","93,460.0","96,815.0","78,133.0","82,273.0","90,707.0","102,667.0","113,368.0","122,840.0","118,253.0","108,670.0","107,211.0","102,346.0","103,165.0","115,498.0","107,508.0","82,717.0","75,347.0","63,478.0","80,793.0","79,406.0","96,060.0","115,291.0","116,406.0"
"34","15","      Durable goods","Q406RBC1","25,981.0","22,750.0","21,010.0","18,882.0","13,002.0","16,026.0","14,731.0","10,152.0","19,067.0","20,106.0","18,694.0","21,634.0","24,524.0","25,890.0","26,421.0","29,611.0","33,015.0","31,776.0","30,027.0","27,731.0","24,774.0","20,872.0","21,086.0","20,416.0","17,523.0","22,263.0","31,876.0","31,339.0","39,208.0","39,300.0","38,668.0","38,109.0","41,331.0","44,688.0","46,936.0","51,509.0","46,663.0","59,133.0","58,301.0","59,594.0","58,089.0","52,993.0","44,702.0","40,331.0","38,516.0","23,264.0","27,859.0","38,227.0","40,083.0","39,280.0","32,316.0","23,339.0","18,491.0","25,324.0","23,773.0","10,068.0","23,068.0","28,325.0","36,727.0","45,633.0","58,585.0","52,423.0","53,429.0","52,144.0","44,901.0","46,798.0","47,038.0","43,698.0","40,281.0","38,926.0","36,009.0","43,439.0","50,822.0","52,259.0","55,223.0","47,109.0"
"35","16","        Primary metal industries","A407RBC1","1,627.0","1,548.0","1,226.0","1,661.0","960.0","873.0","1,048.0","848.0","1,799.0","2,056.0","-549.0","657.0","1,522.0","1,887.0","1,828.0","2,477.0","2,590.0","2,405.0","2,556.0","3,292.0","3,894.0","4,926.0","7,122.0","6,308.0","5,905.0","2,177.0","2,104.0","2,686.0","3,799.0","3,132.0","2,765.0","1,918.0","1,835.0","1,832.0","1,178.0","2,333.0","2,028.0","5,379.0","5,237.0","5,499.0","4,629.0","5,637.0","5,354.0","2,789.0","4,914.0","4,185.0","1,045.0","4,559.0","7,162.0","4,657.0","3,700.0","1,155.0","-2,618.0","-5,172.0","-3,866.0","-4,219.0","-4,165.0","-5,437.0","-4,103.0","-4,030.0","-1,391.0","1,080.0","463.0","-373.0","-972.0","-1,724.0","1,028.0","-403.0","529.0","1,306.0","396.0","1,563.0","2,451.0","1,121.0","2,572.0","2,768.0"
"36","17","        Fabricated metal products","A408RBC1","2,336.0","2,192.0","1,694.0","2,129.0","1,338.0","1,154.0","1,230.0","1,229.0","1,466.0","1,578.0","1,896.0","1,539.0","2,145.0","2,266.0","2,376.0","2,642.0","2,855.0","2,945.0","2,760.0","3,172.0","2,693.0","2,188.0","1,230.0","2,439.0","2,407.0","3,331.0","4,509.0","3,832.0","4,504.0","4,413.0","4,083.0","4,169.0","4,679.0","4,762.0","5,095.0","5,213.0","4,529.0","5,628.0","5,741.0","5,955.0","5,891.0","6,011.0","5,606.0","5,885.0","6,282.0","3,083.0","4,717.0","5,850.0","5,213.0","6,141.0","5,544.0","3,752.0","4,417.0","3,821.0","3,428.0","1,939.0","2,901.0","3,044.0","3,646.0","5,456.0","5,737.0","5,178.0","4,880.0","5,947.0","5,520.0","5,828.0","6,014.0","4,885.0","5,942.0","5,981.0","5,266.0","4,849.0","4,426.0","4,455.0","6,521.0","6,227.0"
"37","18","        Machinery,except electrical","A409RBC1","4,281.0","4,288.0","3,800.0","3,413.0","3,296.0","3,106.0","3,561.0","3,521.0","3,139.0","3,174.0","3,289.0","3,956.0","4,654.0","4,787.0","5,423.0","5,170.0","6,233.0","6,003.0","5,322.0","4,902.0","5,046.0","4,358.0","3,665.0","3,644.0","4,022.0","5,635.0","6,856.0","6,922.0","7,700.0","8,035.0","7,979.0","8,139.0","8,693.0","9,415.0","9,751.0","11,327.0","10,289.0","13,925.0","10,952.0","13,405.0","11,696.0","11,280.0","11,336.0","10,261.0","9,997.0","9,414.0","9,500.0","10,055.0","11,558.0","11,292.0","11,300.0","10,215.0","9,685.0","5,151.0","4,106.0","2,102.0","3,347.0","5,036.0","6,494.0","7,569.0","8,032.0","7,942.0","7,071.0","7,171.0","6,014.0","8,315.0","8,057.0","6,701.0","2,655.0","1,913.0","996.0","2,256.0","4,020.0","5,090.0","8,064.0","7,397.0"
