"","Table 5#7#6BU# Change in Real Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 26, 2016 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/25/2016 6:24:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"8","1","    Nonfarm industries","A015RX0",80451,76372,77679,67129,-45837,25489,22426,62446,63862,75379,36514,-34967,-145967,65860,36639,72699,54267,65022,93862
"9","2","Mining, utilities, and construction","N541RX0",2590,9184,-2046,-2969,11387,-4076,7658,1319,3233,16052,-3097,-6656,-2584,1416,-4360,7025,-3876,1625,6356
"10","3","Manufacturing industries","N150RX0",26429,19808,17981,8825,-29326,-1086,-8924,6468,22838,19024,17538,-17881,-26262,22095,21248,11070,5424,14503,17691
"11",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","    Durable goods industries","N624RX0",16237,18891,7561,7411,-22933,-3898,-5702,4261,17808,12689,12644,-5179,-24059,16830,20345,10033,7009,21307,11754
"13","5","      Wood product manufacturing","KC3210",414,576,758,203,-607,507,-137,818,834,-67,-731,-1604,-1964,542,322,104,541,129,583
"14","6","      Nonmetallic mineral product manufacturing","KC3270",267,-59,346,188,-682,323,-170,363,111,598,399,-544,-1996,-19,284,109,366,210,164
"15","7","      Primary metal manufacturing","KC3310",641,2097,395,-825,-3047,232,-2535,3168,1831,1451,134,-1440,-6594,1935,2840,-979,1414,3138,-1602
"16","8","      Fabricated metal product manufacturing","KC3320",1764,1184,992,1074,-1635,409,-826,-135,2586,1831,850,-569,-4432,532,2489,1132,1516,1879,2664
"17","9","      Machinery manufacturing","KC3330",1878,1453,120,3213,-5487,-56,-2284,-66,2935,3003,825,129,-4712,2199,5074,2458,110,925,1238
"18","10","      Computer and electronic product manufacturing","KC3340",5648,318,3222,8825,-6432,-3283,1593,2180,2892,265,1247,3765,-338,1281,2622,-102,-358,1131,1431
"19","11","      Electrical equipment, appliance, and component manufacturing","KC3350",651,553,-40,1091,-1297,-260,-583,-387,18,783,765,-138,-1920,163,558,447,40,-210,542
"20","12","      Transportation equipment manufacturing","KC3360",1646,13136,-659,-11209,-1972,-1011,-2358,-1848,4627,4087,9039,-4625,-1204,8790,6208,6802,2633,13724,5352
"21","13","        Motor vehicle and parts manufacturing","KC3MV0",656,735,1828,-281,-2987,1401,690,106,794,627,-993,-3473,-2038,1743,1709,2476,1500,-3325,2960
"22","14","        Other transportation equipment manufacturing","KC3OT0",981,12456,-2497,-10909,1016,-2403,-3013,-1937,3823,3451,10071,-1106,834,7048,4497,4315,1132,16973,2307
"23","15","      Furniture and related product manufacturing","KC3370",169,125,389,318,-507,500,-435,280,347,23,-131,-697,-869,-35,-207,148,66,122,635
"24","16","      Miscellaneous durable goods manufacturing","KC3390",294,519,802,1159,-117,75,949,-143,1538,854,324,591,-30,1452,-11,38,612,267,857
"25","17","    Nondurable goods industries","N625RX0",9890,-850,10979,993,-5332,3352,-3149,2157,4825,6282,4925,-12465,-2203,5506,1791,1509,-1084,-5430,6099
"26","18","      Food manufacturing","KC3110",1122,-464,1837,668,-604,1238,-863,-1026,1584,247,-555,324,1566,-457,-402,61,609,469,3980
"27","19","      Beverage and tobacco product manufacturing","KC3120",864,-37,-225,-41,698,92,-234,-100,414,25,-370,-169,1199,-180,291,760,95,252,53
"28","20","      Textile mills","KC3130",18,71,196,-492,-471,-248,-151,-67,-68,-154,-153,-372,-645,124,-52,-85,-112,50,5
"29","21","      Textile product mills","KC3140",285,-225,353,440,189,-1016,135,-6,210,20,-90,-105,-584,306,-153,-32,85,-136,26
"30","22","      Apparel manufacturing","KC3150",550,-5,773,-392,-2122,94,18,-281,-155,5,-199,-319,-415,-32,36,-15,-40,409,332
"31","23","      Leather and allied product manufacturing","KC3160",55,11,4,-123,-190,-135,-57,-5,58,135,-36,1,-78,54,75,-21,34,-1,43
"32","24","      Paper manufacturing","KC3220",681,-605,1154,-719,-69,1475,-850,96,-30,68,92,-659,-1154,-69,25,-521,25,391,815
"33","25","      Printing and related support activities","KC3230",241,-613,705,-362,-314,480,-350,31,-29,111,489,-751,-528,49,-207,-146,313,123,651
"34","26","      Petroleum and coal product manufacturing","KC3240",2293,-1401,141,-89,1502,-1128,-27,1112,1131,1102,3472,-3667,3638,-67,688,-2334,-2140,-4902,-7349
"35","27","      Chemical manufacturing","KC3250",3596,1451,4276,2467,-2359,1436,-298,2434,1480,3510,1074,-5087,-3384,5118,835,4062,287,-912,4766
"36","28","      Plastics and rubber product manufacturing","KC3260",714,741,1182,-8,-839,664,-258,372,264,1225,451,-1502,-1818,914,503,875,419,-660,1002
"37",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
