"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"46","27","Equals: Disposable personal income","A067RC1","666,235.0","667,846.0","672,077.0","675,054.0","685,568.0","693,678.0","702,030.0","708,603.0","712,915.0","717,621.0","721,512.0","725,889.0","732,538.0","737,436.0","741,596.0","755,309.0","753,818.0","753,266.0","768,615.0","773,400.0","778,124.0","778,209.0","779,736.0","786,286.0","800,662.0","804,059.0","809,180.0","814,577.0","820,924.0","841,513.0","832,392.0","839,380.0","842,814.0","847,146.0","851,661.0","860,859.0","859,549.0","867,685.0","871,302.0","873,747.0","881,597.0","884,922.0","895,121.0","906,128.0","913,525.0","937,311.0","950,785.0","957,561.0","955,599.0","967,574.0","977,528.0","986,360.0","992,700.0","1,001,159.0","1,007,186.0","1,015,769.0","1,024,915.0","1,039,900.0","1,050,160.0","1,054,580.0","1,057,564.0","1,061,439.0","1,065,778.0","1,072,347.0","1,081,771.0","1,090,287.0","1,104,250.0","1,110,567.0","1,120,278.0","1,133,714.0","1,136,386.0","1,145,269.0","1,151,870.0","1,158,543.0","1,163,385.0","1,189,353.0","1,262,743.0","1,227,337.0","1,219,292.0","1,232,467.0","1,242,004.0","1,254,177.0","1,261,333.0","1,268,956.0","1,282,106.0","1,291,689.0","1,297,573.0","1,301,739.0","1,308,016.0","1,314,414.0","1,328,751.0","1,338,349.0","1,345,974.0","1,351,254.0","1,369,313.0","1,380,163.0","1,382,728.0","1,381,620.0","1,409,143.0","1,421,883.0","1,430,640.0","1,445,263.0","1,463,186.0","1,476,302.0","1,489,940.0","1,508,079.0","1,529,133.0","1,542,394.0","1,544,336.0","1,560,632.0","1,583,662.0","1,600,678.0","1,610,731.0","1,621,156.0","1,637,899.0","1,652,745.0","1,662,438.0","1,682,031.0","1,693,580.0","1,710,949.0","1,728,665.0","1,744,895.0","1,763,631.0","1,767,895.0","1,777,803.0","1,787,862.0","1,814,763.0","1,830,818.0","1,846,020.0","1,863,172.0","1,882,381.0","1,903,473.0","1,936,434.0","1,946,638.0","1,954,859.0","1,953,334.0","1,962,699.0","1,977,814.0","2,011,387.0","2,031,831.0","2,061,818.0","2,103,359.0","2,125,798.0","2,149,447.0","2,157,323.0","2,170,832.0","2,190,874.0","2,193,364.0","2,206,584.0","2,226,324.0","2,273,958.0","2,293,647.0","2,304,985.0","2,320,237.0","2,333,376.0","2,337,171.0","2,352,072.0","2,365,200.0","2,370,510.0","2,394,970.0","2,398,923.0","2,402,604.0","2,441,226.0","2,450,500.0","2,457,105.0","2,470,742.0","2,488,341.0","2,504,724.0","2,522,193.0","2,527,622.0","2,542,978.0","2,559,106.0","2,575,117.0","2,582,943.0","2,630,899.0","2,640,729.0","2,665,247.0","2,693,612.0","2,720,941.0","2,747,391.0","2,773,185.0","2,808,856.0","2,836,741.0","2,867,106.0","2,875,209.0","2,899,860.0","2,914,571.0","2,944,486.0","2,969,711.0","2,965,479.0","2,982,250.0","3,009,190.0","3,023,697.0","3,010,435.0","3,008,272.0","3,064,439.0","3,143,983.0","3,085,705.0","3,100,573.0","3,108,576.0","3,127,574.0","3,148,863.0","3,164,966.0","3,195,169.0"
"47","28","Less: Personal outlays","A068RC1","599,466.0","604,880.0","605,261.0","610,641.0","617,205.0","617,959.0","619,889.0","627,281.0","630,735.0","636,248.0","638,341.0","640,742.0","646,864.0","652,221.0","650,664.0","654,520.0","661,044.0","665,001.0","667,281.0","671,830.0","678,101.0","677,414.0","675,772.0","684,943.0","695,610.0","699,008.0","701,742.0","708,686.0","711,215.0","720,019.0","719,367.0","725,576.0","733,848.0","736,939.0","742,235.0","749,918.0","753,088.0","757,934.0","771,150.0","774,798.0","780,398.0","784,184.0","792,642.0","799,191.0","804,121.0","818,077.0","823,727.0","829,558.0","839,896.0","849,418.0","856,560.0","859,749.0","865,811.0","868,704.0","878,714.0","877,998.0","894,144.0","894,482.0","903,327.0","903,184.0","909,938.0","915,195.0","927,057.0","936,624.0","948,436.0","954,234.0","964,449.0","981,553.0","982,028.0","986,308.0","983,569.0","989,581.0","1,004,054.0","1,018,236.0","1,019,745.0","1,024,164.0","1,048,323.0","1,056,397.0","1,069,924.0","1,077,254.0","1,085,232.0","1,091,301.0","1,106,211.0","1,122,470.0","1,137,362.0","1,137,880.0","1,145,095.0","1,155,674.0","1,153,065.0","1,171,004.0","1,180,307.0","1,188,905.0","1,200,010.0","1,208,230.0","1,220,672.0","1,243,455.0","1,247,316.0","1,263,982.0","1,271,375.0","1,280,769.0","1,291,010.0","1,297,972.0","1,315,175.0","1,320,800.0","1,330,092.0","1,347,325.0","1,363,453.0","1,373,153.0","1,367,583.0","1,393,922.0","1,416,937.0","1,436,433.0","1,452,546.0","1,466,935.0","1,468,498.0","1,489,131.0","1,495,503.0","1,510,111.0","1,524,145.0","1,540,331.0","1,546,176.0","1,561,860.0","1,575,571.0","1,583,242.0","1,604,031.0","1,621,343.0","1,632,464.0","1,662,451.0","1,681,398.0","1,689,579.0","1,706,221.0","1,716,509.0","1,750,398.0","1,755,534.0","1,762,913.0","1,749,189.0","1,753,976.0","1,772,563.0","1,800,152.0","1,816,825.0","1,833,759.0","1,871,607.0","1,882,107.0","1,908,037.0","1,930,613.0","1,945,866.0","1,965,288.0","1,967,314.0","1,977,182.0","1,998,376.0","2,007,097.0","2,032,112.0","2,031,444.0","2,030,395.0","2,037,445.0","2,055,850.0","2,065,093.0","2,090,024.0","2,094,062.0","2,098,308.0","2,117,966.0","2,123,085.0","2,148,848.0","2,158,252.0","2,184,326.0","2,207,012.0","2,231,961.0","2,245,633.0","2,259,002.0","2,262,878.0","2,289,190.0","2,313,471.0","2,333,418.0","2,364,036.0","2,393,590.0","2,410,225.0","2,425,301.0","2,448,980.0","2,458,331.0","2,486,341.0","2,512,474.0","2,497,391.0","2,526,346.0","2,553,797.0","2,571,926.0","2,594,358.0","2,594,838.0","2,613,611.0","2,636,161.0","2,634,388.0","2,676,165.0","2,689,961.0","2,730,018.0","2,754,739.0","2,764,323.0","2,776,899.0","2,815,019.0","2,809,445.0","2,837,196.0","2,875,183.0","2,919,145.0","2,881,680.0","2,898,085.0","2,939,054.0"
"48","29","  Personal consumption expenditures","DPCERC1","584,245.0","589,487.0","589,697.0","594,698.0","601,100.0","601,703.0","603,543.0","610,794.0","614,111.0","619,409.0","621,380.0","623,672.0","629,613.0","634,880.0","633,238.0","636,953.0","643,387.0","647,247.0","649,463.0","653,907.0","660,075.0","659,325.0","657,572.0","666,622.0","677,164.0","680,425.0","683,018.0","689,778.0","692,157.0","700,812.0","699,921.0","705,970.0","714,072.0","716,933.0","722,055.0","729,572.0","732,648.0","737,332.0","750,384.0","753,765.0","759,213.0","762,865.0","771,217.0","777,654.0","782,480.0","796,296.0","801,823.0","807,507.0","817,893.0","827,246.0","834,219.0","837,194.0","843,097.0","845,841.0","855,707.0","854,854.0","870,870.0","869,804.0","878,563.0","878,372.0","886,383.0","891,579.0","903,326.0","912,696.0","924,306.0","929,871.0","939,755.0","956,604.0","956,836.0","961,014.0","957,976.0","963,618.0","977,418.0","991,268.0","992,552.0","997,164.0","1,021,190.0","1,029,118.0","1,042,183.0","1,049,367.0","1,057,211.0","1,063,165.0","1,078,042.0","1,094,356.0","1,109,511.0","1,110,096.0","1,117,298.0","1,127,835.0","1,125,121.0","1,142,940.0","1,152,069.0","1,160,514.0","1,171,449.0","1,179,485.0","1,191,660.0","1,214,093.0","1,217,387.0","1,233,651.0","1,240,671.0","1,249,733.0","1,259,634.0","1,266,260.0","1,283,215.0","1,288,494.0","1,297,423.0","1,314,335.0","1,330,036.0","1,339,260.0","1,333,023.0","1,358,857.0","1,381,387.0","1,400,235.0","1,415,872.0","1,429,772.0","1,430,807.0","1,450,981.0","1,456,935.0","1,471,001.0","1,484,675.0","1,500,520.0","1,506,302.0","1,521,645.0","1,534,997.0","1,542,315.0","1,562,714.0","1,579,622.0","1,590,142.0","1,619,676.0","1,638,130.0","1,645,995.0","1,661,710.0","1,670,683.0","1,701,575.0","1,705,593.0","1,712,392.0","1,699,454.0","1,704,287.0","1,723,016.0","1,751,175.0","1,767,713.0","1,784,144.0","1,820,425.0","1,830,169.0","1,855,465.0","1,874,695.0","1,889,352.0","1,908,095.0","1,909,142.0","1,918,174.0","1,938,457.0","1,945,702.0","1,969,789.0","1,968,248.0","1,966,195.0","1,972,376.0","1,989,863.0","1,997,404.0","2,021,361.0","2,024,424.0","2,027,160.0","2,045,914.0","2,050,202.0","2,075,080.0","2,083,687.0","2,108,923.0","2,130,661.0","2,154,696.0","2,167,424.0","2,180,069.0","2,183,055.0","2,208,558.0","2,231,761.0","2,250,959.0","2,280,811.0","2,308,981.0","2,324,830.0","2,339,113.0","2,361,764.0","2,370,437.0","2,397,892.0","2,423,754.0","2,408,115.0","2,436,387.0","2,462,604.0","2,479,823.0","2,501,241.0","2,500,474.0","2,518,366.0","2,540,287.0","2,538,202.0","2,578,608.0","2,590,004.0","2,626,312.0","2,648,603.0","2,656,764.0","2,668,399.0","2,705,891.0","2,699,307.0","2,725,937.0","2,762,684.0","2,805,607.0","2,767,148.0","2,782,700.0","2,822,778.0"
"49","30","  Personal interest payments \4\","B069RC1","13,160.0","13,326.0","13,491.0","13,664.0","13,818.0","13,963.0","14,090.0","14,223.0","14,352.0","14,493.0","14,606.0","14,705.0","14,780.0","14,859.0","14,933.0","14,981.0","15,057.0","15,142.0","15,249.0","15,340.0","15,429.0","15,500.0","15,596.0","15,702.0","15,823.0","15,943.0","16,070.0","16,210.0","16,340.0","16,469.0","16,581.0","16,719.0","16,867.0","17,053.0","17,200.0","17,338.0","17,441.0","17,575.0","17,717.0","17,896.0","18,031.0","18,151.0","18,244.0","18,345.0","18,441.0","18,486.0","18,607.0","18,758.0","18,985.0","19,159.0","19,327.0","19,494.0","19,646.0","19,789.0","19,918.0","20,044.0","20,163.0","20,324.0","20,393.0","20,418.0","20,268.0","20,304.0","20,394.0","20,571.0","20,747.0","20,954.0","21,254.0","21,478.0","21,688.0","21,770.0","22,036.0","22,373.0","23,019.0","23,317.0","23,505.0","23,422.0","23,513.0","23,617.0","23,767.0","23,871.0","23,962.0","24,143.0","24,133.0","24,034.0","23,621.0","23,512.0","23,482.0","23,616.0","23,681.0","23,761.0","23,855.0","23,969.0","24,100.0","24,162.0","24,393.0","24,707.0","25,252.0","25,620.0","25,959.0","26,236.0","26,543.0","26,846.0","27,119.0","27,435.0","27,767.0","28,072.0","28,469.0","28,915.0","29,500.0","29,975.0","30,431.0","30,828.0","31,273.0","31,728.0","32,258.0","32,682.0","33,066.0","33,384.0","33,706.0","34,005.0","34,229.0","34,527.0","34,847.0","35,192.0","35,543.0","35,905.0","36,274.0","36,686.0","37,136.0","37,007.0","37,895.0","39,171.0","42,338.0","43,413.0","43,945.0","43,107.0","43,000.0","42,794.0","42,043.0","42,106.0","42,534.0","43,884.0","44,552.0","45,089.0","45,172.0","45,670.0","46,260.0","47,011.0","47,770.0","48,607.0","49,718.0","50,578.0","51,386.0","51,958.0","52,772.0","53,644.0","54,640.0","55,569.0","56,496.0","57,522.0","58,372.0","59,146.0","59,765.0","60,504.0","61,284.0","62,033.0","62,886.0","63,766.0","64,843.0","65,667.0","66,410.0","66,925.0","67,603.0","68,298.0","69,124.0","69,835.0","70,550.0","71,361.0","71,958.0","72,427.0","72,392.0","72,862.0","73,457.0","74,318.0","75,142.0","76,072.0","77,330.0","78,125.0","78,668.0","78,494.0","79,782.0","82,106.0","85,518.0","87,865.0","89,196.0","90,223.0","90,744.0","91,648.0","92,229.0","93,356.0","94,279.0","95,459.0","96,184.0","96,936.0"
"50","31","  Personal current transfer payments","W211RC1","2,061.0","2,067.0","2,073.0","2,279.0","2,286.0","2,293.0","2,256.0","2,264.0","2,272.0","2,345.0","2,355.0","2,365.0","2,471.0","2,482.0","2,493.0","2,586.0","2,599.0","2,612.0","2,569.0","2,583.0","2,597.0","2,589.0","2,604.0","2,619.0","2,623.0","2,639.0","2,655.0","2,698.0","2,718.0","2,738.0","2,865.0","2,887.0","2,909.0","2,953.0","2,979.0","3,008.0","2,999.0","3,027.0","3,049.0","3,137.0","3,154.0","3,168.0","3,181.0","3,192.0","3,200.0","3,295.0","3,296.0","3,294.0","3,018.0","3,013.0","3,014.0","3,062.0","3,068.0","3,074.0","3,089.0","3,100.0","3,111.0","4,354.0","4,371.0","4,394.0","3,287.0","3,312.0","3,337.0","3,357.0","3,383.0","3,409.0","3,441.0","3,471.0","3,504.0","3,524.0","3,557.0","3,590.0","3,617.0","3,651.0","3,688.0","3,579.0","3,620.0","3,661.0","3,974.0","4,016.0","4,058.0","3,992.0","4,036.0","4,080.0","4,229.0","4,272.0","4,315.0","4,223.0","4,263.0","4,303.0","4,383.0","4,422.0","4,461.0","4,583.0","4,619.0","4,655.0","4,677.0","4,711.0","4,745.0","4,800.0","4,833.0","4,866.0","4,841.0","4,872.0","4,903.0","4,918.0","4,948.0","4,978.0","5,059.0","5,089.0","5,119.0","5,370.0","5,401.0","5,435.0","5,433.0","5,468.0","5,503.0","5,726.0","5,764.0","5,805.0","5,645.0","5,688.0","5,728.0","5,735.0","5,775.0","5,815.0","6,048.0","6,090.0","6,132.0","6,577.0","6,617.0","6,654.0","6,486.0","6,528.0","6,576.0","6,628.0","6,689.0","6,753.0","6,934.0","7,006.0","7,081.0","7,298.0","7,386.0","7,483.0","10,746.0","10,844.0","10,933.0","11,161.0","11,238.0","11,312.0","11,677.0","11,745.0","11,810.0","12,242.0","12,297.0","12,343.0","13,049.0","13,094.0","13,142.0","13,626.0","13,680.0","13,737.0","14,003.0","14,061.0","14,119.0","14,318.0","14,379.0","14,443.0","14,089.0","14,156.0","14,223.0","14,785.0","14,855.0","14,928.0","15,485.0","15,560.0","15,638.0","15,855.0","15,937.0","16,022.0","16,328.0","16,415.0","16,502.0","16,875.0","16,960.0","17,045.0","17,034.0","17,120.0","17,206.0","17,692.0","17,775.0","17,852.0","18,188.0","18,271.0","18,363.0","18,278.0","18,384.0","18,490.0","19,030.0","19,143.0","19,259.0","19,073.0","19,201.0","19,341.0"
"51","32","    To government","W062RC1","1,069.0","1,075.0","1,081.0","1,099.0","1,106.0","1,113.0","1,136.0","1,144.0","1,152.0","1,177.0","1,187.0","1,197.0","1,211.0","1,222.0","1,233.0","1,246.0","1,259.0","1,272.0","1,285.0","1,299.0","1,313.0","1,329.0","1,344.0","1,359.0","1,355.0","1,371.0","1,387.0","1,402.0","1,422.0","1,442.0","1,457.0","1,479.0","1,501.0","1,521.0","1,547.0","1,576.0","1,647.0","1,675.0","1,697.0","1,749.0","1,766.0","1,780.0","1,821.0","1,832.0","1,840.0","1,875.0","1,876.0","1,874.0","1,834.0","1,829.0","1,830.0","1,814.0","1,820.0","1,826.0","1,817.0","1,828.0","1,839.0","1,842.0","1,859.0","1,882.0","1,915.0","1,940.0","1,965.0","1,989.0","2,015.0","2,041.0","2,077.0","2,107.0","2,140.0","2,176.0","2,209.0","2,242.0","2,269.0","2,303.0","2,340.0","2,383.0","2,424.0","2,465.0","2,514.0","2,556.0","2,598.0","2,644.0","2,688.0","2,732.0","2,785.0","2,828.0","2,871.0","2,919.0","2,959.0","2,999.0","3,043.0","3,082.0","3,121.0","3,167.0","3,203.0","3,239.0","3,273.0","3,307.0","3,341.0","3,388.0","3,421.0","3,454.0","3,485.0","3,516.0","3,547.0","3,590.0","3,620.0","3,650.0","3,675.0","3,705.0","3,735.0","3,770.0","3,801.0","3,835.0","3,873.0","3,908.0","3,943.0","3,970.0","4,008.0","4,049.0","4,097.0","4,140.0","4,180.0","4,219.0","4,259.0","4,299.0","4,344.0","4,386.0","4,428.0","4,489.0","4,529.0","4,566.0","4,598.0","4,640.0","4,688.0","4,768.0","4,829.0","4,893.0","4,974.0","5,046.0","5,121.0","5,198.0","5,286.0","5,383.0","5,517.0","5,615.0","5,704.0","5,780.0","5,857.0","5,931.0","6,008.0","6,076.0","6,141.0","6,209.0","6,264.0","6,310.0","6,645.0","6,690.0","6,738.0","6,869.0","6,923.0","6,980.0","7,129.0","7,187.0","7,245.0","7,400.0","7,461.0","7,525.0","7,653.0","7,720.0","7,787.0","7,917.0","7,987.0","8,060.0","8,201.0","8,276.0","8,354.0","8,452.0","8,534.0","8,619.0","8,692.0","8,779.0","8,866.0","8,970.0","9,055.0","9,140.0","9,220.0","9,306.0","9,392.0","9,451.0","9,534.0","9,611.0","9,777.0","9,860.0","9,952.0","10,114.0","10,220.0","10,326.0","10,493.0","10,606.0","10,722.0","10,878.0","11,006.0","11,146.0"
"52","33","    To the rest of the world (net)","B070RC1","992.0","992.0","992.0","1,180.0","1,180.0","1,180.0","1,120.0","1,120.0","1,120.0","1,168.0","1,168.0","1,168.0","1,260.0","1,260.0","1,260.0","1,340.0","1,340.0","1,340.0","1,284.0","1,284.0","1,284.0","1,260.0","1,260.0","1,260.0","1,268.0","1,268.0","1,268.0","1,296.0","1,296.0","1,296.0","1,408.0","1,408.0","1,408.0","1,432.0","1,432.0","1,432.0","1,352.0","1,352.0","1,352.0","1,388.0","1,388.0","1,388.0","1,360.0","1,360.0","1,360.0","1,420.0","1,420.0","1,420.0","1,184.0","1,184.0","1,184.0","1,248.0","1,248.0","1,248.0","1,272.0","1,272.0","1,272.0","2,512.0","2,512.0","2,512.0","1,372.0","1,372.0","1,372.0","1,368.0","1,368.0","1,368.0","1,364.0","1,364.0","1,364.0","1,348.0","1,348.0","1,348.0","1,348.0","1,348.0","1,348.0","1,196.0","1,196.0","1,196.0","1,460.0","1,460.0","1,460.0","1,348.0","1,348.0","1,348.0","1,444.0","1,444.0","1,444.0","1,304.0","1,304.0","1,304.0","1,340.0","1,340.0","1,340.0","1,416.0","1,416.0","1,416.0","1,404.0","1,404.0","1,404.0","1,412.0","1,412.0","1,412.0","1,356.0","1,356.0","1,356.0","1,328.0","1,328.0","1,328.0","1,384.0","1,384.0","1,384.0","1,600.0","1,600.0","1,600.0","1,560.0","1,560.0","1,560.0","1,756.0","1,756.0","1,756.0","1,548.0","1,548.0","1,548.0","1,516.0","1,516.0","1,516.0","1,704.0","1,704.0","1,704.0","2,088.0","2,088.0","2,088.0","1,888.0","1,888.0","1,888.0","1,860.0","1,860.0","1,860.0","1,960.0","1,960.0","1,960.0","2,100.0","2,100.0","2,100.0","5,229.0","5,229.0","5,229.0","5,381.0","5,381.0","5,381.0","5,669.0","5,669.0","5,669.0","6,033.0","6,033.0","6,033.0","6,404.0","6,404.0","6,404.0","6,757.0","6,757.0","6,757.0","6,874.0","6,874.0","6,874.0","6,918.0","6,918.0","6,918.0","6,436.0","6,436.0","6,436.0","6,868.0","6,868.0","6,868.0","7,284.0","7,284.0","7,284.0","7,403.0","7,403.0","7,403.0","7,636.0","7,636.0","7,636.0","7,905.0","7,905.0","7,905.0","7,814.0","7,814.0","7,814.0","8,241.0","8,241.0","8,241.0","8,411.0","8,411.0","8,411.0","8,164.0","8,164.0","8,164.0","8,537.0","8,537.0","8,537.0","8,195.0","8,195.0","8,195.0"
"53","34","Equals: Personal saving","A071RC1","66,769.0","62,966.0","66,816.0","64,412.0","68,364.0","75,719.0","82,141.0","81,322.0","82,180.0","81,373.0","83,171.0","85,147.0","85,674.0","85,216.0","90,932.0","100,788.0","92,774.0","88,266.0","101,334.0","101,570.0","100,023.0","100,795.0","103,963.0","101,343.0","105,052.0","105,051.0","107,438.0","105,891.0","109,709.0","121,495.0","113,025.0","113,804.0","108,966.0","110,207.0","109,427.0","110,941.0","106,461.0","109,751.0","100,152.0","98,948.0","101,199.0","100,738.0","102,479.0","106,937.0","109,403.0","119,234.0","127,058.0","128,003.0","115,703.0","118,156.0","120,968.0","126,611.0","126,890.0","132,455.0","128,472.0","137,770.0","130,771.0","145,418.0","146,833.0","151,396.0","147,626.0","146,245.0","138,721.0","135,723.0","133,336.0","136,053.0","139,800.0","129,014.0","138,250.0","147,406.0","152,817.0","155,689.0","147,816.0","140,307.0","143,639.0","165,188.0","214,420.0","170,940.0","149,368.0","155,213.0","156,772.0","162,876.0","155,121.0","146,486.0","144,744.0","153,809.0","152,479.0","146,065.0","154,951.0","143,409.0","148,443.0","149,444.0","145,964.0","143,024.0","148,640.0","136,708.0","135,413.0","117,638.0","137,768.0","141,114.0","139,629.0","147,291.0","148,012.0","155,502.0","159,848.0","160,754.0","165,680.0","169,241.0","176,753.0","166,711.0","166,725.0","164,245.0","158,185.0","154,221.0","169,401.0","163,614.0","166,935.0","171,920.0","169,435.0","170,618.0","182,489.0","183,035.0","188,060.0","184,653.0","173,772.0","166,519.0","182,299.0","168,367.0","164,622.0","173,592.0","176,160.0","186,965.0","186,035.0","191,104.0","191,947.0","204,144.0","208,722.0","205,251.0","211,235.0","215,007.0","228,059.0","231,752.0","243,691.0","241,411.0","226,710.0","224,967.0","225,586.0","226,051.0","229,402.0","227,948.0","266,861.0","261,534.0","273,541.0","289,842.0","295,931.0","281,321.0","286,979.0","275,176.0","276,448.0","296,663.0","280,957.0","279,519.0","292,378.0","292,248.0","272,779.0","263,730.0","256,380.0","259,091.0","263,192.0","264,744.0","253,787.0","245,634.0","241,699.0","218,906.0","237,310.0","230,504.0","239,946.0","244,633.0","262,609.0","261,050.0","260,712.0","311,464.0","310,395.0","313,308.0","303,283.0","305,502.0","319,733.0","330,875.0","333,550.0","331,092.0","306,085.0","319,229.0","293,679.0","255,696.0","243,949.0","287,540.0","328,964.0","276,260.0","263,377.0","233,393.0","208,428.0","267,183.0","266,881.0","256,115.0"
"54","35","  Personal saving as a percentage of disposable personal income","A072RC1","10.0","9.4","9.9","9.5","10.0","10.9","11.7","11.5","11.5","11.3","11.5","11.7","11.7","11.6","12.3","13.3","12.3","11.7","13.2","13.1","12.9","13.0","13.3","12.9","13.1","13.1","13.3","13.0","13.4","14.4","13.6","13.6","12.9","13.0","12.8","12.9","12.4","12.6","11.5","11.3","11.5","11.4","11.4","11.8","12.0","12.7","13.4","13.4","12.1","12.2","12.4","12.8","12.8","13.2","12.8","13.6","12.8","14.0","14.0","14.4","14.0","13.8","13.0","12.7","12.3","12.5","12.7","11.6","12.3","13.0","13.4","13.6","12.8","12.1","12.3","13.9","17.0","13.9","12.3","12.6","12.6","13.0","12.3","11.5","11.3","11.9","11.8","11.2","11.8","10.9","11.2","11.2","10.8","10.6","10.9","9.9","9.8","8.5","9.8","9.9","9.8","10.2","10.1","10.5","10.7","10.7","10.8","11.0","11.4","10.7","10.5","10.3","9.8","9.5","10.3","9.9","10.0","10.2","10.0","10.0","10.6","10.5","10.7","10.4","9.8","9.3","10.0","9.2","8.9","9.3","9.4","9.8","9.6","9.8","9.8","10.5","10.6","10.4","10.5","10.6","11.1","11.0","11.5","11.2","10.5","10.4","10.3","10.3","10.4","10.2","11.7","11.4","11.9","12.5","12.7","12.0","12.2","11.6","11.7","12.4","11.7","11.6","12.0","11.9","11.1","10.7","10.3","10.3","10.4","10.5","10.0","9.6","9.4","8.5","9.0","8.7","9.0","9.1","9.7","9.5","9.4","11.1","10.9","10.9","10.5","10.5","11.0","11.2","11.2","11.2","10.3","10.6","9.7","8.5","8.1","9.4","10.5","9.0","8.5","7.5","6.7","8.5","8.4","8.0"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
