"","Table 7#10# Dividends Paid and Received by Sector               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"21","2","  Domestic corporate business \1\","A2219C1","7,428.0","8,356.0","9,409.0","9,631.0","11,587.0","11,257.0","11,233.0","11,599.0","11,828.0","13,396.0","14,203.0","14,628.0","14,711.0","15,809.0","16,784.0","17,492.0","18,996.0","20,212.0","22,589.0","25,222.0","25,525.0","26,435.0","28,989.0","29,976.0"
"22","3","    Financial","B1440C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,332.0","2,583.0","2,760.0","2,800.0","3,023.0","3,257.0","3,718.0","4,036.0","4,018.0","4,009.0","4,449.0","4,979.0"
"23","4","    Nonfinancial","B1441C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,379.0","13,226.0","14,024.0","14,692.0","15,973.0","16,955.0","18,871.0","21,186.0","21,507.0","22,426.0","24,540.0","24,997.0"
"24","5","  Rest of the world \2\","B3375C1","593.0","878.0","1,071.0","1,118.0","1,292.0","1,498.0","1,422.0","1,462.0","1,740.0","1,928.0","2,181.0","2,267.0","2,133.0","2,293.0","2,433.0","2,884.0","3,178.0","3,240.0","3,784.0","4,046.0","3,625.0","3,948.0","4,233.0","4,849.0"
"25","6","Monetary dividends received","Y375RC1","8,021.0","9,234.0","10,480.0","10,749.0","12,879.0","12,755.0","12,655.0","13,061.0","13,568.0","15,324.0","16,384.0","16,895.0","16,844.0","18,102.0","19,217.0","20,376.0","22,174.0","23,452.0","26,373.0","29,268.0","29,150.0","30,383.0","33,222.0","34,825.0"
"26","7","  Domestic corporate business \2\","Y376RC1","2,279.0","2,724.0","3,209.0","3,225.0","3,733.0","3,855.0","3,810.0","3,932.0","4,093.0","4,666.0","4,950.0","5,048.0","5,200.0","5,487.0","5,832.0","6,546.0","7,287.0","7,397.0","8,452.0","9,364.0","8,886.0","9,492.0","10,527.0","11,603.0"
"27","8","    Financial \3\","Y377RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,936.0","2,077.0","2,263.0","2,430.0","2,904.0","2,886.0","3,577.0","4,373.0","4,130.0","4,339.0","5,025.0","5,632.0"
"28","9","    Nonfinancial","B1444C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,264.0","3,410.0","3,569.0","4,116.0","4,383.0","4,511.0","4,875.0","4,991.0","4,756.0","5,153.0","5,502.0","5,971.0"
"29","10","  Rest of the world \1\","B3376C1","168.0","189.0","235.0","286.0","308.0","336.0","323.0","327.0","318.0","349.0","368.0","381.0","399.0","431.0","477.0","489.0","507.0","566.0","581.0","715.0","783.0","768.0","865.0","1,013.0"
"30","11","  Government","W065RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","12","  Persons \4\","B1447C1","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,564.0","8,522.0","8,802.0","9,157.0","10,309.0","11,066.0","11,466.0","11,245.0","12,184.0","12,908.0","13,341.0","14,380.0","15,489.0","17,340.0","19,189.0","19,481.0","20,123.0","21,830.0","22,209.0"
"32",NA,"      Imputed dividends"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","13","Imputed dividends paid by domestic corporate business, financial","Y378RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,705.0","2,030.0"
"34","14","Imputed dividends received by persons \5\","Y379RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,705.0","2,030.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","15","  Net corporate dividend payments (16+17)","B056RC1","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0"
"37","16","    Domestic corporate business (2-7+13)","A2223C1","5,149.0","5,632.0","6,200.0","6,406.0","7,854.0","7,408.0","7,461.0","7,751.0","7,860.0","8,899.0","9,467.0","9,856.0","9,832.0","10,708.0","11,410.0","11,506.0","12,356.0","13,562.0","14,991.0","16,874.0","17,828.0","18,330.0","20,167.0","20,403.0"
"38","17","    Rest of the world (5-10)","A2224C1","425.0","689.0","836.0","832.0","984.0","1,162.0","1,099.0","1,135.0","1,422.0","1,579.0","1,813.0","1,886.0","1,734.0","1,862.0","1,956.0","2,395.0","2,671.0","2,674.0","3,203.0","3,331.0","2,842.0","3,180.0","3,368.0","3,836.0"
"39","18","  Personal dividend income (15-11 or 12+14)","B703RC1","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Remitted earnings to foreign residents from their unincorporated U.S. affiliates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","treated as dividends paid by domestic corporate business (line 2) and as dividends received",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","by the rest of the world (line 10).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Earnings of U.S. residents remitted by their unincorporated foreign affiliates are treated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","as dividends paid by the rest of the world (line 5) and as dividends received by domestic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","corporate business (line 7).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Includes monetary dividends received by employee pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4. Dividends received by insured private pension plans are included in dividends received by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","financial corporate business (line 8), and in imputed interest received by persons,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","table 7.11 (line 66).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Consists of dividends imputed to persons from employee defined benefit pension funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
