"","Table 2#7B# Wages and Salaries by Industry, Monthly             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2012","2012","2012","2012","2012","2012","2012","2012","2012","2012","2012","2012","2013","2013","2013","2013","2013","2013"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6"
"20","1","    Wages and salaries","A576RC1","4,959,237.0","4,988,244.0","5,000,774.0","4,975,096.0","4,960,633.0","4,955,707.0","4,944,472.0","4,935,124.0","4,930,072.0","4,928,538.0","4,935,523.0","4,939,813.0","4,945,784.0","4,946,724.0","4,965,021.0","4,981,113.0","4,997,552.0","5,023,401.0","5,000,814.0","5,011,448.0","5,020,431.0","5,019,723.0","5,023,458.0","5,021,465.0","5,017,835.0","5,026,799.0","5,051,039.0","5,067,859.0","5,110,424.0","5,130,473.0","5,142,150.0","5,168,633.0","5,192,595.0","5,230,104.0","5,267,662.0","5,259,749.0","5,272,042.0","5,276,269.0","5,298,450.0","5,336,025.0","5,399,381.0","5,418,394.0","5,466,944.0","5,498,522.0","5,513,850.0","5,529,386.0","5,522,899.0","5,542,439.0","5,569,781.0","5,584,389.0","5,588,471.0","5,620,129.0","5,637,355.0","5,664,530.0","5,717,446.0","5,734,549.0","5,762,730.0","5,792,890.0","5,810,768.0","5,831,961.0","5,935,415.0","5,987,125.0","6,008,498.0","6,029,507.0","6,000,328.0","6,018,502.0","6,043,379.0","6,053,720.0","6,088,126.0","6,126,411.0","6,168,960.0","6,238,950.0","6,308,206.0","6,356,934.0","6,381,244.0","6,372,786.0","6,364,063.0","6,379,173.0","6,386,692.0","6,378,703.0","6,418,551.0","6,427,729.0","6,469,335.0","6,509,111.0","6,519,637.0","6,537,531.0","6,564,249.0","6,531,782.0","6,531,780.0","6,533,577.0","6,529,304.0","6,548,619.0","6,556,121.0","6,576,993.0","6,533,670.0","6,430,474.0","6,292,848.0","6,216,272.0","6,184,691.0","6,236,960.0","6,267,931.0","6,266,136.0","6,240,346.0","6,239,479.0","6,239,668.0","6,260,882.0","6,289,799.0","6,291,825.0","6,254,298.0","6,217,399.0","6,247,020.0","6,321,129.0","6,387,640.0","6,387,801.0","6,414,314.0","6,431,335.0","6,433,483.0","6,463,436.0","6,466,404.0","6,505,987.0","6,553,837.0","6,581,319.0","6,597,591.0","6,602,180.0","6,614,201.0","6,646,560.0","6,707,908.0","6,697,051.0","6,688,987.0","6,655,163.0","6,629,343.0","6,690,099.0","6,787,455.0","6,855,766.0","6,883,420.0","6,885,159.0","6,857,587.0","6,877,755.0","6,866,860.0","6,892,493.0","6,954,876.0","6,981,635.0","7,077,273.0","7,200,785.0","6,990,936.0","7,043,031.0","7,055,202.0","7,064,497.0","7,083,952.0","7,121,477.0"
"21","2","Private industries","A132RC1","4,159,349.0","4,182,914.0","4,192,463.0","4,163,505.0","4,145,872.0","4,135,436.0","4,119,531.0","4,106,500.0","4,097,980.0","4,092,921.0","4,095,662.0","4,097,124.0","4,086,962.0","4,084,824.0","4,100,835.0","4,114,435.0","4,126,750.0","4,149,627.0","4,125,328.0","4,132,570.0","4,141,254.0","4,139,013.0","4,140,591.0","4,136,884.0","4,117,945.0","4,121,210.0","4,142,079.0","4,157,258.0","4,198,374.0","4,215,858.0","4,225,378.0","4,253,281.0","4,277,918.0","4,311,855.0","4,347,821.0","4,336,636.0","4,334,630.0","4,334,146.0","4,352,611.0","4,387,214.0","4,448,630.0","4,466,157.0","4,513,270.0","4,542,667.0","4,556,355.0","4,569,278.0","4,559,672.0","4,578,003.0","4,588,849.0","4,601,456.0","4,604,882.0","4,634,506.0","4,649,602.0","4,674,970.0","4,724,630.0","4,740,659.0","4,766,038.0","4,795,102.0","4,809,100.0","4,827,074.0","4,920,062.0","4,968,239.0","4,986,187.0","5,004,202.0","4,972,340.0","4,987,397.0","5,007,537.0","5,013,835.0","5,041,486.0","5,077,153.0","5,116,760.0","5,184,094.0","5,236,349.0","5,279,891.0","5,301,677.0","5,292,251.0","5,282,044.0","5,294,373.0","5,299,338.0","5,286,384.0","5,321,001.0","5,327,693.0","5,365,433.0","5,399,938.0","5,397,805.0","5,408,995.0","5,431,943.0","5,396,934.0","5,394,475.0","5,392,161.0","5,383,479.0","5,397,245.0","5,400,278.0","5,417,652.0","5,373,363.0","5,270,138.0","5,126,042.0","5,049,885.0","5,017,224.0","5,063,431.0","5,091,522.0","5,088,110.0","5,062,672.0","5,061,574.0","5,062,201.0","5,081,855.0","5,109,873.0","5,110,696.0","5,068,166.0","5,030,481.0","5,057,768.0","5,129,362.0","5,187,159.0","5,189,627.0","5,219,996.0","5,240,926.0","5,247,283.0","5,272,978.0","5,276,759.0","5,316,645.0","5,363,586.0","5,391,549.0","5,405,939.0","5,406,475.0","5,417,865.0","5,444,763.0","5,508,904.0","5,497,449.0","5,492,878.0","5,463,753.0","5,439,382.0","5,498,452.0","5,590,016.0","5,655,515.0","5,682,928.0","5,687,590.0","5,662,885.0","5,683,541.0","5,674,323.0","5,697,537.0","5,757,181.0","5,783,847.0","5,877,825.0","6,000,059.0","5,792,940.0","5,846,895.0","5,861,874.0","5,870,065.0","5,889,244.0","5,927,237.0"
"22","3","  Goods-producing industries","N231RC1","1,067,282.0","1,070,580.0","1,071,502.0","1,063,782.0","1,053,934.0","1,045,155.0","1,043,216.0","1,029,869.0","1,025,843.0","1,022,334.0","1,020,247.0","1,018,840.0","1,011,309.0","1,012,134.0","1,016,205.0","1,014,585.0","1,016,955.0","1,019,572.0","1,011,129.0","1,008,210.0","1,008,682.0","1,005,511.0","1,004,687.0","1,006,271.0","997,195.0","994,291.0","998,521.0","994,572.0","1,003,429.0","1,006,701.0","998,302.0","1,005,830.0","1,017,319.0","1,031,266.0","1,043,068.0","1,035,022.0","1,023,428.0","1,018,155.0","1,022,290.0","1,033,788.0","1,051,972.0","1,056,225.0","1,068,462.0","1,076,868.0","1,076,973.0","1,069,868.0","1,066,511.0","1,071,909.0","1,080,397.0","1,084,539.0","1,083,903.0","1,087,714.0","1,090,850.0","1,094,142.0","1,105,838.0","1,113,519.0","1,114,998.0","1,121,552.0","1,116,214.0","1,117,146.0","1,156,297.0","1,176,380.0","1,177,784.0","1,173,451.0","1,164,746.0","1,163,937.0","1,163,694.0","1,164,172.0","1,164,630.0","1,173,053.0","1,178,973.0","1,196,215.0","1,205,304.0","1,202,886.0","1,208,156.0","1,215,369.0","1,210,688.0","1,207,357.0","1,207,827.0","1,198,085.0","1,210,269.0","1,202,431.0","1,215,219.0","1,222,137.0","1,215,583.0","1,212,111.0","1,224,384.0","1,211,173.0","1,210,281.0","1,210,876.0","1,200,939.0","1,200,392.0","1,193,069.0","1,198,637.0","1,189,051.0","1,155,274.0","1,112,251.0","1,090,906.0","1,070,431.0","1,065,044.0","1,055,637.0","1,049,785.0","1,042,134.0","1,040,614.0","1,036,947.0","1,040,827.0","1,046,900.0","1,044,068.0","1,030,361.0","1,015,198.0","1,024,536.0","1,041,401.0","1,058,663.0","1,052,160.0","1,059,520.0","1,066,391.0","1,067,106.0","1,070,302.0","1,074,100.0","1,080,151.0","1,092,250.0","1,089,907.0","1,098,233.0","1,094,750.0","1,098,203.0","1,100,533.0","1,114,462.0","1,114,307.0","1,111,744.0","1,103,646.0","1,093,559.0","1,113,433.0","1,138,320.0","1,154,965.0","1,154,393.0","1,162,786.0","1,146,007.0","1,150,759.0","1,147,680.0","1,142,348.0","1,149,955.0","1,142,810.0","1,160,641.0","1,197,439.0","1,171,624.0","1,186,399.0","1,187,494.0","1,187,800.0","1,192,758.0","1,198,697.0"
