"","Table 2#2B# Wages and Salaries by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 4:30:35 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","    Wages and salaries","A576RC1","4,181,616.0","4,458,006.0","4,825,865.0","4,954,436.0","4,996,411.0","5,138,777.0","5,422,883.0","5,692,917.0","6,058,243.0","6,396,044.0","6,532,812.0","6,252,236.0","6,377,521.0","6,638,687.0","6,926,756.0"
"20","2","Private industries","A132RC1","3,480,303.0","3,724,240.0","4,046,078.0","4,132,438.0","4,123,256.0","4,225,468.0","4,470,219.0","4,701,406.0","5,023,274.0","5,307,198.0","5,388,706.0","5,077,090.0","5,186,430.0","5,444,250.0","5,729,438.0"
"21","3","  Goods-producing industries","N231RC1","946,163.0","992,551.0","1,057,266.0","1,044,382.0","1,011,270.0","1,010,460.0","1,053,037.0","1,100,901.0","1,171,111.0","1,208,811.0","1,201,814.0","1,057,961.0","1,053,325.0","1,102,085.0","1,154,008.0"
"22","4","    Manufacturing","N552RC1","681,032.0","705,792.0","744,988.0","713,371.0","680,071.0","674,238.0","693,594.0","710,368.0","737,672.0","751,700.0","740,581.0","661,253.0","674,055.0","707,105.0","735,435.0"
"23","5","  Services-producing industries","N233RC1","2,534,140.0","2,731,688.0","2,988,813.0","3,088,056.0","3,111,987.0","3,215,009.0","3,417,182.0","3,600,504.0","3,852,165.0","4,098,388.0","4,186,891.0","4,019,127.0","4,133,106.0","4,342,162.0","4,575,429.0"
"24","6","    Trade, transportation, and utilities","N234RC1","724,666.0","772,524.0","830,995.0","846,666.0","846,762.0","863,139.0","905,052.0","943,184.0","994,025.0","1,042,188.0","1,045,303.0","984,606.0","998,923.0","1,046,173.0","1,093,713.0"
"25","7","    Other services-producing industries \1\","N235RC1","1,809,474.0","1,959,164.0","2,157,818.0","2,241,390.0","2,265,225.0","2,351,870.0","2,512,130.0","2,657,320.0","2,858,140.0","3,056,200.0","3,141,588.0","3,034,521.0","3,134,183.0","3,295,989.0","3,481,716.0"
"26","8","Government","B202RC1","701,313.0","733,766.0","779,787.0","821,998.0","873,155.0","913,309.0","952,664.0","991,511.0","1,034,969.0","1,088,846.0","1,144,106.0","1,175,146.0","1,191,091.0","1,194,437.0","1,197,318.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
