"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"19","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","98,416.0","86,244.0","100,647.0","117,212.0","133,390.0","125,705.0","138,859.0","174,338.0","205,783.0","238,569.0","248,980.0","223,560.0","247,494.0","229,857.0","279,767.0","337,881.0","354,488.0","324,374.0","365,983.0"
"20","2","Domestic industries","A445RC1","91,821.0","79,144.0","92,792.0","107,677.0","118,492.0","108,236.0","124,228.0","157,790.0","186,670.0","215,699.0","214,369.0","188,088.0","217,815.0","197,270.0","244,711.0","301,313.0","316,390.0","284,899.0","317,973.0"
"21","3","  Financial","A587RC1","13,515.0","15,281.0","17,640.0","19,366.0","21,246.0","20,823.0","19,958.0","24,745.0","31,533.0","39,947.0","40,337.0","32,430.0","27,905.0","23,997.0","34,164.0","32,400.0","45,323.0","54,696.0","58,617.0"
"22","4","  Nonfinancial","A463RC1","78,306.0","63,863.0","75,152.0","88,311.0","97,246.0","87,413.0","104,270.0","133,045.0","155,137.0","175,752.0","174,032.0","155,658.0","189,910.0","173,273.0","210,547.0","268,913.0","271,067.0","230,204.0","259,356.0"
"23","5","Rest of the world","B394RC1","6,595.0","7,100.0","7,855.0","9,534.0","14,898.0","17,469.0","14,631.0","16,548.0","19,113.0","22,869.0","34,611.0","35,471.0","29,679.0","32,587.0","35,056.0","36,569.0","38,098.0","39,474.0","48,009.0"
"24","6","  Receipts from the rest of the world","B933RC1","8,047.0","8,656.0","9,781.0","11,751.0","17,575.0","20,398.0","17,906.0","20,938.0","23,790.0","29,001.0","42,560.0","43,845.0","38,078.0","36,670.0","41,103.0","46,104.0","46,799.0","48,717.0","58,922.0"
"25","7","  Less:  Payments to the rest of the world","B934RC1","1,452.0","1,556.0","1,926.0","2,217.0","2,677.0","2,929.0","3,275.0","4,390.0","4,677.0","6,132.0","7,949.0","8,374.0","8,399.0","4,083.0","6,047.0","9,535.0","8,701.0","9,243.0","10,913.0"
"26","8","    Corporate profits with inventory valuation adjustment","A052RC1","90,782.0","79,711.0","94,687.0","109,275.0","126,562.0","123,306.0","144,229.0","182,101.0","212,795.0","246,701.0","261,004.0","240,625.0","251,999.0","224,822.0","256,442.0","294,261.0","289,670.0","273,255.0","314,552.0"
"27","9","Domestic industries","A390RC1","84,187.0","72,611.0","86,833.0","99,740.0","111,665.0","105,836.0","129,598.0","165,552.0","193,684.0","223,831.0","226,393.0","205,156.0","222,321.0","192,235.0","221,387.0","257,692.0","251,574.0","233,781.0","266,542.0"
"28","10","  Financial","A392RC1","13,636.0","15,491.0","17,883.0","19,451.0","21,097.0","20,783.0","20,426.0","25,600.0","32,600.0","40,760.0","41,764.0","35,249.0","30,301.0","27,200.0","36,199.0","34,700.0","46,506.0","56,355.0","60,303.0"
"29","11","    Federal Reserve banks","B397RC1","3,075.0","3,526.0","3,312.0","3,344.0","4,476.0","5,681.0","5,610.0","5,872.0","6,109.0","7,645.0","9,433.0","11,798.0","14,393.0","15,245.0","14,586.0","16,433.0","16,346.0","15,516.0","16,249.0"
"30","12","    Other","B398RC1","10,561.0","11,965.0","14,571.0","16,107.0","16,621.0","15,102.0","14,816.0","19,728.0","26,491.0","33,115.0","32,331.0","23,451.0","15,908.0","11,955.0","21,613.0","18,267.0","30,160.0","40,839.0","44,054.0"
"31","13","  Nonfinancial","A399RC1","70,551.0","57,120.0","68,950.0","80,289.0","90,568.0","85,053.0","109,172.0","139,952.0","161,084.0","183,071.0","184,629.0","169,907.0","192,020.0","165,035.0","185,188.0","222,992.0","205,068.0","177,426.0","206,239.0"
"32","14","    Manufacturing","A400RC1","41,591.0","31,974.0","39,970.0","47,613.0","54,956.0","50,994.0","62,984.0","82,515.0","91,455.0","105,833.0","107,138.0","97,558.0","112,463.0","89,577.0","97,255.0","114,243.0","107,130.0","75,585.0","101,790.0"
"33","15","      Durable goods","A406RC1","22,156.0","13,478.0","19,876.0","26,612.0","30,638.0","21,786.0","25,751.0","38,820.0","46,117.0","55,923.0","49,028.0","31,967.0","33,756.0","19,413.0","33,439.0","54,145.0","45,609.0","39,665.0","51,353.0"
"34","16","        Primary metal industries","A407RC1","1,515.0","933.0","991.0","1,928.0","2,711.0","5,562.0","3,218.0","2,903.0","1,795.0","4,536.0","4,602.0","3,676.0","4,169.0","-3,969.0","-4,434.0","-55.0","-518.0","949.0","2,228.0"
"35","17","        Fabricated metal products","A408RC1","2,088.0","1,238.0","1,620.0","2,357.0","2,933.0","2,137.0","3,520.0","4,292.0","4,937.0","5,463.0","5,848.0","4,983.0","5,163.0","3,401.0","3,762.0","5,435.0","5,562.0","5,510.0","5,407.0"
"36","18","        Machinery,except electrical","A409RC1","3,946.0","3,371.0","3,390.0","5,009.0","5,615.0","4,178.0","5,859.0","7,963.0","9,797.0","12,143.0","11,143.0","9,742.0","11,091.0","5,261.0","5,612.0","7,554.0","7,272.0","1,955.0","6,143.0"
"37","19","        Electric and electronic equipment","A410RC1","3,534.0","2,521.0","3,268.0","4,355.0","5,010.0","2,685.0","4,501.0","6,043.0","8,135.0","9,451.0","8,922.0","9,260.0","9,928.0","6,144.0","8,144.0","10,055.0","7,304.0","7,118.0","10,548.0"
"38","20","        Motor vehicles and equipment","A411RC1","5,254.0","1,760.0","5,925.0","6,893.0","7,363.0","2,217.0","3,256.0","9,087.0","11,402.0","11,732.0","7,348.0","-1,400.0","2,384.0","2,113.0","7,408.0","11,475.0","10,177.0","7,147.0","5,505.0"
"39","21","        Other","A412RC1","5,819.0","3,655.0","4,682.0","6,070.0","7,006.0","5,007.0","5,397.0","8,532.0","10,051.0","12,598.0","11,165.0","5,706.0","1,021.0","6,463.0","12,947.0","19,681.0","15,812.0","16,986.0","21,522.0"
"40","22","      Nondurable goods","A401RC1","19,435.0","18,496.0","20,094.0","21,001.0","24,318.0","29,208.0","37,233.0","43,695.0","45,338.0","49,910.0","58,110.0","65,591.0","78,707.0","70,164.0","63,816.0","60,098.0","61,521.0","35,920.0","50,437.0"
"41","23","        Food and kindred products","A402RC1","3,134.0","3,358.0","3,719.0","3,152.0","2,808.0","2,955.0","8,831.0","7,437.0","7,249.0","6,673.0","6,387.0","6,656.0","9,730.0","8,072.0","6,871.0","7,505.0","9,505.0","7,878.0","10,941.0"
"42","24","        Chemicals and allied products","A403RC1","5,169.0","4,566.0","5,170.0","6,026.0","7,104.0","6,549.0","7,666.0","9,895.0","9,448.0","10,220.0","9,494.0","8,225.0","10,898.0","8,472.0","10,713.0","11,653.0","9,858.0","10,004.0","17,571.0"
"43","25","        Petroleum and coal products","A404RC1","3,585.0","3,920.0","4,006.0","3,522.0","5,638.0","11,364.0","10,448.0","14,101.0","13,781.0","16,728.0","25,967.0","35,983.0","41,682.0","36,806.0","25,645.0","19,367.0","20,172.0","-4,171.0","-1,376.0"
"44","26","        Other","A405RC1","7,547.0","6,652.0","7,199.0","8,301.0","8,768.0","8,340.0","10,288.0","12,262.0","14,860.0","16,289.0","16,262.0","14,727.0","16,397.0","16,814.0","20,587.0","21,573.0","21,986.0","22,209.0","23,301.0"
"45","27","    Transportation and public utilities","A416RC1","11,100.0","8,762.0","9,563.0","10,415.0","10,230.0","9,127.0","11,732.0","17,471.0","21,161.0","25,488.0","21,575.0","22,230.0","25,079.0","28,128.0","34,332.0","44,721.0","39,081.0","39,266.0","42,008.0"
"46","28","      Transportation","A417RC1","564.0","-263.0","627.0","1,476.0","1,304.0","1,976.0","505.0","2,768.0","3,316.0","4,191.0","3,937.0","2,736.0","1,499.0","-453.0","2,853.0","5,286.0","2,240.0","2,566.0","1,151.0"
"47","29","      Communication","A418RC1","5,860.0","5,348.0","4,758.0","4,780.0","5,270.0","5,354.0","5,346.0","7,825.0","9,191.0","11,640.0","11,031.0","10,827.0","12,902.0","13,183.0","14,541.0","17,689.0","18,657.0","21,971.0","21,992.0"
"48","30","      Electric, gas, and sanitary services","A419RC1","4,676.0","3,677.0","4,178.0","4,159.0","3,656.0","1,797.0","5,881.0","6,878.0","8,654.0","9,657.0","6,607.0","8,667.0","10,678.0","15,398.0","16,938.0","21,746.0","18,184.0","14,729.0","18,865.0"
"49","31","    Wholesale trade","A414RC1","4,943.0","4,572.0","5,398.0","7,154.0","8,772.0","12,209.0","14,267.0","13,702.0","16,435.0","16,665.0","20,035.0","18,475.0","23,692.0","20,720.0","21,910.0","30,375.0","24,602.0","24,432.0","18,886.0"
"50","32","    Retail trade","A415RC1","6,440.0","6,062.0","7,333.0","7,537.0","7,018.0","2,751.0","8,398.0","10,922.0","12,840.0","13,085.0","10,713.0","7,013.0","10,698.0","14,334.0","19,347.0","21,548.0","22,818.0","23,418.0","23,293.0"
"51","33","    Other","A420RC1","6,477.0","5,750.0","6,686.0","7,570.0","9,592.0","9,972.0","11,791.0","15,342.0","19,193.0","22,000.0","25,168.0","24,631.0","20,088.0","12,276.0","12,344.0","12,105.0","11,437.0","14,725.0","20,262.0"
"52","34","Rest of the world","B394RC1","6,595.0","7,100.0","7,855.0","9,534.0","14,898.0","17,469.0","14,631.0","16,548.0","19,113.0","22,869.0","34,611.0","35,471.0","29,679.0","32,587.0","35,056.0","36,569.0","38,098.0","39,474.0","48,009.0"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
