"","Table 5#5#4# Price Indexes for Private Fixed Investment in Equip","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","    Computers and peripheral equipment","B935RG3",62138.19,55815.091,42498.13,34278.946,32499.912,26534.998,24546.148,20500.724,17840.338,12067.393,9999.091,7804.036,6858.437,6173.201,5146.729,4163.808,3539.787,3049.288,2597.304,2412.554,2252.823,2044.054,1836.292,1567.117,1331.668,1171.121,980.096,747.403,576.17,428.065,333.314,291.687,241.498,209.756,187.539,174.007,153.434,134.346,120.591,108.738,100,96.005,92.053,90.106,89.28,89.088
"12","5","    Communication equipment \1\","B275RG3",100.159,104.8,110.062,115.246,118.046,127.926,140.666,148.182,144.017,150.111,153.04,163.45,176.651,186.631,191.759,197.772,201.557,202.326,203.814,203.814,203.918,203.833,204.528,202.956,200.768,197.52,191.501,187.993,186.563,175.839,164.323,158.414,149.756,141.437,126.907,118.274,115.923,112.608,110.317,104.449,100,98.406,96.979,91.918,90.054,89.97
"13","6","    Medical equipment and instruments","W176RG3",31.935,33.422,34.4,34.692,35.588,38.34,44.305,47.163,49.835,53.778,58.459,64.411,70.45,74.396,76.744,78.653,79.034,82.403,85.955,87.725,89.606,92.093,94.131,96.543,98.25,99.053,100.255,100.668,99.335,98.488,97.806,97.15,97.576,98.229,99.521,99.472,99.488,99.369,99.222,99.823,100,100.012,100.992,101.135,100.552,100.389
"14","7","    Nonmedical instruments","W177RG3",26.092,27.026,28.287,28.887,29.363,31.247,35.674,38.2,40.854,43.142,45.665,49.192,53.475,56.967,60.038,60.5,62.261,64.546,66.631,69.056,71.294,74.051,76.164,78.297,79.92,81.242,82.659,83.989,85.421,86.033,86.624,87.541,88.314,89.439,90.621,91.459,92.74,94.208,96.095,98.109,100,100.204,101.918,103.897,104.84,106.049
"15","8","    Photocopy and related equipment","B285RG3",84.168,84.515,84.513,83.475,83.837,85.755,89.215,92.773,93.958,97.569,101.887,114.922,119.486,120.474,122.829,124.382,127.133,133.907,139.332,144.238,149.006,152.195,155.204,160.405,154.95,152.41,155.007,143.93,132.706,117.907,114.411,109.764,106.418,98.913,97.68,96.665,96.03,95.115,96.274,98.492,100,100.568,100.898,102.438,102.962,102.989
"16","9","    Office and accounting equipment","B936RG3",70.762,72.334,73.249,73.211,74.73,77.336,81.901,81.15,84.636,83.055,80.532,81.442,82.941,84.808,85.539,85.702,84.708,89.643,94.227,96.314,97.392,96.578,96.786,97.901,99.523,101.178,102.228,100.922,100.151,99.915,99.725,99.294,97.822,97.488,97.512,98.236,97.6,97.079,97.243,98.789,100,99.216,100.551,102.887,103.089,104.587
"17","10","  Industrial equipment","A680RG3",19.221,20.176,21.077,21.507,22.112,24.192,29.156,31.598,34.465,37.485,41.165,46.521,50.964,53.391,54.487,55.096,56.011,58.561,61.088,63.834,66.153,69.324,71.795,73.386,74.39,75.906,78.496,80.125,80.671,81.126,81.598,82.053,82.587,82.619,83.241,85.282,88.455,91.213,94.543,98.693,100,101.055,103.941,105.824,106.261,107.124
"18","11","    Fabricated metal products","B263RG3",18.074,18.913,19.935,20.652,21.317,23.704,28.948,30.545,33.408,37.253,41.561,47.166,51.118,54.898,56.046,55.86,56.369,55.858,55.577,59.318,62.322,63.989,65.204,66.079,65.552,65.708,68.678,71.041,71.24,70.833,70.186,70.005,70.762,71.688,72.618,76.797,82.008,87.126,92.581,99.054,100,101.161,104.073,106.734,106.715,108.297
"19","12","    Engines and turbines","B668RG3",16.64,18.044,19.505,20.158,20.827,21.922,26.068,30.37,33.483,37.123,39.015,47.672,51.997,52.334,53.567,53.756,53.901,54.844,56.186,57.777,62.573,69.16,72.022,73.243,73.302,75.558,77.783,79.169,80.346,80.672,81.851,82.261,82.413,83.076,83.699,84.23,84.397,86.529,89.615,95.09,100,98.514,100.896,102.141,102.527,102.911
"20","13","    Metalworking machinery","B271RG3",19.087,20.096,20.547,21.002,21.684,23.96,28.71,30.79,33.987,37.437,42.083,48.182,52.666,55.731,56.42,57.213,58.448,62.087,65.06,67.808,69.705,72.678,75.787,77.644,79.229,81.385,84.32,86.23,86.826,87.519,87.931,88.546,88.805,88.623,88.764,90.271,93.752,94.88,96.116,99.179,100,100.52,103.262,105.453,105.61,106.431
"21","14","    Special industry machinery, n.e.c.","B272RG3",16.606,17.42,18.256,18.746,19.452,22.144,26.641,28.966,31.954,35.016,38.719,43.439,48.15,50.379,51.989,53.285,54.373,58.082,61.58,64.783,66.768,70.213,73.351,75.624,76.924,78.649,81.599,83.568,84.273,84.888,85.777,85.864,86.164,85.654,86.323,88.804,91.121,93.532,96.634,99.368,100,100.781,103.511,104.662,104.529,104.721
"22","15","    General industrial, including materials handling, equipment","B273RG3",19.389,20.515,21.56,22.041,22.534,24.121,29.052,31.723,34.327,36.885,40.229,45.134,49.49,50.963,51.702,52.183,52.967,55.918,58.84,61.863,63.772,66.85,69.077,70.764,72.101,73.758,75.946,77.378,78.067,78.706,79.332,79.812,80.681,81.36,82.378,84.63,88.266,90.839,93.94,98.145,100,100.83,103.762,106.142,107.238,108.546
"23","16","    Electrical transmission, distribution, and industrial apparatus","B276RG3",27.163,27.791,28.686,28.343,28.768,30.833,37.228,40.402,43.273,45.612,48.411,53.656,58.761,61.875,63.454,63.973,65.093,66.415,68.344,69.344,72.631,76.151,78.244,78.921,79.434,80.308,82.689,83.361,83.362,83.35,83.434,84.637,85.178,83.931,83.882,84.618,86.944,90.776,95.453,99.904,100,102.932,106.129,107.181,107.334,107.668
"24","17","  Transportation equipment","A681RG3",24.325,25.491,26.756,27.33,27.626,30.197,33.57,35.978,38.772,42.266,45.893,50.711,54.489,56.955,57.809,58.411,60.175,63.941,64.95,65.662,67.895,70.889,74.521,76.094,76.442,78.567,78.723,80.839,82.982,83.309,83.673,83.665,83.392,84.648,86.626,90.192,90.725,91.38,92.759,93.178,100,93.112,95.004,97.348,98.959,100.218
"25","18","    Trucks, buses, and truck trailers","B279RG3",21.109,22.092,23.618,24.424,24.727,27.17,30.629,33.312,36.707,39.977,43.366,47.769,54.123,57.426,59.011,61.085,62.157,64.939,64.699,65.415,68.084,70.997,74.377,76.368,78.001,80.87,82.499,84.436,86.52,87.024,88.18,87.463,85.966,86.976,88.701,91.594,91.197,90.515,91.155,90.089,100,90.526,92.251,94.718,96.618,98.286
"26","19","      Light trucks (including utility vehicles) \2\","W178RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.063,47.206,48.872,52.821,56.943,57.685,57.535,59.853,59.741,62.074,64.627,64.718,65.269,64.013,62.437,63.214,64.788,67.134,65.472,63.599,63.104,60.917,100,37.08,37.633,38.665,39.655,40.406
"27","20","      Other trucks, buses, and truck trailers \2\","W179RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.376,61.357,64.084,65.289,66.942,69.395,71.983,74.406,77.626,77.958,77.622,78.721,80.396,81.312,81.146,81.992,82.788,84.874,87.939,90.843,94.211,97.158,100,102.165,104.719,107.408,108.563,110.103
"28","21","    Autos \2\","B280RG3",39.562,41.01,42.564,42.237,41.551,44.347,46.612,48.383,50.618,55.654,59.871,65.886,65.188,64.361,63.941,62.695,65.685,72.184,74.813,75.189,76.684,79.842,84.307,85.072,83.248,84.571,81.063,83.518,86.968,87.027,85.333,83.439,81.305,82.938,84.312,88.529,86.887,87.949,89.374,89.474,100,84.911,86.438,88.209,89.028,88.872
"29","22","    Aircraft","B281RG3",14.645,15.552,16.233,16.577,17.199,19.072,20.434,22.988,24.803,26.696,29.694,33.272,36.491,40.446,41.678,42.574,43.668,44.863,45.644,46.584,48.647,51.662,54.65,57.014,58.363,60.173,62.744,64.884,65.837,65.908,66.679,69.923,73.576,74.76,77.987,82.063,86.852,90.808,93.616,97.889,100,101.017,103.734,106.849,108.533,110.791
"30","23","    Ships and boats","B282RG3",16.29,17.253,18.056,18.902,20.181,22.947,25.628,27.107,29.106,31.498,34.456,37.741,41.363,46.309,47.743,49.743,51.226,53.08,54.144,55.459,57.832,60.057,61.656,62.896,65.043,66.635,67.732,69.462,71.096,72.078,72.962,74.931,76.854,78.913,82.3,85.281,87.799,90.799,94.482,96.893,100,101.728,103.789,104.826,105.223,106.851
"31","24","    Railroad equipment","B283RG3",16.411,17.492,17.88,19.408,20.497,22.858,29.758,32.755,36.14,38.86,42.337,47.172,51.696,53.757,54.978,55.346,56.109,55.835,55.543,57.517,61.383,63.315,64.651,64.799,65.243,67.392,71.412,73.19,71.971,72.278,72.344,72.7,72.545,72.581,73.836,78.643,88.978,94.46,98.741,100.552,100,99.928,102.051,103.933,106.665,107.989
"32","25","  Other equipment","B682RG3",19.51,20.305,21.12,21.726,22.478,25.158,29.508,31.716,34.262,37.093,40.454,45.266,50.199,53.548,54.757,55.81,56.899,58.617,60.41,62.991,65.412,67.866,69.757,71.143,72.48,74.188,76.117,77.669,78.668,79.329,80.135,80.855,81.788,82.51,83.581,85.484,88.761,91.384,93.932,97.875,100,100.188,102.604,104.826,105.521,106.671
"33","26","    Furniture and fixtures","B667RG3",21.213,22.119,22.933,23.49,25.01,28.549,31.482,33.025,35.844,39.269,42.426,45.295,48.551,50.948,52.455,53.943,55.886,57.841,59.647,62.958,65.352,67.798,69.19,69.897,71.007,73.317,75.479,77.178,78.378,78.734,78.972,79.603,80.65,81.379,82.535,84.764,88.956,90.67,92.627,97.498,100,99.548,102.76,105.221,105.576,107.478
"34","27","    Agricultural machinery","B268RG3",16.156,16.783,17.547,18.354,18.913,21.461,25.189,27.238,29.439,31.828,35.041,40.104,45.053,49.291,51.427,52.744,52.939,54.903,56.046,57.716,60.109,62.271,64.857,67.536,69.029,70.855,72.445,74.099,74.799,75.518,76.812,77.325,78.126,79.063,80.427,83.004,86.498,88.76,91.478,96.495,100,100.945,103.695,105.656,106.361,107.929
"35","28","    Construction machinery","B269RG3",15.383,16.142,17.061,17.729,18.357,20.523,25.527,27.696,30.932,33.792,37.212,41.719,46.271,48.878,49.763,49.961,50.604,52.365,55.434,58.597,60.709,63.485,65.222,66.812,68.475,70.113,72.166,73.664,74.937,76.219,78.082,79.123,79.727,80.489,81.84,84.279,88.055,91.447,93.684,97.116,100,100.145,103.101,107.526,109.32,110.292
"36","29","    Mining and oilfield machinery","B270RG3",13.365,13.995,14.505,14.953,15.483,17.358,22.226,24.882,27.979,30.668,33.794,39.953,46.683,50.239,48.708,48.424,48.928,49.012,48.827,51.091,52.935,55.256,57.559,58.371,59.152,60.455,62.484,64.174,66.426,67.479,68.143,69.047,71.276,72.29,73.65,76.817,82.584,88.249,92.577,99.124,100,99.93,103.295,106.296,107.097,107.757
"37","30","    Service industry machinery","B570RG3",24.263,25.13,26.014,26.3,26.738,28.883,33.283,35.485,37.884,40.329,42.919,47.586,51.778,54.513,56.088,57.51,59.052,60.447,61.611,63.646,66.245,68.732,70.726,72.254,73.677,75.084,77.212,78.778,79.994,80.619,81.498,82.065,82.89,83.785,84.536,85.951,88.907,91.296,95.255,98.239,100,100.743,103.063,104.298,104.643,105.341
"38","31","    Electrical equipment, n.e.c.","B670RG3",31.921,33.198,34.252,34.402,35.327,38.646,44.225,46.841,49.84,52.994,56.641,61.081,65.898,68.658,69.132,71.406,72.933,74.573,77.681,79.744,81.604,83.148,83.965,85.141,85.341,85.925,87.779,88.33,88.172,88.065,87.932,88.099,88.318,87.908,88.283,89.33,90.804,92.837,96.172,99.261,100,100.008,102.165,103.694,104.034,104.258
"39","32","    Other","B286RG3",25.956,26.855,27.529,27.997,28.73,31.901,35.711,37.709,38.364,40.973,44.611,50.019,55.774,59.872,61.172,62.066,62.785,64.557,66.051,68.385,71.138,73.657,75.721,76.919,78.395,79.798,81.493,82.962,83.556,84.099,84.608,85.399,86.368,86.965,87.894,89.119,91.269,93.824,95.758,98.553,100,100.014,101.107,102.147,102.519,103.526
"40","33","  Less: Sale of equipment scrap, excluding autos","B287RG3",12.692,14.824,12.249,12.788,19.356,32.85,22.379,24.563,22.933,24.812,28.467,30.804,32.946,32.662,33.571,34.479,34.313,33.869,40.433,57.274,55.784,54.547,48.411,46.349,49.163,57.565,65.437,59.022,60.211,51.22,46.99,52.309,46.882,48.465,58.935,97.133,91.032,109.877,129.325,166.989,100,159.289,189.976,166.894,155.39,159.568
"41","34","Residential equipment","B013RG3",52.924,53.952,54.828,55.008,55.343,58.765,64.412,67.692,69.871,73.256,77.454,82.491,88.444,93.896,96.232,97.003,96.419,96.92,98.295,99.269,100.174,100.914,100.481,100.396,100.93,102.845,103.168,103.716,103.588,102.984,101.337,101.074,101.121,100.486,97.669,95.024,97.532,99.748,101.083,100.946,100,94.723,92.943,94.735,91.505,87.142
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. For 1929-45, includes electrical transmission, distribution, and industrial apparatus (line 16) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","electrical equipment, n.e.c. (line 31).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Includes net purchases of used vehicles; additional detail is available in table 7.2.4B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
