"","Table 6#21C# Undistributed Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2015 6:30:25 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Undistributed corporate profits","B057RC0",88038,116807,85362,89565,110213,124357,129590,172590,208463,203743,212014,122639,159467,97310
"9","2","Domestic industries","A3402C0",56733,91717,49831,38452,58069,79300,73242,132790,148288,142164,151669,62148,78990,-19628
"10","3","  Agriculture, forestry, and fishing","A3403C0",1041,213,177,-101,-445,11,84,-700,-412,600,21,-946,243,43
"11","4","    Farms","B3404C0",289,-258,69,-208,-469,-320,11,-849,-765,70,-351,-1339,-919,-859
"12","5","    Agricultural services, forestry, and fishing","B3405C0",751,471,108,107,23,331,72,149,354,530,372,393,1162,902
"13","6","  Mining","A3406C0",-4940,-3537,-4027,-3275,-4098,-1396,-2384,-349,-262,3478,5129,-4123,-982,4372
"14","7","    Metal mining","B3407C0",-1437,-281,-825,-745,-983,-562,-760,-122,-645,-1502,-1060,-1354,-1493,-1843
"15","8","    Coal mining","B3408C0",-107,-85,-239,-202,-207,-192,-448,-91,-302,-93,-891,-623,-424,-468
"16","9","    Oil and gas extraction","B3409C0",-3452,-3287,-2959,-2225,-2956,-682,-763,-553,481,5088,6665,-1409,3166,8001
"17","10","    Nonmetallic minerals, except fuels","B3410C0",56,116,-3,-103,49,39,-413,418,204,-14,415,-737,-2231,-1318
"18","11","  Construction","B3411C0",4593,3532,1370,-1230,-1695,-3041,-115,2688,4613,6645,3641,7834,8992,11919
"19","12","  Manufacturing","A3412C0",35019,59838,35104,24993,9339,9773,12232,45594,74238,70402,84109,55034,73412,51985
"20","13","    Durable goods","A3413C0",24627,36515,25734,14298,6818,12194,16470,38055,44369,46692,60192,49593,46228,28740
"21","14","      Lumber and wood products","B3414C0",2875,2134,2043,648,-322,1354,2291,2090,2643,1117,1024,1480,1594,-732
"22","15","      Furniture and fixtures","B3415C0",797,527,121,256,491,776,960,926,898,1807,1345,1696,1819,1348
"23","16","      Stone, clay, and glass products","B3416C0",1551,534,-208,125,-748,-413,93,1512,2296,1435,3538,3680,4533,3774
"24","17","      Primary metal industries","B3417C0",1775,3844,1494,-812,-2336,-5385,-3341,-1076,3017,901,1225,1448,-2092,-1954
"25","18","      Fabricated metal products","B3418C0",3244,3655,2645,2254,1271,2108,3164,5477,5753,6205,8092,6453,5942,6062
"26","19","      Industrial machinery and equipment","B3419C0",1564,10109,11142,9255,2704,2111,-828,405,7738,9344,11288,12746,4007,11601
"27","20","      Electronic and other electric equipment","B3420C0",4731,6978,5211,3798,4934,3769,5851,11878,15314,13684,21280,12123,12157,5689
"28","21","      Motor vehicles and equipment","B3421C0",621,3202,209,-5788,-4485,1940,7849,15084,4102,5136,2283,436,4095,-7096
"29","22","      Other transportation equipment","B3422C0",6733,3608,1558,1806,2857,3333,-59,534,513,2649,4503,4931,9246,6590
"30","23","      Instruments and related products","B3423C0",798,1951,1869,3076,2871,2586,525,1141,1711,4688,5403,4012,3885,3082
"31","24","      Miscellaneous manufacturing industries","B3424C0",-62,-26,-350,-319,-420,16,-34,83,383,-273,210,587,1043,375
"32","25","    Nondurable goods","A3425C0",10392,23323,9370,10695,2521,-2421,-4238,7539,29870,23710,23917,5441,27184,23245
"33","26","      Food and kindred products","B3426C0",1556,3057,-326,2344,3332,3676,1402,3248,10691,-331,-1563,-4563,6235,5351
"34","27","      Tobacco products","B3427C0",990,2942,-757,1148,-76,29,1056,696,1265,1874,2542,1700,4953,1255
"35","28","      Textile mill products","B3428C0",1087,474,88,287,326,1538,845,901,418,546,881,779,763,-21
"36","29","      Apparel and other textile products","B3429C0",827,924,688,429,693,666,941,1156,628,609,847,406,-32,590
"37","30","      Paper and allied products","B3430C0",2981,5062,3020,1570,460,-856,-117,1274,7586,3290,586,162,2648,4039
"38","31","      Printing and publishing","B3431C0",3863,3617,2075,1712,4112,4221,4713,6319,4958,6067,7058,7968,11162,4286
"39","32","      Chemicals and allied products","B3432C0",4847,5484,3056,-516,-560,-1095,-2170,3636,6837,3824,7724,1975,4737,-2843
"40","33","      Petroleum and coal products","B3433C0",-7018,609,11,3235,-6681,-11888,-11927,-10700,-4071,5317,3419,-5260,-4526,11637
"41","34","      Rubber and miscellaneous plastics products","B3434C0",978,851,1231,198,655,1056,974,1220,1319,2435,2297,2103,1089,-1099
"42","35","      Leather and leather products","B3435C0",281,302,284,288,259,233,47,-210,239,80,127,172,154,51
"43","36","  Transportation and public utilities","A3436C0",-3086,-631,-6896,-8787,-1294,-540,5967,13908,13201,12835,5328,-1193,-25965,-35561
