"","Table 6#16C# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2015 6:28:46 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",366,414.9,414.2,417.2,451.3,475.3,522,621.9,703,786.1,865.8,804.1,830.2,781.2
"9","2","Domestic industries","A445RC1",318,357.9,347.1,341.1,374.9,402.2,445.1,543.9,610.1,684.1,758.2,701.3,708.2,635
"10","3","  Financial","A587RC1",58.6,63.4,73,78.9,107.7,116.6,105.5,113.2,132.1,141.8,165.2,143.5,161.8,154.9
"11","4","  Nonfinancial","A463RC1",259.4,294.5,274.1,262.1,267.2,285.6,339.6,430.8,477.9,542.3,593.1,557.8,546.4,480.1
"12","5","Rest of the world","B394RC1",48,57,67.1,76.1,76.5,73.1,76.9,78,92.9,102,107.6,102.8,122,146.2
"13","6","  Receipts from the rest of the world","B933RC1",58.9,71.6,75.5,80.9,75.5,78.3,88.9,104.5,127.4,139.4,155.5,146.8,177.3,203
"14","7","  Less: Payments to the rest of the world","B934RC1",10.9,14.6,8.4,4.8,-1,5.2,12,26.6,34.4,37.4,47.9,44,55.3,56.9
"15","8","    Corporate profits with inventory valuation adjustment","A052RC1",314.6,366.2,373.1,391.2,434.2,459.7,501.9,589.3,667,741.8,811,743.8,762.2,730.3
"16","9","Domestic industries","A390RC1",266.5,309.2,305.9,315.1,357.8,386.6,425,511.3,574,639.8,703.4,641.1,640.2,584.1
"17","10","  Financial","A392RC1",60.3,66.9,78.3,89.6,120.4,132.4,119.9,125.9,140.3,147.9,162.2,138.9,154.6,149.7
"18","11","    Federal Reserve banks","J397RC1",16.2,18.1,20.6,21.8,20.7,18.3,16.7,18.5,22.9,22.5,24.3,25.6,26.7,31.2
"19","12","    Other","B398RC1",44.1,48.8,57.6,67.8,99.7,114.1,103.2,107.4,117.3,125.3,137.9,113.3,127.9,118.5
"20","13","  Nonfinancial","A399RC1",206.2,242.3,227.6,225.5,237.3,254.2,305.1,385.4,433.7,492,541.2,502.1,485.6,434.4
"21","14","    Manufacturing","Q400RC1",101.8,132.8,122.3,120.9,109.3,109.8,122.9,162.6,199.8,220.4,248.5,220.4,219.4,205.9
"22","15","      Durable goods","Q406RC1",51.4,60.9,57,46.1,39.3,46.3,59,85.2,98.6,111.1,131.8,121.3,107.7,90.9
"23","16","        Primary metal industries","A407RC1",2.2,5,5.2,2.3,0.6,-2.5,-1.2,0.6,6.3,4.6,4.7,4.9,0.4,-0.7
"24","17","        Fabricated metal products","A408RC1",5.4,6.4,6.1,5.6,4.9,5.5,6.9,10.6,11.9,14.6,17,16.2,15.8,15.1
"25","18","        Industrial machinery and equipment","A409RC1",6.1,11.7,13.2,12.1,6.2,7.5,6.2,8.2,16.6,19.1,19.9,22.5,13.5,18.2
"26","19","        Electronic and other electric equipment","A410RC1",10.5,12,12.9,12,13,13.4,16.8,25.6,28.5,30.5,42.3,26.3,23.4,23.5
"27","20","        Motor vehicles and equipment","A411RC1",5.5,6.9,4.4,-1.4,-1.8,5.6,13.1,20.4,10.3,11.9,10.9,15.8,12.9,2.1
"28","21","        Other","A412RC1",21.5,19,15.2,15.5,16.4,16.8,17.2,19.8,25.1,30.4,36.9,35.6,41.7,32.8
"29","22","      Nondurable goods","Q401RC1",50.4,71.9,65.3,74.8,70,63.5,63.9,77.4,101.2,109.3,116.7,99.1,111.6,115
"30","23","        Food and kindred products","A402RC1",10.9,9.3,10.6,13.3,17.9,17.9,15.8,19.8,27.6,22.4,25,21.3,27.5,25.2
"31","24","        Chemicals and allied products","A403RC1",17.6,22.1,22,21,21.1,20.4,20.7,27.5,33.9,32.6,38.6,35.5,34.8,27.6
"32","25","        Petroleum and coal products","A404RC1",-1.4,12.9,6.7,16.6,7.5,-1.1,1.9,0.4,6.7,14.8,17,7.2,6,29.2
"33","26","        Other","A405RC1",23.3,27.6,26,23.9,23.5,26.4,25.4,29.7,33.1,39.5,36.1,35,43.3,33
"34","27","    Transportation and public utilities","Q416RC1",42,46.8,41.9,43.5,54.5,57.7,70.1,83.9,89,91.2,81,72.6,49.3,33.8
"35","28","      Transportation","A417RC1",1.2,3.9,-2.8,-5.8,-1.5,-3.2,3.1,7,8.4,8.9,9.6,9.6,2.8,5.2
"36","29","      Communications","A418RC1",22,22.3,21.4,25.7,29.1,33.5,38.3,41.4,39.5,41.2,30.7,25.5,7.7,0.6
"37","30","      Electric, gas, and sanitary services","A419RC1",18.9,20.7,23.3,23.7,26.9,27.3,28.7,35.5,41.1,41.1,40.7,37.4,38.8,28
"38","31","    Wholesale trade","A414RC1",18.9,20.4,22,19.4,22.3,25.3,26.5,31.4,28,39.9,48.1,50.6,46.8,50.4
"39","32","    Retail trade","A415RC1",23.3,19.8,20.9,20.3,26.9,28.1,39.7,46.3,43.9,52,63.4,72.3,72.5,68.9
"40","33","    Other","A420RC1",20.3,22.5,20.5,21.3,24.3,33.4,45.8,61.2,73.1,88.5,100.3,86.3,97.6,75.4
"41","34","Rest of the world","B394RC1",48,57,67.1,76.1,76.5,73.1,76.9,78,92.9,102,107.6,102.8,122,146.2
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
