"","Table 6#21D# Undistributed Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2015 6:30:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Undistributed corporate profits","B057RC0",122639,159467,97310,116766,196425,291702,384427,660412,652057,483977,264731,628478,906168,724038,823811,768705,833879
"9","2","Domestic industries","A3402C0",62148,78990,-19628,-12967,85568,157168,241713,682196,473795,271024,38547,389425,632404,457043,592773,500241,551296
"10","3","  Agriculture, forestry, fishing, and hunting","N3403C0",-2217,-1506,-1851,-2138,-2894,-1706,-1693,-787,-2703,-278,-3077,-1076,1916,-449,1985,2624,1771
"11","4","    Farms \1\","N3404C0",-1986,-1499,-1608,-1567,-2742,-1542,-1391,-664,-3131,-517,-2334,-1214,1130,-996,827,NA,NA
"12","5","    Forestry, fishing, and related activities","N3405C0",-231,-7,-243,-571,-152,-164,-302,-123,428,238,-744,138,786,547,1159,NA,NA
"13","6","  Mining","N3406C0",-890,2478,8404,8908,1629,9416,14292,29809,26233,34293,31005,5875,12357,13191,6565,18896,10100
"14","7","    Oil and gas extraction","N3407C0",272,4492,9722,8494,3587,11224,13393,23280,14493,22308,21840,7962,5175,5225,-1470,NA,NA
"15","8","    Mining, except oil and gas","N3408C0",-426,296,-795,-512,-127,-376,1022,6065,6913,5126,5618,3023,8612,7013,5543,NA,NA
"16","9","    Support activities for mining","N3409C0",-736,-2311,-523,925,-1831,-1432,-124,463,4826,6859,3546,-5110,-1430,954,2492,NA,NA
"17","10","  Utilities","N3410C0",5706,5926,1155,2762,-4677,-176,5026,9035,26484,13254,5834,2677,9801,-14612,-7509,4837,3726
"18","11","  Construction","N3411C0",7368,8205,11262,15993,9134,8267,18935,34827,31501,11818,-7464,-9123,-5053,1200,9493,15063,19323
"19","12","  Manufacturing","N3412C0",35502,45909,32983,-46883,-44730,-17719,13255,248418,84346,82339,24772,15133,133018,121421,155591,149659,132490
"20","13","    Durable goods","N3413C0",42572,35717,20348,-50362,-36739,-14667,1086,100798,52015,25665,-34309,-47556,58216,49505,86129,85228,78220
"21","14","      Wood products","N3414C0",1686,1750,-763,-9,323,1374,2865,3447,-33,-1102,-1864,-2143,384,-1,1654,NA,NA
"22","15","      Nonmetallic mineral products","N3415C0",3608,4458,3713,1976,1266,1252,3080,6159,1916,2716,-1608,-2492,-1858,-1266,1116,NA,NA
"23","16","      Primary metals","N3416C0",2371,-1133,-1035,-4963,-2621,-2646,7337,8089,10827,8962,6565,-6019,2408,7937,6428,NA,NA
"24","17","      Fabricated metal products","N3417C0",6977,6526,6630,1783,2088,-361,6639,11430,9159,8384,6978,2016,6103,7565,8849,NA,NA
"25","18","      Machinery","N3418C0",10798,5509,4315,-1873,-807,-271,5083,12232,12081,10471,7559,-4,8725,13368,11170,NA,NA
"26","19","      Computer and electronic products","N3419C0",8221,1322,11855,-28596,-21621,-14790,-5739,48296,14894,2206,-4467,5663,23425,4195,19825,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3420C0",329,1075,-4865,-8419,-12279,-8966,-12302,-9782,-4074,-9842,-11552,-6459,6201,-2547,-1282,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3421C0",1554,4927,-5094,-11437,-8241,7019,-6156,-3025,-10478,-15476,-38324,-54080,-9146,-542,18447,NA,NA
"29","22","      Other transportation equipment","N3422C0",2306,6129,2933,1436,1002,495,-861,11338,10727,15418,2686,7226,11733,11658,10394,NA,NA
"30","23","      Furniture and related products","N3423C0",1811,1927,1472,409,727,829,882,1997,2598,1417,137,-364,664,494,1162,NA,NA
"31","24","      Miscellaneous manufacturing","N3424C0",2910,3228,1187,-669,3424,1397,258,10618,4397,2512,-421,9101,9576,8644,8367,NA,NA
"32","25","    Nondurable goods","N3425C0",-7069,10192,12635,3479,-7991,-3052,12169,147620,32332,56674,59081,62688,74802,71916,69463,64431,54270
"33","26","      Food and beverage and tobacco products","N3426C0",-3558,11108,5546,7517,1391,3793,-3011,19118,6906,4589,6641,12549,15137,16292,15966,NA,NA
"34","27","      Textile mills and textile product mills","N3427C0",854,848,51,-1069,-735,-1247,-100,218,291,167,-705,16,599,419,1100,NA,NA
"35","28","      Apparel and leather and allied products","N3428C0",844,146,870,272,1911,715,1055,1699,640,183,-317,403,649,1025,96,NA,NA
"36","29","      Paper products","N3429C0",-1924,313,1475,-4915,-3364,-3167,-384,5213,4774,1026,-846,1959,3127,1138,3037,NA,NA
"37","30","      Printing and related support activities","N3430C0",2013,2127,1799,1038,1369,1267,1220,2498,2337,2550,426,598,2461,1851,2335,NA,NA
"38","31","      Petroleum and coal products","N3431C0",-8028,-8024,8432,11946,-10265,-11521,7134,27809,12898,36116,56374,14593,35041,38983,34087,NA,NA
"39","32","      Chemical products","N3432C0",-105,1778,-5197,-10532,1244,6460,3328,89921,3198,8990,-784,29006,15358,6404,4638,NA,NA
"40","33","      Plastics and rubber products","N3433C0",2833,1898,-342,-778,459,648,2927,1145,1287,3054,-1708,3564,2432,5805,8203,NA,NA
"41","34","  Wholesale trade","N3434C0",18124,24807,25817,14787,21391,27391,33184,43280,48306,46938,26584,37703,50344,39184,54228,63431,65086
"42","35","    Durable goods","N3435C0",11034,15260,14905,5698,11006,12053,21510,33870,30359,25907,14527,12144,26623,25128,30260,NA,NA
"43","36","    Nondurable goods","N3436C0",7090,9547,10912,9089,10385,15338,11674,9410,17947,21031,12057,25559,23721,14056,23968,NA,NA
"44","37","  Retail trade","N3437C0",26838,22093,16532,31403,39167,41189,44737,66713,65506,57119,31607,55231,60315,56325,74584,72232,61782
"45","38","  Transportation and warehousing","N3438C0",2375,-2204,621,-9075,-12278,-4671,-619,11394,19687,3163,7090,7357,26603,10002,25130,25874,35829
"46","39","    Air transportation","N3439C0",2195,993,-1337,-12026,-15814,-8474,-9129,-6851,1722,-2136,-3309,494,10012,5546,6155,NA,NA
"47","40","    Rail transportation","N3440C0",-417,-1153,1207,130,768,309,1054,3955,5996,4505,3838,2041,3831,1679,3803,NA,NA
"48","41","    Water transportation","N3441C0",-259,-566,-56,-145,-233,-139,-264,699,484,-738,202,-632,-161,-791,-663,NA,NA
"49","42","    Truck transportation","N3442C0",1056,316,1104,1004,168,1962,4261,6408,4800,1074,2753,864,5822,1890,7044,NA,NA
