"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:32:20 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Current receipts","W023RC1",13.2,14,14.7,14.9,15.5,16.2,16.6,17.1,17.6,17.8,18.6,18.7,19.1,19.5,20.2,20.4,21.6,21.5,21.7,22.4,22.7,23.2,23.8,24.4,24.4,25.6,25.6,25.7,26.2,26.5,26.9,27.4,28.1,28.8,29.6,30.2,31.1,31.8,32.6,33.2,34.2,34.5,35.1,35.3,35.5,36.3,36.9,38.7,38.9,39.9,41,41.9,43,44,44.5,45.2,46.1,47.3,48.3,49.3,50.3,51,52.2,52.8,53.6,54.8,56.3,57.4,59.2,60.2,61.1,62.2,63.3,65.1,66.6,68.1,71,73.3,75.3,76.8,78.3,79.8,82.4,85.9,88.2,91.9,93.6,96.2,99,102.2,106.4,109.7
"10","2","Current tax receipts","W070RC1",11.5,11.8,12.2,12.7,13.2,13.6,13.9,14.1,14.6,14.8,15.2,15.4,15.8,16.1,16.9,17.1,17.9,17.8,18.1,18.6,19,19.4,19.8,20.4,20.7,21,21.4,21.4,21.7,22,22.4,22.8,23.6,24,24.7,25.3,26.1,26.8,27.3,27.8,28.5,28.9,29.3,29.3,29.7,30.1,30.8,31.7,32.7,33.2,34.4,35.1,36,36.7,37.3,37.9,38.4,39.2,40.1,41,41.8,42.4,43.1,43.8,44.4,45.2,46.3,47.1,48.3,49.2,50.5,51.1,52.2,53.2,54.4,55.7,56.9,58,59.5,60.6,61.6,62.5,64.8,67,70.2,72.3,74.6,76.5,79,81.1,83.9,85.9
"11","3","  Personal current taxes","W071RC1",1,1,1,1,1.1,1.1,1.1,1.1,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.4,2.4,2.4,2.4,2.7,2.7,2.7,2.7,2.9,2.9,2.9,2.9,3,3,3.1,3.1,3.6,3.7,4,4,4.2,4.2,4.3,4.3,4.3,4.5,4.6,4.7,4.9,5,5.1,5.2,5.3,5.3,5.5,5.6,5.8,6,6.2,6.4,6.5,6.5,6.6,6.8,7.1,7.6,8,8.4,8.3,8.3,8.7,9,9.7,10.3,10.8,11.4,11.9,12.3,13.4,13.7
"12","4","    Income taxes","B245RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,1.8,1.8,2,2.1,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.7,2.9,3,3.1,3.1,3.2,3.3,3.3,3.3,3.5,3.6,3.7,4,4.1,4.2,4.3,4.4,4.4,4.5,4.8,5.2,5.6,6,5.9,5.9,6.2,6.5,7.1,7.6,8.1,8.5,8.9,9.3,10.3,10.5
