"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"29","21","    Nondurable","A340RC1",13.5,16.9,16.7,17.1,17.7,17.7,18.1,18.9,18.3,20.2,22.2,19,23.1,22.2,24.2,25.2,27.5,29.6,30.9,36.1,44.4,56.5,57,58.9,53.2,49.2,53.9,57.2,61.2,65.7,70,74.3,84.7,85.1,82.6,81.4,87.7,86.6,88.6,90.6,96.6,104.3,117.1,131.4,145.2,138.8,126.7,135.8,151,145.5,135,135.6,127.7,116.7,131.8,125.5,109.7,123.4,136.2,132.1,140.9,145.9,143,145.7,129.7,142.3,136,148.6,136.2,126,129.4,133.2,139.2,147.5,158,157.6,157.2,156.1,157.3,158.7,169.5,175.8,172.8,179.9,201.3,180.3,189.4,203.1,187.1,182.7,182.2,188.8,188.8,195.6,202.9,205.6,205.5,209.9,204.7,205.4,207.7,217.2,233.5,232.6,244.4,249.6,247.3,245.5,259.5,268.7,275.3,292.7,298.1,289.6,297.9,303,295.9,293.5,291.3,291.5,302,321.3,348.3,369.8,404.1,414,440.5,455.7,456.6,428.3,407.4,383.7,380.2,421.1,437.2,462,495.1,483.3,488,493.1,535.6,561.9,577.6,625,641.8,663.2,704.4,765.3,750,777.8,802.6,743.5,775,810.2,825.5,899.3,971.1,1045.3,1084.4,844.9,658.8,651.4,710,765.9,822.7,834.2,842.9,871.8,965.1,1033,1008.9,1017.2,1003.4,989.8,959.3,956.7,953.3,942.4,940.2,930.3,964.6,950.4,932.1,906.5,819.3,814.2,795.3
"30","22","  Services \1\","B656RC1",13,13.6,13.8,14.3,14.2,15.1,15.3,15.1,15.3,15.9,15.8,16.2,17.1,17.3,16.8,17.9,18.9,19.4,19,19.9,21.5,23,23,24.3,24,23,23.3,24.7,25.4,25.8,26.9,27.9,28.8,29.9,29.7,30.8,32.9,33.7,35.7,37.1,37.6,39,40.5,42.4,44.7,44.1,45.1,47.2,49.5,50.2,49.4,50.6,51.9,53.3,52.1,53.4,52.7,55.2,57.5,58.4,65.5,68.6,69.7,71.3,71.9,74.1,73.6,76,81.7,78.9,84.7,86.2,88.1,93.3,94.5,99.8,101.2,100.4,101.7,104.1,104.2,104.7,107,109.1,116.4,119,123.8,127.5,123.4,122.9,121.2,123.8,122.4,121.1,124,124,123.4,126.1,127.1,132.1,134.6,135.5,138.1,138.2,141.4,144.1,146.1,148.8,152.2,154.4,159.3,160.2,165.8,167.7,172.5,174.5,177.4,182.7,187.4,192.2,191.6,193.6,200.2,204.2,212.6,219.9,229.6,222.5,223.2,224.3,219.3,208,225,225.8,227.9,239.9,238,235.1,254.4,263.5,277.9,286.9,290.9,300.8,303,307,313.2,319.7,338.5,344.8,344.2,363,366.5,376.2,384.5,390.4,406.1,415,423.5,417.9,389,385.7,393,403.8,403.4,408.6,420.7,428,423.3,443.5,451.7,448,452.9,458,459.9,461.3,461.4,468.2,470.5,479,473.3,483.3,482.5,494.6,497.2,499.5,504.9
"31","23","Income payments","A655RC1",4.8,5.4,6.1,6.4,6.6,6.5,6.4,6.2,5.9,6.1,6.7,7,7,7.6,7.8,8.5,9.6,10.8,11.4,11.9,12.6,13.9,15.2,15.5,15.5,14.9,15.1,14.6,15.6,15.6,15.4,15.4,15,16.2,17.2,19.2,20.4,23.8,25.3,29.1,31.9,34.7,37.3,41.6,45.6,43.8,40.5,49.8,54.3,59.7,63.2,59.1,62.3,66.3,66.4,62.9,59.8,62.1,67.4,70,77.8,85.7,89.9,88.9,86.9,86.7,87.5,88.1,94.3,96.6,91,95.5,98,103.2,108.1,113.8,120.5,123.7,133.3,140.4,149,158.1,154.4,150.1,154.2,152.9,157.6,151.9,147.3,139.4,136.4,123.9,122.1,125,119.7,117.1,113.9,122.9,120.4,137.2,137.1,152.4,168.8,184.4,190.6,198.3,210.2,205.2,202.4,209.3,219,227.8,246.2,251.5,262.3,263.8,263.7,269.9,271.7,268.8,273.1,283.6,306,314.4,332.6,352.3,350.3,347.5,320.9,288.3,283.4,201.5,248.5,281.4,283.4,255.5,284,281.6,293.5,296.9,312.2,353.4,364.5,419.2,435.7,462.4,482.8,552,586.5,649.2,687.6,703.3,734.4,778.5,763.6,723.8,725.8,715.1,674.1,624.6,507.5,497.9,475.4,510.6,493,506.7,520.8,535.7,537,560.1,555.8,531.1,558.5,555,567.8,574.4,584.1,578.6,569.3,571.2,581.2,593.3,597.8,592.3,589.5,614.7,NA
"32","24","  Wage and salary payments","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.7,2.6,2.7,2.6,2.5,2.2,2.1,1.9,1.9,1.7,1.9,2.1,2.2,2.3,2.6,3.3,3.4,3.5,3.8,3.6,3.9,4.1,4.5,4.7,4.8,4.7,4.9,4.8,5.1,5.1,5.5,5.8,6,6,6.1,6.2,6.3,6.3,6.4,6,6.2,6.3,6.6,6.4,6.6,6.7,6.9,6.8,6.8,7.1,7.3,11.2,11.5,11.4,11.6,10.8,11,10.9,11.1,11.6,11.6,11.8,11.9,12.2,12.5,12.1,12.6,12.9,12.7,12.9,13.1,13.5,14.1,13.8,14.4,15.6,15.9,16.1,16.1,16.2,16.5,16.3,16.7,15.4,16.1,15.5,15.9,17.9,16.8,16.7,16.9,15.3,14.6,14.1,13.7,13.4,14,14.4,14.1,13.7,14.1,14.3,14.6,14.5,15.3,15.3,14.8,15.4,16,16,15.9,15.8,16.4,16.5,16.7,16.6,17.1,NA
"33","25","  Income payments on assets","W161RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.5,93.9,88.5,92.8,95.4,100.7,106,111.7,118.6,121.7,131.6,138.5,147,155.9,152.1,147.5,151,149.5,154.1,148.1,143.7,135.5,132.3,119.4,117.3,120.3,115,112.2,109.1,117.8,115.3,131.7,131.4,146.4,162.8,178.4,184.4,192,204,198.8,196.3,203.1,212.7,221.2,239.8,244.9,255.5,256.9,256.9,263.1,264.7,261.5,261.9,272.1,294.6,302.8,321.8,341.3,339.4,336.4,309.2,276.7,271.6,189.6,236.3,268.8,271.3,242.9,271.1,268.9,280.6,283.8,298.6,339.3,350.6,404.7,420.1,446.5,466.7,535.9,570.3,632.7,671.3,686.6,719,762.5,748.1,707.8,708,698.3,657.5,607.7,492.2,483.3,461.3,496.8,479.7,492.7,506.4,521.6,523.2,546,541.5,516.5,544.1,539.8,552.6,559.6,568.7,562.6,553.3,555.3,565.4,576.9,581.4,575.6,572.9,597.6,NA
"34","26","    Interest","B1869C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,82.7,80.5,83.6,83.7,90.1,93,103.3,103.2,106.4,117.4,125,136.6,144.1,143,145.2,143.9,143.1,146.3,150.1,145.5,135.1,130.8,123.5,117.4,112.5,108,106.1,105.7,103.3,104.6,112.2,111.1,123.5,133.2,144.8,151.9,159.5,164.6,165.6,162.2,166,173,182.5,189.9,198.5,204.3,212.7,215.1,216.4,221.1,217.4,215.1,217.5,229.9,247.8,255.4,276,287.6,292.4,278.1,261.4,242.1,214,203.4,212.5,210.7,206.8,190.8,191.6,193.6,194.6,197.1,213.4,233.2,257,281,305.2,335.4,369.2,406.7,451.9,481.1,510.7,540.3,586.7,595.7,586.5,526.6,498,496.1,449.5,381.5,343.7,324.7,320.2,311.6,310.3,306.8,314,304.2,310.2,313.9,309.2,309.9,307.6,308.1,310.7,311.9,307.2,302,303.1,299.9,298.1,304.9,308.2,316.5,327.8,NA
"35","27","    Dividends","B3376C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,9,10.2,11.4,10.2,11.1,10.3,13.3,10.9,17,13.2,11.8,23.3,13,14.5,14.4,18.8,17.4,16.8,21.7,17.7,17.8,14.7,18.3,16.1,16.8,15.4,18.2,22,20,16,17.5,24.3,19.5,18,24.1,23.2,23.6,30.9,25.4,26.7,26,29.6,32.4,27.7,31.6,30.8,41,35.5,36.8,42.9,48.7,66.2,54.6,41.4,41.7,49.1,62.7,62.4,53.5,47.2,31.4,54.9,52.7,43.2,42.6,38.2,55.1,40,108,59.4,68.3,81,65,47,100.3,95.4,68.4,125.8,120.3,72.7,75.2,97.5,187.1,82.5,110.8,108.7,132.2,121.2,115.4,116.9,189.9,154.4,130.6,91.7,99.4,130.5,112.2,120.3,143.3,134.3,141,147.5,151.9,151.1,147.5,150.6,160,169.6,145.8,191.7,169,191.5,167.6,172.4,160.3,203.1,194.6,NA
"36","28","    Reinvested earnings on foreign direct investment in the United States","B3476C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,2.2,-2.2,-2.2,1.5,-0.5,2.6,-4.8,4.4,-1.6,0.9,1.7,-12.9,-1.2,-5.4,-12.1,-11.8,-10.9,-9,-23.7,-19.5,-17.4,-13.1,-22.3,-16.1,-9,-8.4,-12.1,-18.6,-5.5,-5.4,2,-4.1,3.3,11.6,9.4,9.3,8.9,8.5,7.8,7.4,11,10.2,6.2,22.2,14.8,20.4,3.1,6.3,9.9,0.7,-4.7,-19.3,0,23.4,13.3,17.3,2.6,-10.6,-9.5,-16,-16.1,-25.4,-77.1,-10.2,13.8,22.5,-18.9,40.2,-30.7,27.6,20.9,20.5,60.9,70.5,47.4,43.7,72.9,5.5,46.5,91,105.5,92.7,-11.2,96.3,64.9,43.7,-10.9,60.2,84.9,44.4,-31.7,-43.7,9,44.9,77.2,37.6,70.2,79.3,64.4,84.7,94.9,80.1,55.3,83.1,84.7,93.8,88.9,87.1,109.6,59.6,83.1,74,111.2,104.1,107.1,53.3,75.2,NA
"37","29","Current taxes and transfer payments to the rest of the world \2\","A123RC1",4.9,6.8,5.5,6.6,5.9,6.8,6.9,6.8,7.5,7.7,7.5,8.9,9.7,8.6,9.9,8.7,7.1,8.7,7.8,7.9,6.9,11,8,9,10,11.8,6.7,8.1,7.2,7.2,10.6,7.4,7.7,8.5,8.2,8.1,8.4,9,8.5,9.5,9.3,10,10.6,12.3,12.9,10.8,11.7,15.1,15.5,16.3,18.1,18.3,19.1,19.1,19.4,21.8,17.4,18.9,20.6,25.1,20.6,21.2,23.9,28.9,23.8,24.6,26.9,27.3,24.5,28.5,29.4,28.7,24.1,25.5,26.3,31.3,27.9,26.1,27.4,34.6,28.1,27.1,30.9,35.5,31,35.7,34.6,25.7,-54.3,-9.4,17.1,27,34,38.7,43.4,51.6,38.8,42,45.2,55.4,39.7,41.5,46.1,57,43.7,42.5,44.2,45.8,51.4,44.6,45.2,56.9,46.2,47.4,49,63.1,55,56.2,59.5,69.4,88.4,91.2,92.2,103.2,94.4,99.2,105.3,124.1,110.5,113.7,118.2,124.4,133.5,122.7,126.2,134.3,141.3,144.5,146.2,147.7,166.1,155.2,154.9,168.8,185.1,167.8,176.7,185,165.8,175.7,179.7,176.9,205.3,186.9,199.2,213.3,235.4,229.4,227.4,236,224.3,239,236.1,224.5,239.5,230.6,236.9,238.8,255.4,255.8,249.8,252.6,251.6,253.8,256.3,255.5,262.1,267.2,275.7,272.8,272.4,276.9,280.7,287.5,289.4,283.1,295.3
"38","30","  From persons","LA0000021",1,1.2,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.2,1.2,1.3,2.5,1.4,1.4,1.4,1.3,1.3,1.2,1.5,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.6,1.6,1.8,1.5,1.5,1.7,2.1,1.9,1.9,2,2.1,5.2,5.4,5.7,6,6.4,6.8,6.9,6.9,6.4,6.9,7.3,7.4,7.6,7.9,7.8,8.2,8.4,8.2,8.5,8.2,8.9,8.9,9.2,9.7,9.5,10,10.4,10.3,10.7,10.7,10.5,11.2,11.1,11.4,11.4,12.2,12.1,11.8,12.5,12.5,13.8,13.8,14.1,14.7,11.5,12.6,19.3,14.5,16.3,16.7,17.3,18,18.5,18.9,19.1,19.3,18.9,18.9,20.2,23,21.4,22.7,22.9,23.5,25.1,25.1,25.6,26.8,26.9,28.7,30.4,32.7,58,60.1,61.1,61.5,61,62.6,64.5,67,70.6,72.4,75,74.9,79.8,82,85.8,89.4,88.9,91.7,92.6,93.8,90.5,87.6,87.3,89.8,94,93.2,93.7,94.8,99.7,99.9,99.3,99.1,102.1,105.3,113.2,125.9,135.7,135,137.7,140.3,137.9,143.7,138,139,146,145.3,147.3,151.4,175.6,161.7,160.3,160.4,155.5,156.2,158.7,163.2,174.8,173.5,173.6,176.3,176.5,176.9,176.8,181.5,177.5,178.4,179.2
"39","31","  From government","B088RC1",3.6,5.3,4,5.1,4.3,5.1,5.2,5.2,5.8,6,5.7,7,7.9,6.8,8.1,6.6,5.2,6.8,6,4.5,4.7,8.9,5.9,6,7.9,10,4.5,5.8,4.5,5.1,8.5,4.6,4.9,5.7,5.7,5,5.8,5.9,5.9,6,6.2,6.7,6.8,7.6,8.6,6.6,7.5,10.3,7.5,7.7,9.1,8.8,9.7,8.6,9.1,11.3,7.8,8.7,10,13.9,9.4,9.8,12.7,17.1,12.6,13.6,15.3,16.2,12.1,16.7,17.2,15.7,11.8,12.2,12.2,17.5,12.5,10.7,12.8,18.9,12.5,11.4,14.9,18.1,14.7,19,16.8,8.3,-72.9,-28.3,-2,7.2,17.3,20.6,18.5,31.7,17.3,20,22.5,31.9,15.6,17.3,21.1,30.7,16.1,15,15.4,15.7,23.3,15.2,15.5,26,13.6,13.7,14.1,25.5,14.5,13.6,15.8,25.7,23.4,25.5,24.8,35.3,25.4,26.8,29.5,42.4,25.1,25.3,27.5,32.9,41.4,29,28.6,33,40,40.5,38.7,35.6,48.7,37.5,38.2,41.3,56.3,42.7,49.8,59.5,42.5,49.4,51.5,46.3,63.8,45,50.8,62.8,64.1,60,57.5,60.5,59.9,73.1,78.4,63.3,73.9,64.8,69.5,71.8,72.1,81.6,72.2,72.9,74.6,73.2,74.6,70.8,71.2,72.6,76.6,70.4,72.5,70.3,71.6,72.8,78.2,67.3,76.4
"40","32","  From business","W164RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.7,0.6,0.5,0.9,0.9,0.7,0.7,1.6,0.7,0.6,0.7,1,1.3,0.8,0.8,1.4,1.4,1.3,1.1,1.7,1.2,1.4,1.1,1.7,1.6,1.8,2.1,2.5,2.3,2.3,2.2,2.7,2.8,3.2,3.3,3.5,3,3.7,3.4,3.5,3.2,3.4,3.3,3.8,3.6,3.5,3.4,3.5,2.8,2.9,3,2.9,3.4,2.9,3.1,3.3,2.8,3.3,3.7,3.5,4.6,4.7,4.1,4.5,4.5,4.3,4.6,5.2,4.3,4.9,5.2,4.9,4.9,5.1,5,5.1,5.2,5.5,5.6,5.4,5.3,5.3,5.4,5.5,5.7,5.3,6,7,8.7,8.6,8.6,7.1,6.7,6.8,6.7,7.3,7.6,8.6,9.4,10.8,13.6,13.9,13.4,11,7,5.6,6.3,6.4,8,9.8,11.4,14.6,14.8,15.9,15.6,16.6,12.4,11.7,11.8,11.9,12.4,12.4,14.8,18.4,26.9,30.1,29.5,37.7,34.8,31.9,33.2,30.7,23.6,26.4,29,31.6,39.4,36.6,35.2,24.6,35.6,34.4,32.2,35.2,26.5,22.2,19.7,22.2,19.6,20.4,20.1,15.6,7.6,12.6,17.3,19.3,21.5,24.4,23,21.5,16.1,21.1,25.6,26.1,23.3,29.7,32.3,33.2,33.8,37.5,39.6
"41","33","    Balance on current account, NIPAs","A124RC1",1.6,0.6,1.5,2.7,3.8,5.2,3.5,2.4,4.3,0.1,-0.3,-2.8,-5,-4.8,-3.6,-2.8,2.2,5.4,12.5,15.4,16.5,2.7,0.3,4.4,17.9,21.5,18.4,21.6,13.2,9,2.4,3.8,-8,-8.8,-7.9,-18.9,-25,-12.9,-11.4,-1.3,-1.8,-2.7,2.4,-2.6,-10.7,9.8,28.2,6.7,1.7,0.2,7.1,4.6,0.7,17.4,-14,-17.3,-7.9,-27.6,-47.9,-56.8,-78.5,-87.9,-90.4,-103.4,-89.4,-111.4,-121.3,-135.2,-128.3,-141.9,-150.2,-150.3,-150.9,-154.4,-154,-157,-126.9,-110,-106.5,-119.6,-106.7,-93.6,-81.7,-87.5,-90,-72.9,-82.4,-54.3,46.6,14.8,-13,-16.8,-21.8,-39.4,-52.7,-68.4,-56.5,-73.7,-76.5,-107.4,-92.1,-108.3,-120.8,-137.6,-118.4,-118.6,-99,-84.2,-102,-108.4,-132.6,-113.4,-131.1,-101.1,-122,-162.9,-164,-195.2,-223.8,-235,-240.9,-273.4,-306.3,-325.8,-376.1,-386,-423.6,-429.2,-419,-379.7,-412.6,-343.9,-406.5,-451.4,-452.7,-492.5,-532.8,-513.8,-514.2,-501.9,-540.1,-617.5,-635.4,-715.1,-677.6,-705.2,-735.5,-832.4,-787.3,-813,-858.7,-749.6,-799.2,-757.8,-685.5,-630,-732,-717.7,-708.4,-608.4,-392.7,-360.9,-372.9,-401.1,-435.3,-449.9,-474.6,-423.9,-487,-505.1,-460.7,-473.2,-512,-495.6,-436.2,-428.9,-441.3,-422,-392.2,-327.6,-402.7,-373.8,-392.7,-435.3,-474.7,-425.6,NA
"42",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","34","  Net lending or net borrowing (-), NIPAs","W162RC1",1.6,0.6,1.4,2.7,3.8,5.2,3.5,2.4,4.3,0.1,-0.4,-2.8,-5.1,-4.8,-3.6,-2.8,2.2,5.4,12.4,15.3,16.5,2.6,0.3,4.4,17.8,21.4,18.3,21.6,13.1,8.9,2.4,3.8,-8.1,-8.9,-7.9,-19,-25.1,-12.9,-11.5,-1.4,-1.9,-2.8,2.3,-2.7,-10.8,9.7,28,6.6,1.5,0.1,7,4.5,0.5,17.3,-14.1,-17.4,-8,-27.7,-48,-56.9,-78.6,-88,-90.5,-103.5,-89.5,-111.5,-121.4,-135.3,-128.4,-142,-150.3,-150.4,-151.1,-154.5,-154.2,-157.2,-127,-110.1,-106.6,-119.7,-106.8,-93.7,-81.8,-88.5,-90.9,-73,-82.5,-82.7,42.1,14.2,-29,-17,-22,-39.8,-46.8,-68.6,-59.2,-73.9,-77,-107.6,-92.2,-111.9,-121.9,-137.9,-118.6,-118.3,-101,-84,-102.2,-108.6,-132.8,-113.6,-131.4,-101.7,-122.7,-163.3,-164.3,-195.4,-224.1,-235.2,-241.2,-273.7,-306.6,-342.9,-376.5,-386.4,-424,-429.4,-419.2,-379.9,-360,-344.2,-406.9,-451.7,-453.3,-493.1,-533.4,-519.2,-516.5,-502.2,-540.6,-617.7,-623,-715.6,-686.5,-705.8,-674.3,-832.7,-792.5,-815.2,-859,-750.2,-799.5,-756.3,-686,-630.3,-732.3,-718.2,-684.6,-609.8,-393.1,-361.4,-373.5,-401.9,-435.8,-450.4,-475.8,-424.4,-487.6,-509,-462.3,-473.6,-512.6,-496.9,-438.4,-398.7,-441.9,-423.3,-393.2,-328.1,-403.3,-374.2,-393.1,-435.7,-475.1,-426.1,NA
"44","35","    Balance on current account, NIPAs","A124RC1",1.6,0.6,1.5,2.7,3.8,5.2,3.5,2.4,4.3,0.1,-0.3,-2.8,-5,-4.8,-3.6,-2.8,2.2,5.4,12.5,15.4,16.5,2.7,0.3,4.4,17.9,21.5,18.4,21.6,13.2,9,2.4,3.8,-8,-8.8,-7.9,-18.9,-25,-12.9,-11.4,-1.3,-1.8,-2.7,2.4,-2.6,-10.7,9.8,28.2,6.7,1.7,0.2,7.1,4.6,0.7,17.4,-14,-17.3,-7.9,-27.6,-47.9,-56.8,-78.5,-87.9,-90.4,-103.4,-89.4,-111.4,-121.3,-135.2,-128.3,-141.9,-150.2,-150.3,-150.9,-154.4,-154,-157,-126.9,-110,-106.5,-119.6,-106.7,-93.6,-81.7,-87.5,-90,-72.9,-82.4,-54.3,46.6,14.8,-13,-16.8,-21.8,-39.4,-52.7,-68.4,-56.5,-73.7,-76.5,-107.4,-92.1,-108.3,-120.8,-137.6,-118.4,-118.6,-99,-84.2,-102,-108.4,-132.6,-113.4,-131.1,-101.1,-122,-162.9,-164,-195.2,-223.8,-235,-240.9,-273.4,-306.3,-325.8,-376.1,-386,-423.6,-429.2,-419,-379.7,-412.6,-343.9,-406.5,-451.4,-452.7,-492.5,-532.8,-513.8,-514.2,-501.9,-540.1,-617.5,-635.4,-715.1,-677.6,-705.2,-735.5,-832.4,-787.3,-813,-858.7,-749.6,-799.2,-757.8,-685.5,-630,-732,-717.7,-708.4,-608.4,-392.7,-360.9,-372.9,-401.1,-435.3,-449.9,-474.6,-423.9,-487,-505.1,-460.7,-473.2,-512,-495.6,-436.2,-428.9,-441.3,-422,-392.2,-327.6,-402.7,-373.8,-392.7,-435.3,-474.7,-425.6,NA
"45","36","    Less: Capital account transactions (net) \3\","W167RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.8,0.2,0.2,28.4,4.4,0.6,16,0.2,0.2,0.4,-5.9,0.2,2.6,0.2,0.4,0.2,0.2,3.6,1.1,0.2,0.2,-0.3,2,-0.3,0.2,0.2,0.2,0.2,0.3,0.6,0.7,0.4,0.2,0.2,0.3,0.2,0.3,0.3,0.3,17,0.4,0.4,0.4,0.2,0.2,0.2,-52.5,0.3,0.4,0.4,0.6,0.6,0.6,5.4,2.3,0.2,0.5,0.2,-12.4,0.5,8.9,0.6,-61.2,0.3,5.2,2.2,0.3,0.6,0.3,-1.5,0.5,0.4,0.4,0.4,-23.8,1.3,0.4,0.5,0.6,0.7,0.5,0.6,1.1,0.5,0.6,3.9,1.6,0.4,0.6,1.4,2.3,-30.3,0.6,1.3,1,0.4,0.6,0.4,0.4,0.4,0.4,0.5,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
