"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","  Industrial supplies and materials","B639RA3",21.46,24.028,21.722,23.138,28.466,29.293,25.625,27.676,27.909,30.843,35.318,40.085,37.387,36.255,34.496,36.26,36.469,38.097,39.047,44.022,48.954,51.841,55.363,56.398,54.9,57.751,62.3,65.46,71.166,70.384,72.597,79.021,75.817,76.186,78.333,83.584,85.654,91.993,96.911,107.528,100,115.61,123.158,125.461,130.483,134.931
"12","5","    Durable goods","B686RA3",27.133,30.861,23.246,24.684,33.506,32.035,26.769,28.406,27.413,33.125,38.879,46.19,37.359,32.634,32.324,32.751,32.493,33.545,36.545,44.522,50.284,54.191,56.807,55.479,53.352,56.536,63.723,67.547,73.741,74.978,77.47,88.654,80.892,75.624,77.573,84.076,90.396,99.055,104.603,115.623,100,117.017,121.16,121.177,121.954,127.239
"13","6","    Nondurable goods","B687RA3",19.014,21.063,21.218,22.637,26.376,28.282,25.326,27.591,28.398,30.061,33.98,37.601,37.747,38.285,35.832,38.237,38.668,40.591,40.498,43.974,48.502,50.879,54.883,57.196,56.061,58.725,61.837,64.656,70.126,68.243,70.314,74.313,73.39,76.659,78.911,83.541,83.486,88.679,93.293,103.716,100,114.937,124.002,127.288,134.12,138.213
"14","7","      Petroleum and products","IB0000063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.511,27.076,25.3,25.452,31.672,34.835,40.156,41.475,39.835,35.835,39.365,40.14,42.836,39.822,53.609,47.627,44.558,49.877,54.02,59.781,59.274,65.234,70.129,91.192,100,115.101,132.694,141.452,157.951,170.333
"15","8","      Nondurable goods, excluding petroleum and products","IB0000053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.117,47.028,47.276,51.724,56.357,58.756,62.786,65.509,64.376,68.639,71.97,75.455,81.997,80.194,79.958,86.995,86.733,89.574,91.419,95.945,96.059,100.985,105.485,110.04,100,114.859,119.488,119.607,120.743,120.034
"16","9","  Capital goods, except automotive","B640RA3",3.917,4.384,4.577,5.011,6.364,7.945,8.068,7.959,7.83,8.937,10.733,12.526,12.575,11.12,10.722,11.877,13.052,14.24,16.444,20.908,24.25,28.054,30.703,33.627,35.832,41.345,49.266,57.099,69.993,72.968,77.005,88.593,79.796,72.868,74.594,83.512,91.13,102.004,110.292,116.901,100,113.699,124.452,131.831,132.856,136.274
"17","10","    Civilian aircraft, engines, and parts","B688RA3",12.084,13.844,16.632,14.278,18.908,24.844,22.026,19.664,15.425,37.52,49.361,58.641,52.907,35.05,36.869,32.718,42.529,47.79,51.732,64.969,78.868,89.443,93.881,93.785,79.326,73.952,59.373,67.288,87.389,111.711,108.013,93.468,96.746,90.232,80.866,77.029,89.474,99.195,107.446,103.882,100,93.73,101.002,115.351,126.018,131.516
"18","11","    Computers, peripherals, and parts","B850RA3",0.019,0.034,0.04,0.049,0.07,0.114,0.126,0.168,0.246,0.382,0.59,1.003,1.243,1.386,2.022,3.228,4.001,4.98,7.013,9.566,10.54,12.739,14.901,17.996,21.047,26.19,34.995,45.968,60.329,62.928,71.661,89.579,79.202,68.442,72.587,78.966,91.04,99.611,103.129,108.486,100,119.254,139.243,140.489,140.764,144.457
"19","12","    Other","B689RA3",6.958,7.457,7.533,8.427,10.532,12.746,13.061,12.718,12.333,12.325,14.055,15.497,15.484,13.997,12.244,12.971,13.277,13.817,15.272,19.042,22.128,25.455,27.763,30.609,34.189,40.832,50.984,57.545,68.644,68.244,72.425,87.073,76.449,70.235,73.705,85.81,91.541,103.078,112.154,121.481,100,118.362,128.891,135.022,133.344,136.098
"20","13","  Automotive vehicles, engines, and parts","B641RA3",24.497,23.931,27.127,30.443,35.746,39.869,41.979,43.89,44.213,45.39,45.676,38.467,38.026,31.161,32.239,38.041,41.4,40.714,43.886,52.088,53.546,53.621,57.506,66.291,72.273,79.89,84.204,87.313,98.832,97.487,100.558,106.202,99.252,103.342,104.814,115.175,125.488,135.119,151.022,149.671,100,136.423,159.266,171.901,178.581,185.72
"21","14","  Consumer goods, except food and automotive","B642RA3",5.859,6.211,6.23,7.284,8.88,11.049,10.181,11.482,12.421,14.342,15.078,18.273,17.516,15.767,14.42,14.346,13.923,15.4,18.115,23.142,29.671,34.812,36.07,38.853,40.819,44.599,47.274,50.418,55.612,57.295,58.58,64.427,63.92,61.365,65.037,73.976,81.694,90.328,100.004,108.186,100,109.278,114.242,116.607,122.704,130.862
"22","15","    Durable goods","B690RA3",6.361,6.16,5.908,7.575,9.253,12.053,10.484,12.264,12.76,15.743,15.895,19.033,16.61,13.991,11.951,11.991,11.532,13.098,15.986,21.696,30.547,35.741,35.982,38.576,41.124,44.064,46.852,49.868,55.78,57.684,59.462,65.976,65.474,62.182,64.945,75.739,86.328,97.95,112.71,121.18,100,117.497,128.664,128.719,137.955,146.933
"23","16","    Nondurable goods","B691RA3",5.405,6.154,6.385,6.911,8.409,9.979,9.729,10.599,11.886,12.866,14.131,17.364,18.489,17.757,17.246,17.04,16.657,18.034,20.557,24.832,28.773,33.868,36.26,39.256,40.606,45.287,47.851,51.138,55.593,57.05,57.825,62.992,62.479,60.696,65.342,72.36,77.106,82.662,87.153,95.041,100,101.119,100.065,104.67,107.713,115.064
"24","17","  Other \2\","B643RA3",23.892,26.836,28.464,32.09,38.94,41.532,42.19,42.953,50.837,42.602,37.539,43.859,52.413,49.28,51.055,56.735,63.501,64.757,85.17,86.766,85.821,80.145,82.212,82.276,81.071,82.947,85.851,92.736,104.55,111.942,117.247,112.368,108.124,114.966,104.18,105.205,114.736,120.348,118.082,107.263,100,100.774,84.768,87.062,90.139,103.488
"25","18","Exports of services \1\","B646RA3",12.247,13.349,14.324,14.264,14.513,15.303,16.207,16.381,17.119,19.037,20.39,21.243,23.322,22.303,22.258,24.879,25.577,29.25,31.462,35.205,39.428,43.186,45.929,48.401,50.022,53.515,57.143,60.726,63.921,65.694,64.786,67.802,64.4,66.145,67.129,75.66,78.508,84.863,96.462,101.082,100,106.77,114.921,118.388,121.602,123.012
"26","19","  Transport","Y800RA3",23.08,26.401,26.164,29.239,35.467,36.791,35.445,38.459,39.321,42.435,49.487,49.824,50.885,49,48.944,58.555,61.063,63.203,71.622,83.009,87.898,98.323,96.261,94.031,93.33,98.073,104.759,106.581,111.946,109.825,97.183,96.929,88.627,88.557,82.447,87.49,91.032,97.028,105.738,110.525,100,105.914,108.866,111.104,116.091,117.968
"27","20","  Travel (for all purposes including education)","Y801RA3",11.33,12.219,12.755,13.7,15.741,17.127,18.519,21.097,21.143,22.713,24.349,27.197,36.187,33.401,29.666,41.212,41.254,45.512,49.365,57.578,68.025,76.373,79.96,88.015,92.1,93.219,99.071,105.489,108.506,105.546,111.46,115.578,98.983,93.268,89.002,98.264,93.93,92.959,101.356,108.698,100,110.823,116.114,121.105,127.921,128.559
"28","21","  Charges for the use of intellectual property n.e.c.","B684RA3",11.096,12.173,12.564,13.12,14.367,15.93,16.405,15.598,16.354,18.104,17.412,18.006,16.961,12.081,11.938,12.233,12.757,15.062,18.226,20.946,22.83,26.261,27.108,30.825,31.308,37.706,41.73,43.771,44.011,46.802,61.765,65.387,61.196,65.6,67.653,77.529,82.968,90.06,102.38,103.572,100,107.592,120.398,119.415,121.191,121.765
"29","22","  Other business services \3\","Y802RA3",1.555,1.667,1.932,2.155,2.351,3.837,4.453,5.151,5.308,6.286,7.005,7.487,8.595,10.651,10.352,10.318,10.156,15.532,15.539,16.457,19.201,19.992,23.496,23.751,24.841,28.287,29.857,33.635,38.695,42.72,35.118,37.892,41.795,46.55,50.88,59.176,63.449,72.914,88.159,94.606,100,106.377,114.393,119.321,121.999,126.307
"30","23","  Government goods and services n.e.c.","Y803RA3",183.692,193.024,227.267,184.237,126.464,92.562,106.462,67.01,81.946,98.855,89.72,91.048,90.439,93.573,105.596,79.348,67.127,55.76,53.659,53.331,52.023,52.589,62.26,67.31,70.709,58.424,66.064,72.066,55.832,67.072,57.481,63.422,56.511,51.097,54.928,69.184,83.319,101.585,107.331,91.976,100,92.749,111.202,104.991,105.207,91.133
"31","24","  Other","B980RA3",18.636,20.484,21.131,23.207,27.724,30.682,33.634,35.073,36.864,39.419,44.124,43.67,46.183,35.03,45.744,46.556,61.153,58.371,60.051,60.901,62.295,61.902,69.78,77.165,84.318,91.171,93.987,88.895,88.051,86.403,86.582,86.421,80.221,80.234,80.753,81.243,81.668,80.861,79.389,83.534,100,93.439,107.982,129.447,111.499,100.193
"32","25","    Imports of goods and services","B021RA3",12.263,12.787,13.469,14.985,15.68,15.325,13.622,16.285,18.065,19.631,19.957,18.631,19.124,18.883,21.265,26.442,28.158,30.564,32.373,33.644,35.126,36.382,36.328,38.875,42.236,47.274,51.056,55.496,62.971,70.331,77.463,87.547,85.064,88.181,92.119,102.63,109.129,116.028,118.951,115.907,100,112.716,118.883,121.534,122.812,127.516
"33","26","Imports of goods \1\","B255RA3",10.866,11.292,12.239,13.904,14.885,14.471,12.648,15.508,17.397,18.958,19.283,17.851,18.219,17.761,20.174,25.055,26.622,29.351,30.712,31.956,33.332,34.302,34.457,37.706,41.479,47.018,51.253,56.058,64.137,71.736,80.923,91.518,88.563,91.876,96.397,107.159,114.311,121.069,123.302,118.711,100,114.869,121.496,124.013,125.215,130.575
"34","27","  Foods, feeds, and beverages","B647RA3",28.932,30.902,31.901,33.96,34.825,32.22,28.498,32.435,32.111,36.053,37.006,32.209,33.512,34.162,37.077,41.999,43.818,44.853,45.973,44.149,45.143,46.871,44.749,47.242,47.8,48.894,50.124,55.132,60.714,65.161,71.986,76.685,80.129,84.404,90.901,96.411,99.767,105.934,107.242,106.024,100,102.283,104.214,108.219,112.454,118.151
"35","28","  Industrial supplies and materials","IB0000043",32.491,33.247,36.593,41.103,45.303,43.929,40.076,48.544,55.609,56.194,55.528,46.263,44.034,38.7,41.589,47.6,46.343,52.137,52.665,55.022,55.805,56.565,55.874,60.204,65.559,73.419,75.292,80.28,85.707,94.08,100.058,105.516,104.482,105.377,109.205,121.652,126.925,128.367,124.398,117.981,100,106.162,107.585,102.971,99.38,99.958
"36","29","    Durable goods","B820RA3",42.433,42.709,46.755,51.754,52.897,51.3,40.793,47.686,53.454,59.055,55.888,45.928,48.541,39.646,49.409,62.315,61.109,65.022,61.146,60.102,57.601,57.64,54.966,60.364,66.306,79.484,82.371,88.217,94.992,109.645,115.33,123.007,115.753,121.902,123.011,147.632,157.83,172.802,156.288,143.052,100,114.905,124.26,131.01,134.352,151.222
"37","30","    Nondurable goods","IB0000073",27.73,28.84,31.905,36.331,42.71,41.415,40.051,49.149,56.724,55.45,55.678,46.579,43.096,38.634,39.748,43.971,42.693,49.199,51.464,55.389,57.732,58.826,58.896,62.979,68.325,74.056,75.535,80.363,85.439,91.129,97.572,102.306,103.511,102.468,107.343,116.159,120.082,118.037,117.174,112.284,100,103.995,103.663,96.803,91.886,89.239
"38","31","      Petroleum and products","B648RA3",23.887,25.803,29.509,36.038,51.195,49.285,48.472,58.446,70.317,66.479,67.245,54.307,47.585,40.927,40.503,42.783,40.174,49.67,51.878,57.383,62.051,62.711,62.484,65.307,71.539,76.383,74.996,81.322,84.688,90.525,97.292,100.842,103.813,101.39,108.159,115.309,117.629,115.416,112.679,108.809,100,100.485,98.592,90.458,84.163,80.267
"39","32","      Nondurable goods, excluding petroleum and products","B696RA3",21.319,21.673,23.462,25.387,24.894,24.446,22.567,29.11,29.578,31.964,31.4,29.742,33.373,33.847,38.287,46.624,48.182,50.167,52.573,54.767,54.64,56.336,56.79,62.475,67.022,73.811,78.103,81.451,88.657,94.375,100.714,107.119,105.825,106.671,108.812,120.684,127.929,126.266,130.633,122.539,100,114.243,119.472,118.004,118.802,120.887
"40","33","  Capital goods, except automotive","B650RA3",0.848,0.883,0.874,1.118,1.379,1.469,1.396,1.691,1.805,2.33,2.852,3.359,3.958,4.308,5.211,7.787,8.776,9.963,11.375,13.111,14.831,16.022,17.225,19.957,23.282,28.553,35.146,41.301,51.831,59.609,68.42,82.197,72.858,71.736,75.936,89.466,99.634,110.925,118.394,120.332,100,121.326,137.998,147.876,150.946,161.568
"41","34","    Civilian aircraft, engines, and parts","B932RA3",4.054,4.143,4.702,9.739,12.107,11.196,9.06,5.98,7.936,10.575,15.451,31.234,35.199,29.332,25.46,28.501,39.851,44.976,49.916,57.861,66.155,69.92,70.509,73.773,64.326,62.484,57.804,65.517,82.708,106.879,114.483,122.736,140.31,111.615,103.094,100.725,102.929,109.195,125.87,122.262,100,99.354,108.598,114.638,131.755,146.994
"42","35","    Computers, peripherals, and parts","B852RA3",NA,NA,NA,0.004,0.006,0.008,0.009,0.014,0.019,0.034,0.05,0.074,0.106,0.159,0.392,0.716,0.812,1.261,2.023,2.65,3.344,3.761,4.825,6.692,8.921,11.876,15.801,20.118,26.557,33.084,42.667,49.926,45.395,50.062,54.598,67.675,77.366,90.781,99.731,101.45,100,126.944,136.35,141.66,141.316,142.823
"43","36","    Other","B853RA3",1.948,1.988,1.92,2.357,2.881,3.063,2.919,3.589,3.751,4.758,5.706,6.331,7.415,8.133,9.357,13.86,15.3,16.385,17.43,19.476,21.403,22.931,23.607,26.166,30.164,36.736,44.96,51.391,63.143,69.33,76.411,94.055,79.736,77.505,82.526,97.393,108.357,118.987,124.742,127.387,100,121.966,142.194,154.14,156.391,169.434
"44","37","  Automotive vehicles, engines, and parts","B651RA3",21.423,21.906,26.721,28.953,29.875,31.73,25.182,33.368,35.347,38.25,36.986,36.643,35.462,37.956,46.46,59.694,66.886,72.407,74.299,72.433,70.591,70.685,65.913,69.299,76.154,85.389,86.869,89.814,97.072,103.347,123.08,133.137,128.778,137.922,141.509,151.445,157.13,167.813,167.806,147.909,100,140.868,154.416,177.281,184.586,197.04
"45","38","  Consumer goods, except food and automotive","B652RA3",5.978,6.427,6.764,8.244,8.46,7.614,5.904,7.617,9.198,11.3,11.386,11.471,12.56,13.128,15.801,19.946,21.772,24.124,24.904,25.272,26.449,25.978,26.425,29.177,31.597,34.235,36.928,39.763,45.547,51.685,58.048,68.35,69.458,76.143,82.95,92.217,99.742,107.762,113.972,112.592,100,112.924,118.038,117.003,120.644,125.945
"46","39","    Durable goods","B697RA3",5.501,5.867,6.31,7.819,8.27,7.805,5.893,7.092,9.535,11.607,11.544,12.168,13.234,13.509,15.946,20.086,22.303,24.158,24.125,24.398,25.718,24.357,24.582,26.972,29.289,31.974,34.25,37.214,42.21,48.849,55.654,66.817,66.239,74.054,79.862,92.496,102.526,110.976,118.636,117.2,100,116.658,121.138,122.602,129.847,136.597
"47","40","    Nondurable goods","B698RA3",6.877,7.484,7.624,9.053,8.834,7.33,5.925,8.381,8.688,10.83,11.139,10.447,11.562,12.521,15.491,19.611,20.918,23.906,25.758,26.247,27.229,27.914,28.646,31.848,34.389,36.948,40.163,42.817,49.573,55.077,60.897,70.155,73.281,78.628,86.608,92.001,96.691,104.234,108.812,107.493,100,108.876,114.661,111.015,110.967,114.801
"48","41","  Other","B653RA3",13.864,13.908,14.438,15.114,13.947,12.741,10.045,11.442,14.009,15.068,15.517,18.576,24.521,26.883,27.826,32.263,38.435,39.113,40.861,42.377,45.65,52.87,54.106,56.089,57.253,63.327,64.688,67.072,77.359,90.148,102.246,114.385,116.865,120.47,114.153,113.906,118.343,118.825,118.869,105.617,100,113.188,113.706,118.991,122.385,127.989
"49","42","Imports of services \1\","B656RA3",19.391,20.403,19.822,20.662,19.965,19.943,19.078,20.395,21.412,22.938,23.254,22.735,24.066,25.346,27.394,34.263,36.871,37.283,41.678,43.091,45.179,48.129,46.877,45.611,46.828,49.321,50.807,53.463,58.11,64.432,62.471,70.353,69.9,72.183,73.71,83.078,86.821,94.297,100.156,103.91,100,103.79,107.976,111.251,112.879,114.729
"50","43","  Transport","Y804RA3",32.269,34.972,36.629,40.266,44.374,44.524,43.156,48.293,52.32,55.376,56.893,51.28,53.112,49.012,53.96,60.655,64.158,64.576,73.321,77.771,81.364,89.504,84.586,82.811,86.41,93.741,95.724,96.977,104.807,112.745,103.765,112.379,102.886,99.325,102.112,114.44,120.193,124.018,125.955,121.054,100,106.477,109.939,113.117,119.087,119.375
"51","44","  Travel (for all purposes including education)","Y805RA3",19.462,22.455,22.431,24.262,22.888,20.547,19.822,21.084,21.723,22.439,21.891,21.864,23.833,28.272,32.024,57.88,63.859,59.424,70.335,72.359,74.631,79.733,72.411,74.676,78.393,81.253,82.127,85.4,92.817,105.024,105.162,118.655,110.291,104.965,99.916,112.868,115.166,115.339,112.91,109.905,100,104.144,104.958,116.276,120.599,128.853
"52","45","  Charges for the use of intellectual property n.e.c.","B908RA3",3.852,3.695,3.74,4.362,5.393,5.823,6.824,6.523,6.317,7.502,8.332,6.671,5.77,5.384,6.124,7.28,7.043,8.178,10.458,14.122,13.13,15.552,19.297,23.998,22.826,25.978,29.96,33.212,38.142,46.404,54.111,65.869,64.765,74.655,72.087,86.047,89.585,84.848,87.166,94.423,100,102.427,110.756,116.653,116.169,123.722
"53","46","  Other business services \3\","Y806RA3",1.001,1.05,1.159,1.194,1.337,2.687,3.037,3.65,3.822,4.468,5.06,5.165,5.787,6.534,6.058,6.772,7.56,11.014,12.621,13.461,15.747,17.085,19.068,17.757,18.824,21.262,23.4,25.661,27.496,30.671,29.267,33.818,38.061,41.612,45.371,52.692,57.558,73.69,87.563,99.122,100,103.217,110.875,112.027,113.023,112.859
"54","47","  Government goods and services n.e.c.","Y807RA3",193.21,188.277,165.302,158.485,129.314,120.85,103.112,100.116,103.463,111.862,108.557,115.886,122.569,133.627,146.262,145.189,153.338,136.64,130.544,122.067,120.391,116.851,110.05,91.99,83.574,72.235,65.741,71.15,80.277,86.068,77.739,84.9,88.387,106.232,108.627,108.314,105.307,100.404,92.766,88.379,100,103.421,96.136,87.957,78.236,73.307
"55","48","  Other","B910RA3",51.046,52.688,52.577,55.181,57.872,56.411,56.103,56.716,57.981,60.678,61.843,61.128,59.926,60.453,61.593,63.989,63.761,65.493,72.007,76.598,79.203,80.581,82.38,84.761,85.931,87.004,88.832,92.114,96.194,97.654,99.746,106.406,110.874,111.567,111.639,115.244,108.931,109.025,113.071,104.362,100,95.04,91.262,91.006,90.703,87.222
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","49","  Exports of durable goods","B332RA3",7.88,8.61,8.569,9.474,11.931,13.816,13.559,13.807,13.853,15.348,17.301,19.353,18.736,16.391,15.998,17.601,18.975,20.118,23.137,28.476,32.366,35.856,38.473,41.548,43.697,48.931,55.862,62.31,73.595,75.935,79.476,89.222,81.816,77.228,78.61,87.248,95.439,105.723,114.762,120.633,100,116.853,126.856,132.634,135.281,140.489
"58","50","  Exports of nondurable goods","B339RA3",16.615,19.002,19.093,21.259,26.058,26.035,25.423,27.951,29.112,31.971,34.415,38.862,40.054,39.042,37.327,38.499,37.487,39.124,42.076,45.929,49.383,51.607,54.485,58.091,57.73,60.403,64.314,66.626,71.198,71.071,73.188,76.732,76.265,77.69,79.289,82.182,84.672,90.263,95.031,102.728,100,110.31,113.903,116.285,121.152,127.528
"59","51","  Exports of agricultural goods \4\","B181RA3",24.806,28.918,28.872,33.179,42.094,38.597,39.164,43.852,44.914,53.175,55.533,62.512,62.461,59.66,57,56.548,49.33,49.709,52.207,57.381,59.72,60.9,60.916,68.277,66.475,68.722,76.628,74.764,76.361,76.321,76.864,82.533,85.061,82.883,84,79.566,83.546,90.581,96.932,103.328,100,110.72,109.248,110.1,111.621,119.512
"60","52","  Exports of nonagricultural goods","B182RA3",11.847,12.881,12.752,13.886,17.131,19.21,18.471,18.947,19.007,20.736,23.004,25.385,24.78,21.78,20.338,21.058,21.899,23.227,26.277,31.224,35.094,38.38,41.24,44.153,45.869,50.562,56.452,62.209,72.033,73.742,77.027,84.969,79.18,76.422,77.891,85.556,91.96,100.696,108.268,114.869,100,114.766,123.217,128.015,131.841,137.266
"61","53","  Imports of durable goods","B333RA3",6.503,6.682,7.357,8.462,9.009,9.044,7.391,9.054,10.246,11.842,12.114,12.209,13.226,13.375,16.121,21.451,23.598,25.787,26.926,28.049,29.294,30.065,30.231,33.398,37.359,43.528,48.521,53.716,62.579,70.827,81.048,93.351,87.511,91.217,95.144,108.451,117.663,128.13,131.403,126.317,100,122.537,134.022,143.586,148.493,159.032
"62","54","  Imports of nondurable goods","B340RA3",21.403,22.565,23.963,26.763,28.868,27.065,25.11,30.812,34.317,35.436,35.846,30.863,29.937,28.192,30.024,34.194,34.605,38.69,40.636,42.191,43.905,45.385,45.521,48.996,52.295,56.179,58.485,62.402,68.893,75.187,82.243,89.647,92.041,94.663,100.339,107.055,111.246,113.092,114.026,109.994,100,105.642,107.093,102.675,100.247,100.457
"63","55","  Imports of nonpetroleum goods","B187RA3",8.439,8.744,9.436,10.652,11.057,10.772,9.025,11.136,12.149,13.939,14.206,13.953,15.232,15.551,18.38,23.691,25.776,27.97,29.272,30.262,31.444,32.433,32.614,35.869,39.476,44.984,49.453,54.126,62.472,70.104,79.335,90.453,86.952,90.758,95.049,106.248,114.163,122.686,126.035,121.255,100,118.184,127.283,133.364,137.066,145.339
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","government, are included in services. Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
