"","Table 1#1#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Percent]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2015 5:48:59 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Gross domestic product","A191RV1",4.9,5.3,5.1,4.3,5.4,9,9.3,5.5,6.2,7,8.3,9,9.4,6.1,3.9,3.6,3.2,2,2.4,3.5,3.9,3.7,3.3,2.3,2.4,2.1,2.1,1.8,1.7,1.1,1.4,2.3,2.3,1.5,2,2.7,3.2,3.1,2.7,1.9,0.8,1.2,2.1,1.8,1.6,1.6
"9","2","Personal consumption expenditures","DPCERV1",4.5,4.7,4.3,3.4,5.4,10.4,8.4,5.5,6.5,7,8.9,10.7,8.9,5.5,4.3,3.8,3.5,2.2,3,3.9,4.3,4.3,3.3,2.6,2.5,2.1,2.1,2.1,1.7,0.8,1.5,2.5,1.9,1.3,2,2.4,2.9,2.7,2.5,3.1,-0.1,1.7,2.5,1.9,1.4,1.4
"10","3","  Goods","DGDSRV1",3.9,3.8,3,2.6,6,12.5,8.1,3.9,5.3,6.1,9.5,11.2,7.4,2.7,1.8,1.9,1.6,-0.5,3.2,2.6,3.8,4.1,2.4,1.2,0.9,1,0.9,1.1,-0.1,-1.5,0.5,2,-0.1,-0.9,-0.1,1.4,2,1.4,1.1,3,-2.3,1.6,3.7,1.2,-0.5,-0.4
"11","4","    Durable goods","DDURRV1",2.8,2.2,3.5,1.1,1.5,6.6,8.9,5.5,4.5,5.6,6.6,8.7,6.7,3.9,2,1.5,1.1,1.1,2.9,1.6,1.8,1,1.5,0.7,1,2,0.7,-1,-2.2,-2.8,-2.7,-1.8,-2,-2.5,-3.6,-1.9,-1,-1.6,-2,-1.9,-1.7,-1.4,-0.9,-1.3,-1.8,-2.3
"12","5","    Nondurable goods","DNDGRV1",4.3,4.5,2.8,3.2,8.1,15.1,7.7,3.3,5.7,6.4,10.8,12.3,7.7,2.3,1.7,2.1,1.9,-1.3,3.4,3.2,5,5.7,2.9,1.5,0.8,0.5,1,2.3,1,-0.7,2.5,4.3,1.1,0,2.1,3.5,3.8,3.1,2.9,5.6,-2.6,3.1,5.9,2.4,0.2,0.6
"13","6","  Services","DSERRV1",5.2,5.5,5.5,4.2,4.9,8.5,8.6,6.9,7.5,7.8,8.4,10.3,10.2,7.8,6.2,5.2,5,4.1,2.9,4.8,4.6,4.5,3.8,3.5,3.5,2.7,2.7,2.7,2.8,2.1,2,2.8,3.1,2.6,3.1,3,3.3,3.4,3.2,3.1,1.1,1.7,1.8,2.2,2.3,2.3
"14","7","Gross private domestic investment","A006RV1",4.8,4.3,5,4.2,5.4,10,12,5.5,7.4,8.1,9,9.4,9.3,5.3,0.3,1.1,1.2,2.2,2.1,2.5,2.5,2.1,1.7,0,1.2,1.5,1.6,-0.1,0.1,-0.7,0.2,1.4,0.9,0.4,1.2,3.2,4.3,3.8,1.9,1,-1,-0.9,1.4,1.4,1.5,1.8
"15","8","  Fixed investment","A007RV1",5,4.4,5,4.3,5.6,9.9,12.1,5.8,7.7,8.4,9,9.3,9.2,5.6,0.4,1,1.5,2.4,2,2.8,2.6,2.2,1.7,0,1.2,1.5,1.6,0.1,0.2,-0.5,0.2,1.5,1,0.4,1.3,3.2,4.4,3.9,1.9,1,-1,-0.8,1.4,1.5,1.6,1.9
