"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"11","3","Plus: Imports of goods and services","A021RX1",213.9,256.1,252.8,250,249.2,254.1,253.5,257.5,254.4,273.6,279.7,260.7,298.8,288.2,294.2,307.5,321.7,312.4,303.8,306,295.7,311.3,305.9,302.8,272.4,250.6,271.5,286,303.9,317.1,330,340.9,357.1,360.3,355.3,360.4,384.5,385.8,390.8,396.2,395.1,397.2,391.1,399.7,400,371,344.3,362.8,378.3,378.9,374.6,385.3,374.3,368.2,385.3,370.2,378.6,407.7,439.5,461.1,498.1,519,532.4,548,535.9,562.3,556.8,578.7,578.1,602.7,619.4,624.2,620.5,636,648.3,663.2,660.1,652.5,667.9,688.3,691.5,694.8,693.8,706.4,728.8,727.6,724.6,705.2,697.1,709.5,729.5,745.6,751,763.4,775.4,794,811.2,827.9,838.8,872.5,892.9,926.1,952.2,979,1000.4,1009.9,1013.4,1026.4,1059.7,1083.4,1118.6,1140.6,1189.3,1229.3,1274.6,1302.1,1351,1381.9,1400.5,1445.7,1466.9,1509,1565.2,1603.8,1668.1,1719.6,1779,1778.1,1748.5,1696.8,1662.8,1639.8,1686.9,1739.8,1765.6,1802.9,1777.9,1805.9,1829.1,1894.6,1952.7,2033,2053.6,2102,2126.8,2151.2,2156.9,2222,2269.9,2297.6,2315.2,2321.4,2358.7,2369.4,2368.7,2339.3,2361.6,2340.4,2293,2199.5,1986.7,1905.7,1977,2063.4,2116.9,2217.8,2296,2310.7,2328.5,2345.9,2364.9,2391.3,2405.3,2417,2420.9,2397.8,2402.6,2434.7,2449.4,2455.7,2472.7,2530.1,2525.1,2587.5,2632.5,2652.1,2663.7
"12","4","Equals: Gross domestic purchases","A712RX1",4806.1,4815.8,4848.9,4816.3,4805,4806.9,4849.9,4801.3,4926.2,4974.1,5007.8,5026.8,5127.3,5243.2,5281,5370,5494.5,5530.3,5488.7,5523.2,5456.8,5472,5435.5,5398.3,5284.8,5307.4,5434.8,5505.4,5659.2,5716.3,5750.9,5805,5903.1,6010.4,6104.7,6127.5,6173.2,6363.4,6426.8,6499.5,6510,6519.6,6537,6532.6,6537.9,6344.9,6289.5,6443.1,6591.7,6541.2,6622.1,6560.1,6459.1,6481.1,6509.8,6517.9,6607.7,6798.9,6969,7130.8,7311.3,7452.8,7531,7599.9,7656.2,7760.5,7878.8,7949.4,8003.6,8065.3,8153,8179.5,8229.7,8316.2,8380.1,8511.1,8517.6,8597.9,8653.3,8770.8,8839.8,8879.3,8935.3,8958.4,9049.9,9072.8,9065.2,8956.3,8899.5,8954,9001.7,9041.3,9138.4,9253.6,9339,9450.3,9486.5,9551.8,9613.4,9751.4,9860.8,10001.6,10054.5,10175.9,10215.9,10247.7,10292.6,10364.7,10457.8,10647.9,10776.4,10844.4,10958.7,11118.7,11279.6,11397.3,11554.3,11710.2,11885.3,12078.4,12224.1,12353.1,12526,12745.2,12828.1,13077.6,13121.5,13204.2,13158.3,13216.8,13204.1,13254.7,13395,13485.8,13565.8,13626.9,13676.9,13827.5,14040.6,14208.9,14306.3,14469.3,14607.3,14743.7,14896.9,14969.6,15093,15201.6,15369.1,15412.5,15446.7,15498.3,15519.1,15614.2,15662.1,15631.7,15533,15527.2,15427,15112.4,14827.8,14722.7,14785,14921.2,15013.6,15218.4,15347.9,15399.8,15351.6,15448.3,15479.5,15656.1,15757.6,15818.1,15830.2,15811.3,15883.9,15935.9,16043.9,16141.9,16160.3,16346.6,16498.9,16617.2,16720.8,16870.7,16932.9
"13","5","Less: Change in private inventories","A014RX1",40.1,33.5,38.7,21,3.8,17.8,17.9,-14.9,42.1,35.8,34.1,-2,12.3,40.3,43.1,17.3,28.4,55.5,26.5,61.4,29.9,39.3,12.6,46.3,-18.7,-32.7,-5.2,0.3,34.6,52,47,17.2,29.3,43.7,76.6,40.3,48.2,47.2,48.1,57.2,43.3,49,18,13,14.3,12.2,-52.9,-15,61.1,15.3,63.1,32.1,-30.1,-5.9,6.6,-57.5,-53.5,-8.4,-2.9,30.4,96.9,91.1,95.1,59.9,18.5,27.1,22.8,41.9,37.2,18.1,-10.4,-8.8,40.1,22.5,-1.9,84.5,18.6,25.8,21.4,29.5,58.2,44.6,12.3,17.9,16.4,41.1,26.9,-12.6,-20,-23.7,1,34.8,2.6,25.3,23.2,26.6,46,31,2.1,17.3,54.7,98.7,61.6,86.6,72.4,41.3,9.4,15.1,2,29.6,65.5,38.2,51.4,112.9,80.9,94,127.9,49.6,67.4,71.1,97.5,45.3,51.5,107.5,23.6,108.7,68.7,63.9,-37.9,-12.8,-36.9,-97.4,-3.8,26.5,32.4,35.1,36.3,-0.2,7.6,46.6,56.4,81.9,71.1,76.2,111.3,33,18.2,94.8,78.6,84.4,81.9,41.4,19.6,49.4,50.2,23,-20.2,-26.4,-20.7,-67.4,-144.5,-190.1,-206.1,-49.6,9.8,48.8,116.2,58.1,25.1,57.5,-13,80.8,56,76.6,70.6,15.5,25.2,39.6,93.6,87.2,36.9,77.1,79.9,78.2,112.8,113.5,56.8
"14","6","Equals: Final sales to domestic purchasers","A713RX1",4782,4800.8,4828.5,4818.8,4827.3,4811.8,4855.2,4847.7,4902.5,4956.2,4993.7,5057.4,5139,5220,5254.7,5377.7,5483.4,5483.5,5477.1,5466.8,5440.9,5448.4,5448.2,5355.2,5345.5,5382.2,5469.5,5533.9,5640.2,5674.5,5716,5807.2,5893,5978.4,6029.7,6101.3,6134.3,6324.9,6384,6453.8,6473.5,6476.9,6539.4,6546.4,6543.7,6355.8,6392,6488,6537.5,6550.7,6561.8,6542.5,6528,6513.3,6525.1,6621.4,6700.7,6840.4,7003.9,7116,7210,7357.1,7430.9,7544.3,7653.7,7752,7874.6,7919.2,7978,8066.5,8187.7,8221.2,8207.6,8315.4,8404.1,8435.4,8517.5,8591.3,8645.3,8757.7,8788.2,8845,8941.6,8956.4,9050.8,9043.3,9052.9,8989.3,8939.9,8998.5,9021.3,9018.5,9156.8,9239.9,9330.3,9439.1,9451.3,9534.3,9629.7,9749.3,9817.1,9909,10003.5,10094.6,10151.2,10218.8,10298,10361.1,10471.1,10630.9,10715.5,10813.4,10920.7,11009.8,11203.4,11307.2,11428.8,11668.4,11825.1,12014.6,12133.7,12313.4,12480.2,12640.5,12810.1,12969.3,13055.1,13141.6,13198.2,13233.4,13243.6,13354,13402.1,13464.2,13537,13595,13642.1,13829.2,14034,14164.4,14251.8,14388.1,14537,14668.2,14787.3,14936.3,15073.9,15105.5,15292.7,15330.1,15365.2,15456,15497.3,15562,15610.5,15611,15553.6,15557.4,15446.7,15185.5,14980.1,14913,14987.5,14966.4,15000.6,15167.1,15227.3,15339.4,15325.8,15383.7,15493.3,15567.3,15691.9,15733.1,15752.5,15791.9,15851.6,15887.9,15938.8,16041,16111.4,16255.4,16409.2,16529.2,16597.7,16747.2,16868.4
"15",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Final sales of domestic product","A190RX1",4667.2,4691.2,4715.4,4717,4728.1,4719.5,4761.5,4752.8,4810.3,4843.6,4885.2,4943.3,5012.9,5094.5,5138.7,5257.8,5368.7,5394.8,5399.9,5406.4,5401,5407.5,5390.8,5314.1,5352.6,5407.4,5455.7,5522.6,5599.5,5619.2,5654.8,5734.2,5788.5,5880.7,5942.6,5991.7,5999.9,6235.2,6292.4,6374.5,6396.4,6398,6489.4,6517.7,6530.6,6403.9,6487.1,6546.9,6581.1,6597.1,6602.2,6567.5,6544.5,6542.9,6502.1,6597.2,6671.5,6769.8,6894.7,6986.3,7038.8,7169.7,7236.8,7339.8,7466.4,7528.6,7650.2,7681.6,7757.8,7820.1,7932.3,7980.2,7972,8083.1,8181.3,8216,8338.6,8442.3,8489.7,8597,8645.4,8731.3,8837.3,8847.7,8947.5,8951.7,8971.2,8940.1,8905.8,8978.7,8996.6,8993.4,9141.1,9209.5,9304.2,9395.1,9388.5,9462.3,9542.3,9651,9703.9,9788.3,9888.1,9970.6,10021.6,10092.8,10213.8,10277.2,10361.5,10511.9,10565.3,10707.5,10782.4,10874.8,11047.2,11119.7,11195.3,11388.3,11519.6,11706.1,11773.6,11921.8,12066.3,12218,12340,12483.4,12540.3,12615.8,12681.9,12725.7,12708.2,12802.6,12828.1,12870.4,12926,12931.2,12995.4,13152.6,13364.6,13483.2,13551.1,13624.3,13759.6,13873.9,13988.8,14138.5,14271.7,14276.4,14468.8,14506.3,14520.3,14673.7,14703.3,14785.5,14885.9,14970.1,14909.4,14992.9,14910.7,14650,14527.4,14545.8,14605.1,14586.9,14591.5,14694.3,14724.5,14878.3,14855.3,14924.5,15035.1,15101,15225,15276.9,15302.7,15364.6,15424.7,15451.9,15508.9,15660,15675.7,15809.7,15978.6,16062.9,16053.8,16209.7,16329
"17","8","  Final sales to private domestic purchasers \1\","LB0000031",3402.4,3423.3,3446.9,3452,3465.2,3462.9,3499.1,3491.4,3559.3,3612.8,3648.7,3716.8,3789.5,3860.3,3916.4,4025.8,4118.3,4124.1,4132.6,4115.1,4068.8,4068.5,4066.8,3972.3,3950.1,3993.2,4058.5,4109.2,4208.8,4253.9,4299.6,4386.8,4458.8,4529,4575.5,4646.6,4677,4827.7,4874.5,4930.1,4959.7,4950.4,5008.4,5006.9,4984.9,4801,4854.3,4946.2,4977.1,4985.7,5001.2,4968.4,4955.8,4933.3,4936.2,5007.5,5070.6,5190.9,5325.4,5456.3,5530.6,5640.6,5699.8,5781.3,5868.7,5928.5,6010.6,6048.3,6091.8,6144.7,6224.6,6266.4,6243,6331.7,6413,6422.9,6513,6577.9,6628.6,6705,6742,6768.9,6847.1,6852,6915.2,6903.7,6914,6836.7,6780.4,6830.3,6858.8,6863.1,6982,7064.3,7141.9,7250.7,7283.2,7361.1,7449.1,7560.4,7648.3,7726.4,7786.8,7891.4,7942.2,7997.8,8079.3,8157.1,8259.5,8384.2,8464,8544.7,8648.9,8715.2,8899.3,8996.9,9126,9318.6,9452.4,9617.8,9726.1,9889.2,10026.9,10151.4,10334.5,10463.5,10551.8,10629.6,10652.1,10642.1,10653.7,10728.2,10740.4,10778.3,10830.8,10870.2,10924.4,11069.2,11270.6,11385.1,11464.3,11583.9,11720.9,11862.3,11974.6,12117.6,12233.1,12274.2,12438.1,12465.1,12494,12566.1,12613.5,12654.1,12681.8,12670.8,12601.5,12582.4,12430.7,12149.6,11939.5,11817,11874.5,11859.6,11916.3,12061,12124,12268.9,12315.5,12377,12506.6,12593.1,12732.9,12788.7,12816.9,12885.5,12979.6,13031.1,13098.5,13221.2,13292,13428.3,13569.8,13700.8,13770.1,13901.6,14010.9
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
