"","Table 1#17#1# Percent Change From Preceding Period in Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Percent]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2015 6:00:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product (GDP)","A191RL1",3.1,0.2,3.3,5.2,5.6,-0.5,-0.2,5.4,4.6,5.6,3.2,-0.2,2.6,-1.9,4.6,7.3,4.2,3.5,3.5,4.2,3.7,1.9,-0.1,3.6,2.7,4,2.7,3.8,4.5,4.5,4.7,4.1,1,1.8,2.8,3.8,3.3,2.7,1.8,-0.3,-2.8,2.5,1.6,2.2,1.5,2.4
"10","2","    Gross domestic income (GDI)","A261RL1",3.3,-0.1,3,5.5,5.8,-0.6,-0.5,5.1,4.8,5.5,2.4,-0.1,3,-1,3.3,7.8,4,3,4.3,5.1,2.5,1.5,0,3.3,2.2,4.4,3.4,4.3,5.1,5.3,4.4,4.7,1.1,1.4,2.3,3.7,3.6,4,0.1,-0.8,-2.6,2.7,2.2,3.3,1.3,2.6
"11","3","    Average of GDP and GDI \1\","PB0000091",3.2,0,3.1,5.4,5.7,-0.5,-0.4,5.2,4.7,5.5,2.8,-0.2,2.8,-1.4,4,7.5,4.1,3.3,3.9,4.6,3.1,1.7,0,3.4,2.5,4.2,3.1,4,4.8,4.9,4.5,4.4,1,1.6,2.5,3.8,3.4,3.3,0.9,-0.6,-2.7,2.6,1.9,2.7,1.4,2.5
"12","4","    Net domestic product \2\","A362RL1",2.9,-0.4,3.3,5.5,5.7,-1.2,-0.7,5.8,4.7,5.7,2.9,-1,2.4,-2.9,4.9,7.8,4,3.2,3.2,4.2,3.6,1.6,-0.6,3.7,2.7,4.1,2.5,3.7,4.4,4.2,4.4,3.7,0.3,1.5,2.8,3.8,3.3,2.4,1.4,-0.9,-3.5,2.9,1.7,2.3,1.4,2.5
"13","5","    Net domestic income \2\","W256RL1",3.1,-0.8,2.9,5.8,5.9,-1.3,-1.1,5.4,4.9,5.7,2,-0.8,2.8,-1.9,3.3,8.5,3.7,2.6,4.3,5.2,2.2,1.1,-0.5,3.4,2.1,4.6,3.3,4.3,5.1,5.2,4.1,4.4,0.4,1,2.1,3.8,3.5,4,-0.6,-1.5,-3.4,3.2,2.4,3.5,1.1,2.7
"14",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","    Gross national product","A001RL1",3.1,0.2,3.3,5.3,5.9,-0.4,-0.4,5.5,4.7,5.5,3.5,-0.3,2.4,-1.8,4.5,7.1,3.9,3.3,3.4,4.3,3.7,2,-0.2,3.5,2.7,3.9,2.8,3.8,4.4,4.4,4.8,4.2,1.1,1.7,2.9,3.9,3.3,2.4,2.2,0,-2.9,2.8,1.8,2.1,1.5,2.5
