"","Table 6#11B# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:39:54 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Employer contributions for employee pension and insurance funds","B040RC0",5916,6430,7839,10226,11562,12323,12568,13574,14946,16661,17453,18612,19746,20959,22372,23923,26401,29497,33119,35915,40179,44929
"9",NA,"         By industry"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B040RC0",5916,6430,7839,10226,11562,12323,12568,13574,14946,16661,17453,18612,19746,20959,22372,23923,26401,29497,33119,35915,40179,44929
"11","3","  Private industries","B4903C0",2621,2836,3551,4495,5039,5708,5925,6800,7803,8811,9171,10239,10812,11281,12390,13236,14918,16947,18911,20471,22683,25475
"12","4","    Agriculture, forestry, and fishing","B4904BC0",9,10,10,10,11,11,12,15,16,20,66,69,76,79,91,95,97,100,115,117,129,152
"13","5","    Mining","B4905BC0",152,150,218,246,242,273,248,281,335,338,311,327,333,350,370,353,390,383,422,458,458,517
"14","6","    Construction","B4906BC0",194,190,194,238,269,306,318,355,387,451,302,394,406,478,470,598,644,794,849,902,1091,1142
"15","7","    Manufacturing","B4907BC0",1270,1408,1943,2626,2980,3403,3493,4080,4763,5315,5456,5867,6140,6155,6874,7127,8005,9061,10139,10779,11959,13665
"16","8","      Durable goods","J4908C0",625,680,1177,1599,1820,2126,2057,2559,3088,3433,3310,3594,3801,3734,4308,4458,5077,5833,6666,7065,7984,9211
"17","9","      Nondurable goods","J4909C0",645,728,766,1027,1160,1277,1436,1521,1675,1882,2146,2273,2339,2421,2566,2669,2928,3228,3473,3714,3975,4454
"18","10","    Transportation and public utilities","B4910BC0",426,463,511,598,674,739,781,844,942,1064,1135,1276,1318,1438,1475,1588,1900,2247,2440,2629,2892,2976
"19","11","      Transportation","J4911C0",176,191,204,245,287,323,329,376,422,499,491,584,605,656,653,703,783,875,975,1031,1201,1165
"20","12","      Communication","B4912BC0",144,155,170,185,204,227,233,231,245,266,290,338,356,382,419,465,635,851,914,1020,1073,1175
"21","13","      Electric, gas, and sanitary services","J4913C0",106,117,137,168,183,189,219,237,275,299,354,354,357,400,403,420,482,521,551,578,618,637
