"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 21, 2007 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2007 11:01:12 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","B     Nonfarm industries","XNF0",23532,64048,44320,64332,75736,32004,31000,30464,51792,36808,74768,122780,73484,112824,68772,60688,-14756,-14984,-64496,-118376,-27376,19568,39784,45272,66500,-4436,17824,51380,80696,117968,106720,124712,127192,43544,57384,140556,60004,120368,105144,37844,41104,67508,45288
"10","2","D Mining, utilities, and construction","XCMU0",-904,1364,3960,792,1140,6780,2536,7520,832,6320,1888,-2500,4048,4852,2132,3260,5276,3880,-1964,8560,1100,2576,-4276,3376,20076,-1068,5224,8788,6948,8216,8984,14556,4088,14812,14960,33608,-21524,-3156,6772,3676,14000,12376,-12256
"11","3","D Manufacturing industries","X300",5512,15080,14812,18056,19972,9004,-1368,-5948,-1168,1976,18072,36988,14364,26280,12900,15700,-5552,-26136,-40620,-41912,-25640,-10612,6264,3896,13640,-9752,-12872,8600,19652,36624,29476,37020,62552,12672,22008,45648,26884,48816,37264,6376,4796,21272,13448
"12",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","D     Durable goods industries","X30D0",5552,11264,9940,8756,21220,13424,3708,-816,-720,-4760,9220,18944,3340,14456,6876,14908,-6164,-18592,-32900,-31848,-23128,-10496,-4256,5540,-1056,-14468,-13156,12348,7776,21484,21668,24200,36528,4752,12616,24880,9364,28548,33324,16496,7140,5820,4216
"14","5","D       Wood product manufacturing","X3210",156,500,1532,284,-428,256,600,552,792,392,-184,1464,412,-348,-640,740,-1056,688,-504,-1792,1136,-48,-52,-196,348,-972,-428,1436,2936,900,1740,-648,4252,-996,-636,1264,-2000,828,-476,-2180,-868,-616,-392
"15","6","D       Nonmetallic mineral product manufacturing","X3270",340,672,-304,112,244,-64,-8,-36,-220,8,1064,756,56,484,484,1060,484,-296,-584,-1036,-664,276,420,768,1328,668,-292,-1820,40,148,744,1288,1104,624,164,524,1092,1436,2000,936,-172,-316,112
"16","7","D       Primary metal manufacturing","X3310",1332,-732,-12,964,-960,672,620,-2032,-2324,-100,-84,2524,1796,532,-896,-1876,-1448,-3764,-2840,-2732,-2576,208,884,1536,488,-3212,-2100,220,3704,4564,6896,8820,7916,968,-1596,1460,3712,5900,8280,2016,36,2244,-1944
"17","8","D       Fabricated metal product manufacturing","X3320",888,1692,208,2404,184,3152,-532,-1000,-1340,-148,1416,2404,780,4136,376,-144,-36,-1296,-2108,-4316,-1376,-1016,1484,288,6148,-3424,-3032,-840,860,3372,6084,5288,5876,2256,248,4064,4064,3968,5252,3140,248,-480,444
"18","9","D       Machinery manufacturing","X3330",-640,4080,-132,2352,3668,-180,3196,-1740,548,-1476,-536,2744,392,4176,2920,4964,-552,-4848,-6576,-6488,-3136,-4248,-1384,980,-3604,-2152,-1900,2828,760,3180,2516,3220,4984,3368,4672,1424,3600,3000,5324,3632,2720,1872,3476
"19","10","D       Computer and electronic product manufacturing","X3340",1064,3512,5872,1492,2144,-3248,-4988,-5828,4120,548,2668,3756,1868,13196,7848,17872,1204,-4924,-16900,-13088,-5424,-7540,-2164,-4124,-4712,-4952,-888,8012,-892,4708,1168,2288,-1352,-1368,3604,4484,3908,4860,4388,3088,-1008,-2376,-972
"20","11","D       Electrical equipment, appliance, and component manufacturing","X3350",552,1860,276,-696,360,-1120,172,500,-876,520,420,-80,152,1140,1576,1104,200,-1508,-1720,-1044,-884,-12,-444,-828,-352,-608,-1040,436,-292,1032,1452,-40,852,-88,288,772,1680,1324,1428,2080,-756,-12,152
"21","12","D       Transportation equipment manufacturing","X3360",2100,-772,2744,48,14992,13444,4296,9688,-2148,-5584,3204,3636,-4476,-10292,-7012,-8544,-5648,-1800,-664,64,-8896,680,-3348,7180,-3736,128,-3128,736,116,2168,-376,1900,11724,-2456,2380,8452,-7316,6536,3940,2608,6252,5960,2896
