"","Table 6#21A# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:52:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"8","1","    Undistributed corporate profits","B057RC0",3741,-1751,-4002,-4275,-727,-96,576,1175,1467,409,2571,3786,6721,6807,7326,7220,5104,10885,15047
"9","2","Domestic industries","A3402C0",3741,-1751,-4002,-4275,-727,-96,576,1175,1317,355,2431,3754,6561,6654,7192,7090,4990,10619,14750
"10","3","  Agriculture, forestry, and fisheries","A3403C0",-3,-43,-81,-72,-27,-46,-12,-21,-26,-24,-15,-9,11,22,20,21,20,67,52
"11","4","    Farms","B3404C0",-6,-46,-80,-70,-29,-48,-13,-24,-27,-24,-14,-7,10,15,21,19,19,68,53
"12","5","    Agricultural services, forestry, and fisheries","B3405C0",3,3,-1,-2,2,2,1,3,1,0,-1,-2,1,7,-1,2,1,-1,-1
"13","6","  Mining","A3406C0",116,-101,-246,-151,-91,-15,32,121,226,90,144,193,264,193,214,268,208,242,576
"14","7","    Metal mining","B3407C0",45,-45,-68,-56,6,23,37,47,85,43,66,92,92,48,57,42,43,16,86
"15","8","    Anthracite mining","B3477C0",-8,-2,-3,-18,-9,-4,-14,-9,-14,-13,-13,2,9,7,7,9,1,12,15
"16","9","    Bituminous and other soft coal mining","B3408C0",-16,-34,-38,-34,-26,-13,-7,-8,0,-22,1,22,42,50,66,73,49,62,197
"17","10","    Crude petroleum and natural gas","B3409C0",74,-38,-127,-26,-54,-19,17,82,142,79,76,64,99,69,71,133,103,113,230
"18","11","    Nonmetallic mining and quarrying","B3410C0",21,18,-10,-17,-8,-2,-1,9,13,3,14,13,22,19,13,11,12,38,48
"19","12","  Contract construction","B3411C0",69,33,-31,-91,-54,-10,3,25,11,5,12,38,91,113,69,33,20,115,224
"20","13","  Manufacturing","A3412C0",1894,-1018,-2201,-2372,-294,16,313,719,809,84,1392,2139,3848,3470,3600,3537,2058,5052,8254
"21","14","    Durable goods","A3413C0",946,-611,-1358,-1694,-515,-238,76,317,465,-79,579,1168,2151,1896,1914,1915,717,1125,3642
"22","15","      Lumber and basic timber products","B3414C0",34,-56,-103,-93,-7,-30,-8,18,32,-12,10,40,73,64,52,57,23,136,286
"23","16","      Furniture and finished lumber products","B3415C0",4,-58,-73,-85,-26,-18,-6,6,3,-9,20,30,63,44,39,47,39,113,130
"24","17","      Stone, clay, and glass products","B3416C0",57,-19,-70,-98,-21,2,16,38,24,11,53,63,97,80,51,44,35,159,202
"25","18","      Iron and steel and their products, including ordnance","B3417C0",419,-72,-323,-385,-69,3,-53,134,180,-82,117,281,555,498,521,435,181,398,900
"26","19","      Nonferrous metals and their products","B3418C0",87,-36,-74,-94,10,30,57,28,34,8,70,97,136,94,124,105,38,169,280
"27","20","      Machinery, except electrical","B3419C0",179,-66,-209,-276,-89,12,58,107,139,35,129,265,477,404,339,322,155,214,689
"28","21","      Electric and electronic equipment","B3420C0",-1,-114,-174,-209,-192,-175,-60,-61,-41,-62,-19,37,143,146,141,196,31,-27,389
"29","22","      Motor vehicles and equipment","B3421C0",171,-70,-142,-259,-19,9,129,68,92,39,134,183,257,160,141,143,67,-5,693
"30","23","      Other transportation equipment","B3422C0",-4,-41,-75,-60,-43,-49,-49,-21,1,-10,39,136,274,342,432,470,91,-148,-103
"31","24","      Miscellaneous manufacturing, including instruments and miscellaneous plastic products","B3424C0",1,-79,-116,-135,-60,-22,-8,0,1,2,26,37,76,65,74,97,58,115,176
"32","25","    Nondurable goods","A3425C0",948,-407,-842,-678,222,254,237,402,344,163,812,971,1698,1574,1686,1622,1341,3927,4612
"33","26","      Food and kindred products","B3426C0",114,-8,-107,-135,115,117,51,102,-12,33,180,163,285,339,327,321,281,853,710
"34","27","      Tobacco manufactures","B3427C0",41,41,46,57,-20,21,26,23,18,25,38,39,31,38,35,20,19,40,44
"35","28","      Textile mill products","B3428C0",13,-268,-197,-174,121,-36,1,40,-33,-62,80,92,254,235,198,184,164,651,711
"36","29","      Apparel and other textile products","B3429C0",-6,-63,-80,-81,8,7,6,21,4,-1,25,30,70,82,82,81,86,269,248
"37","30","      Paper and allied products","B3430C0",39,-5,-41,-72,6,26,26,31,40,1,53,87,134,99,91,100,71,276,463
"38","31","      Printing and publishing","B3431C0",197,100,41,-14,49,52,67,62,51,31,53,78,98,113,178,200,206,318,309
"39","32","      Chemicals and allied products","B3432C0",166,-6,-14,-71,34,100,11,83,69,72,167,205,313,288,264,220,129,606,768
"40","33","      Petroleum and coal products","B3433C0",372,-86,-405,-111,-116,-35,18,22,216,75,175,233,408,261,414,399,309,650,1154
"41","34","      Rubber products","B3434C0",0,-63,-35,-33,3,2,8,3,-4,2,25,31,64,80,59,62,42,152,112
"42","35","      Leather and leather products","B3435C0",11,-50,-49,-45,21,1,22,15,-5,-12,18,12,41,38,38,35,34,111,94
"43","36","  Transportation and public utilities","A3436C0",403,-499,-781,-797,-568,-579,-644,-400,-351,-513,-150,1,391,1024,1150,781,280,226,602
"44","37","    Transportation","A3437C0",314,-220,-502,-507,-363,-433,-456,-267,-294,-410,-153,-72,313,893,966,657,225,-57,423
"45","38","      Railroad transportation","B3438C0",371,-122,-394,-371,-311,-356,-282,-202,-227,-322,-132,-99,282,760,801,497,114,-213,272
"46","39","      Local and interurban passenger transit","B3439C0",-70,-42,-69,-80,-60,-61,-90,-40,-58,-74,-55,-23,-18,56,86,65,46,43,-11
"47","40","      Trucking and warehousing","B3440C0",27,15,9,2,10,11,13,12,10,15,30,14,27,29,24,22,14,60,77
"48","41","      Water transportation","B3441C0",18,-14,-17,-20,4,-9,-30,-9,-5,-9,8,15,25,8,19,16,16,48,66
"49","42","      Transportation by air","B3442C0",-6,-19,-9,-3,-3,-9,-6,-3,-5,-3,6,7,8,14,10,27,16,-27,-38
"50","43","      Pipelines, except natural gas","B3443C0",-15,-28,-13,-26,-2,-1,-54,-13,2,-5,1,11,-18,15,14,17,15,13,22
"51","44","      Transportation services","B3444C0",-11,-10,-9,-9,-1,-8,-7,-12,-11,-12,-11,3,7,11,12,13,4,19,35
"52","45","    Communication","A3445C0",105,16,-17,-57,-76,-54,-41,-13,-6,-24,32,29,15,19,48,45,4,49,7
"53","46","      Telephone and telegraph","B3446C0",89,25,-9,-56,-73,-59,-44,-19,-12,-28,26,20,9,13,39,31,-10,25,-14
"54","47","      Radio and television broadcasting","B3447C0",16,-9,-8,-1,-3,5,3,6,6,4,6,9,6,6,9,14,14,24,21
"55","48","    Electric, gas, and sanitary services","B3448C0",-16,-296,-262,-233,-129,-91,-148,-121,-51,-79,-30,44,63,112,136,79,51,234,172
