"","Table 5U# BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2006  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2006 4:28:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","S1 EN04472AMA       Retail and food services","T050010",2149471,2293912,2481025,2606635,2766110,2891766,3037491,3292838,3513873,3617491,3709190,3872049,4167196,4464632
"9","2","S1 EN44ZZZZMA Retail trade","T050020",1934367,2065637,2242593,2359662,2509352,2619300,2749594,2990569,3190304,3280482,3357771,3502226,3764951,4033705
"10","3","S1 EN441ZZZMA   Motor vehicle and parts dealers","T050030",440786,496519,566732,605920,654559,680351,720356,802360,841960,872305,881985,907515,945935,982322
"11","4","S4 EN4411ZZMA     Automobile dealers","T050040",369802,419765,482616,517313,560847,581838,614782,688469,720461,750239,754873,772420,802807,820132
"12","5","S4 EN4412ZZMA     Other motor vehicle dealers","T050050",18781,21850,24758,27189,29129,31821,35630,39774,44415,45159,46722,52460,57026,69155
"13","6","S2 EN4413ZZMA     Automotive parts, accessories and tire stores","T050060",52203,54903,59359,61418,64582,66692,69943,74116,77083,76908,80390,82635,86102,93036
"14","7","S1 EN44DZZZMA   Furniture, home furnishings, electronics and appliance stores","T050070",103391,112740,127005,137895,145772,152299,163138,176319,188238,186793,194884,200395,213616,225363
