"","Table 5#4#6BU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Millions of chained (2000) dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2006  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2006 4:00:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","    Private fixed investment in structures","A349RX0",662633,706389,729731,752727,747194,715369,743363,800096,844385
"9","2","Nonresidential","B009RX0",280087,294452,293200,313184,306097,253770,243097,248399,253058
"10","3","  Commercial and health care","W001RX0",118602,125425,129422,137551,130277,109799,102768,105026,105054
"11","4","    Office\1\","W031RX0",43363,50786,53974,60228,55494,38456,32378,33011,31986
"12","5","    Health care","W032RX0",22098,21739,21612,21892,21017,23740,24860,25946,26450
"13","6","      Hospitals and special care","C311RX0",17039,16781,15875,16225,16050,18563,18668,18502,19399
"14","7","        Hospitals","W033RX0",12685,11627,11178,11482,12212,14813,15669,16058,17321
"15","8","        Special care","W034RX0",4354,5154,4696,4743,3837,3750,2998,2443,2077
"16","9","      Medical buildings","W035RX0",5060,4959,5738,5668,4968,5178,6193,7445,7052
"17","10","    Multimerchandise shopping","W036RX0",13028,13566,15018,14156,14973,13789,13274,14802,17626
"18","11","    Food and beverage establishments","W037RX0",9182,9333,8160,8341,8015,7004,7213,6613,5507
"19","12","    Warehouses","W038RX0",13463,12997,13508,14071,14349,10538,10641,9712,9946
"20","13","    Other commercial\2\","W039RX0",17388,16994,17148,18863,16422,16171,14269,14809,13399
"21","14","  Manufacturing","C307RX0",42255,43679,33851,31800,28530,16655,15431,16175,18697
"22","15","  Power and communication","W003RX0",30131,34741,40795,46807,48233,47081,40451,35721,32302
"23","16","    Power","W028RX0",17629,22287,21998,28008,29206,29505,28580,23855,20099
"24","17","      Electric","C571RX0",12139,13009,15165,22038,23092,22202,21108,16655,13095
"25","18","      Other power","W029RX0",5482,9308,6837,5970,6114,7320,7494,7202,6955
"26","19","    Communication","C314RX0",12491,12553,18773,18799,19027,17573,11841,11836,12171
"27","20","  Mining exploration, shafts, and wells","E318RX0",25273,23307,21266,27169,32003,24541,28812,33547,39086
"28","21","    Petroleum and natural gas","C319RX0",23691,22129,20233,25843,30767,22893,27565,32031,36948
"29","22","    Mining","C320RX0",1599,1180,1033,1326,1209,1820,1157,1442,2222
"30","23","  Other structures","W004RX0",63924,67365,67888,69857,66576,55913,53640,53928,51002
"31","24","    Religious","C309RX0",6346,6994,7488,7809,7814,7619,7593,6786,5907
"32","25","    Educational and vocational","W044RX0",11085,11889,11338,13041,13750,13692,13481,12122,11776
"33","26","    Lodging","W045RX0",18020,19975,20630,20182,17206,12179,11213,12338,12074
"34","27","    Amusement and recreation","W046RX0",11496,11224,11971,10522,8993,8435,8518,8864,7944
"35","28","    Transportation","W047RX0",6583,7528,6532,6627,6592,6091,5499,5742,5699
"36","29","      Air","W048RX0",1131,1261,1397,1938,2047,1338,992,874,674
"37","30","      Land\3\","W049RX0",5439,6252,5130,4688,4544,4752,4506,4868,5038
"38","31","    Farm","C316RX0",4306,4665,5284,5988,4916,5274,4409,4424,4666
"39","32","    Other\4\","W050RX0",4133,4151,3754,4643,3500,2460,2877,3316,2728
