"","Table 7#2#4A# Price Indexes for Auto Output                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1947 To 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2008 2:27:49 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
"8","1","      Auto output","A133RG3",25.269,27.388,28.525,28.526,29.822,31.391,30.314,29.98,29.869,31.606,33.559,34.753,36.698,36.225,36.509,36.815,36.945,37.132,36.495,36.064
"9","2","Final sales","A134RG3",25.235,27.301,28.416,28.419,29.721,31.281,30.13,29.861,29.779,31.587,33.532,34.914,36.775,36.32,36.608,36.93,37.064,37.255,36.637,36.196
"10","3","  Personal consumption expenditures","A135RG3",19.723,21.518,22.344,22.33,23.244,24.316,23.812,22.918,23.286,24.426,26.148,27.279,28.892,28.405,28.731,29.272,29.478,29.757,29.337,29.038
"11","4","    New autos","A136RG3",25.059,27.406,30.022,30.223,31.512,34.407,34.692,35.254,31.874,33.565,35.496,36.783,38.383,37.887,37.895,37.742,37.516,37.418,36.583,35.906
"12","5","    Net purchases of used autos","A137RG3",6.6,7.109,5.641,5.368,5.529,4.544,3.497,1.092,6.859,7.021,8.044,8.635,9.722,9.363,10.016,11.389,12.275,13.207,13.625,14.119
"13","6","  Private fixed investment","A138RG3",37.107,39.305,41.466,41.91,44.137,48.339,43.239,46.918,43.918,49.253,50.512,49.301,50.339,50.48,49.95,48.522,48.039,47.266,46.047,45.374
"14","7","    New autos","B139RG3",25.093,27.414,30.032,30.245,31.552,34.428,34.704,35.204,31.896,33.588,35.525,36.815,38.381,37.891,37.894,37.743,37.508,37.415,36.59,35.905
"15","8","    Net purchases of used autos","B140RG3",7.75,12.502,17.375,17.17,17.245,18.62,25.979,20.62,16.145,13.083,15.554,19.415,21.523,20.004,20.809,22.572,22.703,23.609,23.373,22.651
"16","9","  Net exports","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Exports","B142RG3",9.027,9.711,9.461,8.563,10.175,9.057,9.05,10.19,10.205,9.636,9.986,18.292,18.915,18.642,18.615,18.645,18.576,18.548,18.121,17.774
"18","11","    Imports","B143RG3",8.396,10.47,11.019,11.288,11.961,12.436,12.267,12.354,12.385,12.435,12.661,12.945,12.959,12.606,12.252,12.582,12.782,12.805,12.988,13.348
"19","12","  Gross government investment","B144RG3",17.208,18.162,19.705,19.31,19.746,22.73,22.068,23.105,20.846,22.858,23.718,23.854,23.981,24.383,24.59,24.306,24.366,24.327,24.288,24.484
"20","13","Change in private inventories of new and used autos","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","  New","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Used","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Domestic output of new autos \1\","B148RG3",23.719,25.904,28.259,28.402,29.694,32.269,32.518,33.099,30.038,31.563,33.365,34.964,36.503,36.015,36.021,35.88,35.662,35.571,34.761,34.132
"25","17","  Sales of imported new autos \2\","B149RG3",21.18,27.494,30.145,30.101,31.752,34.46,34.803,35.289,32.116,33.75,35.725,36.99,38.437,37.966,37.952,37.792,37.565,37.456,36.602,35.892
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2. Consists of personal consumption expenditures, private fixed investment, and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
