"","Table 6#6D# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2009 8:50:01 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Wage and salary accruals per full-time equivalent employee","A4401C0",35201,36754,38846,39667,40394,41783,43450,44999,46982,49053
"9","2","Domestic industries","A4402C0",35121,36664,38762,39538,40263,41628,43280,44813,46787,48836
"10","3","  Private industries","A4403C0",34719,36294,38446,39104,39610,40901,42505,43996,45992,48035
"11","4","    Agriculture, forestry, fishing, and hunting","N4404C0",24204,24767,25847,23246,23700,23152,26022,27790,28969,30409
"12","5","      Farms \1\","N4405C0",23970,24438,25552,24034,24026,22454,26690,29437,30585,32447
"13","6","      Forestry, fishing, and related activities","N4406C0",24528,25192,26225,22300,23299,24028,25232,25983,27248,28260
"14","7","    Mining","N4407C0",51538,54451,58291,60595,61069,63237,67649,72829,78841,82687
"15","8","      Oil and gas extraction","N4408C0",78065,89445,93382,93847,93818,97268,109235,117147,130924,132401
"16","9","      Mining, except oil and gas","N4409C0",45607,46843,48122,49456,49860,51635,53923,56736,59572,61768
"17","10","      Support activities for mining","N4410C0",41051,41092,47295,51748,51574,53332,56020,62919,68121,73619
"18","11","    Utilities","N4411C0",56854,58731,64271,66470,68268,69404,72718,76267,79021,83237
"19","12","    Construction","N4412C0",34032,35375,37196,39647,40394,41364,41493,43579,46275,48430
"20","13","    Manufacturing","N4413C0",39147,40930,44216,43778,44864,46753,48659,50140,52315,54482
"21","14","      Durable goods","N4414C0",41110,43240,47007,46063,47047,49046,51096,52383,54953,57083
"22","15","        Wood products","N4415C0",28340,28858,30360,30644,31058,32124,33866,35094,35381,36120
"23","16","        Nonmetallic mineral products","N4416C0",35012,36641,38879,39230,40481,41657,42935,44899,46101,47121
"24","17","        Primary metals","N4417C0",42674,44464,45745,45799,46575,48499,51715,52666,55528,57736
"25","18","        Fabricated metal products","N4418C0",34871,35487,37688,38169,39147,40335,41918,43020,45063,46948
"26","19","        Machinery","N4419C0",42596,43846,46882,46022,47117,48976,51593,52965,55203,57176
"27","20","        Computer and electronic products","N4420C0",53572,59829,71372,65528,66344,70695,74417,78032,83186,86792
"28","21","        Electrical equipment, appliances, and components","N4421C0",37228,40204,42732,40861,42051,43983,46935,48159,50439,52555
"29","22","        Motor vehicles, bodies and trailers, and parts","N4422C0",45235,47838,49727,48732,51390,54204,54649,54042,56405,58061
"30","23","        Other transportation equipment","N4423C0",49443,50723,52612,55175,57952,59859,62606,64162,68597,70115
"31","24","        Furniture and related products","N4424C0",26778,27631,29660,29911,30823,32088,33062,33976,35162,36607
"32","25","        Miscellaneous manufacturing","N4425C0",34414,36135,38504,39630,40973,43153,45696,45998,48144,50952
