"","Table 7#10# Dividends Paid and Received by Sector               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1946 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2009 8:55:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Dividends paid","A2218C1",8,9.2,10.5,10.7,12.9,12.8,12.7,13.1,13.6,15.3,16.4,16.9,16.8,18.1,19.2,20.4,22.2,23.5,26.4,29.3,29.2,30.4,33.2,34.8,35.3,37.5,40.9,49,59.7,51.9,64.5,74.7,81.3,97,107.5,115.8,124.9,128.3,137.6,143.4,156.8,162.2,205.7,236.3,247.5,253.7,266.5,282.1,327.1,361.3,425.4,484.5,513.3,516.7,566.7,539.3,564.1,626.8,777.4,1118.4,1062.8,1221.7
"9","2","Domestic corporate business \1\","A2219C1",7.4,8.4,9.4,9.6,11.6,11.3,11.2,11.6,11.8,13.4,14.2,14.6,14.7,15.8,16.8,17.5,19,20.2,22.6,25.2,25.5,26.4,29,30,30.2,31.4,34.4,40.5,48.1,43.3,52.8,60.5,66.6,77.1,86,95,101.1,108.8,117.9,122.4,128.9,134.3,160.6,188.4,203.8,212.2,221.9,242.7,268.4,302.9,356.4,401.1,429.8,424.1,480.4,451.9,471.2,525.9,656.3,755,887.4,1008.5
"10","3","  Financial","B1440C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.6,2.8,2.8,3,3.3,3.7,4,4,4,4.4,5,5.6,5.9,6.3,7.2,7.1,7.2,7.8,9.1,10.6,12.5,13.3,16,15.4,16.6,20.5,23,25.2,28.2,32.7,40.6,45.3,49.4,46.9,57.4,69.6,79.5,106.2,122.8,130.6,139.7,167,152.6,166.1,177.4,226.3,270.6,321.1,378
"11","4","  Nonfinancial","B1441C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,13.2,14,14.7,16,17,18.9,21.2,21.5,22.4,24.5,25,24.6,25.5,28.1,33.2,40.9,36.1,45,51.4,56,64.6,72.6,79,85.7,92.2,97.5,99.4,103.7,106.1,127.9,147.9,158.5,162.8,174.9,185.3,198.8,223.4,250.2,278.3,299.2,284.4,313.4,299.3,305.1,348.5,430.1,484.4,566.3,630.6
