"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:39:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product","A191RX1",1055.6,965.8,904.1,787.5,777.6,861.4,938.2,1059.6,1113.6,1076.7,1162.6,1265,1488.9,1770.3,2072,2237.5,2215.9,1959,1937.6,2018,2007,2181.9,2357.7,2453.7,2568.9,2554.4,2736.4,2794.7,2853.5,2832.6,3028.1,3105.8,3185.1,3379.9,3527.1,3730.5,3972.9,4234.9,4351.2,4564.7,4707.9
"9","2","Plus: Income receipts from the rest of the world","A645RX1",15.2,14.4,11.7,9.1,7.7,7,8.1,8.9,10.9,9.9,10.7,9.3,10.6,9.8,9.6,10.3,9.7,11.1,14.5,17.3,16.7,18.5,22.2,22.8,22.3,23.6,26.3,28.6,30.1,26.7,28.6,32.2,34.6,37.8,41,44.6,47.3,46.8,48.9,54.2,60.3
"10","3","Less: Income payments to the rest of the world","A655RX1",4.9,4.6,3.8,2.8,2.5,2.6,2.9,4.7,4.9,3.7,4.1,4.2,3.8,3.4,4.1,4.6,5.1,4,4.1,4.5,5.1,5.6,6.1,6.2,6.6,6.6,7.3,7.6,7.8,8,9.4,10.9,10.9,11,12.2,13.5,14.7,16.4,17.5,20.3,27.1
"11","4","Equals: Gross national product","A001RX1",1065.9,975.5,912.1,794.1,783.3,866.7,944.3,1065,1120.6,1083.9,1170.2,1271.7,1497.6,1779.4,2081.2,2247.3,2224.7,1969.3,1950.6,2033.2,2021.1,2197.5,2376.4,2473.1,2587.7,2574.2,2758.4,2818.6,2878.5,2854.6,3050.8,3130.4,3211.9,3409.8,3559,3764.8,4008.8,4269.4,4386.7,4602.8,4745.2
"12","5","Less: Consumption of fixed capital","A262RX1",102.3,104.7,104.8,102.5,100.1,98.5,99,100.7,103.9,105.7,107.2,109.9,116.6,130.3,151.5,176.1,191.9,194.6,192.3,192.6,194.9,198.8,206.4,217,229.6,241.6,252.6,264,275.7,288.7,298.2,307.6,319.4,333.1,348.8,365.7,385.5,408.8,433,456.7,480.6
"13","6","  Private","A024RX1",99,101,100.4,97.4,94.4,92.1,92.1,93.1,95.7,96.8,97.4,99.4,102.8,103.7,101.3,99.9,100.7,106,114.9,124.1,131.6,138.7,145.6,151.3,158.2,165.4,173.2,181.6,189.8,199,204.3,209,215.9,223.9,234,245.3,260.1,277.8,295.1,312.1,330.7
"14","7","  Government","A264RX1",9.2,9.8,10.4,10.9,11.4,11.8,12.3,13,13.7,14.5,15.3,16.2,19.5,32,55.7,83,99.5,96.5,83.8,73.7,67.4,63.4,63.9,69.3,75.7,81,84.3,87.4,91.1,95.1,99.7,105,110.4,116.6,122.8,128.7,133.9,139.6,146.8,153.8,159.2
"15","8","    General government","A265RX1",7.6,8,8.5,8.9,9.3,9.6,10.1,10.7,11.3,12,12.6,13.4,16.5,28.5,51.5,78,94.1,91.2,78.8,68.8,62.5,58.5,58.8,63.9,69.9,75,78,80.8,84.2,87.9,92.1,97,101.9,107.6,113.4,118.7,123.4,128.7,135.3,141.6,146.4
"16","9","    Government enterprises","A266RX1",2.2,2.3,2.5,2.7,2.8,2.8,2.9,3,3.2,3.3,3.5,3.7,3.9,4,4,4,3.9,4,4,4.1,4.3,4.5,4.7,5,5.3,5.5,5.7,6,6.3,6.6,6.9,7.3,7.8,8.2,8.7,9.1,9.6,10.1,10.7,11.3,12
"17","10","Equals: Net national product","A027RX1",973.4,879.3,814.9,697.2,688.9,775.9,854.7,976.2,1029.4,989.5,1076.7,1178.1,1403.3,1677.6,1963.2,2104,2061.2,1795.6,1779.1,1864,1848.7,2026.6,2202.7,2289.5,2392.3,2362.6,2539.7,2587.5,2634.4,2592,2783.9,2854.4,2923.9,3111.8,3246.4,3438.4,3666.1,3906.6,3997.8,4191.7,4309.2
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income \1\","A261RX1",1048.2,970.5,895.5,784,770.7,856.6,941.2,1044.9,1114.2,1068.4,1146.6,1251.9,1485.3,1779.9,2090.8,2212.3,2178.8,1948.5,1915.5,2020,1994.3,2172.8,2334.5,2436.7,2544.1,2535.5,2722.9,2807.6,2855.9,2829,3027.1,3113.5,3190.6,3380.4,3535.5,3730.6,3968.8,4208.2,4333.9,4549.4,4700.5
"20","12","  Gross national income \2\","A023RX1",1058.4,980.2,903.5,790.5,776.3,861.9,947.3,1050.3,1121.2,1075.6,1154.1,1258.6,1494,1789.1,2100,2222.2,2187.5,1958.8,1928.4,2035.3,2008.5,2188.3,2353.1,2455.8,2562.7,2555.4,2744.8,2831.5,2881,2850.9,3049.9,3138.1,3217.4,3410.3,3567.3,3765,4004.7,4242.7,4369.5,4587.3,4737.7
