"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/28/2013 6:23:56 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","Housing output \1\","A2007C1",83.7,90.5,99.2,108.2,118.5,129.5,141.8,155.4,172.7,193.9,217.5,246,277.4,302.5,326.8,357.2,394.1,430.1,461.1,496.8,530.5,570,600.8,633.8,665.7,708.8,755.4,794.6,838.4,893.3,947.7,1009.6,1084.6,1132.5,1176.2,1241.3,1331.5,1415.1,1478.8,1542.4,1590.3,1608.3,1658.5,1718.2
"9","2","  Nonfarm housing","A2008C1",80.7,87.3,95.7,104.5,114.7,125.5,137.8,151.2,168.4,189.2,212.5,240.9,272.1,297.3,321.6,352,389,425.1,456,491.4,524.6,563.6,594,626.6,657.7,699.8,745.9,784.9,828.8,883.3,937.1,996.8,1071.4,1118.8,1161.9,1224.5,1312.7,1395.6,1458.2,1521.9,1569.5,1587.1,1636.1,1694.1
"10","3","    Owner-occupied","DOWNRC1",56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,201,218.4,235.9,257.4,280.6,305.2,329.1,357.5,384.4,412.8,436.3,462.6,488.5,523.7,559.4,592.9,629.5,674.3,718.9,768.9,829.2,869.2,913.3,968.5,1044.3,1108.8,1142.3,1185.5,1209.9,1214.5,1233.8,1263.7
"11","4","    Tenant-occupied","DTENRC1",24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,62.5,71.1,78.9,85.7,94.5,108.4,119.8,126.9,133.9,140.1,150.8,157.7,164,169.1,176.1,186.6,192,199.2,209,218.2,227.9,242.3,249.6,248.7,256,268.3,286.8,316,336.4,359.7,372.6,402.3,430.4
"12","5","  Farm housing","DFARRC1",3,3.3,3.5,3.7,3.8,4,4,4.1,4.4,4.7,4.9,5.2,5.3,5.1,5.2,5.2,5.1,5,5,5.5,5.9,6.3,6.8,7.2,8.1,9,9.4,9.8,9.6,10,10.6,12.7,13.1,13.6,14.3,16.8,18.8,19.5,20.6,20.5,20.7,21.2,22.4,24.1
"13","6","Less: Intermediate goods and services consumed","B1027C1",10.1,11.1,12.1,13.5,16.1,17.9,19.2,23,26.9,31.4,37.2,39.6,43.6,42.2,43,50.3,56.9,61.1,63.3,66.9,72.7,78.3,80.4,81.9,80.9,83.4,86.9,93.6,100.5,112.9,115.4,121,131.9,136.7,147,154.1,168.4,181.1,192.9,180.1,181.2,183.7,189.9,206.6
"14","7","Equals: Gross housing value added","A2009C1",73.6,79.4,87.1,94.7,102.3,111.5,122.6,132.4,145.8,162.6,180.3,206.4,233.8,260.3,283.8,306.8,337.2,369,397.7,430,457.8,491.7,520.4,551.9,584.8,625.4,668.5,701,737.9,780.4,832.3,888.5,952.7,995.8,1029.2,1087.2,1163.1,1234,1285.9,1362.4,1409,1424.7,1468.6,1511.6
"15","8","  Nonfarm housing","B499RC1",70.8,76.4,84,91.3,98.9,107.9,119,128.7,141.9,158.3,175.8,201.8,229,255.6,279.2,302.2,332.8,364.7,393.4,425.2,452.7,486.2,514.4,545.5,577.7,617.4,660.2,692.4,729.4,771.6,823,877.3,941.1,983.7,1016.6,1072.4,1146.5,1216.7,1267.7,1344.1,1390.6,1405.8,1448.6,1490.1
"16","9","    Owner-occupied","B1300C1",51.1,55,60.9,66.1,71.9,79.2,87.5,94.9,103.4,117.3,132.1,151.5,171.5,189.8,206.8,223.8,241.3,261.9,284.5,310.3,333.7,358.7,378.1,398.8,428,461.5,494.7,522.4,553.5,587.5,632.5,679.4,732.2,769.6,805.8,854,916.8,971.6,998.5,1055.2,1080.3,1083.4,1099.7,1116.6
"17","10","    Tenant-occupied","B1301C1",19.8,21.4,23.1,25.2,26.9,28.7,31.4,33.8,38.5,41,43.7,50.3,57.5,65.8,72.3,78.4,91.4,102.7,108.9,114.9,118.9,127.4,136.4,146.6,149.7,155.9,165.4,170.1,175.9,184.1,190.5,197.9,208.9,214.1,210.8,218.3,229.7,245.1,269.1,288.9,310.3,322.3,348.9,373.5
"18","11","  Farm housing","B1302C1",2.8,3,3.2,3.4,3.4,3.6,3.6,3.7,3.9,4.2,4.5,4.7,4.8,4.7,4.6,4.6,4.5,4.3,4.3,4.7,5.1,5.6,6,6.4,7.2,8,8.3,8.6,8.5,8.8,9.3,11.2,11.6,12.1,12.6,14.8,16.6,17.3,18.3,18.3,18.4,18.9,20,21.4
"19","12","Less: Consumption of fixed capital","A1028C1",17.1,18.4,20.4,22.8,26.3,30.3,34.3,37.8,43.6,51.3,59.8,68.2,74.8,79.2,82.1,87.1,92.7,100.9,110,118.1,125.8,131.5,135.6,139.8,148.7,158.1,167.4,175.6,184.8,196.5,211.5,229.2,248.5,263.6,286.9,319.5,358.9,393.1,406.7,400.8,382.9,377,374.3,376.6
"20","13","Equals: Net housing value added \2\","B952RC1",56.5,61,66.8,71.9,76.1,81.2,88.3,94.6,102.2,111.3,120.5,138.2,159.1,181.1,201.7,219.8,244.5,268.1,287.7,311.9,332,360.2,384.8,412.1,436.2,467.3,501.1,525.4,553.1,583.9,620.8,659.3,704.2,732.2,742.3,767.7,804.2,840.9,879.3,961.6,1026.1,1047.7,1094.3,1135
"21","14","  Compensation of employees","B1033C1",1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.4,1.6,1.8,2,2.2,2.4,2.6,2.9,3.2,3.5,3.7,4,4.2,4.5,4.7,6.9,7.2,7.6,8,8.3,8.8,9.4,9.9,10.8,11.1,11.9,11.9,12.4,12.8,13.2,14,14.3,14.2,14.1,14.1,14.7
"22","15","  Taxes on production and imports","B1031C1",17.6,20.1,22.1,23.8,25.8,27.6,30.3,33.4,36.6,37.3,38,41,45.6,50,53.5,57.6,61.3,65.1,71.3,76.3,83.1,88.7,95.4,98.8,98.8,103.8,104.2,107.6,111.7,113.8,117.8,121.9,128.6,138.5,146.7,155.6,167.4,178.3,191.6,196.2,206.1,206.1,207,208.6
