"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 29, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/28/2013 6:01:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Government consumption expenditures \1\","A955RC1",180.9,194.4,210.8,227.6,240.7,267,298.5,316.2,342.6,371.8,405.4,454.9,507.4,553.1,594.6,632,688.6,736.4,776.1,819.8,881.5,948,1004.1,1049.3,1074.2,1109.6,1144.5,1176.5,1224.6,1272.1,1357.6,1444.2,1545.1,1651.4,1755.6,1868.9,1980,2089.8,2209.7,2368.6,2442.1,2522.2,2526.1,2548
"9","2","        Gross output of general government","W101RC1",199.7,215,233.8,253.5,269.5,298.8,332.6,353.3,383.6,418.2,458.7,514.6,574.6,627.5,676.7,721,785.9,842.1,890,943.8,1018.6,1098.2,1169.1,1229,1268.6,1317.8,1363.4,1404.9,1463,1521.7,1618.3,1727,1851.3,1973.5,2094.5,2226.1,2356.8,2489,2626.6,2802.3,2892,2992.5,3021.6,3055.8
"10","3","          Value added","W102RC1",149.3,164.4,179.6,194.6,208.4,227,250.3,267,287.2,312.3,339,374.6,413.8,449.9,478.9,514.4,555.5,591.7,629.7,676.7,728.9,784.7,835,880.7,909.8,940.5,969.6,993.9,1027,1067.3,1123.7,1190.5,1260.5,1333.9,1413.7,1495.4,1574.3,1652.5,1746.5,1843.5,1907.6,1975.9,2002.4,2023.7
"11","4","            Compensation of general government employees","A194RC1",116.1,128.3,141.2,154.3,165.3,178.3,196.6,209.8,226,246,266.2,292.3,320.7,346.8,368.6,395.7,428.1,454.9,482.6,518.2,559.6,604.7,645,684.9,707.3,731.6,753,773.5,802.4,838.4,886.8,942.8,1005.6,1072.8,1143.4,1210.5,1268.7,1325.9,1395.1,1467.9,1517.4,1572.2,1581.2,1589.6
"12","5","            Consumption of general government fixed capital \2\","A265RC1",33.2,36.1,38.4,40.3,43.1,48.7,53.7,57.2,61.2,66.3,72.8,82.3,93.1,103.1,110.3,118.7,127.3,136.8,147,158.5,169.3,180,189.9,195.8,202.5,208.9,216.6,220.4,224.6,228.9,236.9,247.7,254.9,261.2,270.3,284.9,305.6,326.6,351.4,375.5,390.3,403.8,421.2,434.2
"13","6","          Intermediate goods and services purchased \3\","W104RC1",50.5,50.6,54.1,58.9,61.1,71.7,82.3,86.3,96.4,105.9,119.7,140,160.8,177.6,197.8,206.6,230.5,250.4,260.3,267.2,289.7,313.6,334.1,348.4,358.8,377.4,393.9,411,436,454.4,494.5,536.4,590.8,639.6,680.8,730.7,782.5,836.6,880.1,958.9,984.3,1016.6,1019.2,1032
"14","7","            Durable goods","W105RC1",7.8,7.7,6.6,8,8,8.1,9.4,9.7,12.1,13.9,16.3,18.4,22.5,26.5,32.5,35.2,38.2,41.8,44.4,44.9,44.6,44.9,45.2,43.2,41.7,38.8,37.9,38.3,39.3,40.9,43.7,44.9,46.3,47.6,49.5,53.4,54.8,59.1,63.1,70.2,74.4,75,72,71.8
"15","8","            Nondurable goods","W106RC1",16.9,14.9,15.5,16.8,17.6,22,26,27.7,31.1,34.2,39.4,49,57.5,57.2,61.1,58.7,64.2,67.2,65.3,61.2,73.3,79.4,82.1,84.5,88.2,90.6,97.7,104.1,109.5,112.2,121.6,143.5,153.7,158.2,169.9,188.7,214.8,233,251,284.3,262.9,276.3,300.3,307.4
"16","9","            Services","W107RC1",25.8,28,32,34.2,35.5,41.6,46.9,48.9,53.3,57.8,64,72.6,80.7,94,104.2,112.7,128.1,141.4,150.6,161,171.9,189.2,206.8,220.7,228.9,248,258.3,268.6,287.2,301.3,329.2,348.1,390.8,433.8,461.3,488.5,512.9,544.5,566,604.4,647,665.2,646.9,652.8
"17","10","        Less: Own-account investment \4\","W108RC1",6.1,6.6,7.1,7.5,7.9,8.6,9.1,9.4,9.6,10.7,12.1,13.5,14.7,16,17.6,19.6,21.9,23.9,25.2,27,29.7,32,33.5,34.2,35,35.7,36.8,37.2,38.9,39.9,41.5,44.4,49.7,52.6,54.5,56.3,59.5,62.8,66.4,69.8,71,70.8,71.6,70.3
"18","11","        Less: Sales to other sectors \5\","W109RC1",12.8,14,15.8,18.4,20.9,23.2,24.9,27.7,31.4,35.7,41.2,46.2,52.5,58.4,64.5,69.4,75.5,81.9,88.6,97.1,107.4,118.3,131.5,145.6,159.4,172.5,182.2,191.2,199.5,209.7,219.2,238.4,256.5,269.6,284.4,300.9,317.3,336.3,350.4,364,378.9,399.5,423.9,437.4
"19","12","Federal consumption expenditures \1\","A957RC1",100.4,102.3,106.6,112.2,113.9,122.5,132.9,139,149.6,162,176,202.1,231.3,255.7,277.9,292,316.8,336.5,347.8,360.8,380.2,401.8,423.9,430.2,427.7,427.3,427.7,428.4,438.7,436.4,455.6,475.1,505.4,560.3,628.5,681.4,723.4,763.9,798.4,879.8,933.7,1003.9,1008.7,1011.7
"20","13","      Gross output of general government","W110RC1",105.6,107.7,112.4,119.1,121.6,131,141.3,147.5,159.2,172.8,188.4,215.7,245.6,270.6,293.7,309.4,335.4,356.1,368.7,383.3,404,427.4,450.8,457.1,454.8,456.7,454.9,456,464.3,463.1,481.1,503.3,535,591.8,661.9,716,762.6,804,838.6,922.6,978.1,1050.2,1058.5,1056
"21","14","        Value added","W111RC1",76.9,82.4,87.4,92.2,95.8,101.8,109.5,116.2,123.6,133.5,142.5,157.3,176,193,204.9,221.1,236.3,247.3,258.5,275.9,290.1,304.3,321.3,327.7,329.8,330.6,331.3,330.5,332.3,335,343.7,358.7,369.2,396.2,432,457.5,487.5,509.6,536.3,570.3,603.6,643.6,663,666.4
"22","15","          Compensation of general government employees","B568RC1",51.4,55.2,58.8,62.6,64.6,67.8,72.5,76.5,80.9,87.1,92,100.8,112.2,122,127.7,136.5,145,149.1,153.1,161.9,168.5,176,186.5,189.6,188.1,186.1,183.3,182.2,183.5,185.8,191.7,202.4,211.2,236.4,266.9,284.2,303.7,314.8,329.6,350.2,375.5,404.8,413.2,411.1
