"","Table 7#4#6# Real Housing Sector Output, Real Gross Value Added,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/28/2013 6:24:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","Housing output \1\","A2007X1",1276.8,1319.2,1363.5,1368.8,1386.5,1427.3,1492.4,1532.4,1546,1569.8,1590.3,1607.4,1635.6,1656.8
"9","2","  Nonfarm housing","A2008X1",1258.6,1298.6,1342.8,1348.1,1365.7,1406.5,1471.6,1511.6,1525.1,1549,1569.5,1586.8,1615.1,1636.5
"10","3","    Owner-occupied","DOWNRX1",956.1,993,1031.4,1038.9,1065.5,1104.7,1164.3,1194.6,1190.4,1205.1,1209.9,1214.6,1219.8,1224.6
"11","4","    Tenant-occupied","DTENRX1",303.6,306.4,312.2,309.9,300.3,301.6,306.8,316.6,334.6,343.9,359.7,372.1,395.2,411.7
"12","5","  Farm housing","DFARRX1",17.9,21,20.8,20.8,21,20.9,20.9,20.9,20.8,20.8,20.7,20.6,20.5,20.4
"13","6","Less: Intermediate goods and services consumed","B1027X1",152.5,154.9,163.3,163.9,166.6,166.5,173.8,179.7,186.1,171.7,181.2,178.5,182.1,192.3
"14","7","Equals: Gross housing value added","A2009X1",1123.5,1163.7,1199.4,1204.2,1219.1,1260.2,1318.1,1352.1,1358.7,1398.5,1409,1429,1453.5,1464.2
"15","8","  Nonfarm housing","B499RX1",1107.6,1145.4,1181.1,1185.9,1200.7,1241.8,1299.6,1333.6,1340.1,1380,1390.6,1410.6,1435.3,1446.1
"16","9","    Owner-occupied","B1300X1",844.6,882.3,914.6,923.3,947.6,984.9,1035.9,1061.2,1053.4,1083.9,1080.3,1087.9,1090.8,1087.3
"17","10","    Tenant-occupied","B1301X1",263.7,263.6,266.9,262.9,253.1,256.8,263.6,272.2,286.7,296.1,310.3,322.7,344.4,358.7
"18","11","  Farm housing","B1302X1",15.8,18.5,18.4,18.4,18.5,18.4,18.5,18.5,18.5,18.5,18.4,18.4,18.2,18.2
"19","12","Less: Consumption of fixed capital","B1028X1",281.2,292.1,302.1,313.1,326.4,342.2,359.2,374.1,383.2,385.3,382.9,379.5,376.8,375.7
"20","13","Equals: Net housing value added","B952RX1",844.6,874,899.7,893.1,894.4,919.4,960.1,978,974,1012.9,1026.1,1049.4,1076.6,1088.3
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","as shown in table 2.5.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
