"","Table 5#9#5A# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:47:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Gross government fixed investment \1\","A782RC1",2.9,3.3,3.1,2.3,2,2.7,2.9,4.2,3.9,4.3,4.6,4.4,10.8,29,39.9,38.1,25.3,4.7,5.7,8.5,11.3,11.5,19.6,24.6,26.7,25.4,24.4,27.1,30.2,32.6,35.9,36,39.9,42.6,44.4,46.4,47.9,53.6,57.7,59.2,59.5
"9","2","        Federal","A787RC1",0.2,0.3,0.4,0.5,0.7,0.9,1.2,1.3,1.3,1.3,1.2,1.6,8.5,27.4,39,37.4,24.5,3.1,2.8,4.4,5.9,5.5,12.5,17.2,18.7,16.1,14.2,15.8,17.6,18.9,21.8,21.9,24.6,26.5,26.7,27.1,26.7,30.1,31.9,31.1,30.7
"10","3","          National defense","A788RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.3,0.4,0.8,7.4,26.4,38.1,36.8,24,2.7,2.2,3.3,4.3,3.7,10.6,15.3,16.9,14.6,13,14,15.4,16.2,18.9,18.3,20.4,21.1,19.5,18.3,16.7,18.7,21.3,19.9,19.5
