"","Table 1#2#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:36:37 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RL1",-8.5,-6.4,-12.9,-1.3,10.8,8.9,12.9,5.1,-3.3,8,8.8,17.7,18.9,17,8,-1,-11.6,-1.1,4.1,-0.5,8.7,8.1,4.1,4.7,-0.6,7.1,2.1,2.1,-0.7,6.9,2.6,2.6,6.1,4.4,5.8,6.5,6.6,2.7,4.9,3.1
"9","2","       Final sales of domestic product","A190RL1",-6.8,-5.8,-11.2,-3,9.5,6.3,13.1,4.2,-1.3,7.3,6.9,16.7,21.3,18.6,8,-0.7,-14.3,1.8,1.7,2.3,5.9,7.4,5.5,5,0.3,5.6,2.4,2.6,-0.6,6.1,2.7,2.6,5.6,4.5,5.9,5.9,6.1,3.3,5.1,3.2
"10","3","       Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","4","Goods","A353RL1",-12.9,-8.3,-17.9,3.3,14.5,14.2,15.1,7.1,-7.1,8.7,13,17.2,5.4,15,6.3,-2,7.1,1,4.2,-3.9,10.5,5.8,0.3,4.9,-1.9,11.7,2.3,1.6,-4.2,8.5,3.5,1.4,6.7,4.5,6.7,8.3,8.8,0.7,4.1,3.3
"12","5","    Final sales","A325RL1",-9.5,-7,-14.1,-1.1,11.4,8.5,15.5,5.2,-3.2,7.3,8.9,15.2,9.3,18.4,6.3,-1.4,0.5,7,-0.6,1.6,4.7,4.5,3.2,5.6,0,8.2,3,2.8,-3.8,6.6,3.9,1.5,5.5,4.8,7.1,7,7.8,1.9,4.4,3.4
"13","6","    Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","7","  Durable goods","A354RL1",-25.5,-20.9,-36.2,13.7,30.7,22.8,29.3,9.4,-21.4,20.3,23.4,38.7,19,43.5,9.9,-13.5,-12.6,6.1,1.2,-3.1,18.3,8.2,-2.2,11.1,-7.5,19.5,-0.2,2,-11.7,16.3,3.9,-0.5,12.5,6.4,9.7,11.3,12.2,-1.2,4.8,4.7
"15","8","    Final sales","A326RL1",-17.6,-18.9,-28.4,-1.8,23.1,22.4,25.1,11.6,-16.9,15.1,20.4,34.4,24.4,46.2,10.7,-12.6,-20.2,22.8,1.1,1.3,9.6,6,3.6,10.7,-3.1,12.3,1.2,3.3,-8.5,10.1,5.2,1.1,9.3,7.3,9,9.9,10.3,1.8,5.2,4.2
"16","9","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","  Nondurable goods","A356RL1",-7.4,5.1,-8,-1.3,1.9,10.4,2,11.2,5.5,1.6,3.9,4.3,4.6,-4.1,1.1,7.3,16.4,-1.6,6,-4.3,5.5,4.1,2.2,0.4,2.6,5.9,4.3,1.2,2,2.8,3.2,2.9,2.2,2.8,3.9,5.5,5.6,2.7,3.4,1.9
"18","11","    Final sales","A334RL1",-5.4,-1.5,-8.5,-0.8,7.9,3.9,11.9,2.5,3.4,4.2,3.8,5.3,-0.5,-1,2.2,9.1,15.5,-0.7,-1.6,1.8,1.5,3.4,3,1.8,2.5,5.1,4.4,2.3,0,3.9,2.8,1.9,2.5,2.6,5.4,4.3,5.4,1.9,3.7,2.6
"19","12","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","Services \2\","A341RL1",-0.8,-1.3,-4.8,-2,6.6,2.9,6.5,3.2,1.1,5.3,4.9,16,39.8,33,13.6,-0.3,-32.3,-6.3,1,3.5,2.6,14.7,9.2,4.2,-1,2,2.7,3.6,2.3,4.2,2.5,3.7,5.6,3.6,4.6,5.1,6,5.7,5.4,3.4
"21","14","Structures","A755RL1",-14.9,-18.8,-30.2,-21.5,16.9,13.5,38,2.5,-2.3,17,5.4,27.3,7.6,-42.7,-31.2,3.5,96.7,13.9,17,1,23,-3,2.2,5.6,6.6,9.1,-0.4,-1.1,1.8,11.3,-0.9,2.8,5.8,6.8,6.8,5.1,0.2,-1.3,6.2,1.4
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,0.1
"24","16","  Gross domestic product excluding motor vehicle output","A962RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,3.3
"25","17","  Final sales of computers \3\","BB01RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","18","  Gross domestic product excluding final sales of computers","BB00RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","20","  Research and development","Y694RL1",17.3,20.7,7.8,-0.4,3.1,6,3.7,0.6,12.5,-0.8,14.3,69.5,9.6,8.3,28.1,0.1,6.7,-0.6,7,-1.1,10.7,4.3,20.7,17.9,10,10,29.4,11.5,6.4,7.5,10.1,9.5,10.3,14.3,8.7,8.6,10.8,6.3,4.5,1.8
"29","21","  Gross domestic product excluding research and development","Y695RL1",-8.6,-6.5,-13,-1.3,10.8,8.9,13,5.1,-3.4,8,8.8,17.4,19,17.1,7.8,-1,-11.8,-1.1,4.1,-0.5,8.7,8.1,3.9,4.5,-0.7,7.1,1.7,1.9,-0.9,6.9,2.4,2.4,6,4.1,5.7,6.4,6.5,2.6,4.9,3.2
