"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Goods \1\","A253RC1",15.7,16.7,16.8,15.1,14.6,13,13.1,12.4,13.7,13.2,11.9,10.1,9.6,9.8,10.2,11.3,12.5,14.3,15.1,15.1,15.4,13.4,12.4,12.5,12.1,12.3,12.9,12.3,11.6,13.6,12.9,13.6,14.2,13.8,14.8,14.9,15.9,17.2,18.1,19.1,20.6,20.1,19.4,18.1,16.6,16.3,16.4,16.3,15.6,15.9,17.5,16.9,19.5,20.5,20.9,20.9,21.2,20.1,21,21.5,21.2,22.3,22.3,21.1,21.3,23.4,23.8,24.9,26.1,26,26.9,27.8,24.4,28.8,27.9,30.1,30.4,30.1,30.6,31.9,32.5,32.3,31.6,32.3,33.6,34.9,36.6,35.9,31.6,39.9
"12","4","    Durable","A332RC1",8.2,9,8.9,7.7,7.3,6.5,6.6,6.2,6.8,6.6,5.9,5,4.8,4.9,5.1,5.5,6.1,6.6,6.7,7.1,7.5,6.8,6.6,6.8,6.7,6.8,7.2,6.9,6.4,7.5,7.1,7.5,8,7.9,8.5,8.5,8.9,9.6,10.1,10.6,11.5,11.2,10.8,10.1,9.2,8.7,8.9,9.1,8.5,8.8,9.4,9.1,10.5,11.4,11.8,11.4,11.5,11.2,11.6,11.8,11.8,12.1,12.2,11.8,11.7,12.6,12.9,13.5,14.1,14.2,14.9,15.5,14,16.2,15.8,17,17.2,17.1,17.4,18.4,18.5,18.6,18.1,18.5,19.4,21,21.8,21.8,20.5,24
"13","5","    Nondurable","A339RC1",7.5,7.7,7.9,7.4,7.3,6.5,6.6,6.2,6.9,6.6,6,5.1,4.8,4.9,5.1,5.7,6.4,7.7,8.4,8,7.9,6.6,5.8,5.7,5.4,5.5,5.7,5.5,5.2,6.1,5.8,6.1,6.2,5.9,6.3,6.4,7,7.6,8,8.5,9.1,8.9,8.6,8,7.3,7.6,7.5,7.2,7,7.1,8.1,7.8,9,9.1,9.2,9.5,9.7,8.8,9.4,9.7,9.4,10.1,10.1,9.3,9.6,10.8,10.9,11.4,12,11.8,12,12.3,10.3,12.6,12.1,13.1,13.2,13,13.2,13.5,13.9,13.7,13.6,13.8,14.2,13.9,14.9,14.1,11.2,16
"14","6","  Services \1\","A646RC1",2.7,2.8,2.6,2.5,2.3,2.2,2.3,2.3,2.4,2.5,2.2,2,2.1,2.1,2.1,2.3,2.5,2.8,3,3.1,3.3,3.1,2.8,2.8,3,2.9,2.9,2.8,2.8,2.8,3,3,3.1,3.1,3.4,3.4,3.5,3.7,3.8,4,4.3,4.3,4.3,4.9,4,4.2,4.1,4.2,6.2,6.6,6,6.2,6.5,7.2,6.1,6.6,6.3,7.4,6.2,6.7,7.1,8.4,6.7,7.2,7.8,9,6.9,7.3,8.1,8.8,7.9,8.4,8.7,10.3,9,9.4,9,11.4,9.8,10.5,11.5,11.3,10.8,11.6,11.9,12.5,12.9,13.3,12.3,14
"15","7","Income receipts","B645RC1",1.4,1.6,1.6,1.8,1.9,2,2.1,2,2.1,2,1.9,1.8,1.9,2,2.4,2.4,2.4,2.8,2.9,3,2.8,2.9,2.9,2.9,2.8,3,2.8,2.8,3,2.9,3,3.3,3.4,3.5,3.5,3.6,4,3.9,4.1,3.7,4.3,4.6,4.5,3.8,3.9,3.9,3.8,3.9,4,4.1,4.4,4.7,4.8,4.8,4.9,5.1,5.3,5.1,5.3,5.5,5.4,5.8,5.9,6.6,6.4,6.3,6.5,6.8,7.3,7.2,7.4,7.1,7.9,8.2,7.9,7.5,7.8,7.9,8.1,8.5,8.5,8.3,8.9,9,9.5,10,10.4,10.5,11.1,11.5
"16","8","  Wage and salary receipts","B4188C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","9","  Income receipts on assets","W160RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","    Interest","A2067C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","    Dividends","B3375C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","    Current payments to the rest of the world","W163RC1",10.4,11.2,10.9,11.6,13.9,14.2,16.6,15.9,15.9,15.9,15.4,14.9,14.6,15.2,17.3,18.4,19.2,19.5,18.7,18.5,18,18.3,19.2,19.4,19.3,20,19.7,18.9,17.9,19,18.9,19,20.2,20.6,20.9,21.5,22.4,22.6,22.9,22.3,23.6,24.1,23.3,23.2,22.9,23.6,23.4,24.6,27.3,28.7,28.4,28.6,29.1,29.9,28.3,27.8,27.4,28.6,28.8,30,30.6,31.7,30.7,31.7,31.6,33.5,32.5,33,33.3,35.2,34.6,36.1,35.2,40.3,38.9,41.1,42.5,45.5,45.7,47,48.1,48.3,48.2,50.1,53.4,55.1,58.4,59,53.5,64.8
"22","14","Imports of goods and services","B021RC1",7.5,8.2,7.7,8.3,9.6,10,10.5,10.1,9.6,9.4,8.9,9.1,9.5,10.2,13,13.7,14.9,15.2,14.3,14,15,14.6,15.3,16.3,15.8,16.4,16.3,15.5,14.8,16.2,15.3,15.5,16.2,17.1,17.4,18.1,18.9,19,19.3,18.5,20.1,20.3,19.8,19.6,19.5,20.1,19.7,20.8,21.4,22.5,22.9,22.5,23.3,23.5,22.9,21.7,21.7,21.9,23.3,23.9,24.3,24.9,25.1,25.6,25.2,25.9,26.7,26.8,27,27.7,28.4,29.3,28.5,31.7,32,33.9,35,36.2,38.2,38.8,39.4,39,39.5,41.7,44.4,45.4,48.2,48.2,43.8,52.7
"23","15","  Goods \1\","A255RC1",5.6,6.3,5.8,6.2,7.3,7.6,7.7,7.5,7.2,6.9,6.6,6.9,7.2,7.8,10.5,10.9,11.8,12,10.8,10.1,10.7,10.6,10.8,11.3,11,11.5,11.2,10.2,10,11,10.2,10.2,11.1,11.2,11.3,12.5,13,12.7,12.6,12.9,13.2,13.4,13.1,13.5,12.6,12.7,12.8,13.8,14.5,15.5,15.8,15.4,15.7,15.9,15.1,14.2,14.1,14.3,15.8,16.1,16.4,16.9,17.1,17,16.9,17.6,18.2,18.2,18.3,19.1,19.7,20.4,19.6,22.4,22.8,24.2,24.9,25.6,27.2,27.7,27.7,26.8,27,29.5,32.1,33.2,35.4,35.1,30.8,39.1
"24","16","    Durable","A333RC1",1.7,1.9,1.8,1.9,2.3,2.4,2.4,2.4,2.2,2.1,2,2.1,2.3,2.5,3.5,3.7,4,4.1,3.7,3.4,3.8,4,4.2,4.5,4.4,4.4,4.1,3.5,3.4,3.7,3.8,3.6,4.1,4.3,4.5,4.9,5.1,5.1,4.9,5.5,5.2,5.4,5.2,5.3,4.9,4.7,5,5.4,5.9,6.7,6.9,7,7.1,6.6,6.2,5.5,5.4,5.6,6.4,6.7,6.9,7,7,6.9,7,7.3,7.7,7.6,7.8,8.2,8.7,8.9,9,10.4,10.6,11.6,12,12.6,13.9,14.6,14.3,14,14.3,15.7,17.9,18.4,19.3,19.7,17.3,22.2
"25","17","    Nondurable","A340RC1",4,4.4,4,4.2,5,5.2,5.3,5.2,5,4.7,4.6,4.7,4.9,5.3,7,7.2,7.8,7.9,7.1,6.6,6.9,6.6,6.6,6.8,6.6,7.1,7.1,6.7,6.6,7.4,6.5,6.5,7,6.9,6.8,7.6,7.9,7.6,7.7,7.4,8,8,7.9,8.2,7.7,8,7.8,8.4,8.6,8.8,8.9,8.5,8.6,9.3,8.9,8.7,8.6,8.6,9.3,9.5,9.6,9.9,10.1,10.1,9.9,10.3,10.5,10.6,10.5,10.8,11,11.6,10.5,12,12.2,12.6,12.8,13,13.3,13.1,13.4,12.8,12.7,13.9,14.2,14.7,16.1,15.4,13.5,16.9
"26","18","  Services \1\","B656RC1",1.9,1.9,1.8,2.2,2.3,2.4,2.7,2.6,2.4,2.5,2.3,2.2,2.3,2.4,2.6,2.8,3.1,3.1,3.5,3.9,4.3,4,4.5,5.1,4.8,4.9,5.2,5.3,4.8,5.1,5.1,5.3,5.1,5.9,6.1,5.6,5.9,6.3,6.6,5.7,6.9,6.9,6.7,6.1,6.9,7.4,7,7,6.9,7,7.1,7.1,7.6,7.6,7.8,7.5,7.6,7.6,7.6,7.7,7.9,8,8,8.5,8.3,8.3,8.6,8.5,8.6,8.6,8.7,8.9,8.9,9.2,9.2,9.8,10.1,10.6,11,11.1,11.7,12.2,12.5,12.1,12.3,12.3,12.8,13.1,13,13.6
"27","19","Income payments","A655RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,0.9,0.9,0.9,1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.9,1.8,1.8,1.9,1.9,1.9,2,2.1,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.6,2.7,2.8,2.9,3.1,3.2,3.2,3.2,3.2,3.4,3.7,4,4.1,4.2,4.8,5.4
"28","20","  Wage and salary payments","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","21","  Income payments on assets","W161RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","22","    Interest","B1869C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","23","    Dividends","B3376C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1",2.4,2.5,2.8,2.7,3.8,3.7,5.5,5.2,5.7,5.9,5.8,5.2,4.4,4.2,3.5,3.9,3.4,3.5,3.5,3.7,2.2,2.8,3,2.2,2.6,2.6,2.4,2.4,2.1,1.9,2.7,2.6,3,2.5,2.4,2.3,2.3,2.5,2.5,2.6,2.3,2.7,2.3,2.3,2.2,2.3,2.4,2.5,4.5,4.7,4,4.5,3.9,4.7,3.6,4.4,4,4.9,3.7,4.3,4.5,5,3.8,4.3,4.5,5.6,3.7,4.1,4.1,5.2,3.9,4.3,4.3,6.1,4.2,4.4,4.7,6.4,4.5,4.9,5.4,6,5.4,5,5.3,5.7,6.1,6.6,4.9,6.8
"34","26","  From persons (net)","B070RC1",0.7,0.6,0.7,0.6,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.4,1,0.9,0.9,0.9,1.1,1,1,1.2
"35","27","  From government (net)","B088RC1",1.7,1.9,2.1,2.1,3,3,4.9,4.6,5.1,5.4,5.3,4.7,3.9,3.8,3.1,3.5,3,3.1,3.2,3.3,1.8,2.5,2.6,1.7,2.1,2.2,1.9,2,1.7,1.5,2,2.1,2.6,2.1,2,1.9,1.9,2,2,2,1.8,2.1,1.8,1.9,1.8,1.9,2,2,4,4.2,3.4,3.9,3.4,4.1,3.1,3.7,3.4,4.3,3,3.6,3.8,4.3,3.1,3.6,3.7,4.8,2.9,3.3,3.3,4.3,3,3.4,3.4,5.1,3.2,3.4,3.8,5.4,3.4,3.9,4.3,4.4,4.2,3.8,4.1,4.5,4.7,5.3,3.6,5.3
"36","28","  From business (net)","W164RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"37","29","    Balance on current account, NIPAs","A124RC1",9.4,9.9,10.1,7.8,4.9,3,0.9,0.8,2.2,1.7,0.6,-1,-1,-1.2,-2.7,-2.5,-1.7,0.4,2.2,2.7,3.5,1.1,-1.1,-1.2,-1.3,-1.8,-1.2,-0.9,-0.5,0.3,-0.1,0.9,0.5,-0.2,0.8,0.4,0.9,2.2,3,4.5,5.6,4.8,4.9,3.6,1.5,0.8,1,-0.1,-1.5,-2.1,-0.6,-0.9,1.7,2.5,3.7,4.8,5.3,4,3.8,3.7,3.1,4.8,4.1,3.2,3.9,5.3,4.6,6,8.2,6.7,7.6,7.3,5.7,7,6,5.9,4.7,3.9,2.7,3.9,4.4,3.6,3.2,2.8,1.7,2.2,1.5,0.8,1.6,0.6
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","30","  Net lending or net borrowing (-), NIPAs","W162RC1",9.4,9.9,10.1,7.8,4.9,3,0.9,0.8,2.2,1.7,0.6,-1,-1,-1.2,-2.7,-2.5,-1.7,0.4,2.2,2.7,3.5,1.1,-1.1,-1.2,-1.3,-1.8,-1.2,-0.9,-0.5,0.3,-0.1,0.9,0.5,-0.2,0.8,0.4,0.9,2.2,3,4.5,5.6,4.8,4.9,3.6,1.5,0.8,1,-0.1,-1.5,-2.1,-0.6,-0.9,1.7,2.5,3.7,4.8,5.3,4,3.8,3.7,3.1,4.8,4.1,3.2,3.9,5.3,4.6,6,8.2,6.7,7.6,7.3,5.7,7,6,5.9,4.7,3.9,2.7,3.9,4.4,3.6,3.2,2.8,1.7,2.2,1.5,0.8,1.6,0.6
"40","31","    Balance on current account, NIPAs","A124RC1",9.4,9.9,10.1,7.8,4.9,3,0.9,0.8,2.2,1.7,0.6,-1,-1,-1.2,-2.7,-2.5,-1.7,0.4,2.2,2.7,3.5,1.1,-1.1,-1.2,-1.3,-1.8,-1.2,-0.9,-0.5,0.3,-0.1,0.9,0.5,-0.2,0.8,0.4,0.9,2.2,3,4.5,5.6,4.8,4.9,3.6,1.5,0.8,1,-0.1,-1.5,-2.1,-0.6,-0.9,1.7,2.5,3.7,4.8,5.3,4,3.8,3.7,3.1,4.8,4.1,3.2,3.9,5.3,4.6,6,8.2,6.7,7.6,7.3,5.7,7,6,5.9,4.7,3.9,2.7,3.9,4.4,3.6,3.2,2.8,1.7,2.2,1.5,0.8,1.6,0.6
"41","32","    Less: Capital account transactions (net) \2\","W167RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
