"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:39:12 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","Gross domestic product","A191RC1",243.1,246.3,250.1,260.3,266.2,272.9,279.5,280.7,275.4,271.7,273.3,271,281.2,290.7,308.5,320.3,336.4,344.5,351.8,356.6,360.2,361.4,368.1,381.2,388.5,392.3,391.7,386.5,385.9,386.7,391.6,400.3,413.8,422.2,430.9,437.8,440.5,446.8,452,461.3,470.6,472.8,480.3,475.7,468.4,472.8,486.7,500.4,511.1,524.2,525.2,529.3,543.3,542.7,546,541.1,545.9,557.4,568.2,581.6,595.2,602.6,609.6,613.1,622.7,631.8,645,654.8,671.2,680.8,692.8,698.4,719.2,732.4,750.2,773.1,797.3,807.2,820.8,834.9,846,851.1,866.6,883.2,911.1,936.3,952.3,970.1,995.4,1011.4
"10","2","Plus: Income receipts from the rest of the world","B645RC1",1.4,1.6,1.6,1.8,1.9,2,2.1,2,2.1,2,1.9,1.8,1.9,2,2.4,2.4,2.4,2.8,2.9,3,2.8,2.9,2.9,2.9,2.8,3,2.8,2.8,3,2.9,3,3.3,3.4,3.5,3.5,3.6,4,3.9,4.1,3.7,4.3,4.6,4.5,3.8,3.9,3.9,3.8,3.9,4,4.1,4.4,4.7,4.8,4.8,4.9,5.1,5.3,5.1,5.3,5.5,5.4,5.8,5.9,6.6,6.4,6.3,6.5,6.8,7.3,7.2,7.4,7.1,7.9,8.2,7.9,7.5,7.8,7.9,8.1,8.5,8.5,8.3,8.9,9,9.5,10,10.4,10.5,11.1,11.5
"11","3","Less: Income payments to the rest of the world","A655RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,0.9,0.9,0.9,1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.9,1.8,1.8,1.9,1.9,1.9,2,2.1,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.6,2.7,2.8,2.9,3.1,3.2,3.2,3.2,3.2,3.4,3.7,4,4.1,4.2,4.8,5.4
"12","4","Equals: Gross national product","A001RC1",244.1,247.4,251.2,261.5,267.6,274.4,281,282.1,276.8,273,274.5,272.1,282.4,292.1,310.1,321.9,337.9,346.3,353.8,358.7,362.2,363.4,370.1,383.2,390.4,394.3,393.5,388.3,387.9,388.7,393.6,402.7,416.2,424.6,433.4,440.3,443.3,449.6,454.9,463.8,473.7,476.2,483.5,478.2,471,475.5,489.3,503,513.6,526.8,528,532.4,546.3,545.7,549.2,544.4,549.5,560.8,571.7,585.2,598.8,606.6,613.6,617.9,627.2,636.2,649.4,659.5,676.2,685.6,697.9,703.1,724.7,738,755.4,777.9,802.3,812.2,825.8,840.1,851.3,856.1,872.3,888.8,917,942.3,958.6,976.4,1001.8,1017.5
"13","5","Less: Consumption of fixed capital","A262RC1",27.7,28.8,29.8,30.5,30.8,31.2,31.7,32,32.3,32.3,32.3,32.4,32.5,32.8,33.6,34.9,36.3,37.4,38.3,39.1,39.6,40.2,41,41.7,42.5,43.2,43.8,44.4,45,45.7,46.3,47,47.5,48.2,49.3,50.6,52.1,53.5,54.8,56,57.3,58.4,59.5,60.4,61.1,62,62.9,63.8,64.5,65.1,65.8,66.4,67,67.6,68.2,68.8,69.5,70.2,70.9,71.8,72.7,73.5,74.6,75.6,76.5,77.5,78.5,79.5,80.6,81.8,83,84.2,85.6,87.1,88.8,90.5,92.3,94.3,96.3,98.3,100.2,102.3,104.6,106.9,109.4,111.9,114.5,117.4,120.5,123.5
"14","6","  Private","A024RC1",16.3,17.3,18.2,19.1,19.9,20.6,21.2,21.7,22.1,22.4,22.8,23.1,23.4,23.9,24.6,25.5,26.6,27.5,28.2,28.7,29,29.3,29.7,30.2,30.7,31.1,31.6,32,32.4,32.8,33.2,33.5,33.9,34.5,35.3,36.2,37.3,38.4,39.3,40.2,41.1,41.9,42.7,43.4,44,44.7,45.2,45.7,46.2,46.6,47,47.4,47.7,48,48.4,48.7,49.1,49.5,50,50.5,51,51.5,52.1,52.6,53.2,53.8,54.5,55.2,55.9,56.8,57.7,58.7,59.7,60.9,62.1,63.5,65,66.4,67.9,69.4,70.9,72.5,74.1,75.8,77.6,79.5,81.6,83.7,86.1,88.3
"15","7","    Domestic business","W276RC1",13.6,14.4,15.2,15.9,16.6,17.2,17.7,18.1,18.5,18.8,19.1,19.4,19.6,20,20.6,21.3,22.2,23,23.6,23.9,24.1,24.4,24.7,25.1,25.5,25.9,26.3,26.6,26.9,27.2,27.5,27.8,28.1,28.5,29.2,29.9,30.9,31.8,32.6,33.4,34.2,34.9,35.6,36.2,36.8,37.3,37.8,38.2,38.6,38.9,39.2,39.4,39.7,39.9,40.2,40.4,40.7,41.1,41.5,41.9,42.3,42.7,43.2,43.6,44.1,44.6,45.1,45.7,46.3,47,47.7,48.5,49.4,50.3,51.4,52.5,53.8,55,56.3,57.5,58.8,60.2,61.6,63,64.5,66.1,67.8,69.5,71.4,73.3
"16","8","      Capital consumption allowances","Y0000C1",10.5,10.8,11.3,11.8,12.3,12.9,13.4,13.9,14.4,14.8,15.2,15.6,15.9,16.3,16.8,17.3,18,18.6,19.1,19.6,20,20.4,20.9,21.5,22.2,22.8,23.4,23.9,24.3,24.9,25.6,26.4,27.2,28,28.7,29.3,29.9,30.5,31.1,31.8,32.6,33.3,33.8,34.3,34.6,35,35.5,36,36.6,37.2,37.8,38.4,39,39.6,40,40.3,40.6,41.1,42,43.2,44.8,46.1,47.3,48.1,48.8,49.5,50.2,51,51.9,52.7,53.6,54.5,55.4,56.4,57.5,58.7,60,61.2,62.5,63.7,65,66.2,67.5,68.8,70.1,71.6,73.3,75.1,77.1,78.9
"17","9","      Less: Capital consumption adjustment","Y0004C1",-3.1,-3.6,-3.9,-4.1,-4.2,-4.3,-4.3,-4.2,-4.1,-4,-3.9,-3.8,-3.7,-3.7,-3.8,-4,-4.2,-4.4,-4.4,-4.3,-4.2,-4,-3.8,-3.6,-3.3,-3.1,-2.9,-2.7,-2.6,-2.3,-1.9,-1.5,-0.9,-0.5,-0.5,-0.6,-1,-1.3,-1.5,-1.6,-1.5,-1.6,-1.7,-1.9,-2.2,-2.3,-2.3,-2.2,-2,-1.7,-1.4,-1,-0.6,-0.3,-0.2,-0.1,-0.2,0,0.6,1.4,2.5,3.4,4.1,4.5,4.7,4.9,5.1,5.3,5.5,5.7,5.9,6,6,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.1,6,5.8,5.6,5.6,5.5,5.6,5.7,5.6
"18","10","    Households and institutions","W279RC1",2.7,2.9,3.1,3.2,3.3,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.9,4,4.2,4.4,4.5,4.6,4.8,4.8,4.9,5,5.1,5.2,5.2,5.3,5.4,5.5,5.5,5.6,5.7,5.9,6,6.1,6.3,6.4,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.5,9.6,9.8,10,10.1,10.3,10.6,10.8,11,11.2,11.4,11.6,11.9,12.1,12.3,12.6,12.8,13.1,13.4,13.8,14.2,14.7,15.1
"19","11","  Government","A264RC1",11.5,11.5,11.6,11.4,10.9,10.6,10.5,10.3,10.2,9.9,9.5,9.3,9.1,8.9,9,9.4,9.7,9.9,10.1,10.4,10.6,10.9,11.3,11.5,11.8,12.1,12.2,12.4,12.6,12.9,13.1,13.4,13.5,13.7,14,14.4,14.8,15.1,15.5,15.8,16.2,16.5,16.8,17.1,17,17.3,17.7,18,18.3,18.5,18.7,19,19.3,19.5,19.8,20.1,20.4,20.7,21,21.3,21.7,22,22.5,23,23.3,23.7,24,24.3,24.7,25,25.3,25.5,25.9,26.2,26.6,27,27.3,27.9,28.4,28.9,29.3,29.8,30.5,31.1,31.8,32.4,33,33.7,34.4,35.1
"20","12","    General government","A265RC1",11.1,11.1,11.2,11,10.5,10.1,10,9.8,9.7,9.4,9.1,8.9,8.6,8.4,8.5,8.8,9.1,9.3,9.5,9.8,10,10.3,10.6,10.9,11.2,11.4,11.5,11.7,11.9,12.2,12.4,12.7,12.8,12.9,13.3,13.6,14,14.3,14.6,14.9,15.3,15.6,15.9,16.1,16.1,16.3,16.7,17,17.2,17.5,17.7,18,18.2,18.5,18.7,19,19.3,19.5,19.8,20.1,20.5,20.8,21.3,21.7,22,22.4,22.7,23,23.3,23.6,23.8,24.1,24.4,24.7,25.1,25.4,25.8,26.3,26.7,27.2,27.6,28.1,28.7,29.3,30,30.5,31,31.6,32.3,33
"21","13","    Government enterprises","A266RC1",0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2,2,2.1,2.2
"22","14","Equals: Net national product","A027RC1",216.3,218.6,221.4,231,236.8,243.2,249.3,250.2,244.5,240.7,242.2,239.7,250,259.3,276.5,287.1,301.6,309,315.5,319.7,322.6,323.2,329.1,341.5,347.9,351.1,349.7,344,343,343,347.4,355.7,368.7,376.4,384,389.7,391.2,396.1,400.1,407.8,416.4,417.8,424.1,417.8,409.9,413.5,426.3,439.2,449.2,461.7,462.3,466,479.3,478.1,481,475.6,480,490.6,500.8,513.4,526.1,533.1,539.1,542.3,550.7,558.7,570.9,579.9,595.6,603.9,614.9,618.9,639.1,650.9,666.7,687.4,710,717.9,729.5,741.8,751,753.8,767.7,781.9,807.5,830.4,844.1,859,881.3,894.1
"23","15","Less: Statistical discrepancy","A030RC1",2.8,2.7,2.1,3.8,0.7,-1.1,0.2,-0.9,0.8,0.7,2,3.4,3.3,0.4,0.6,0.6,3.4,3.4,4.5,2.3,3.7,2.4,1.7,2.5,2.9,3.2,3.5,5.4,2.7,2.5,3.4,2.9,3.4,1.8,2,1.3,-0.9,-1.8,-2.6,-3,-1.2,-1.9,0.6,0.9,-1.2,0.5,1,2.1,0,-1.5,1.8,0.2,0.2,-1.6,-0.2,-3.8,-1.3,-0.5,-0.1,-2,1.4,1.3,0.9,-3.9,-2.4,-3.4,0.4,-0.7,2.6,0.7,0.4,-3.8,-2.2,-1.7,2.8,4.2,6.5,4.5,4.8,4.7,7.5,3.6,2.1,0.4,5.1,6.7,1.3,-0.3,5.6,1.9
"24","16","Equals: National income","A032RC1",213.6,215.9,219.3,227.2,236.1,244.3,249.1,251,243.6,240.1,240.2,236.3,246.7,258.8,275.9,286.4,298.2,305.6,310.9,317.4,318.9,320.9,327.4,338.9,345,347.8,346.2,338.6,340.2,340.5,343.9,352.9,365.3,374.7,382.1,388.4,392.1,397.9,402.7,410.9,417.6,419.7,423.4,416.9,411.1,413,425.3,437.1,449.2,463.2,460.5,465.7,479.1,479.8,481.2,479.4,481.4,491.1,500.9,515.5,524.6,531.8,538.2,546.2,553,562.1,570.6,580.6,593,603.1,614.5,622.7,641.3,652.6,663.8,683.2,703.5,713.4,724.7,737.2,743.5,750.2,765.6,781.5,802.5,823.7,842.8,859.3,875.7,892.1
"25",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",21.5,24.5,24.6,26.1,30,31.8,31.2,32.7,31,28.7,29.9,26.6,30.1,33.9,38.4,41.8,40.7,40.6,41.1,42.4,40,38.1,38.1,42.4,43.3,42.5,41.3,34,36.5,37.8,39.9,43.6,48.8,50.1,50.2,51.6,49.4,49.6,49.3,50.2,51.7,50.3,49.3,45.3,39.5,40.6,44.8,50.6,54.3,59.1,54.2,54.5,58.6,54.8,53.8,51.5,50.2,54.5,57.2,61.8,62.6,62.5,64.2,66.9,67.2,70.2,71.7,73,77.1,77.3,78.4,78,85.8,88,89.3,94,97.4,96.4,94.8,95.9,93.3,92.2,93.2,96.7,98.1,102.1,102.6,104.1,103.5,100.3
"27","18","  Taxes on production and imports less subsidies \1\","W254RC1",17.2,17.3,17.7,18.7,18.6,19.4,19.4,19.4,19.8,20.4,20.7,20.7,20.9,21.7,23.6,22.3,23.9,22.9,23.6,24.3,25.3,26.1,26.5,27.5,28,28.7,28.6,29,28.6,28.1,28.4,29.2,30,30.9,31.9,32.3,32.7,33,33.7,34.5,34.9,35.4,36,35.8,35.7,36,36.3,37.3,38.6,39.4,40.6,41.4,42.7,43.1,43.8,44.1,44.2,44.5,45.1,46.1,47.1,47.5,48.7,49.1,50,50.8,51.6,52.3,52.9,53.9,55.2,56.1,57.3,57.4,57.5,58.7,57.8,58.9,59.7,60.7,61.6,63,65.1,66.9,69.3,71.2,73.5,74.9,76.2,78.4
"28","19","  Contributions for government social insurance, domestic","A061RC1",6.3,6,5.2,4.8,4.8,4.6,4.6,4.5,5.2,5.1,4.8,4.5,5.3,5.3,5.5,5.8,6.6,6.7,6.6,6.7,6.9,6.8,6.9,7.1,7.1,7.1,7.2,7.1,8.1,8,8.1,8.1,8.9,9,9.2,9.3,9.9,10,10,10.1,11.4,11.4,11.5,11.3,11.3,11.3,11.4,11.5,13.7,13.9,13.9,13.9,16.4,16.5,16.5,16.4,16.7,16.9,17.1,17.3,18.9,19.1,19.2,19.3,21.3,21.5,21.8,22,22,22.3,22.5,22.7,22.9,23.2,23.6,24,30.4,30.8,31.9,32.2,33.6,34.6,35.2,36,37.6,38.4,39.1,39.7,42.9,43.7
