"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:41:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Personal consumption expenditures","DPCERG3",9.915,9.495,8.478,7.477,7.211,7.538,7.724,7.795,8.079,7.895,7.818,7.885,8.375,9.417,10.284,10.875,11.31,12.098,13.324,14.078,13.969,14.135,15.098,15.408,15.613,15.746,15.809,16.126,16.616,17.007,17.262,17.546,17.73,17.939,18.148,18.414,18.68,19.155,19.637,20.402,21.326
"9","2","Goods","DGDSRG3",15.834,14.991,12.924,11.135,11.043,12.132,12.457,12.506,12.956,12.431,12.243,12.352,13.367,15.578,17.369,18.525,19.373,20.849,23.358,24.736,24.158,24.234,26.19,26.442,26.321,26.221,26.067,26.51,27.339,27.961,28.104,28.324,28.431,28.577,28.815,29.129,29.435,30.083,30.613,31.681,32.908
"10","3","  Durable goods","DDURRG3",30.693,28.896,25.801,22.733,22.181,23.513,23.38,23.515,24.483,24.465,24.169,24.413,26.219,30.694,33.48,37.637,39.81,41.454,45.087,47.395,47.719,47.961,51.175,51.494,51.09,49.97,49.777,50.977,52.852,53.813,54.667,54.461,54.599,54.833,55.043,55.291,54.838,54.718,55.597,57.379,58.996
