"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:45:43 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","    Private fixed investment","A007RL1",NA,-10,13.6,37.2,13.4,-0.6,-4,-4.5,-20.6,-11.6,-0.7,15.3,27,40.4,31.6,-7.7,-13.7,-16.7,-5.7,-3,6.3,6.9,-20,34.1,17.3,3.1,0.7,-3.4,-5.5,6.5,16.1,9.1,16.2,17.7,9.4,1.6,-6.5,4.2,0.2,-1.9,-0.3,-3.4,4.2,-6.5,-20.7,-9.5,6.2,25.9,25.7,12.9,4.3,-4.6,14,-7.1,-8.3,-0.8,-3.3,6.7,9.9,13.3,7.9,11.8,3.3,-1.2,5.3,19.1,10.2,12.5,14.6,-0.7,6.7,3.6,19.3,11.8,11.3,9.6,15.8,-3.9,0.4,-10.2,-7.4,10.3,4.9,12.6,9.2,-1,6.4,9.8,11.6,2.1
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Nonresidential","A008RZ2",NA,-4.01,-4.68,9.91,15.42,-8.53,0.7,6.1,-11.25,-9.53,-11.99,-2.49,8.59,22.66,21.72,-0.23,-5.96,3.44,3.2,-4.21,2.99,4.48,-18.69,25.57,14.84,2.62,5.92,-2.36,-6.91,-2.09,7.32,0,4.93,15.48,12.71,7.68,-3.02,5.04,2.74,0.1,1.49,-0.51,5.75,-6.35,-16.34,-9.98,-2.82,11.31,9.34,7.82,6.96,-0.68,9.7,3.98,-4.56,-0.63,-3.84,6.2,2.88,8.59,5.48,7.57,3.34,-1.01,0.71,9.02,7.5,8.14,5.96,6.12,8.76,5.82,18.6,10.7,10.59,11.8,12.76,4.75,3.87,0.22,-4.81,-0.49,-0.48,6.33,8.84,-3.61,4.09,8.14,7.7,3.14
"13","3","  Structures","B009RZ2",NA,-0.31,0.94,-0.74,2.3,2.75,2.93,1.67,-1.21,-1.67,-3.6,-1.86,4.72,4.95,4.92,1.84,-0.13,2.82,-0.44,-3.25,0.77,1.1,1.03,3.97,2.68,1.72,0.67,1.96,1.49,1.09,0.11,-0.2,2.88,2.19,2.62,1.66,2.14,2.9,0.13,-0.53,-0.97,-0.13,0.01,-0.5,-1.65,-3.23,-2.26,1.74,-0.09,2.85,2.63,-0.67,3.88,1.09,0.2,3.57,-0.47,-1.63,0.12,-0.42,1.75,3.45,2.44,-2.24,-3.15,4.38,0.68,1.91,2.36,2.89,2.94,0.72,4.89,6.52,1.12,4.47,2.57,-1.8,2.13,-3.24,1.03,-2.76,1,0.26,1.87,-0.77,-0.55,1.94,1.52,0.73
"14","4","    Commercial and health care","W001RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.32,0.16,0.07,1.85,0.66,-0.82,0.76,-0.07,0.08,2.25,1.33,-0.2,0.67,0.29,-0.36,1.53,4.73,-2.98,-1.37,0.84,-0.54,-0.99,0.53,2.04,1.54,0.16,1.78,0.71,0.51,1.67,-0.69,-2.29,1.09,-0.84,0.51,-0.95,-0.51,0.7,1.7,0.83,-0.26,0.28,1.66,0.9
"15","5","    Manufacturing","C307RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.03,-2.05,-0.64,-0.41,0.52,1.16,0.63,1.58,0.44,0.81,0.73,-0.28,-0.93,-0.68,-0.17,0.16,1.6,-1.62,1.22,-1.72,0.9,0.84,0.82,-0.25,0.57,1.46,0.84,1.71,1.87,-0.09,2.1,1.42,1.02,0.59,-1.34,-0.39,-2.36,0.95,-1.3,0.72,-0.58,-0.35,1.41,0.4,-0.54
