"","Table 6#19D# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/28/2013 6:20:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Corporate profits after tax","A055RC0",479711,507363,481994,487343,596605,725674,948516,1240939,1378063,1302886,1073343,1198719,1464262,1473131,1755231
"9","2","Domestic industries","A3202C0",376950,385360,335816,316943,437847,559047,743484,1001861,1121899,949503,666648,845917,1069079,1036581,1336292
"10","3","  Agriculture, forestry, fishing, and hunting","N3203C0",24,1313,852,823,-47,1488,2140,3417,3827,5648,2359,3822,7192,7202,10143
"11","4","    Farms \1\","N3204C0",-541,442,213,381,-746,573,1360,2214,2150,3662,1198,2254,4793,NA,NA
"12","5","    Forestry, fishing, and related activities","N3205C0",564,870,639,443,699,915,780,1203,1676,1986,1161,1568,2400,NA,NA
"13","6","  Mining","N3206C0",3352,4881,12786,13215,4646,14169,20647,33642,45605,43819,42232,16907,23646,23046,27351
"14","7","    Oil and gas extraction","N3207C0",2137,5688,12340,11744,6084,14275,18081,24381,28080,27189,25950,12214,11594,NA,NA
"15","8","    Mining, except oil and gas","N3208C0",665,1269,805,318,525,986,2457,7527,11160,8608,9502,6628,11028,NA,NA
"16","9","    Support activities for mining","N3209C0",549,-2076,-359,1152,-1963,-1091,109,1734,6366,8021,6779,-1936,1025,NA,NA
"17","10","  Utilities","N3210C0",19593,19034,13630,13330,6166,9426,15550,21849,41649,34229,22827,18243,25661,9937,35498
"18","11","  Construction","N3211C0",21953,25760,31457,37160,32557,30696,45947,70109,72308,55434,35118,25091,24832,30913,43100
"19","12","  Manufacturing","N3212C0",118327,111789,107824,24125,34017,77062,124735,174464,237925,208832,151737,81623,207269,223546,289123
"20","13","    Durable goods","N3213C0",73346,61404,49789,-23045,-10663,16638,36757,68889,101008,70955,35714,6909,92911,101630,142079
"21","14","      Wood products","N3214C0",3154,4730,2335,1321,1601,2636,4648,4979,2677,708,-600,-1172,1635,NA,NA
"22","15","      Nonmetallic mineral products","N3215C0",4650,5486,4601,2902,2233,2747,4418,6902,3700,3751,482,-1590,-1412,NA,NA
"23","16","      Primary metals","N3216C0",3113,195,-208,-4163,-1850,-2071,9488,10595,14765,12030,12144,-2908,4601,NA,NA
"24","17","      Fabricated metal products","N3217C0",12933,12664,12458,6701,6904,6750,12165,14801,16838,17558,15764,8133,14373,NA,NA
"25","18","      Machinery","N3218C0",10809,8895,6799,843,1645,2163,8247,12950,16885,17500,14597,6127,13426,NA,NA
"26","19","      Computer and electronic products","N3219C0",7457,-3772,6919,-29367,-25697,-13327,-5490,2984,17458,10373,13104,15003,28974,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3220C0",6033,7697,4087,-334,-3130,498,-1706,-3381,9347,-3878,2092,7037,8778,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3221C0",12051,8699,1112,-7816,-4542,6548,-5535,-4367,-9927,-18064,-38048,-50291,-10942,NA,NA
"29","22","      Other transportation equipment","N3222C0",3869,7353,4191,2612,3366,3148,2821,13223,16306,20777,11142,13858,16937,NA,NA
"30","23","      Furniture and related products","N3223C0",2479,2764,2273,1167,1804,1713,1913,3190,3926,2989,1291,985,1843,NA,NA
"31","24","      Miscellaneous manufacturing","N3224C0",6797,6693,5223,3089,7003,5834,5787,7013,9033,7210,3745,11727,14698,NA,NA
"32","25","    Nondurable goods","N3225C0",44981,50385,58034,47169,44679,60424,87978,105574,136917,137877,116023,74714,114359,121916,147043
"33","26","      Food and beverage and tobacco products","N3226C0",12619,17952,16134,18939,16506,18272,18020,15165,22186,22087,19718,31078,35572,NA,NA
"34","27","      Textile mills and textile product mills","N3227C0",1871,1395,607,-652,-217,-820,318,630,910,889,532,456,1127,NA,NA
"35","28","      Apparel and leather and allied products","N3228C0",2006,1330,1968,1551,4128,2084,2692,3158,2926,2324,1120,1725,2265,NA,NA
"36","29","      Paper products","N3229C0",1436,3211,4904,-1490,-537,-578,2831,3213,8692,5782,-668,4275,6018,NA,NA
"37","30","      Printing and related support activities","N3230C0",3838,4121,3494,2514,2860,2919,3164,4606,5168,4392,2546,1974,4114,NA,NA
"38","31","      Petroleum and coal products","N3231C0",-1398,-792,15247,17501,2045,16689,29276,53653,48217,49074,55219,6605,11713,NA,NA
"39","32","      Chemical products","N3232C0",19788,18505,13692,7948,17900,19678,26804,20166,44371,47784,36641,23189,46075,NA,NA
"40","33","      Plastics and rubber products","N3233C0",4820,4661,1988,860,1994,2180,4874,4984,4446,5546,915,5412,7474,NA,NA
"41","34","  Wholesale trade","N3234C0",40172,43991,49511,39342,43766,49982,65611,80759,90128,90651,78167,73502,93415,93027,109488
"42","35","    Durable goods","N3235C0",24357,26961,30244,20435,22778,23705,37623,50180,55329,53446,41138,31624,46918,NA,NA
"43","36","    Nondurable goods","N3236C0",15816,17030,19267,18907,20988,26277,27988,30579,34799,37206,37029,41877,46497,NA,NA
"44","37","  Retail trade","N3237C0",44685,43763,35322,51899,61065,66837,72341,93137,100424,93497,63064,82542,95380,94434,116803
"45","38","  Transportation and warehousing","N3238C0",7031,2880,5355,-3291,-7922,1343,6482,19671,30816,17314,20523,18788,38422,26378,44823
"46","39","    Air transportation","N3239C0",2559,1378,-980,-11223,-15582,-8155,-8555,-6540,2213,-1351,-2900,731,10172,NA,NA
"47","40","    Rail transportation","N3240C0",90,-200,1566,825,962,1119,1897,4959,7241,7042,6832,4145,6562,NA,NA
"48","41","    Water transportation","N3241C0",17,-345,184,232,95,152,90,931,1422,746,1366,72,546,NA,NA
"49","42","    Truck transportation","N3242C0",2367,1545,2361,2347,1274,3509,5805,9092,8343,5098,5889,4445,8481,NA,NA
"50","43","    Transit and ground passenger transportation","N3243C0",612,357,572,688,889,662,750,785,809,609,387,921,1440,NA,NA
"51","44","    Pipeline transportation","N3244C0",693,286,-274,591,652,475,680,656,595,874,1167,1356,737,NA,NA
"52","45","    Other transportation and support activities \2\","N3245C0",90,-825,1415,2768,3175,3195,5222,8701,8894,3298,6782,5915,9192,NA,NA
"53","46","    Warehousing and storage","N3246C0",603,685,512,482,614,387,593,1086,1300,999,1000,1201,1293,NA,NA
"54","47","  Information","N3247C0",11455,-5795,-35744,-34809,-8037,4034,34745,65216,74245,74892,71262,61608,70396,66901,88186
"55","48","    Publishing industries (includes software)","N3248C0",6087,7961,-5142,-1651,7144,7990,12452,17434,10194,7331,7996,7540,13088,NA,NA
"56","49","    Motion picture and sound recording industries","N3249C0",105,1171,670,3381,7377,6275,9520,5642,7339,7956,11428,11404,17383,NA,NA
"57","50","    Broadcasting and telecommunications","N3250C0",8930,-8946,-15132,-24512,-23036,-10711,6346,37601,47614,54385,45611,37569,36091,NA,NA
"58","51","    Information and data processing services","N3251C0",-3667,-5981,-16140,-12027,478,481,6428,4539,9098,5220,6227,5095,3835,NA,NA
"59","52","  Finance and insurance","N3291C0",15634,20468,-5587,32040,92612,109957,130513,158251,137019,54515,-105692,125865,88054,79963,133186
"60","53","    Federal Reserve banks","N3253C0",-961,1266,5886,1789,-976,-1943,1963,5111,4786,1397,3390,-101,-7712,NA,NA
"61","54","    Credit intermediation and related activities","N3292C0",38367,45766,49499,52721,70607,67125,59601,69421,55107,41782,35400,82127,64691,NA,NA
"62","55","    Securities, commodity contracts, and investments","N3293C0",-7840,-12670,-33592,-13506,2258,5479,10204,11165,10413,-28448,-99296,21979,9741,NA,NA
"63","56","    Insurance carriers and related activities","N3256C0",1847,2142,-4786,-4373,9972,26227,53355,64410,57686,38798,-34633,23561,27169,NA,NA
"64","57","    Funds, trusts, and other financial vehicles","N3257C0",-15779,-16037,-22594,-4589,10752,13069,5390,8144,9026,986,-10553,-1702,-5836,NA,NA
"65","58","  Real estate and rental and leasing","N3258C0",6974,6892,6461,5010,7181,6737,8413,21364,15905,10984,3036,6600,10613,2150,18710
"66","59","    Real estate","N3259C0",4025,5313,6210,3658,5901,6558,10011,14647,8358,3183,238,2339,6083,NA,NA
"67","60","    Rental and leasing services and lessors of intangible assets \3\","N3260C0",2949,1579,251,1352,1280,179,-1598,6717,7547,7801,2798,4261,4530,NA,NA
"68","61","  Professional, scientific, and technical services","N3261C0",23225,23300,5231,11270,22551,28483,34821,41497,48991,51481,57652,62158,73469,73113,76145
"69","62","    Legal services","N3262C0",2432,3880,5732,8216,8830,8688,9327,11819,11204,11167,13292,14575,14916,NA,NA
"70","63","    Computer systems design and related services","N3263C0",5253,2294,-13273,-9234,-2003,1471,3042,2191,4589,6306,7748,12209,12223,NA,NA
