"","Table 1#3#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:37:02 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RL1",-8.5,-6.4,-12.9,-1.3,10.8,8.9,12.9,5.1,-3.3,8,8.8,17.7,18.9,17,8,-1,-11.6,-1.1,4.1,-0.5,8.7,8.1,4.1,4.7,-0.6,7.1,2.1,2.1,-0.7,6.9,2.6,2.6,6.1,4.4,5.8,6.5,6.6,2.7,4.9,3.1
"9","2","Business \1\","A195RL1",-10,-7.4,-15.1,-2.1,11.8,10,13.7,6.6,-4.8,9.3,9.7,17.8,15.6,10.5,5.5,-1.7,-0.6,2.6,5.2,-1.1,9.7,6.4,3.2,5,-1.2,8.1,1.8,1.7,-1.7,7.9,1.9,2.1,6.5,4.6,6.3,7.2,6.8,2.1,5.1,3.1
"10","3","  Nonfarm \2\","A358RL1",-10.4,-9.9,-16.1,-1.8,15.6,8.7,17,5.2,-5.1,9.1,11.7,18.3,16.2,11.9,6.1,-1.8,-0.7,4,4.2,-0.8,10.1,7.4,3,5,-1.5,8.5,1.9,2,-2,8.3,1.8,2.2,6.8,4.6,6.7,7.2,7.2,1.9,5.3,3
"11","4","  Farm","B359RL1",-6,21.8,-2.8,-4.8,-21.7,24.6,-14.1,22.2,-1.9,11.5,-12.5,11.8,8.3,-2.6,-1.1,-0.3,0.5,-10.4,15.2,-4,5.5,-5.5,5.4,4.9,3.6,2.2,0.1,-3.9,3.5,-0.5,5.6,0.9,-1.9,3.2,-3.2,6.5,-3.5,7.9,-3.5,3.5
"12","5","Households and institutions","A193RL1",-1.7,-3.3,-4,-1.2,0.8,0.7,1.1,1.2,0.1,2.1,3.3,3.4,5.3,2.2,4.8,3.2,0.6,5.8,6.2,6.2,8,6.8,6.4,6.2,6.2,8.3,6.3,5.5,5.9,5.9,7,4.4,5.6,4.2,4.3,5.1,4.8,4.4,5,4.5
"13","6","  Households","B701RL1",-3,-4.3,-4.7,-0.7,1.6,0.7,0.8,1.5,-0.4,2.2,2.5,3.4,6.7,2.5,5,4.2,-1.1,5.7,4.2,6.6,9.1,7.9,7.2,6.6,6.6,8.9,6.7,5.7,5.8,6.1,6.3,4.9,5.7,4.2,4.2,4.8,4.4,4.3,2.7,4.3
"14","7","  Nonprofit institutions serving households \3\","B702RL1",4.2,1.2,-1.4,-2.9,-2,0.9,2,0.3,1.8,1.8,6,3.2,0.8,1.2,3.8,0.2,6.4,6.2,11.7,5.2,4.9,3.7,4.1,5.2,4.9,6.4,5.2,4.9,6.3,5.3,8.9,3,5.4,4.1,4.6,5.8,5.9,4.6,9.8,4.9
"15","8","General government \4\","A765RL1",4.9,1.8,-1.3,5.6,12.7,6.8,16.6,-4.3,7.8,2,5.7,27.6,56.2,66.4,20.2,0.8,-45.8,-21.7,-3.6,0.4,1.9,21.7,8.8,1.8,0.1,0.4,2.1,2.6,1.4,1.7,3.8,4,4.4,3.3,3.7,3.6,6.5,5.6,4.1,2.7
"16","9","  Federal","A766RL1",7.6,-3.5,-4.1,21.8,30.7,11.2,61.6,-12.6,12.7,2.1,11.5,61.1,101.1,94,25,0.6,-52.8,-29.5,-6.5,-3,1,33.8,11.6,0.6,-2.1,-1.9,-0.4,0.8,-1.5,0.1,2.8,3.2,4.9,1.8,1.9,1.5,6.9,6.8,2.5,1.1
"17","10","  State and local","A767RL1",4.1,3.5,-0.4,0.8,6.1,4.9,-5.3,3,4.1,1.9,1.2,0.8,-1.3,-2.4,-2.3,2.1,5.3,6.3,2.6,6.6,3.5,2.6,3.3,4.4,4.4,4.6,6.3,5.5,6.1,4.1,5.3,5.2,3.7,5.2,6,6.1,5.9,4.2,6,4.6
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009L1",-0.3,-0.2,-0.3,-2.9,2.6,-0.2,-0.5,1.4,3.9,1.3,2.5,4.7,7.5,5.9,4.3,2,1.7,4.8,5.1,6.7,6.9,7.5,7.7,6.1,6.5,5.7,5.4,6.3,5.8,7.3,6.5,5.9,6.4,5,4.7,5.5,4.8,4.9,3.7,4.8
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
