"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:35:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","    Gross domestic product","B191RA3",13.404,13.389,13.375,13.586,13.786,14.01,14.088,14.103,13.91,13.864,14.016,13.89,14.444,14.881,15.454,15.753,15.968,16.245,16.58,16.617,16.792,16.827,16.949,17.505,17.831,17.97,17.87,17.599,17.517,17.535,17.734,18.08,18.596,18.899,19.153,19.268,19.194,19.352,19.336,19.653,19.779,19.735,19.928,19.723,19.212,19.339,19.786,20.249,20.626,21.127,21.086,21.169,21.641,21.559,21.613,21.351,21.496,21.896,22.261,22.712,23.121,23.37,23.593,23.684,23.948,24.26,24.734,24.91,25.449,25.752,26.101,26.194,26.84,27.207,27.76,28.414,29.116,29.235,29.444,29.696,29.969,29.995,30.254,30.497,31.117,31.642,31.87,32.011,32.509,32.613
"10","2","Personal consumption expenditures","DPCERA3",12.186,12.388,12.428,12.432,12.494,12.639,12.658,12.759,12.78,12.975,13.005,13.195,13.415,13.636,14.335,13.903,14.239,13.836,13.997,14.079,14.11,14.387,14.457,14.968,15.146,15.238,15.202,15.101,15.157,15.354,15.563,15.889,16.246,16.557,16.762,16.972,17,17.056,17.095,17.33,17.45,17.48,17.618,17.626,17.384,17.527,17.815,18.055,18.383,18.667,18.862,18.883,19.063,19.304,19.227,19.252,19.247,19.533,19.629,20.022,20.235,20.483,20.649,20.942,21.084,21.286,21.576,21.756,22.185,22.575,22.99,23.054,23.568,23.83,24.24,24.921,25.288,25.352,25.641,25.747,25.897,26.25,26.383,26.544,27.175,27.59,28.108,28.235,28.551,28.734
"11","3","  Goods","DGDSRA3",13.08,13.315,13.404,13.455,13.474,13.597,13.584,13.674,13.654,13.954,14.025,14.339,14.617,14.773,15.879,15.042,15.373,14.593,14.753,14.872,14.801,15.133,15.117,15.881,16.091,16.122,15.986,15.889,15.88,16.035,16.205,16.657,17.168,17.652,17.898,18.024,17.945,17.918,17.844,18.099,18.268,18.202,18.355,18.211,17.776,17.83,18.166,18.517,18.947,19.248,19.4,19.242,19.435,19.707,19.581,19.463,19.278,19.57,19.697,20.136,20.371,20.572,20.73,21.054,21.25,21.427,21.641,21.715,22.218,22.685,23.214,23.044,23.795,23.967,24.457,25.4,25.878,25.748,26.119,26.064,26.132,26.588,26.508,26.613,27.461,27.871,28.554,28.508,28.89,28.911
"12","4","    Durable goods","DDURRA3",4.557,4.652,4.717,5.024,4.998,5.032,5.116,5.044,4.952,5.381,5.638,5.862,6.087,6.138,7.593,6.654,6.864,5.879,5.773,5.754,5.787,5.9,5.55,6.506,6.725,6.686,6.645,6.459,6.258,6.561,6.589,6.994,7.623,8.036,8.296,8.078,7.708,7.719,7.583,7.826,7.97,7.782,7.728,7.638,7.13,7.021,7.166,7.429,7.832,8.127,8.284,7.889,8.142,8.327,8.261,8.054,7.611,7.769,7.959,8.345,8.525,8.754,8.817,9.206,9.39,9.591,9.71,9.863,10.247,10.515,10.862,10.528,11.508,11.526,11.92,12.423,13.013,12.494,12.904,12.899,12.655,13.199,13.093,13.126,13.942,14.239,14.88,14.792,15.071,15.03
"13","5","    Nondurable goods","DNDGRA3",21.226,21.59,21.69,21.406,21.476,21.687,21.555,21.837,21.921,21.982,21.79,22.147,22.43,22.691,23.083,22.57,22.984,22.648,23.124,23.396,23.202,23.742,24.159,24.514,24.666,24.779,24.552,24.588,24.825,24.759,25.072,25.494,25.759,26.234,26.41,26.947,27.251,27.183,27.201,27.419,27.585,27.689,28.073,27.89,27.638,27.889,28.399,28.789,29.164,29.405,29.518,29.701,29.775,30.1,29.924,29.945,30.122,30.526,30.549,30.964,31.221,31.346,31.59,31.767,31.941,32.05,32.343,32.302,32.855,33.482,34.136,34.201,34.528,34.858,35.38,36.693,36.96,37.31,37.578,37.474,37.895,38.177,38.141,38.314,39.068,39.548,40.178,40.187,40.633,40.723
"14","6","  Services","DSERRA3",10.896,11.054,11.029,10.972,11.09,11.263,11.323,11.437,11.509,11.567,11.543,11.577,11.721,12.017,12.202,12.28,12.615,12.7,12.859,12.891,13.05,13.254,13.43,13.621,13.76,13.925,14.009,13.905,14.035,14.278,14.526,14.701,14.874,14.983,15.136,15.437,15.586,15.735,15.9,16.107,16.169,16.308,16.426,16.603,16.584,16.824,17.053,17.164,17.373,17.632,17.87,18.086,18.248,18.451,18.428,18.607,18.793,19.068,19.127,19.464,19.648,19.942,20.113,20.367,20.448,20.672,21.035,21.322,21.664,21.965,22.253,22.558,22.817,23.164,23.483,23.882,24.127,24.388,24.586,24.853,25.083,25.325,25.669,25.883,26.283,26.692,27.034,27.332,27.575,27.914
"15","7","Gross private domestic investment","B006RA3",11.857,10.948,10.626,12.683,13.984,14.849,15.001,14.284,12.142,10.528,11.401,10.84,13.413,14.849,16.125,18.174,16.317,16.695,15.466,14.234,14.605,13.504,14.228,15.253,15.581,15.67,15.342,14.234,14.132,14.099,14.779,15.426,16.967,17.994,18.269,18.693,18.16,18.017,17.856,17.691,17.416,17.398,17.797,16.429,15.319,15.01,16.162,17.54,18.496,19.935,18.647,19.254,21.19,19.215,19.166,17.043,17.485,18.71,20.165,20.498,21.603,21.433,21.797,21.159,22.273,22.627,23.324,23.607,24.49,24.402,24.972,25.209,27.612,27.685,28.649,28.839,31.143,30.682,30.455,30.634,29.882,28.801,29.645,30.285,30.892,32.074,31.199,31.538,33.396,33.199
"16","8","  Fixed investment","B007RA3",11.45,11.153,11.513,12.461,12.859,12.84,12.709,12.564,11.861,11.501,11.481,11.898,12.63,13.748,14.726,14.432,13.909,13.289,13.094,12.993,13.192,13.414,12.685,13.65,14.205,14.315,14.341,14.217,14.018,14.241,14.782,15.106,15.684,16.336,16.707,16.774,16.495,16.664,16.673,16.595,16.584,16.441,16.609,16.332,15.411,15.031,15.257,16.161,17.113,17.641,17.828,17.621,18.209,17.878,17.495,17.46,17.312,17.596,18.018,18.588,18.944,19.481,19.638,19.578,19.834,20.718,21.228,21.863,22.62,22.578,22.945,23.146,24.191,24.876,25.549,26.141,27.115,26.85,26.879,26.166,25.671,26.305,26.622,27.421,28.034,27.965,28.399,29.069,29.878,30.035
"17","9","    Nonresidential","B008RA3",8.116,7.989,7.843,8.061,8.529,8.245,8.265,8.456,8.06,7.76,7.406,7.314,7.526,8.153,8.829,8.816,8.585,8.689,8.79,8.646,8.73,8.868,8.177,8.902,9.384,9.478,9.69,9.602,9.35,9.266,9.502,9.489,9.65,10.221,10.727,11.048,10.912,11.108,11.22,11.221,11.281,11.258,11.485,11.22,10.506,10.118,10.012,10.388,10.711,11.02,11.316,11.285,11.677,11.848,11.64,11.613,11.447,11.702,11.817,12.176,12.42,12.756,12.914,12.866,12.897,13.298,13.663,14.061,14.356,14.692,15.166,15.489,16.475,17.08,17.701,18.421,19.193,19.509,19.766,19.766,19.445,19.399,19.365,19.755,20.337,20.087,20.363,20.918,21.453,21.687
"18","10","      Structures","B009RA3",28.974,28.821,29.017,28.599,29.193,30.006,30.903,31.345,30.756,30.036,28.707,27.919,29.25,30.725,32.504,33.337,33.445,34.58,34.371,33.049,33.089,33.327,33.605,34.893,35.943,36.633,36.837,37.487,37.869,38.132,38.048,37.887,39.06,40.03,41.358,42.38,43.696,45.253,45.539,45.431,45.04,45.009,45.016,44.76,43.921,42.465,41.495,42.136,41.988,43.288,44.575,44.236,46.082,46.628,46.717,48.495,48.275,47.47,47.498,47.248,48.135,49.889,51.204,49.964,48.226,50.512,50.862,51.901,53.245,55.048,56.854,57.306,60.245,64.444,65.121,68.119,69.735,68.39,69.914,67.536,68.238,66.299,66.999,67.107,68.416,67.832,67.392,68.768,69.831,70.386
"19","11","      Equipment","Y033RA3",7.426,7.267,7.022,7.429,8.058,7.522,7.426,7.664,7.177,6.825,6.461,6.391,6.502,7.235,8.01,7.888,7.552,7.565,7.729,7.654,7.695,7.802,6.647,7.482,8.014,8.002,8.272,8.032,7.583,7.414,7.766,7.748,7.819,8.511,9.044,9.308,8.846,8.865,8.954,8.932,9.093,9.059,9.379,9.007,8.048,7.636,7.557,7.965,8.404,8.656,8.938,8.92,9.229,9.384,8.979,8.663,8.381,8.782,8.902,9.437,9.681,9.926,9.962,9.991,10.176,10.38,10.827,11.251,11.528,11.765,12.181,12.542,13.498,13.74,14.475,15.037,15.864,16.423,16.497,16.732,16.068,16.242,16.02,16.53,17.159,16.745,17.159,17.755,18.402,18.593
"20","12","      Intellectual property products","Y001RA3",1.699,1.678,1.677,1.643,1.657,1.631,1.632,1.621,1.561,1.557,1.57,1.638,1.694,1.72,1.728,1.711,1.664,1.647,1.678,1.747,1.897,2.028,2.162,2.323,2.425,2.536,2.585,2.616,2.642,2.659,2.682,2.721,2.745,2.818,2.918,3.067,3.211,3.336,3.414,3.491,3.455,3.461,3.503,3.52,3.53,3.581,3.673,3.801,3.916,3.985,3.966,3.995,4.059,4.111,4.282,4.378,4.506,4.65,4.737,4.79,4.797,4.85,4.905,5.016,5.179,5.357,5.453,5.519,5.497,5.551,5.653,5.775,6.029,6.226,6.432,6.652,6.881,7.083,7.276,7.458,7.59,7.644,7.775,7.91,8.057,8.262,8.402,8.522,8.582,8.749
"21","13","    Residential","B011RA3",29.995,28.496,32.853,39.185,38.673,40.913,39.614,36.711,34.005,33.435,36.293,40.717,45.262,49.6,52.309,49.871,47.29,40.973,38.387,38.756,39.771,40.51,40.116,42.283,42.965,43.107,41.494,41.156,41.606,44.32,47.019,49.961,53.634,54.405,53.247,51.012,49.708,49.451,48.517,47.794,47.139,46.022,45.416,45.356,43.573,43.729,46.881,51.76,57.603,59.614,58.499,56.843,58.588,53.791,52.184,52.13,52.342,52.55,55.416,57.303,58.301,60.107,60.059,59.964,62.081,66.533,67.805,69.934,74.231,70.537,69.408,68.176,68.511,69.109,69.436,68.076,69.782,64.354,62.217,55.69,54.157,60.4,63.613,67.297,67.496,69.143,70.542,71.518,73.919,73.227
"22","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
