"","Table 5#8#3B# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/15/2005 1:46:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","      Gross government fixed investment \1\","B782RA3",86.857,89.85,96.545,100,104.87,110.178,112.385,114.98
"9","2","        Federal","B787RA3",92.233,96.6,101.917,100,102.617,112.675,118.763,128.243
"10","3","          National defense","B788RA3",92.413,93.377,97.566,100,104.094,116.065,125.612,140.426
"11","4","          Nondefense","B798RA3",92.017,101.779,108.898,100,100.279,107.334,107.986,109.028
"12","5","        State and local","B799RA3",84.932,87.416,94.619,100,105.654,109.355,110.275,110.618
"13","6","Structures \2\","B760RA3",91.423,91.199,96.817,100,104.831,109.349,110.076,108.509
"14","7","  Federal","B801RA3",129.777,128.077,122.426,100,93.522,101.451,106.018,95.356
"15","8","    National defense","B808RA3",127.983,110.854,103.727,100,88.973,83.909,93.663,88.049
"16","9","      New","B814RA3",127.969,110.852,103.728,100,88.979,83.917,93.662,88.05
"17","10","        Residential","B816RA3",124.976,119.221,110.656,100,113.332,114.984,111.011,103.772
"18","11","        Industrial","B817RA3",184.953,96.094,88.017,100,141.861,106.224,217.063,191.158
"19","12","        Military facilities \3\","B818RA3",124.468,109.02,102.491,100,75.811,70.749,77.43,74.078
"20","13","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA
"21","14","    Nondefense","B830RA3",130.868,138.383,133.615,100,96.238,111.957,113.394,99.684
"22","15","      New","B831RA3",119.33,112.612,107.924,100,93.813,98.702,102.019,100.471
"23","16","        Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RA3",132.397,128.461,115.813,100,90.67,85.346,106.094,128.938
"25","18","        Commercial","W183RA3",100.529,113.479,117.947,100,84.143,58.468,101.243,162.378
"26","19","        Health care","W184RA3",196.07,143.154,115.088,100,89.471,106.285,83.806,73.887
"27","20","        Educational","W185RA3",109.816,90.659,78.831,100,141.323,192.281,164.025,152.817
"28","21","        Public safety","W186RA3",138.644,133.894,119.827,100,69.32,75.876,45.775,24.51
"29","22","        Amusement and recreation","W187RA3",115.253,111.775,109.662,100,70.122,59.868,62.638,34.879
"30","23","        Transportation","W188RA3",109.061,104.409,106.465,100,102.781,148.506,78.929,94.782
"31","24","        Power","W189RA3",99.736,90.312,83.49,100,275.974,405.455,1175.523,1105.793
"32","25","        Highways and streets","W190RA3",95.029,86.855,80.33,100,91.652,92.704,92.257,113.777
"33","26","        Conservation and development","W191RA3",91.151,91.45,102.581,100,109.229,118.258,119.794,101.558
"34","27","        Other \4\","W192RA3",99.501,94.502,98.285,100,104.163,92.896,110.391,96.897
"35","28","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA
"36","29","  State and local","B842RA3",88.522,88.41,94.882,100,105.687,109.947,110.385,109.509
"37","30","    New","B843RA3",88.708,88.236,94.713,100,107.586,109.781,110.014,109.178
"38","31","      Residential","W147RA3",114.732,111.758,113.442,100,113.648,117.493,103.886,100.718
"39","32","      Office","W193RA3",80.671,85.924,91.728,100,111.511,120.622,118.676,111.069
"40","33","      Commercial","W194RA3",76.633,109.082,108.776,100,123.776,123.878,106.837,95.51
"41","34","      Health care","W195RA3",119.868,114.079,102.13,100,104.613,127.985,152.541,170.674
"42","35","      Educational","W148RA3",83.321,82.979,93.628,100,107.687,111.335,109.694,109.562
"43","36","      Public safety","W196RA3",96.914,98.525,101.237,100,96.425,90.562,81.384,73.948
"44","37","      Amusement and recreation","W197RA3",84.251,82.588,85.103,100,109.352,109.872,98.89,86.519
"45","38","      Transportation","W198RA3",76.609,72.131,79.078,100,107.248,108.173,111.268,109.439
"46","39","      Power","W199RA3",85.3,65.989,85.564,100,101.653,104.051,148.839,138.21
"47","40","      Highways and streets","W149RA3",89.99,91.821,97.424,100,107.079,102.802,101.288,101.802
"48","41","      Sewer systems","W150RA3",116.949,106.678,106.932,100,114.597,122.611,126.125,132.733
"49","42","      Water systems","W168RA3",97.489,99.282,105.137,100,109.518,124.226,129.816,129.333
"50","43","      Conservation and development","W169RA3",71.943,71.528,81.584,100,87.653,77.372,77.137,112.482
"51","44","      Other \5\","W200RA3",113.545,130.694,58.373,100,60.868,196.858,283.966,109.842
"52","45","    Net purchases of used structures","B870RA3",80.583,95.751,102.014,100,25.71,115.455,124.274,121.847
"53","46","Equipment and software \2\","A871RA3",80.174,87.789,96.114,100,104.933,111.641,116.57,127.076
"54","47","  Federal","B872RA3",85.094,90.535,97.902,100,104.491,114.998,121.415,135.523
"55","48","    National defense","B873RA3",88.667,91.493,96.886,100,105.853,119.894,129.394,146.829
"56","49","      Aircraft","B874RA3",81.555,82.053,85.436,100,116.775,134.245,133.023,181.881
"57","50","      Missiles","B875RA3",104.178,117.725,105.662,100,126.877,119.177,122.184,140.961
"58","51","      Ships","B876RA3",93.777,99.128,105.021,100,109.579,131.025,141.978,137.457
"59","52","      Vehicles","B877RA3",73.647,80.257,89.378,100,102.34,137.609,166.281,150.001
"60","53","      Electronics and software","B878RA3",80.932,86.515,95.741,100,99.023,103.479,111.451,123.467
"61","54","      Other equipment","B879RA3",95.025,93.361,99.644,100,99.922,116.5,130.118,150.403
"62","55","    Nondefense","B880RA3",78.331,88.711,99.903,100,101.821,105.424,105.75,113.202
"63","56","  State and local","B881RA3",73.722,84.115,93.703,100,105.535,107.056,109.939,115.436
"64",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"65","57","  Government enterprise gross fixed investment","A882RA3",87.48,89.247,97.45,100,106.096,114.335,122.155,121.053
"66","58","    Federal","A883RA3",81.194,101.899,111.618,100,83.566,81.392,94.774,95.109
"67","59","      Structures","B884RA3",94.479,103.115,115.567,100,90.963,72.493,85.33,84.977
"68","60","      Equipment and software","B885RA3",74.528,101.138,109.391,100,79.193,87.099,100.823,101.626
"69","61","    State and local","A886RA3",88.518,87.555,95.552,100,109.024,118.581,125.739,124.464
"70","62","      Structures","B887RA3",91.262,87.358,94.348,100,109.276,116.222,122.64,120.52
"71","63","      Equipment and software","A888RA3",73.26,88.977,102.931,100,107.409,134.4,146.661,151.413
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
