"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"1","[Index numbers, 2009=100; quarters and months are seasonally adjusted]                                                                                                                                                                                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 28, 2014    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/27/2014 11:04:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Personal consumption expenditures","DPCERG3",17.262,17.546,17.73,17.939,18.148,18.414,18.68,19.155,19.637,20.402,21.326,22.325,23.274,24.07,25.367,28.008,30.347,32.012,34.091,36.479,39.713,43.977,47.907,50.552,52.728,54.723,56.66,57.886,59.649,61.973,64.64,67.439,69.651,71.493,73.277,74.802,76.354,77.98,79.326,79.934,81.109,83.128,84.731,85.872,87.573,89.703,92.26,94.728,97.099,100.063,100,101.654,104.086,106.009,107.211
"9","2","Goods","DGDSRG3",28.104,28.324,28.431,28.577,28.815,29.129,29.435,30.083,30.613,31.681,32.908,34.164,35.19,36.091,38.244,43.017,46.492,48.311,50.89,54.014,59.122,65.742,70.626,72.551,73.862,75.259,76.466,76.109,78.557,80.627,83.729,87.158,89.289,90.366,91.151,92.078,92.939,93.96,93.851,92.44,92.925,94.769,94.697,93.806,93.703,95.03,96.951,98.277,99.403,102.362,100,101.637,105.345,106.666,106.189
"10","3","  Durable goods","DDURRG3",54.667,54.461,54.599,54.833,55.043,55.291,54.838,54.718,55.597,57.379,58.996,60.269,62.35,63.037,63.97,68.17,74.271,78.333,81.843,86.424,92.152,100.15,106.847,111.015,113.27,114.945,116.162,117.439,120.818,122.811,125.049,126.291,128.143,129.028,130.298,132.848,133.817,132.467,129.574,125.912,122.52,120.339,117.982,115.034,110.885,108.752,107.669,105.915,103.764,101.758,100,98.622,97.649,96.467,94.725
"11","4","    Motor vehicles and parts","DMOTRG3",32.796,32.182,32.364,32.891,33.15,33.421,33.147,32.923,33.372,34.522,35.217,36.28,38.035,38.13,38.304,40.663,44.681,48.097,50.907,54.436,58.54,62.879,67.743,70.954,73.173,75.264,77.007,79.131,82.752,84.052,86.535,86.814,89.256,90.94,94.522,98.91,102.829,104.892,105.29,104.146,104.462,104.847,105.258,104.705,101.76,100.942,102.49,102.549,101.982,99.653,100,105.735,108.645,110.375,111.064
"12","5","      New motor vehicles (55)","DNMVRG3",38.733,38.232,38.24,38.085,37.857,37.759,36.914,36.234,36.567,37.601,38.189,39.277,40.913,40.614,40.627,42.892,46.751,49.66,52.278,56.223,60.567,65.308,69.184,71.889,73.733,75.878,78.422,81.819,84.236,85.584,87.519,89.399,92.886,95.284,98.053,101.64,104.169,106.202,106.909,106.369,106.306,106.177,105.599,103.874,102.384,101.702,102.212,101.557,100.481,98.964,100,102.072,104.919,106.74,108.072
"13","6","        New autos","DNEARG3",39.165,38.659,38.667,38.51,38.28,38.181,37.328,36.638,36.982,38.024,38.621,39.719,41.384,41.074,41.086,43.368,47.265,50.209,52.855,56.857,61.243,66.02,69.89,72.638,74.444,76.449,78.796,82.165,84.969,86.491,88.134,89.302,92.463,94.569,96.816,99.906,101.985,103.564,103.664,102.871,102.026,102.036,101.571,100.387,98.492,97.935,98.87,99.741,99.339,99.022,100,100.982,103.983,105.444,106.034
"14","7","          New domestic autos","DNDCRG3",39.151,38.642,38.652,38.496,38.265,38.167,37.318,36.623,36.964,38.009,38.604,39.681,41.364,41.066,41.074,43.342,47.276,50.183,52.839,56.842,61.213,66.004,69.84,72.622,74.441,76.44,78.778,82.15,84.958,86.48,88.126,89.297,92.463,94.571,96.829,99.906,101.99,103.55,103.668,102.868,102.029,102.037,101.566,100.385,98.492,97.934,98.868,99.743,99.339,99.019,100,100.983,103.979,105.445,106.027
"15","8","          New foreign autos","DNFCRG3",39.154,38.674,38.66,38.497,38.266,38.154,37.253,36.631,37.008,38.02,38.632,39.877,41.432,41.054,41.083,43.428,47.183,50.269,52.872,56.867,61.293,66.041,69.971,72.662,74.445,76.46,78.821,82.185,84.983,86.505,88.142,89.307,92.459,94.56,96.786,99.904,101.97,103.594,103.657,102.878,102.02,102.036,101.58,100.39,98.493,97.937,98.875,99.738,99.341,99.027,100,100.98,103.99,105.44,106.021
"16","9","        New light trucks","DNWTRG3",36.764,36.296,36.296,36.154,35.939,35.838,34.991,34.398,34.585,35.62,36.153,37.211,38.626,38.413,38.433,40.63,44.307,47.053,49.539,53.23,57.367,61.93,65.879,68.372,70.363,72.972,76.05,79.463,80.866,81.792,84.283,87.494,91.503,94.34,97.845,102.06,105.139,107.698,109.074,108.798,109.495,109.234,108.561,106.439,105.203,104.442,104.684,102.934,101.363,98.917,100,102.821,105.573,107.631,109.415
