"","Table 5#4#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:36:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Private fixed investment in structures","A349RL1",-24.7,-28.5,-40.9,-20.5,19.6,22.3,28.1,17.6,-10.7,23.4,12.7,11,-43.8,-32.6,10.4,26.5,167,9.7,13.9,-5.8,25.3,-8.3,-1.2,5.8,6.4,12.6,-1,-3.4,-2,15.2,-1,0.8,7.5,7.3,7.7,4.8,-1.6,-2.6,7.5,4
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Nonresidential","B009RW2",-8.29,-23.19,-23.08,-14.05,7.71,6.15,15.95,13.97,-11.18,2.72,5.64,7.8,-17.08,-13.57,16.3,21.39,63.84,-4.42,2.14,-1.26,2.76,2.55,-0.15,3.55,1.41,2.85,4.03,-0.02,-2.5,1.06,3.11,0.58,1.95,0.48,4.13,6.5,3.08,-1.23,0.68,2.48
"12","3","  Commercial and health care","W001RW2",-2.31,-5.67,-4.67,-4.58,1.29,1.79,2.53,1.79,-2.15,0.13,0.98,0.68,-4.06,-3.17,1.07,3.89,16.59,-2.98,1.53,-0.41,1.62,-0.23,-1.42,1.86,1.55,2.24,1.14,-0.53,0.53,0.89,0.63,1.48,1.36,-0.4,1,2,-0.31,-0.49,1.2,1.99
"13","4","    Office \1\","W031RW2",-1.07,-2.31,-1.75,-1.54,0.61,0.76,1.01,0.66,-0.97,0.1,0.42,0.23,-1.65,-1.2,0.28,1.59,6.94,-1.29,0.66,-0.32,0.45,-0.14,-0.57,0.93,0.64,0.99,0.52,-0.4,0.13,0.42,0.24,0.49,0.4,-0.21,0.24,0.83,-0.12,-0.13,0.41,0.6
"14","5","    Health care","W032RW2",0.02,-0.67,-0.88,-1.23,-0.03,0.13,0.34,0.35,-0.03,-0.08,0.07,0.19,-0.47,-0.56,0.45,0.44,1.55,-0.17,0.09,0.28,0.65,0.07,-0.18,-0.14,0.16,0.09,0.02,0.34,0.24,-0.01,0.11,0.42,0.49,0.03,0.47,0.2,-0.05,-0.22,0.32,0.68
"15","6","      Hospitals and special care","C311RW2",0.15,-0.4,-0.68,-1.04,-0.1,0.04,0.22,0.27,0.08,-0.09,0.02,0.16,-0.27,-0.42,0.42,0.25,0.72,-0.02,0.02,0.32,0.6,0.09,-0.12,-0.25,0.09,-0.02,-0.04,0.39,0.22,-0.06,0.08,0.37,0.44,0.05,0.44,0.1,-0.04,-0.2,0.27,0.61
"16","7","        Hospitals","W033RW2",0.12,-0.32,-0.55,-0.84,-0.08,0.03,0.18,0.22,0.07,-0.08,0.02,0.13,-0.22,-0.34,0.34,0.2,0.58,-0.02,0.01,0.26,0.48,0.07,-0.09,-0.21,0.07,-0.02,-0.03,0.31,0.18,-0.05,0.06,0.3,0.35,0.04,0.36,0.08,-0.03,-0.17,0.22,0.49
"17","8","        Special care","W034RW2",0.03,-0.08,-0.13,-0.2,-0.02,0.01,0.04,0.05,0.02,-0.02,0,0.03,-0.05,-0.08,0.08,0.05,0.14,0,0,0.06,0.12,0.02,-0.02,-0.05,0.02,0,-0.01,0.07,0.04,-0.01,0.01,0.07,0.09,0.01,0.09,0.02,-0.01,-0.04,0.05,0.12
"18","9","      Medical buildings","W035RW2",-0.13,-0.27,-0.21,-0.18,0.07,0.09,0.12,0.08,-0.12,0.01,0.05,0.03,-0.2,-0.14,0.03,0.19,0.83,-0.15,0.08,-0.04,0.05,-0.02,-0.07,0.11,0.08,0.12,0.06,-0.05,0.02,0.05,0.03,0.06,0.05,-0.02,0.03,0.1,-0.01,-0.02,0.05,0.07
"19","10","    Multimerchandise shopping","W036RW2",-0.47,-1,-0.76,-0.67,0.26,0.33,0.44,0.29,-0.42,0.04,0.18,0.1,-0.72,-0.52,0.12,0.69,3,-0.56,0.29,-0.14,0.19,-0.06,-0.25,0.4,0.28,0.43,0.22,-0.17,0.02,0.17,0.11,0.21,0.16,-0.1,0.1,0.36,-0.05,-0.05,0.18,0.27
"20","11","    Food and beverage establishments","W037RW2",-0.25,-0.54,-0.41,-0.36,0.14,0.18,0.24,0.16,-0.23,0.02,0.1,0.05,-0.39,-0.28,0.07,0.37,1.62,-0.3,0.16,-0.08,0.1,-0.03,-0.13,0.22,0.15,0.23,0.12,-0.09,0.01,0.09,0.06,0.12,0.09,-0.05,0.06,0.2,-0.03,-0.03,0.1,0.14
"21","12","    Warehouses","W038RW2",-0.21,-0.45,-0.34,-0.3,0.12,0.15,0.2,0.13,-0.19,0.02,0.08,0.04,-0.32,-0.23,0.06,0.31,1.36,-0.25,0.13,-0.06,0.09,-0.03,-0.11,0.18,0.13,0.19,0.1,-0.08,0.01,0.08,0.05,0.1,0.07,-0.04,0.05,0.16,-0.02,-0.02,0.08,0.12
"22","13","    Other commercial \2\","W039RW2",-0.33,-0.71,-0.54,-0.47,0.19,0.23,0.31,0.2,-0.3,0.03,0.13,0.07,-0.51,-0.37,0.09,0.49,2.13,-0.4,0.2,-0.1,0.14,-0.04,-0.17,0.28,0.2,0.3,0.16,-0.12,0.13,0.15,0.07,0.15,0.15,-0.03,0.08,0.26,-0.03,-0.04,0.12,0.17
"23","14","  Manufacturing","C307RW2",-3.64,-3.94,-3.22,4.5,-0.75,-1.65,3.46,4.74,-5.32,0.73,3.06,4.68,-7.02,-4.48,1.74,10.46,15.42,-1.64,-2.25,-1.56,0.4,2.71,0.48,-0.33,-0.43,0.55,1.8,0.48,-2.66,-0.64,1.62,-0.14,0.06,0.02,1.1,2.35,1.97,-1.23,-0.34,0.43
"24","15","  Power and communication","W003RW2",-0.04,-4.67,-6.52,-7.17,0.83,1.93,3.93,2.78,-0.39,1.46,0.85,0.62,-1.83,-5.29,3.46,1.84,6.66,3.44,1.82,0.52,-0.06,0.03,0.09,1.03,-0.95,-0.46,1.39,0.39,-0.42,-0.46,0.09,-0.6,0.05,0.55,0.72,0.87,1.2,0.92,1.23,0
"25","16","    Power","W028RW2",-0.17,-2.41,-5.02,-5.33,0.85,1.77,3.45,1.92,-0.27,1.45,0.4,-0.13,-1.35,-3.15,2.83,1.11,3.56,2.7,1,1.29,0.33,0.01,-0.14,0.92,-1.05,-0.69,0.66,0.5,-0.03,-0.51,-0.15,-0.32,-0.05,0.35,0.4,0.67,1.09,1,1.19,-0.54
"26","17","      Electric","C571RW2",0.43,-2.11,-2.37,-2.23,0.04,0.85,1.69,1.69,0.98,0.89,0.06,-0.41,-0.9,-2.5,0.55,1.99,3.11,1.46,0.85,0.93,-0.59,-0.19,0.65,0.56,-0.42,-0.78,0.41,0.58,0.17,-0.84,0.02,-0.25,-0.01,0.29,0.17,0.49,0.69,0.86,0.5,0.07
"27","18","      Other power","W029RW2",-0.6,-0.3,-2.64,-3.1,0.81,0.91,1.76,0.23,-1.25,0.57,0.34,0.28,-0.45,-0.65,2.28,-0.89,0.45,1.25,0.15,0.36,0.92,0.2,-0.78,0.36,-0.63,0.09,0.25,-0.08,-0.21,0.33,-0.17,-0.06,-0.05,0.06,0.23,0.18,0.4,0.14,0.68,-0.61
"28","19","    Communication","C314RW2",0.13,-2.26,-1.5,-1.83,-0.02,0.17,0.48,0.86,-0.11,0.01,0.45,0.75,-0.48,-2.14,0.64,0.73,3.1,0.73,0.82,-0.78,-0.39,0.02,0.23,0.11,0.1,0.23,0.73,-0.12,-0.39,0.06,0.24,-0.29,0.11,0.2,0.32,0.19,0.11,-0.08,0.04,0.54
"29","20","  Mining exploration, shafts, and wells","E318RW2",-1.03,-2.33,1.17,-1.81,4.13,2.25,1.98,2.76,-1.41,-0.59,0.9,0.24,-1.99,-0.74,4.45,1.59,1.93,0.54,1.03,0.06,0.95,0.25,0.64,0.59,0.68,0.5,-0.21,-0.36,-0.41,0.16,-0.33,0.09,0.25,-0.3,0.3,-0.05,-0.21,-0.17,0.02,0.15
"30","21","    Petroleum and natural gas","C319RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,1.03,0.08,0.89,0.23,0.65,0.56,0.71,0.5,-0.2,-0.34,-0.48,0.13,-0.35,0.07,0.23,-0.32,0.3,-0.05,-0.2,-0.17,-0.03,0.11
"31","22","    Mining","C320RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,-0.03,0.06,0.02,-0.02,0.03,-0.03,0,-0.01,-0.02,0.07,0.03,0.02,0.02,0.02,0.01,0,0,0,0,0.05,0.03
"32","23","  Other structures","W004RW2",-1.27,-6.59,-9.84,-5,2.22,1.82,4.05,1.9,-1.91,0.99,-0.15,1.58,-2.19,0.1,5.58,3.6,23.23,-3.78,0,0.14,-0.16,-0.21,0.05,0.4,0.56,0.02,-0.1,0,0.46,1.1,1.11,-0.26,0.23,0.61,1.01,1.34,0.43,-0.26,-1.42,-0.08
"33","24","    Religious","C309RW2",-0.01,-0.51,-0.74,-0.97,-0.15,0.29,0.14,0.11,0.15,-0.07,0.19,-0.02,-0.47,-0.56,0.13,0.37,0.78,0.12,0.5,0.47,0.21,-0.04,-0.21,0.23,0.41,0.26,0.12,0.07,0.05,0.23,0.15,-0.01,0.04,-0.1,-0.05,0.29,-0.16,-0.18,-0.05,-0.21
