"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:38:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      National income without capital consumption adjustment","A422RC1",249.4,244,270.8,312.3,330.4,347.4,346.5,378.3,402.2,421.1,423.9,461.2,480.2,496.7,531.5,561.6,602.6,654.2,713.5,754.2,826.5,894
"9","2","Domestic industries","A423RC1",248.2,242.9,269.6,310.7,328.8,345.9,344.8,376.2,399.8,418.5,421.7,458.4,477,493.2,527.5,557.1,597.6,648.9,708.4,748.8,820.4,887.9
"10","3","  Private industries","A736RC1",225.4,217.7,242.8,276,288.8,304.7,302.6,332.1,353.3,368.8,368.5,402.8,417.7,430,459.9,484.6,519.4,564.7,614,644.9,703.8,760.3
"11","4","    Agriculture, forestry, and fishing","J424RC1",21.7,17,18,20.8,19.9,17.7,17.2,16.2,16,15.8,18,16.2,17.1,17.4,17.6,17.6,16.5,19.1,19.9,19.1,19.6,21.5
"12","5","    Mining","J734RC1",5.8,5,5.8,6.4,6.2,6.3,6.1,6.8,7.6,7.6,6.9,6.6,6.9,7,6.9,7.3,7.5,7.6,7.8,8.1,8.9,9.2
"13","6","    Construction","J735RC1",11.1,11,12.5,14.9,16.1,16.6,16.7,17.9,19.9,20.8,20.4,22.1,22.6,23.6,25.4,27.1,29.7,32.6,35.6,37.2,40.7,45.6
"14","7","    Manufacturing","J426RC1",75.2,71.3,83.7,98.2,101.8,110.5,104.3,118.6,124.9,128.5,120,135.8,137.2,137,149.2,157.6,169,186.8,205.6,210,228.9,241
"15","8","      Durable goods","J428RC1",37.5,35.9,45,54.2,57.1,63.6,58.1,67.8,71.1,74.4,66.2,77.6,78.1,76.8,86.2,92,99.1,111.4,123.5,125.5,136.9,144.2
"16","9","      Nondurable goods","J427RC1",37.7,35.4,38.7,44,44.7,46.9,46.2,50.8,53.7,54.1,53.9,58.2,59.1,60.2,63,65.6,69.9,75.3,82.1,84.5,92,96.8
"17","10","    Transportation and public utilities","J737RC1",21.3,21.4,24,27.1,28.9,30.6,30.1,32.5,34.9,36.6,36.6,39.5,41.5,42.7,45,47.3,50.3,53.7,58,60.3,65,70.3
"18","11","      Transportation","J429RC1",13.8,13.1,14.8,16.5,17.2,17.7,16.4,17.8,19,19.6,18.5,19.4,19.8,20,20.9,21.8,23.1,24.9,26.9,27.4,29.4,31.3
"19","12","      Communications","J430RC1",3.8,4.1,4.6,5.3,6,6.7,6.8,7.4,8.1,8.7,9.2,10.1,10.8,11.4,12.1,12.9,13.7,14.8,16.3,17.4,18.6,20.9
"20","13","      Electric, gas, and sanitary services","J431RC1",3.7,4.2,4.6,5.3,5.8,6.3,6.9,7.3,7.8,8.3,8.9,9.9,10.8,11.4,12,12.6,13.5,14,14.9,15.6,16.9,18.1
"21","14","    Wholesale trade","J433RC1",17.1,16.6,18.2,20.8,21.3,21.9,22.2,24.8,27,28.4,29.2,33.7,35.4,36.5,38.9,40.7,43.6,46.8,50.8,53.8,59.1,64.2
"22","15","    Retail trade","J434RC1",28.9,28.9,30,32.6,34.3,35.2,36,38.4,40.1,42.1,42.8,46.6,47.7,49,52.4,54.9,60.2,64.5,69.1,74.5,82.6,89.7
"23","16","    Finance, insurance, and real estate","J435RC1",22.9,24.7,27.2,30.1,33.3,36.7,40,43.2,46.3,49.4,53,56.4,60.6,64.3,68.3,72.1,77.1,82.6,88.4,95.2,103.5,113.2
"24","17","    Services","J437RC1",21.4,21.9,23.3,25.2,27,29.1,30,33.7,36.7,39.6,41.9,45.9,48.7,52.4,56.2,60.1,65.5,71,78.7,86.6,95.3,105.6
"25","18","  Government","B436RC1",22.8,25.2,26.7,34.7,40,41.2,42.2,44.2,46.4,49.6,53.2,55.6,59.3,63.3,67.5,72.5,78.2,84.2,94.4,103.9,116.6,127.6
"26","19","Rest of the world","A192RC1",1.5,1.3,1.4,1.9,2,1.9,2.1,2.4,2.8,3.1,2.6,2.8,3.1,3.5,4.1,4.5,4.9,5.3,5.1,5.4,6.1,6.1
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
