"","Table 7#14# Relation of Nonfarm Proprietors' Income in the Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:43:00 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Net profit (less loss) of nonfarm proprietorships and partnerships, plus payments to partners, IRS","B1200C1",28.2,27.2,28.5,29.6,30.3,32.8,34.9,37.1,38.9,41.1,41.9
"9",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","  Adjustments for misreporting on income tax returns","B2636C1",9.4,10,10.9,11.9,12.5,13.7,14.3,15.5,16.4,18.1,19.1
"11","3","  Posttabulation amendments and revisions \1\","B1201C1",1.5,1.4,1.3,1.3,1.2,1.4,1.4,1.4,1.5,1.9,2
"12","4","  Depletion on domestic minerals","B1202C1",0.2,0.4,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4
"13","5","  Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1203C1",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0
"14","6","  Bad debt expense","B1205C1",0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5
"15","7","  Income received by fiduciaries","B1206C1",0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4
"16","8","  Income of tax-exempt cooperatives","B1207C1",0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"17","9","  Adjustment to depreciate expenditures for intellectual property products \2\","Y370RC1",0.2,0.1,0.2,0.2,0.1,0.1,0.1,0,0,0.1,0.2
"18","10","  Disaster adjustments (net) \3\","W778RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","Equals: Nonfarm proprietors' income, NIPAs","B046RC1",40.5,40.1,42.2,44.2,45.5,49.4,52.1,55.6,58.6,63,65
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","written off, of adjustments for corporate partners and statutory employees, of interest income, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","of margins on owner-built housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Intellectual property consists of software, research and development, and entertainment, literary,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","and artistic originals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Consists of disaster losses valued at historic-cost less net insurance receipts for disaster-related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","losses valued at replacement-cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
