"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","2","  Gross national product","A791RC0",1705,1720,1739,1802,1836,1875,1912,1911,1866,1834,1836,1812,1872,1929,2040,2108,2204,2250,2287,2309,2321,2320,2352,2425,2461,2476,2460,2416,2404,2399,2418,2462,2534,2575,2616,2645,2652,2678,2697,2737,2783,2786,2817,2773,2721,2736,2803,2869,2918,2981,2975,2986,3040,3026,3033,2993,3009,3059,3105,3165,3227,3258,3283,3292,3331,3368,3425,3464,3541,3579,3630,3644,3746,3804,3881,3983,4098,4138,4194,4254,4300,4314,4383,4453,4585,4701,4769,4845,4960,5027,5113,5142
"12","3","  Personal income","A792RC0",1328,1320,1369,1382,1418,1450,1481,1478,1431,1418,1408,1405,1501,1505,1554,1605,1659,1711,1731,1753,1759,1778,1815,1849,1870,1888,1879,1870,1862,1852,1856,1880,1911,1949,1985,2006,2031,2057,2079,2113,2131,2150,2168,2154,2151,2157,2195,2211,2240,2279,2282,2304,2321,2341,2345,2343,2358,2383,2412,2449,2478,2508,2523,2546,2567,2584,2612,2651,2693,2734,2774,2810,2859,2901,2965,3024,3081,3123,3181,3240,3287,3314,3374,3423,3513,3605,3687,3755,3819,3905,4000,4064
"13","4","  Disposable personal income","A229RC0",1194,1185,1232,1239,1272,1320,1356,1353,1311,1304,1299,1299,1391,1389,1429,1457,1500,1539,1552,1562,1561,1574,1610,1640,1660,1678,1671,1665,1675,1667,1672,1694,1720,1753,1784,1801,1819,1841,1860,1890,1904,1922,1940,1929,1931,1940,1972,1986,2009,2041,2042,2058,2069,2086,2088,2087,2103,2127,2154,2189,2211,2235,2243,2261,2279,2296,2324,2361,2412,2474,2506,2534,2565,2600,2672,2725,2767,2789,2836,2883,2927,2957,3003,3042,3120,3197,3230,3279,3311,3383,3487,3545
"14","5","  Personal consumption expenditures","A794RC0",1092,1114,1133,1156,1170,1191,1206,1206,1193,1199,1190,1201,1214,1235,1320,1297,1365,1332,1343,1363,1366,1387,1397,1442,1459,1465,1463,1452,1459,1470,1478,1500,1533,1557,1576,1592,1594,1604,1616,1640,1659,1665,1684,1686,1677,1687,1709,1724,1760,1787,1809,1813,1818,1844,1836,1839,1834,1854,1862,1894,1915,1939,1952,1978,1990,2006,2035,2051,2095,2130,2169,2175,2224,2254,2293,2358,2405,2424,2463,2485,2501,2541,2570,2600,2684,2747,2820,2856,2911,2960,3003,3053
"15","6","    Goods","AGDSRC0",668,683,695,713,721,732,740,736,723,727,719,728,734,744,816,785,832,794,798,810,805,815,813,848,855,851,840,832,831,833,832,847,870,890,902,904,898,900,902,915,928,928,939,931,920,920,931,940,964,977,983,974,974,989,980,974,962,969,973,989,1000,1009,1014,1028,1036,1041,1054,1056,1082,1101,1125,1115,1151,1163,1186,1227,1259,1258,1280,1281,1280,1303,1309,1320,1372,1401,1445,1453,1480,1495,1511,1526
"16","7","      Durable goods","A795RC0",145,148,151,162,162,164,172,169,165,177,183,189,194,197,246,218,232,200,195,196,197,198,187,213,222,220,216,210,204,208,204,214,234,247,256,249,237,237,235,245,250,247,244,240,228,222,226,232,248,257,261,247,253,257,254,246,231,236,242,252,257,263,265,275,279,285,288,293,304,310,319,308,336,334,343,354,369,355,367,368,359,375,375,379,404,414,436,436,446,447,446,446
"17","8","      Nondurable goods","A796RC0",523,535,544,551,559,568,568,567,558,550,537,539,540,547,570,567,600,594,602,614,607,617,626,635,634,631,624,622,627,625,628,632,636,643,645,655,661,663,667,671,678,682,695,690,692,697,705,708,716,719,722,726,721,732,727,728,730,732,731,736,743,745,749,754,757,756,766,763,778,791,806,808,815,829,843,873,889,903,913,913,921,927,933,941,968,987,1009,1017,1034,1048,1064,1079
"18","9","    Services","A797RC0",424,431,438,443,449,458,466,470,471,472,471,473,479,491,504,512,533,539,546,553,561,572,583,594,604,613,622,621,628,637,646,654,662,667,674,688,696,704,714,724,730,737,745,755,757,768,779,784,796,811,826,839,844,855,856,865,872,886,889,905,915,930,938,949,954,964,981,995,1013,1029,1044,1059,1073,1091,1108,1130,1146,1166,1183,1204,1220,1238,1261,1280,1312,1346,1375,1403,1431,1465,1492,1527
"19",NA,"Chained (2009) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10","  Gross domestic product","A939RX0",13513,13437,13362,13510,13649,13816,13834,13784,13537,13438,13528,13346,13819,14186,14670,14886,15029,15229,15472,15433,15532,15503,15548,15985,16221,16287,16122,15803,15664,15617,15722,15951,16338,16537,16684,16703,16568,16637,16546,16733,16770,16664,16751,16505,16016,16060,16360,16666,16908,17253,17146,17138,17380,17253,17223,16938,16986,17236,17450,17728,17983,18113,18215,18212,18354,18534,18823,18885,19233,19401,19593,19593,20021,20240,20582,20999,21464,21496,21583,21701,21847,21812,21939,22053,22454,22781,22883,22923,23231,23252,23332,23162
"21","11","  Gross national product","A791RX0",13601,13528,13452,13603,13750,13921,13939,13889,13637,13535,13623,13433,13911,14283,14781,14997,15136,15351,15598,15564,15656,15628,15671,16106,16340,16412,16236,15916,15784,15736,15841,16081,16471,16669,16817,16837,16713,16781,16692,16865,16919,16822,16903,16630,16143,16188,16485,16790,17032,17376,17276,17274,17512,17386,17361,17081,17135,17378,17595,17875,18129,18271,18374,18390,18525,18699,18991,19056,19418,19579,19775,19764,20212,20435,20766,21169,21640,21671,21755,21879,22023,21984,22125,22235,22639,22969,23075,23114,23423,23438,23511,23340
"22","12","  Disposable personal income","A229RX0",9167,9022,9211,9036,9175,9424,9537,9546,9318,9326,9346,9356,10035,9969,10051,10067,10038,10221,10290,10223,10176,10264,10425,10601,10689,10788,10688,10602,10612,10579,10642,10794,10924,11120,11273,11350,11418,11479,11484,11601,11586,11620,11631,11509,11379,11411,11590,11678,11730,11871,11805,11837,11883,11915,11885,11827,11895,12030,12139,12320,12394,12480,12497,12556,12622,12699,12790,12949,13162,13473,13598,13703,13826,13945,14279,14520,14628,14627,14760,14885,15070,15151,15251,15318,15547,15770,15766,15831,15830,15968,16260,16339
"23","13","  Personal consumption expenditures","A794RX0",8378,8479,8468,8431,8437,8501,8477,8505,8482,8578,8560,8646,8753,8866,9280,8960,9140,8846,8908,8918,8901,9040,9045,9322,9397,9419,9354,9249,9244,9326,9410,9560,9735,9881,9958,10034,10008,10001,9977,10064,10090,10067,10101,10059,9884,9927,10047,10135,10278,10396,10460,10426,10442,10536,10450,10417,10373,10487,10494,10659,10734,10828,10873,10983,11021,11091,11199,11249,11435,11599,11770,11761,11991,12091,12257,12561,12715,12713,12819,12833,12876,13019,13049,13092,13374,13547,13764,13790,13915,13972,14001,14071
"24","14","    Goods","AGDSRX0",2922,2962,2968,2965,2957,2972,2956,2962,2945,2998,3000,3053,3099,3121,3341,3150,3207,3032,3051,3061,3034,3090,3073,3214,3244,3238,3196,3162,3147,3165,3184,3257,3343,3423,3455,3463,3433,3414,3384,3415,3433,3406,3420,3377,3284,3282,3329,3378,3442,3483,3496,3452,3459,3495,3458,3422,3376,3414,3422,3483,3511,3534,3547,3588,3610,3628,3650,3648,3721,3788,3862,3820,3934,3951,4019,4160,4228,4196,4243,4221,4222,4285,4260,4265,4392,4447,4544,4524,4575,4568,4564,4566
"25","15","      Durable goods","A795RX0",326,331,334,354,351,352,356,350,342,370,386,399,413,415,511,446,458,391,382,379,380,385,361,421,434,430,425,411,397,414,414,438,475,499,512,497,472,471,460,473,479,466,461,453,421,413,420,434,455,471,478,453,464,473,467,453,426,434,442,462,470,481,483,502,510,520,524,530,549,562,578,558,609,608,627,651,680,651,671,668,654,681,673,673,713,727,758,751,764,760,756,750
"26","16","      Nondurable goods","A796RX0",3225,3266,3266,3208,3205,3223,3190,3217,3215,3211,3170,3207,3234,3260,3302,3214,3260,3200,3252,3275,3234,3297,3340,3374,3382,3385,3338,3328,3346,3323,3350,3390,3411,3460,3467,3521,3545,3522,3508,3519,3525,3524,3557,3517,3473,3491,3539,3571,3603,3619,3618,3624,3604,3631,3594,3580,3587,3622,3609,3643,3660,3662,3676,3682,3690,3690,3710,3691,3742,3802,3862,3856,3882,3908,3954,4087,4107,4135,4152,4127,4164,4184,4169,4176,4249,4291,4348,4337,4376,4376,4380,4396
"27","17","    Services","A797RX0",5057,5107,5073,5023,5055,5114,5119,5146,5157,5162,5129,5121,5162,5274,5333,5342,5466,5481,5524,5512,5557,5622,5672,5726,5763,5810,5819,5749,5778,5854,5929,5971,6016,6036,6071,6161,6194,6228,6264,6314,6312,6340,6357,6397,6365,6433,6492,6504,6557,6629,6690,6741,6748,6798,6761,6796,6837,6911,6903,6995,7036,7116,7149,7210,7215,7271,7370,7442,7538,7619,7691,7769,7836,7934,8016,8126,8189,8256,8298,8362,8419,8479,8570,8617,8732,8848,8937,9011,9072,9163,9210,9297
"28","18","Population (midperiod, thousands)","B230RC0",143156,143803,144462,145135,145761,146341,146973,147659,148298,148891,149529,150211,150852,151385,152039,152724,153336,153947,154655,155389,156033,156644,157324,158043,158648,159234,159963,160713,161389,162044,162792,163585,164266,164926,165674,166481,167190,167869,168654,169497,170218,170915,171684,172463,173116,173781,174535,175340,176045,176727,177481,178268,179694,180335,181094,181915,182634,183337,184103,184894,185553,186203,186926,187680,188299,188906,189631,190362,190954,191560,192256,192938,193467,193994,194647,195279,195763,196277,196877,197481,197967,198455,199012,199572,199995,200452,200997,201538,201955,202419,202986,203584
