"","Table 3#12# Government Social Benefits","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 7:44:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Government social benefits","W063RC1",59.6,72.5,86.2,95.8,109.8,129.9,165.1,180.1,192.1,206.2,230.4,275,312.1,347.2,374.1,384.6,407.1,433,452.2,481.4,526.2,580.8,656.8,738,785.1,822.5,871.5,913.9,943.3,966.1,1000.7,1053.5,1155.3,1260.1,1331.2,1415.2,1502.3,1605.5,1710.8,1935.4,2124.9,2298.3,2327.3,2341.5,2404.3,2506.6
"9","2","To persons","A063RC1",59,71.7,85.4,94.8,108.6,128.6,163.1,177.6,189.5,203.4,227.3,271.5,307.8,343.1,370.5,380.9,403.1,428.6,447.9,476.9,521.1,574.7,650.5,731.8,778.9,815.7,864.7,906.3,935.4,957.9,992.2,1044.9,1145.8,1250.5,1321.1,1404.6,1491,1593.1,1697.5,1920,2108.8,2281.7,2310.2,2323.6,2385.5,2487.2
"10","3","  Federal","B087RC1",45.8,55.6,66.1,72.9,84.5,103.3,132.3,143.5,152.4,162.7,183,220.3,250.7,281.9,303.6,309.7,325.9,344.3,357.2,378.4,411.7,447,494,551.8,583.7,609,647.1,682.1,707.9,722.1,739.9,773.4,840.8,917.5,967.5,1019.5,1084.4,1189.2,1264.2,1464.6,1616.2,1757.9,1779.9,1783.6,1823.2,1877.3
"11","4","    Benefits from social insurance funds","A1588C1",38,45.7,54,59.2,69.4,81.6,104.5,114.9,124.1,132.3,148.7,178.1,206,238.5,257.7,263,278.6,295.6,307.8,324.9,351.7,382.3,421.4,467.5,493.2,514.1,544,572.8,597,607.9,622.9,654.9,713.7,775,810.4,844.3,895.7,993.7,1057.8,1140.3,1312.1,1365.2,1379.4,1425.9,1458.8,1492.3
