"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:34:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government consumption expenditures \1\","A955RA3",6.088,6.474,6.713,6.722,6.881,7.658,7.757,8.377,8.278,8.799,9.544,10.195,14.9,31.524,50.742,60.566,58.306,24.029,19.832,19.903,21.023,21.044,27.714,32.805,34.676,32.182,31.439,31.188,32.346,32.899,32.881,33.083,34.186,36.581,37.327,38.105,39.537,42.892,46.724,49.082,50.027
"9","2","        Gross output of general government","W101RA3",5.649,6.067,6.315,6.308,6.891,8.097,8.244,9.74,9.146,10.134,10.596,10.836,14.723,28.748,45.173,54.176,53.378,23.67,18.259,18.29,19.288,19.472,25.385,29.731,31.429,29.375,29.087,28.767,30.012,30.643,30.788,31.023,32.115,34.441,35.399,36.337,37.909,41.194,44.665,46.943,47.954
"10","3","          Value added","W102RA3",9.326,9.779,9.958,9.829,10.38,11.695,12.491,14.567,13.935,15.02,15.315,16.182,20.642,32.25,53.66,64.508,65.012,35.231,27.598,26.597,26.695,27.203,33.118,36.034,36.68,36.704,36.853,37.609,38.576,39.127,39.8,41.318,42.983,44.863,46.336,48.06,49.773,52.988,55.97,58.262,59.859
