"","Table 1#4#4# Price Indexes for Gross Domestic Product, Gross Dom","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 7:27:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","Gross domestic product","A191RG3",21.691,22.836,23.996,25.035,26.396,28.76,31.431,33.157,35.209,37.68,40.79,44.48,48.658,51.624,53.658,55.564,57.341,58.504,59.935,62.036,64.448,66.841,69.057,70.632,72.315,73.851,75.393,76.767,78.088,78.935,80.065,81.89,83.755,85.04,86.735,89.118,91.985,94.812,97.34,99.218,100,101.226,103.315,105.22,106.935,108.694
"9","2","Less: Exports of goods and services","B020RG3",31.391,32.623,33.811,35.297,39.938,49.205,54.232,56.012,58.294,61.846,69.291,76.319,81.972,82.349,82.675,83.444,80.966,79.596,81.381,85.55,86.97,87.461,88.436,88.004,88.139,89.159,91.153,89.937,88.349,86.258,85.578,87.159,86.649,86.092,87.786,90.845,94.717,97.979,101.107,105.809,100,104.263,110.96,111.97,112.147,112.25
"10","3","Plus: Imports of goods and services","B021RG3",20.963,22.203,23.566,25.217,29.6,42.348,45.874,47.255,51.418,55.049,64.463,80.294,84.611,81.76,78.695,78.015,75.452,75.451,80.02,83.849,85.681,88.138,87.404,87.474,86.804,87.619,90.02,88.451,85.376,80.779,81.28,84.818,82.716,81.712,84.512,88.471,93.802,97.663,101.024,111.588,100,105.8,113.942,114.671,113.798,113.566
