"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:36:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Private fixed investment","A007RA3",11.45,11.153,11.513,12.461,12.859,12.84,12.709,12.564,11.861,11.501,11.481,11.898,12.63,13.748,14.726,14.432,13.909,13.289,13.094,12.993,13.192,13.414,12.685,13.65,14.205,14.315,14.341,14.217,14.018,14.241,14.782,15.106,15.684,16.336,16.707,16.774,16.495,16.664,16.673,16.595,16.584,16.441,16.609,16.332,15.411,15.031,15.257,16.161,17.113,17.641,17.828,17.621,18.209,17.878,17.495,17.46,17.312,17.596,18.018,18.588,18.944,19.481,19.638,19.578,19.834,20.718,21.228,21.863,22.62,22.578,22.945,23.146,24.191,24.876,25.549,26.141,27.115,26.85,26.879,26.166,25.671,26.305,26.622,27.421,28.034,27.965,28.399,29.069,29.878,30.035,30.466,29.788
"10","2","Nonresidential","A008RA3",8.116,7.989,7.843,8.061,8.529,8.245,8.265,8.456,8.06,7.76,7.406,7.314,7.526,8.153,8.829,8.816,8.585,8.689,8.79,8.646,8.73,8.868,8.177,8.902,9.384,9.478,9.69,9.602,9.35,9.266,9.502,9.489,9.65,10.221,10.727,11.048,10.912,11.108,11.22,11.221,11.281,11.258,11.485,11.22,10.506,10.118,10.012,10.388,10.711,11.02,11.316,11.285,11.677,11.848,11.64,11.613,11.447,11.702,11.817,12.176,12.42,12.756,12.914,12.866,12.897,13.298,13.663,14.061,14.356,14.692,15.166,15.489,16.475,17.08,17.701,18.421,19.193,19.509,19.766,19.766,19.445,19.399,19.365,19.755,20.337,20.087,20.363,20.918,21.453,21.687,22.18,22.064
"11","3","  Structures","B009RA3",28.974,28.821,29.017,28.599,29.193,30.006,30.903,31.345,30.756,30.036,28.707,27.919,29.25,30.725,32.504,33.337,33.445,34.58,34.371,33.049,33.089,33.327,33.605,34.893,35.943,36.633,36.837,37.487,37.869,38.132,38.048,37.887,39.06,40.03,41.358,42.38,43.696,45.253,45.539,45.431,45.04,45.009,45.016,44.76,43.921,42.465,41.495,42.136,41.988,43.288,44.575,44.236,46.082,46.628,46.717,48.495,48.275,47.47,47.498,47.248,48.135,49.889,51.204,49.964,48.226,50.512,50.862,51.901,53.245,55.048,56.854,57.306,60.245,64.444,65.121,68.119,69.735,68.39,69.914,67.536,68.238,66.299,66.999,67.107,68.416,67.832,67.392,68.768,69.831,70.386,73.704,73.188
"12","4","    Commercial and health care","W001RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.744,33.105,33.533,33.735,33.795,36.618,37.68,36.325,37.534,37.409,37.539,41.241,43.431,43.108,44.187,44.651,44.007,46.619,55.11,49.705,47.244,48.678,47.646,45.688,46.694,50.844,53.93,54.262,57.769,59.206,60.265,63.929,62.203,56.731,59.249,57.255,58.395,56.268,55.087,56.649,60.617,62.606,61.963,62.604,66.602,68.862,75.105,75.324
"13","5","    Manufacturing","B307RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.637,42.257,36.118,34.046,32.645,34.396,38.5,40.771,46.269,47.863,50.786,53.395,52.408,49.074,46.572,45.941,46.521,52.483,46.06,50.884,44.139,47.494,50.862,54.212,53.088,55.618,61.99,65.735,73.057,81.565,81.139,91.155,97.896,103.11,106.091,99.231,97.321,85.812,90.471,83.813,87.492,84.42,82.544,89.739,91.841,88.866,91.576,89.633
"14","6","    Power and communication","W003RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.162,35.136,34.38,34.968,34.155,33.428,33.115,33.186,33.896,34.483,33.124,33.609,31.871,31.731,31.881,31.08,32.053,31.461,31.605,32.226,32.293,34.55,33.853,35.235,36.043,36.865,37.23,37.802,39.082,40.256,41.272,43.051,44.935,46.35,48.119,47.209,48.497,50.77,51.469,53.468,55.163,55.501,57.816,58.481,56.643,56.222,56.312,57.754
"15","7","    Mining exploration, shafts, and wells \1\","E318RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.203,72.634,68.854,71.165,74.762,75.034,73.402,73.357,70.609,69.494,69.612,68.652,68.217,69.348,71.939,73.984,75.814,76.346,74.147,71.049,70.275,70.383,70.306,68.122,70.679,75.308,75.122,77.929,73.827,79.632,71.697,70.231,72.266,68.702,71.702,67.249,66.422,68.633,66.84,65.692,68.204,65.193,67.256,68.539,66.491,69.716,72.72,71.63
"16","8","    Other structures \2\","W004RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.948,44.28,45.623,47.87,47.766,49.49,52.29,51.097,54.398,55.629,55.883,56.884,56.126,54.806,53.885,52.919,55.397,56.623,55.575,54.627,54.596,57.612,59.43,63.455,66.789,64.901,64.29,61.814,65.079,72.826,75.932,76.047,78.147,75.736,73.835,73.066,74.4,72.257,73.717,74.006,69.029,66.277,62.657,62.065,63.048,63.753,66.971,64.169
"17","9","  Equipment","Y033RA3",7.426,7.267,7.022,7.429,8.058,7.522,7.426,7.664,7.177,6.825,6.461,6.391,6.502,7.235,8.01,7.888,7.552,7.565,7.729,7.654,7.695,7.802,6.647,7.482,8.014,8.002,8.272,8.032,7.583,7.414,7.766,7.748,7.819,8.511,9.044,9.308,8.846,8.865,8.954,8.932,9.093,9.059,9.379,9.007,8.048,7.636,7.557,7.965,8.404,8.656,8.938,8.92,9.229,9.384,8.979,8.663,8.381,8.782,8.902,9.437,9.681,9.926,9.962,9.991,10.176,10.38,10.827,11.251,11.528,11.765,12.181,12.542,13.498,13.74,14.475,15.037,15.864,16.423,16.497,16.732,16.068,16.242,16.02,16.53,17.159,16.745,17.159,17.755,18.402,18.593,18.835,18.677
"18","10","    Information processing equipment","Y034RA3",0.172,0.161,0.168,0.165,0.175,0.167,0.164,0.179,0.17,0.154,0.146,0.143,0.148,0.17,0.173,0.186,0.173,0.183,0.194,0.197,0.207,0.23,0.2,0.221,0.235,0.238,0.249,0.224,0.22,0.208,0.212,0.213,0.206,0.228,0.264,0.28,0.263,0.297,0.283,0.29,0.295,0.323,0.35,0.315,0.295,0.276,0.282,0.293,0.298,0.303,0.31,0.341,0.357,0.379,0.37,0.395,0.374,0.412,0.419,0.43,0.461,0.45,0.439,0.453,0.483,0.514,0.537,0.543,0.572,0.582,0.583,0.629,0.636,0.679,0.713,0.762,0.824,0.887,0.936,0.977,0.949,0.957,0.94,1.001,1.019,1.002,1.029,1.018,1.098,1.192,1.27,1.322
"19","11","      Computers and peripheral equipment \3\","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.007,0.007
"20","12","      Other \4\","A937RA3",1.964,1.847,1.928,1.893,2.005,1.915,1.873,2.048,1.941,1.763,1.668,1.635,1.699,1.946,1.982,2.129,1.978,2.092,2.222,2.251,2.372,2.635,2.294,2.534,2.692,2.724,2.845,2.565,2.513,2.375,2.422,2.438,2.358,2.614,3.024,3.207,3.014,3.402,3.239,3.315,3.38,3.694,4,3.609,3.377,3.156,3.233,3.351,3.413,3.472,3.537,3.852,3.949,4.185,4.023,4.251,4.013,4.431,4.424,4.55,4.851,4.729,4.507,4.492,4.631,4.796,4.923,4.92,5.115,5.195,5.179,5.567,5.571,5.841,6.113,6.29,6.697,6.99,7.137,7.226,6.988,7.022,6.898,7.276,7.397,7.142,7.234,7.148,7.683,8.186,8.669,8.966
"21","13","    Industrial equipment","A680RA3",36.783,34.208,34.458,31.15,33.82,31.712,29.469,31.358,28.604,24.399,22.739,21.626,23.388,27.857,28.457,32.772,28.343,30.853,34.034,33.053,33.435,35.885,30.531,31.394,34.262,35.825,37.065,37.39,36.63,36.555,39.004,36.817,33.816,35.747,37.725,40.58,39.061,39.785,42.814,41.609,41.708,41.547,41.852,40.208,36.593,34.398,32.805,33.977,34.957,34.182,34.296,36.421,37.183,39.93,37.495,36.19,33.874,35.207,35.482,38.181,38.305,38.706,37.15,35.916,37.925,39.782,41.617,42.798,43.6,43.718,46.023,49.89,50.552,52.745,55.815,56.908,58.818,62.452,63.275,63.884,64.485,63.191,60.206,61.54,62.505,60.825,59.952,61.192,63.399,64.698,66.648,65.968
"22","14","    Transportation equipment","A681RA3",43.868,44.874,42.51,48.488,50.461,46.613,46.084,43.909,45.056,46.755,46.76,47.427,45.201,47.573,59.267,53.852,53.648,50.461,48.663,44.995,44.85,41.097,34.27,43.059,46.836,48.45,49.603,49.399,44.729,40.642,41.664,43.098,49.116,54.492,57.919,55.023,50.256,49.086,46.07,49.157,50.795,50.687,54.089,52.366,41.23,36.105,34.566,39.747,46.007,50.955,55.22,48.788,55.1,52.599,52.573,46.752,44.924,46.838,48.894,55.042,57.02,59.523,62.25,62.488,58.529,55.618,57.641,61.784,63.469,65.89,70.637,64.252,80.698,80.186,83.389,86.764,92.764,92.546,89.286,89.458,83.098,86.633,90.332,91.958,104.607,100.253,106.057,112.364,114.882,112.44,109.579,103.284
"23","15","    Other equipment \5\","A862RA3",22.214,22.249,20.285,23.985,27.486,25.631,26.68,28.491,24.793,23.726,21.264,21.026,22.027,24.52,25.785,23.64,24.077,23.57,23.425,25.368,25.114,25.58,22.085,24.678,25.61,23.16,24.079,22.404,20.793,21.903,23.19,23.796,23.851,26.038,26.84,28.464,27.989,26.7,27.644,26.207,26.757,25.245,25.48,25.191,24.625,25.694,26.808,27.019,27.368,27.829,28.183,28.476,26.958,26.783,24.611,24.355,25.146,25.843,25.463,25.21,25.449,26.995,27.656,28.368,29.703,30.803,32.188,33.401,33.697,34.529,34.497,36.94,37.646,37.021,39.459,41.043,42.903,43.63,43.737,44.214,40.767,41.638,40.494,41.924,40.551,40.459,41.756,44.108,45.131,44.256,44.082,44.681
"24","16","  Intellectual property products","Y001RA3",1.699,1.678,1.677,1.643,1.657,1.631,1.632,1.621,1.561,1.557,1.57,1.638,1.694,1.72,1.728,1.711,1.664,1.647,1.678,1.747,1.897,2.028,2.162,2.323,2.425,2.536,2.585,2.616,2.642,2.659,2.682,2.721,2.745,2.818,2.918,3.067,3.211,3.336,3.414,3.491,3.455,3.461,3.503,3.52,3.53,3.581,3.673,3.801,3.916,3.985,3.966,3.995,4.059,4.111,4.282,4.378,4.506,4.65,4.737,4.79,4.797,4.85,4.905,5.016,5.179,5.357,5.453,5.519,5.497,5.551,5.653,5.775,6.029,6.226,6.432,6.652,6.881,7.083,7.276,7.458,7.59,7.644,7.775,7.91,8.057,8.262,8.402,8.522,8.582,8.749,8.812,8.906
"25","17","    Software \6\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.001,0.003,0.008,0.02,0.031,0.04,0.044,0.043,0.044,0.045,0.05,0.052,0.056,0.063,0.077,0.092,0.117,0.14,0.156,0.159,0.159,0.156,0.153,0.169,0.186,0.211,0.239,0.266,0.295,0.324,0.357,0.363,0.366,0.36,0.369,0.383,0.4,0.417,0.438,0.468,0.519,0.58,0.636
"26","18","    Research and development \7\","Y006RA3",2.925,2.971,3.009,3.071,3.097,3.058,3.062,2.947,2.712,2.602,2.578,2.635,2.863,3.066,3.217,3.244,3.163,3.185,3.274,3.517,3.948,4.264,4.615,5.042,5.313,5.573,5.748,5.864,5.951,5.994,5.961,5.96,5.805,5.933,6.218,6.708,7.366,7.845,8.061,8.207,8.04,7.948,8.014,8.09,8.214,8.33,8.604,8.821,8.931,9.142,9.176,9.395,9.833,10.08,10.199,10.266,10.361,10.584,10.813,11.075,11.274,11.54,11.696,11.875,12.112,12.36,12.576,12.756,12.951,13.241,13.571,13.926,14.413,14.831,15.22,15.693,16.039,16.513,17.012,17.482,17.96,18.319,18.745,19.069,19.499,19.865,20.202,20.576,20.876,21.243,21.545,21.726
"27","19","    Entertainment, literary, and artistic originals","Y020RA3",13.445,12.905,12.697,11.874,11.97,11.734,11.742,12.099,12.251,12.688,12.999,13.822,13.674,13.151,12.565,12.166,11.789,11.398,11.477,11.415,11.758,12.37,12.853,13.397,13.759,14.3,14.251,14.2,14.223,14.286,14.814,15.428,16.509,17.066,17.327,17.43,16.673,16.445,16.681,17.209,17.421,17.925,18.276,18.198,17.793,18.067,18.269,19.284,20.585,20.74,20.259,19.578,18.262,17.588,19.354,20.348,21.888,23.059,23.351,22.894,22.112,21.659,21.6,22.07,23,23.856,23.697,23.488,22.32,21.941,22.191,22.6,23.813,24.49,25.182,25.686,26.8,27.057,27.11,27.087,26.984,26.374,26.738,27.146,27.265,28.21,28.471,28.287,27.41,27.233,25.856,25.325
"28","20","Residential","A011RA3",29.995,28.496,32.853,39.185,38.673,40.913,39.614,36.711,34.005,33.435,36.293,40.717,45.262,49.6,52.309,49.871,47.29,40.973,38.387,38.756,39.771,40.51,40.116,42.283,42.965,43.107,41.494,41.156,41.606,44.32,47.019,49.961,53.634,54.405,53.247,51.012,49.708,49.451,48.517,47.794,47.139,46.022,45.416,45.356,43.573,43.729,46.881,51.76,57.603,59.614,58.499,56.843,58.588,53.791,52.184,52.13,52.342,52.55,55.416,57.303,58.301,60.107,60.059,59.964,62.081,66.533,67.805,69.934,74.231,70.537,69.408,68.176,68.511,69.109,69.436,68.076,69.782,64.354,62.217,55.69,54.157,60.4,63.613,67.297,67.496,69.143,70.542,71.518,73.919,73.227,72.646,67.652
"29","21","  Structures","B012RA3",30.891,29.354,33.87,40.632,40.039,42.456,41.064,37.919,35.143,34.533,37.617,42.277,47.013,51.439,54.293,51.598,49.039,42.435,39.659,40.08,41.183,41.888,41.588,43.694,44.415,44.578,42.944,42.62,43.11,45.91,48.673,51.727,55.626,56.365,55.166,52.776,51.312,51.046,50.04,49.42,48.593,47.445,46.829,46.798,45.153,45.06,48.188,53.138,59.322,61.447,60.446,58.763,60.524,55.507,53.776,53.765,54.007,54.186,57.166,59.166,60.246,62.086,61.98,61.852,64.052,68.695,70.01,72.244,76.72,72.814,71.604,70.323,70.575,71.188,71.51,69.993,71.792,66.158,63.862,57.096,55.489,62.015,65.324,69.046,69.206,70.916,72.267,73.28,75.737,74.921,74.291,69.014
"30","22","    Permanent site","B943RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.436,93.471,99.546,110.073,126.263,130.4,127.325,122.353,124.982,111.467,106.379,104.509,104.964,106.453,113.632,119.844,122.336,127.207,129.08,128.749,133.232,142.479,147.219,152.626,164.633,153.008,150.08,146.599,145.471,146.66,149.739,145.528,150.477,136.024,123.19,105.709,106.033,115.289,130.339,139.64,139.47,144.337,146.291,147.223,154.405,152.413,146.938,140.233
"31","23","      Single family","B944RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.132,97.125,103.42,114.318,131.162,135.234,131.932,126.791,130.866,116.245,110.146,107.008,105.988,105.761,111.714,116.464,116.145,118.592,118.193,116.308,117.709,123.98,127.221,132.125,146.756,136.2,134.157,132.629,131.089,133.038,137.925,135.123,139.631,126.362,114.162,98.23,100.68,111.181,125.233,131.74,127.706,130.238,128.73,128.749,132.049,125.75,119.57,112.007
"32","24","      Multifamily","B292RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.805,73.067,77.894,86.302,98.865,103.066,101.119,97.127,93.428,85.339,84.842,88.495,95.238,104.014,116.089,128.25,142.652,157.668,169.194,175.546,193.012,214.549,225.475,232.767,232.917,217.3,210.727,199.069,199.749,197.632,192.836,182.805,189.385,170.586,155.688,132.451,123.656,127.126,145.703,166.482,182.825,197.449,214.124,218.914,242.333,258.833,256.637,253.951
"33","25","    Other structures \8\","A863RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.778,20.117,21.72,23.808,24.954,26.03,26.058,26.015,27.291,26.535,26.476,27.349,27.476,27.025,27.883,27.794,28.157,28.475,27.428,27.402,28.422,30.68,30.308,30.936,31.649,31.569,31.229,31.053,31.967,32.28,31.259,31.086,31.274,30.102,33.058,31.738,29.219,34.231,31.691,32.568,32.882,32.988,34.008,35.044,35.108,34.897,36.63,32.25
"34","26","  Equipment","B013RA3",6.457,6.075,6.793,6.31,6.711,6.337,6.486,7.064,6.41,6.479,5.971,6.079,6.613,7.898,7.95,8.954,7.574,7,7.376,7.11,6.847,7.491,6.498,8.063,8.054,7.944,7.34,7.06,6.93,7.481,8.233,8.663,8.411,9.093,8.891,9.248,10.134,10.088,10.325,8.895,10.303,10.026,9.776,9.446,7.109,9.735,11.649,13.519,13.156,13.068,11.349,10.732,11.491,11.166,11.564,11.106,10.916,11.327,11.687,11.533,11.208,11.83,12.413,12.723,13.006,13.397,13.637,13.689,14.125,14.366,14.621,14.474,15.581,15.751,15.998,17.017,16.918,16.183,16.842,15.882,15.886,16.136,16.868,18.607,19.224,19.421,20.866,20.977,21.725,22.929,23.23,23.912
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","27","  Private fixed investment in structures","A349RA3",29.056,28.168,30.693,34.15,34.074,35.707,35.346,33.859,32.111,31.473,32.563,34.724,37.842,40.859,43.161,42.067,40.743,37.708,36.137,35.78,36.388,36.871,36.836,38.521,39.364,39.751,38.975,39.089,39.517,41.115,42.546,44.101,46.69,47.508,47.453,46.639,46.458,47.015,46.616,46.246,45.644,45.043,44.732,44.596,43.363,42.647,43.811,46.65,49.766,51.456,51.532,50.511,52.262,49.93,49.075,49.875,49.899,49.625,51.18,52.101,53.063,54.812,55.357,54.725,55.065,58.502,59.337,60.958,63.867,62.703,62.918,62.47,63.955,66.208,66.687,67.296,68.963,65.458,64.983,60.415,59.912,62.368,64.388,66.348,67.035,67.647,68.136,69.289,71.041,70.875,72.076,69.135
