"","Table 5#7#5A# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/4/2013 3:07:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"19","1","    Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,173.0","30,800.0","70,940.0"
"20","2","Farm \1\","B018RC1","18.0","-838.0","1,661.0","289.0","1,527.0","-2,781.0","3,360.0","-838.0","4,533.0","1,371.0","3,568.0","-6,114.0","8,760.0","5,754.0","-15,355.0","5,728.0","5,754.0","-1,450.0","-6,418.0","-11,877.0","-14.0","2,380.0","-1,275.0","6,262.0","-6,176.0","12,033.0","-11,047.0","8,656.0","3,271.0"
"21","3","Nonfarm","A015RC1","9,155.0","2,839.0","6,595.0","8,818.0","14,351.0","16,771.0","-9,616.0","17,954.0","17,791.0","24,420.0","14,416.0","-217.0","21,049.0","-20,668.0","9,604.0","59,677.0","16,070.0","8,021.0","33,567.0","30,359.0","27,707.0","12,167.0","881.0","10,066.0","26,990.0","51,751.0","42,220.0","22,144.0","67,669.0"
"22","4","    Change in book value \2\","B016RC1","15,487.0","9,882.0","11,308.0","16,149.0","36,123.0","62,066.0","3,096.0","33,961.0","35,666.0","51,903.0","60,836.0","48,422.0","50,860.0","-12,801.0","14,156.0","63,752.0","13,084.0","-5,255.0","51,635.0","58,538.0","50,011.0","27,957.0","-6,638.0","13,045.0","30,689.0","66,407.0","65,401.0","21,458.0","48,951.0"
"23","5","    Inventory valuation adjustment \3\","B017RC1","-6,332.0","-7,043.0","-4,713.0","-7,331.0","-21,772.0","-45,295.0","-12,712.0","-16,007.0","-17,875.0","-27,483.0","-46,420.0","-48,639.0","-29,811.0","-7,867.0","-4,552.0","-4,075.0","2,986.0","13,276.0","-18,068.0","-28,179.0","-22,304.0","-15,790.0","7,519.0","-2,979.0","-3,699.0","-14,656.0","-23,181.0","686.0","18,718.0"
"24","6","  Manufacturing","A150RC1","4,013.0","22.0","-1,196.0","2,674.0","7,938.0","10,866.0","-4,150.0","8,006.0","5,185.0","9,336.0","9,316.0","23.0","4,020.0","-14,116.0","-251.0","27,356.0","-6,000.0","-4,047.0","7,889.0","16,383.0","14,133.0","8,849.0","-6,837.0","-4,667.0","3,469.0","11,891.0","14,178.0","10,097.0","21,748.0"
"25","7","    Durable goods","A624RC1","3,207.0","-516.0","-2,056.0","2,329.0","7,813.0","6,910.0","-4,708.0","4,779.0","2,656.0","8,496.0","9,868.0","-126.0","1,597.0","-11,876.0","-2,002.0","22,049.0","-5,798.0","-5,184.0","5,182.0","12,438.0","10,709.0","5,045.0","-9,603.0","-8,047.0","3,661.0","9,114.0","10,992.0","9,514.0","14,312.0"
"26","8","    Nondurable goods","A625RC1","806.0","538.0","860.0","345.0","125.0","3,956.0","558.0","3,227.0","2,529.0","840.0","-552.0","149.0","2,423.0","-2,240.0","1,751.0","5,307.0","-202.0","1,137.0","2,707.0","3,945.0","3,424.0","3,804.0","2,766.0","3,380.0","-192.0","2,777.0","3,186.0","583.0","7,436.0"
"27","9","  Wholesale trade","A658RC1","2,216.0","2,652.0","2,108.0","1,972.0","1,463.0","5,389.0","-2,924.0","4,686.0","6,126.0","7,431.0","5,204.0","3,606.0","4,057.0","-1,571.0","440.0","14,385.0","6,156.0","7,082.0","6,683.0","8,495.0","4,101.0","8,160.0","4,543.0","8,269.0","6,348.0","16,361.0","14,101.0","3,143.0","26,493.0"
"28","10","    Durable goods","A661RC1","1,540.0","1,305.0","1,665.0","1,875.0","1,819.0","3,422.0","-1,225.0","2,818.0","3,519.0","6,080.0","3,273.0","3,121.0","3,487.0","-2,152.0","-853.0","10,596.0","2,018.0","3,882.0","4,337.0","5,817.0","2,494.0","3,847.0","808.0","3,492.0","4,324.0","12,563.0","13,221.0","4,183.0","18,082.0"
"29","11","    Nondurable goods","A664RC1","676.0","1,347.0","443.0","97.0","-356.0","1,967.0","-1,699.0","1,868.0","2,607.0","1,351.0","1,931.0","485.0","570.0","581.0","1,293.0","3,789.0","4,138.0","3,200.0","2,346.0","2,678.0","1,607.0","4,313.0","3,735.0","4,777.0","2,024.0","3,798.0","880.0","-1,040.0","8,411.0"
"30","12","      Merchant wholesalers","A151RC1","1,826.0","2,526.0","2,255.0","1,864.0","1,055.0","4,520.0","-3,071.0","3,933.0","6,172.0","7,736.0","4,450.0","4,745.0","2,755.0","-1,146.0","713.0","12,693.0","7,043.0","6,987.0","7,207.0","7,343.0","3,390.0","7,216.0","4,623.0","8,421.0","6,254.0","14,540.0","11,245.0","2,428.0","23,817.0"
"31","13","        Durable goods","A626RC1","1,249.0","1,329.0","1,845.0","1,705.0","1,464.0","2,968.0","-1,353.0","1,999.0","3,914.0","5,682.0","2,785.0","3,539.0","2,525.0","-1,867.0","-577.0","9,559.0","2,497.0","3,993.0","4,499.0","4,944.0","2,039.0","3,543.0","1,040.0","4,199.0","4,005.0","11,069.0","10,962.0","3,528.0","16,053.0"
"32","14","        Nondurable goods","A627RC1","577.0","1,197.0","410.0","159.0","-409.0","1,552.0","-1,718.0","1,934.0","2,258.0","2,054.0","1,665.0","1,206.0","230.0","721.0","1,290.0","3,134.0","4,546.0","2,994.0","2,708.0","2,399.0","1,351.0","3,673.0","3,583.0","4,222.0","2,249.0","3,471.0","283.0","-1,100.0","7,764.0"
"33","15","      Nonmerchant wholesalers","A152RC1","390.0","126.0","-147.0","108.0","408.0","869.0","147.0","753.0","-46.0","-305.0","754.0","-1,139.0","1,302.0","-425.0","-273.0","1,692.0","-887.0","95.0","-524.0","1,152.0","711.0","944.0","-80.0","-152.0","94.0","1,821.0","2,856.0","715.0","2,676.0"
"34","16","        Durable goods","A628RC1","291.0","-24.0","-180.0","170.0","355.0","454.0","128.0","819.0","-395.0","398.0","488.0","-418.0","962.0","-285.0","-276.0","1,037.0","-479.0","-111.0","-162.0","873.0","455.0","304.0","-232.0","-707.0","319.0","1,494.0","2,259.0","655.0","2,029.0"
"35","17","        Nondurable goods","A629RC1","99.0","150.0","33.0","-62.0","53.0","415.0","19.0","-66.0","349.0","-703.0","266.0","-721.0","340.0","-140.0","3.0","655.0","-408.0","206.0","-362.0","279.0","256.0","640.0","152.0","555.0","-225.0","327.0","597.0","60.0","647.0"
"36","18","  Retail trade","A153RC1","2,370.0","13.0","5,217.0","3,489.0","4,129.0","-807.0","-3,225.0","5,022.0","4,259.0","5,562.0","-45.0","-3,033.0","6,299.0","-2,810.0","10,216.0","16,961.0","12,195.0","2,629.0","17,305.0","6,570.0","12,726.0","-1,603.0","513.0","4,288.0","14,529.0","19,789.0","11,981.0","7,408.0","13,662.0"
