"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","          Value added","W102RC1","5,459.0","5,679.0","5,766.0","5,429.0","5,727.0","6,738.0","7,197.0","8,684.0","8,400.0","9,227.0","9,268.0","9,694.0","12,579.0","21,164.0","34,810.0","44,263.0","48,681.0","36,339.0","30,935.0","30,415.0","31,743.0","32,707.0","41,315.0","46,721.0","48,721.0","50,153.0","52,675.0","56,387.0","60,451.0","64,507.0","67,346.0","71,651.0","76,544.0","81,779.0","87,280.0","93,686.0","100,374.0","111,820.0","122,884.0","136,620.0","149,282.0"
"22","4","            Compensation of general government employees","A194RC1","4,619.0","4,844.0","4,958.0","4,703.0","4,912.0","5,793.0","6,225.0","7,597.0","7,233.0","8,003.0","8,002.0","8,346.0","10,748.0","17,812.0","28,626.0","35,232.0","38,303.0","25,156.0","19,869.0","20,307.0","22,483.0","24,120.0","31,892.0","36,288.0","37,273.0","37,848.0","39,546.0","41,928.0","44,731.0","47,977.0","49,750.0","53,055.0","56,873.0","60,705.0","64,749.0","69,980.0","75,463.0","85,333.0","94,467.0","105,859.0","116,051.0"
"23","5","            Consumption of general government fixed capital \2\","A265RC1","840.0","834.0","808.0","725.0","815.0","944.0","972.0","1,087.0","1,167.0","1,223.0","1,266.0","1,348.0","1,831.0","3,352.0","6,185.0","9,031.0","10,378.0","11,183.0","11,066.0","10,108.0","9,260.0","8,587.0","9,424.0","10,433.0","11,449.0","12,305.0","13,129.0","14,459.0","15,721.0","16,530.0","17,596.0","18,596.0","19,670.0","21,074.0","22,532.0","23,706.0","24,911.0","26,488.0","28,417.0","30,761.0","33,230.0"
"24","6","          Intermediate goods and services purchased \3\","W104RC1","1,943.0","2,117.0","2,118.0","1,988.0","2,332.0","3,237.0","3,151.0","3,715.0","3,476.0","4,034.0","4,436.0","4,204.0","7,134.0","17,799.0","26,088.0","30,172.0","28,055.0","7,524.0","5,836.0","7,527.0","9,538.0","9,560.0","16,270.0","22,153.0","25,601.0","21,440.0","21,446.0","20,078.0","22,814.0","24,021.0","22,827.0","20,941.0","21,548.0","25,655.0","26,415.0","26,838.0","29,408.0","35,475.0","42,924.0","47,993.0","50,463.0"
"25","7","            Durable goods","W105RC1","101.0","98.0","101.0","89.0","135.0","212.0","262.0","372.0","332.0","411.0","402.0","367.0","1,739.0","7,399.0","13,235.0","13,587.0","13,690.0","652.0","458.0","981.0","1,179.0","1,936.0","4,628.0","8,286.0","9,420.0","7,128.0","6,283.0","6,290.0","7,125.0","7,423.0","5,499.0","4,897.0","4,197.0","5,180.0","5,385.0","4,727.0","5,013.0","7,110.0","7,205.0","8,623.0","7,835.0"
"26","8","            Nondurable goods","W106RC1","851.0","970.0","999.0","961.0","1,074.0","1,377.0","1,440.0","1,615.0","1,461.0","1,688.0","1,985.0","1,919.0","2,454.0","7,406.0","9,829.0","11,693.0","8,547.0","1,880.0","2,215.0","2,839.0","4,474.0","3,618.0","4,283.0","5,331.0","8,630.0","7,380.0","6,541.0","4,640.0","4,851.0","5,599.0","7,828.0","6,047.0","6,021.0","8,188.0","7,578.0","8,041.0","8,986.0","9,869.0","13,579.0","16,187.0","16,851.0"
"27","9","            Services","W107RC1","991.0","1,049.0","1,018.0","938.0","1,123.0","1,647.0","1,448.0","1,728.0","1,683.0","1,935.0","2,049.0","1,919.0","2,940.0","2,994.0","3,024.0","4,892.0","5,818.0","4,992.0","3,163.0","3,707.0","3,884.0","4,007.0","7,359.0","8,537.0","7,551.0","6,932.0","8,622.0","9,148.0","10,838.0","10,999.0","9,500.0","9,996.0","11,330.0","12,287.0","13,452.0","14,070.0","15,409.0","18,496.0","22,140.0","23,182.0","25,778.0"
"28","10","        Less: Own-account investment \4\","W108RC1","187.0","220.0","225.0","205.0","703.0","1,341.0","1,421.0","2,698.0","2,077.0","2,775.0","2,495.0","2,084.0","1,858.0","1,371.0","894.0","1,122.0","1,034.0","674.0","622.0","760.0","854.0","938.0","1,226.0","1,575.0","1,760.0","1,769.0","1,784.0","1,970.0","2,187.0","2,485.0","2,916.0","3,043.0","3,303.0","3,580.0","3,972.0","4,351.0","4,729.0","5,107.0","5,266.0","5,559.0","6,113.0"
"29","11","        Less: Sales to other sectors \5\","W109RC1","492.0","548.0","559.0","512.0","495.0","570.0","607.0","504.0","549.0","569.0","599.0","643.0","769.0","1,096.0","1,827.0","2,715.0","4,450.0","4,699.0","1,803.0","1,705.0","1,711.0","2,045.0","2,388.0","2,092.0","2,204.0","2,466.0","3,434.0","3,113.0","3,773.0","4,133.0","4,231.0","4,523.0","4,843.0","5,522.0","6,283.0","7,036.0","8,032.0","9,363.0","10,137.0","11,530.0","12,771.0"
"30","12","Federal consumption expenditures \1\","A957RC1","1,647.0","1,673.0","1,641.0","1,520.0","1,764.0","2,565.0","2,334.0","4,471.0","3,978.0","4,618.0","5,038.0","5,189.0","10,581.0","29,271.0","50,485.0","62,709.0","62,848.0","28,982.0","23,020.0","22,683.0","24,559.0","23,928.0","37,444.0","47,601.0","51,607.0","47,159.0","46,799.0","47,360.0","50,873.0","52,557.0","51,778.0","50,949.0","52,707.0","58,990.0","61,164.0","63,108.0","66,451.0","76,455.0","88,020.0","96,811.0","100,423.0"
"31","13","      Gross output of general government","W110RC1","1,744.0","1,770.0","1,735.0","1,625.0","2,194.0","3,030.0","3,081.0","5,098.0","4,519.0","5,118.0","5,562.0","5,735.0","11,241.0","30,295.0","52,240.0","65,615.0","67,358.0","33,257.0","24,096.0","23,594.0","25,314.0","24,890.0","38,892.0","48,922.0","53,102.0","48,714.0","49,051.0","49,217.0","53,283.0","55,165.0","54,401.0","53,652.0","55,518.0","62,055.0","64,567.0","66,885.0","70,593.0","81,187.0","92,496.0","101,442.0","105,578.0"
"32","14","        Value added","W111RC1","1,266.0","1,300.0","1,307.0","1,240.0","1,527.0","2,104.0","2,240.0","4,113.0","3,580.0","4,109.0","4,064.0","4,342.0","7,010.0","15,324.0","28,677.0","37,898.0","41,867.0","28,523.0","21,626.0","19,643.0","19,974.0","20,264.0","27,505.0","31,626.0","32,432.0","32,458.0","33,596.0","35,068.0","36,884.0","38,643.0","39,903.0","41,627.0","43,610.0","46,473.0","48,946.0","51,973.0","54,549.0","60,601.0","66,019.0","72,094.0","76,900.0"
"33","15","          Compensation of general government employees","B568RC1","1,053.0","1,096.0","1,101.0","1,042.0","1,316.0","1,853.0","1,956.0","3,779.0","3,201.0","3,694.0","3,628.0","3,858.0","6,154.0","13,130.0","23,739.0","30,040.0","32,635.0","18,593.0","12,060.0","11,240.0","12,436.0","13,383.0","20,160.0","23,406.0","23,255.0","22,464.0","22,937.0","23,466.0","24,267.0","25,339.0","25,750.0","26,622.0","27,743.0","29,484.0","30,800.0","32,980.0","34,775.0","39,798.0","43,843.0","48,255.0","51,433.0"
"34","16","          Consumption of general government fixed capital \2\","B995RC1","213.0","204.0","206.0","198.0","211.0","251.0","284.0","334.0","379.0","415.0","436.0","484.0","856.0","2,194.0","4,938.0","7,858.0","9,232.0","9,930.0","9,566.0","8,403.0","7,538.0","6,881.0","7,345.0","8,220.0","9,177.0","9,994.0","10,659.0","11,602.0","12,617.0","13,304.0","14,153.0","15,005.0","15,867.0","16,989.0","18,146.0","18,993.0","19,774.0","20,803.0","22,176.0","23,839.0","25,467.0"
"35","17","        Intermediate goods and services purchased \3\","W113RC1","478.0","470.0","428.0","385.0","667.0","926.0","841.0","985.0","939.0","1,009.0","1,498.0","1,393.0","4,231.0","14,971.0","23,563.0","27,717.0","25,491.0","4,734.0","2,470.0","3,951.0","5,340.0","4,626.0","11,387.0","17,296.0","20,670.0","16,256.0","15,455.0","14,149.0","16,399.0","16,522.0","14,498.0","12,025.0","11,908.0","15,582.0","15,621.0","14,912.0","16,044.0","20,586.0","26,477.0","29,348.0","28,678.0"
"36","18","          Durable goods","W114RC1","19.0","24.0","23.0","20.0","57.0","85.0","153.0","129.0","123.0","122.0","134.0","156.0","1,569.0","7,293.0","13,194.0","13,556.0","13,654.0","591.0","352.0","830.0","1,015.0","1,763.0","4,427.0","8,063.0","9,186.0","6,864.0","6,004.0","5,965.0","6,742.0","7,037.0","5,068.0","4,435.0","3,689.0","4,637.0","4,796.0","4,083.0","4,279.0","6,285.0","6,311.0","7,541.0","6,547.0"
"37","19","          Nondurable goods","W115RC1","113.0","122.0","121.0","115.0","198.0","191.0","261.0","266.0","210.0","208.0","556.0","529.0","1,001.0","5,971.0","8,542.0","10,443.0","7,286.0","577.0","628.0","1,173.0","2,511.0","1,334.0","2,125.0","3,216.0","6,537.0","5,235.0","4,037.0","2,249.0","2,310.0","2,542.0","4,189.0","2,190.0","1,887.0","3,887.0","3,030.0","3,134.0","3,613.0","4,044.0","7,354.0","9,272.0","9,030.0"
"38","20","          Services","W116RC1","346.0","324.0","284.0","250.0","412.0","650.0","427.0","590.0","606.0","679.0","808.0","708.0","1,661.0","1,707.0","1,827.0","3,718.0","4,551.0","3,566.0","1,490.0","1,948.0","1,814.0","1,529.0","4,835.0","6,017.0","4,947.0","4,157.0","5,414.0","5,935.0","7,347.0","6,943.0","5,241.0","5,400.0","6,332.0","7,058.0","7,795.0","7,695.0","8,152.0","10,257.0","12,812.0","12,535.0","13,101.0"
"39","21","      Less: Own-account investment \4\","W117RC1","43.0","59.0","74.0","98.0","423.0","454.0","739.0","621.0","530.0","488.0","508.0","532.0","591.0","714.0","759.0","1,057.0","957.0","559.0","454.0","538.0","563.0","617.0","845.0","1,109.0","1,294.0","1,249.0","1,247.0","1,348.0","1,519.0","1,742.0","1,951.0","2,096.0","2,285.0","2,471.0","2,708.0","3,059.0","3,354.0","3,589.0","3,679.0","3,801.0","4,224.0"
"40","22","      Less: Sales to other sectors","W118RC1","54.0","38.0","20.0","7.0","7.0","11.0","8.0","6.0","11.0","12.0","16.0","14.0","69.0","310.0","996.0","1,849.0","3,553.0","3,716.0","622.0","373.0","192.0","345.0","603.0","212.0","201.0","306.0","1,005.0","509.0","891.0","866.0","672.0","607.0","526.0","594.0","695.0","718.0","788.0","1,143.0","797.0","830.0","931.0"
"41","23","    Defense consumption expenditures \1\","A997RC1","976.0","981.0","952.0","930.0","861.0","786.0","1,031.0","1,101.0","1,082.0","1,152.0","1,296.0","1,940.0","7,949.0","27,118.0","48,718.0","60,567.0","60,891.0","25,345.0","19,016.0","17,716.0","18,145.0","19,044.0","33,105.0","42,196.0","44,225.0","39,853.0","39,413.0","40,940.0","44,598.0","45,990.0","42,011.0","42,627.0","44,177.0","48,559.0","50,502.0","51,389.0","53,908.0","63,761.0","73,726.0","81,437.0","82,620.0"
"42","24","      Gross output of general government","W085RC1","1,047.0","1,044.0","999.0","976.0","904.0","826.0","1,071.0","1,145.0","1,130.0","1,203.0","1,348.0","2,004.0","8,200.0","27,799.0","50,107.0","62,889.0","64,308.0","28,492.0","19,412.0","18,227.0","18,610.0","19,495.0","34,059.0","42,981.0","45,190.0","40,820.0","40,646.0","42,178.0","46,027.0","47,678.0","43,648.0","44,403.0","45,966.0","50,409.0","52,276.0","53,300.0","55,931.0","66,142.0","75,709.0","83,443.0","84,908.0"
"43","25","        Value added","W086RC1","827.0","824.0","818.0","764.0","693.0","702.0","847.0","897.0","939.0","996.0","1,073.0","1,642.0","5,118.0","14,182.0","27,265.0","36,797.0","40,505.0","25,630.0","18,331.0","16,231.0","16,314.0","16,294.0","23,364.0","27,298.0","28,114.0","28,213.0","29,100.0","30,308.0","31,756.0","32,855.0","33,714.0","34,819.0","36,161.0","38,353.0","39,894.0","41,897.0","43,491.0","48,277.0","52,536.0","57,020.0","60,318.0"
"44","26","          Compensation of general government employees","B237RC1","662.0","670.0","670.0","624.0","550.0","544.0","685.0","723.0","748.0","795.0","864.0","1,415.0","4,567.0","12,354.0","22,710.0","29,408.0","31,712.0","16,186.0","9,312.0","8,389.0","9,373.0","10,041.0","16,731.0","19,830.0","19,729.0","19,015.0","19,265.0","19,575.0","20,075.0","20,581.0","20,693.0","21,050.0","21,687.0","22,939.0","23,633.0","25,174.0","26,429.0","30,751.0","34,171.0","37,594.0","39,978.0"
"45","27","          Consumption of general government fixed capital \2\","B432RC1","165.0","154.0","148.0","140.0","143.0","158.0","162.0","174.0","191.0","201.0","209.0","227.0","551.0","1,828.0","4,555.0","7,389.0","8,793.0","9,444.0","9,019.0","7,842.0","6,941.0","6,253.0","6,633.0","7,468.0","8,385.0","9,198.0","9,835.0","10,733.0","11,681.0","12,274.0","13,021.0","13,769.0","14,474.0","15,414.0","16,261.0","16,723.0","17,062.0","17,526.0","18,365.0","19,426.0","20,340.0"
"46","28","        Intermediate goods and services purchased \3\","W087RC1","220.0","220.0","181.0","212.0","211.0","124.0","224.0","248.0","191.0","207.0","275.0","362.0","3,082.0","13,617.0","22,842.0","26,092.0","23,803.0","2,862.0","1,081.0","1,996.0","2,296.0","3,201.0","10,695.0","15,683.0","17,076.0","12,607.0","11,546.0","11,870.0","14,271.0","14,823.0","9,934.0","9,584.0","9,805.0","12,056.0","12,382.0","11,403.0","12,440.0","17,865.0","23,173.0","26,423.0","24,590.0"
"47","29","          Durable goods","A998RC1","12.0","17.0","17.0","16.0","18.0","18.0","18.0","33.0","39.0","39.0","52.0","77.0","1,440.0","7,161.0","13,101.0","13,481.0","13,604.0","532.0","311.0","772.0","962.0","1,727.0","4,379.0","8,007.0","9,123.0","6,809.0","5,955.0","5,912.0","6,689.0","7,001.0","5,018.0","4,390.0","3,626.0","4,557.0","4,703.0","3,957.0","4,154.0","6,152.0","6,178.0","7,451.0","6,454.0"
"48","30","          Nondurable goods","A725RC1","70.0","79.0","81.0","92.0","90.0","25.0","100.0","104.0","43.0","57.0","54.0","100.0","643.0","5,227.0","8,711.0","9,692.0","7,280.0","699.0","304.0","571.0","738.0","866.0","2,291.0","2,752.0","4,187.0","3,026.0","1,671.0","1,728.0","2,021.0","2,033.0","1,755.0","1,730.0","2,174.0","2,830.0","2,471.0","2,794.0","3,208.0","4,716.0","7,279.0","8,425.0","7,609.0"
"49","31","          Services","A489RC1","138.0","124.0","83.0","104.0","103.0","81.0","106.0","111.0","109.0","111.0","169.0","185.0","999.0","1,229.0","1,030.0","2,919.0","2,919.0","1,631.0","466.0","653.0","596.0","608.0","4,025.0","4,924.0","3,766.0","2,772.0","3,920.0","4,230.0","5,561.0","5,789.0","3,161.0","3,464.0","4,005.0","4,669.0","5,208.0","4,652.0","5,078.0","6,997.0","9,716.0","10,547.0","10,527.0"
"50","32","      Less: Own-account investment \4\","W088RC1","21.0","29.0","29.0","40.0","37.0","31.0","34.0","40.0","40.0","42.0","44.0","60.0","194.0","393.0","510.0","863.0","758.0","490.0","389.0","434.0","427.0","419.0","573.0","773.0","946.0","926.0","921.0","1,000.0","1,094.0","1,234.0","1,408.0","1,487.0","1,575.0","1,585.0","1,558.0","1,617.0","1,618.0","1,650.0","1,688.0","1,845.0","2,126.0"
"51","33","      Less: Sales to other sectors","W089RC1","50.0","34.0","18.0","6.0","6.0","9.0","6.0","4.0","8.0","9.0","8.0","4.0","57.0","288.0","879.0","1,459.0","2,659.0","2,657.0","7.0","77.0","38.0","32.0","381.0","12.0","19.0","41.0","312.0","238.0","335.0","454.0","229.0","289.0","214.0","265.0","216.0","294.0","405.0","731.0","295.0","161.0","162.0"
"52","34","    Nondefense consumption expenditures \1\","A542RC1","671.0","692.0","689.0","590.0","903.0","1,779.0","1,303.0","3,370.0","2,896.0","3,466.0","3,742.0","3,249.0","2,632.0","2,153.0","1,767.0","2,142.0","1,957.0","3,637.0","4,004.0","4,967.0","6,414.0","4,884.0","4,339.0","5,405.0","7,382.0","7,306.0","7,386.0","6,420.0","6,275.0","6,567.0","9,767.0","8,322.0","8,530.0","10,431.0","10,662.0","11,719.0","12,543.0","12,694.0","14,294.0","15,374.0","17,803.0"
"53","35","      Gross output of general government","W128RC1","697.0","726.0","736.0","649.0","1,290.0","2,204.0","2,010.0","3,953.0","3,389.0","3,915.0","4,214.0","3,731.0","3,041.0","2,496.0","2,133.0","2,726.0","3,050.0","4,765.0","4,684.0","5,367.0","6,704.0","5,395.0","4,833.0","5,941.0","7,912.0","7,894.0","8,405.0","7,039.0","7,256.0","7,487.0","10,753.0","9,249.0","9,552.0","11,646.0","12,291.0","13,585.0","14,662.0","15,045.0","16,787.0","17,999.0","20,670.0"
"54","36","        Value added","W129RC1","439.0","476.0","489.0","476.0","834.0","1,402.0","1,393.0","3,216.0","2,641.0","3,113.0","2,991.0","2,700.0","1,892.0","1,142.0","1,412.0","1,101.0","1,362.0","2,893.0","3,295.0","3,412.0","3,660.0","3,970.0","4,141.0","4,328.0","4,318.0","4,245.0","4,496.0","4,760.0","5,128.0","5,788.0","6,189.0","6,808.0","7,449.0","8,120.0","9,052.0","10,076.0","11,058.0","12,324.0","13,483.0","15,074.0","16,582.0"
"55","37","          Compensation of general government employees","W130RC1","391.0","426.0","431.0","418.0","766.0","1,309.0","1,271.0","3,056.0","2,453.0","2,899.0","2,764.0","2,443.0","1,587.0","776.0","1,029.0","632.0","923.0","2,407.0","2,748.0","2,851.0","3,063.0","3,342.0","3,429.0","3,576.0","3,526.0","3,449.0","3,672.0","3,891.0","4,192.0","4,758.0","5,057.0","5,572.0","6,056.0","6,545.0","7,167.0","7,806.0","8,346.0","9,047.0","9,672.0","10,661.0","11,455.0"
"56","38","          Consumption of general government fixed capital \2\","B546RC1","48.0","50.0","58.0","58.0","68.0","93.0","122.0","160.0","188.0","214.0","227.0","257.0","305.0","366.0","383.0","469.0","439.0","486.0","547.0","561.0","597.0","628.0","712.0","752.0","792.0","796.0","824.0","869.0","936.0","1,030.0","1,132.0","1,236.0","1,393.0","1,575.0","1,885.0","2,270.0","2,712.0","3,277.0","3,811.0","4,413.0","5,127.0"
"57","39","        Intermediate goods and services purchased \3\","W131RC1","258.0","250.0","247.0","173.0","456.0","802.0","617.0","737.0","748.0","802.0","1,223.0","1,031.0","1,149.0","1,354.0","721.0","1,625.0","1,688.0","1,872.0","1,389.0","1,955.0","3,044.0","1,425.0","692.0","1,613.0","3,594.0","3,649.0","3,909.0","2,279.0","2,128.0","1,699.0","4,564.0","2,441.0","2,103.0","3,526.0","3,239.0","3,509.0","3,604.0","2,721.0","3,304.0","2,925.0","4,088.0"
"58","40","          Durable goods","A543RC1","7.0","7.0","6.0","4.0","39.0","67.0","135.0","96.0","84.0","83.0","82.0","79.0","129.0","132.0","93.0","75.0","50.0","59.0","41.0","58.0","53.0","36.0","48.0","56.0","63.0","55.0","49.0","53.0","53.0","36.0","50.0","45.0","63.0","80.0","93.0","126.0","125.0","133.0","133.0","90.0","93.0"
"59","41","          Nondurable goods","A729RC1","43.0","43.0","40.0","23.0","108.0","166.0","161.0","162.0","167.0","151.0","502.0","429.0","358.0","744.0","-169.0","751.0","6.0","-122.0","324.0","602.0","1,773.0","468.0","-166.0","464.0","2,350.0","2,209.0","2,366.0","521.0","289.0","509.0","2,434.0","460.0","-287.0","1,057.0","559.0","340.0","405.0","-672.0","75.0","847.0","1,421.0"
"60","42","            Commodity Credit Corporation inventory change","B826RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","326.0","259.0","164.0","584.0","-430.0","549.0","-383.0","-548.0","84.0","298.0","1,500.0","254.0","-389.0","156.0","2,036.0","1,873.0","2,044.0","156.0","-91.0","294.0","2,127.0","160.0","-769.0","326.0","-179.0","-416.0","-421.0","-1,534.0","-913.0","166.0","710.0"
"61","43","            Other nondurable goods","B828RC1","43.0","43.0","40.0","23.0","108.0","166.0","161.0","162.0","167.0","151.0","176.0","170.0","194.0","160.0","261.0","202.0","389.0","426.0","240.0","304.0","273.0","214.0","223.0","308.0","314.0","336.0","322.0","365.0","380.0","215.0","307.0","300.0","482.0","731.0","738.0","756.0","826.0","862.0","988.0","681.0","711.0"
"62","44","          Services","A544RC1","208.0","200.0","201.0","146.0","309.0","569.0","321.0","479.0","497.0","568.0","639.0","523.0","662.0","478.0","797.0","799.0","1,632.0","1,935.0","1,024.0","1,295.0","1,218.0","921.0","810.0","1,093.0","1,181.0","1,385.0","1,494.0","1,705.0","1,786.0","1,154.0","2,080.0","1,936.0","2,327.0","2,389.0","2,587.0","3,043.0","3,074.0","3,260.0","3,096.0","1,988.0","2,574.0"
"63","45","      Less: Own-account investment \4\","W136RC1","22.0","30.0","45.0","58.0","386.0","423.0","705.0","581.0","490.0","446.0","464.0","472.0","397.0","321.0","249.0","194.0","199.0","69.0","65.0","104.0","136.0","198.0","272.0","336.0","348.0","323.0","326.0","348.0","425.0","508.0","543.0","609.0","710.0","886.0","1,150.0","1,442.0","1,736.0","1,939.0","1,991.0","1,956.0","2,098.0"
