"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2010 2:20:02 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Noncorporate capital consumption allowances","A1700C0",4259,5052,5613,6267,6725,7129,7456,7731,8447,8838,9085,9368,9535,9651,10058,10451,10959,11340,12038,12823,13512,14697,15746,16807,18787,20762,23172,25711,27963,31088,35244,41233,47061,57042,63384,74147,86573,98768,107553,107829
"9","2","Agriculture, forestry, and fishing","A1701C0",1138,1382,1614,1810,1949,2075,2181,2275,2320,2350,2489,2535,2563,2585,2645,2741,2898,3089,3296,3564,3735,3906,4091,4297,4595,5000,5482,5982,6746,7519,8365,9336,10288,10719,11454,11461,11614,11984,11702,11747
"10","3","  Farms","B1702C0",1107,1343,1570,1758,1888,2011,2110,2189,2226,2246,2360,2418,2428,2457,2512,2613,2733,2910,3130,3354,3545,3700,3857,4047,4305,4698,5171,5697,6335,7055,7798,8715,9464,9960,10367,10389,10389,10441,10195,10035
"11","4","  Agricultural services, forestry, and fishing","B1703C0",31,39,44,52,61,64,71,86,94,104,129,117,135,128,133,128,165,179,166,210,190,206,234,250,290,302,311,285,411,464,567,621,824,759,1087,1072,1225,1543,1507,1712
"12","5","Mining","B1704C0",164,165,181,213,222,245,265,305,356,316,343,274,352,333,312,302,308,308,324,385,393,420,445,460,525,509,580,754,991,1272,1531,1981,2755,4152,5768,7103,7514,8467,9439,9781
"13","6","Construction","B1705C0",225,282,331,378,422,454,484,563,634,627,648,677,641,577,586,614,618,649,689,697,732,775,795,813,926,1094,1214,1336,1370,1526,1751,1977,2066,2256,2618,2804,3121,3627,4595,4204
"14","7","Manufacturing","A1706C0",282,329,345,390,399,414,393,430,435,459,426,436,420,382,361,371,390,403,407,427,457,444,533,536,604,603,693,714,779,810,985,1136,1573,1551,1550,1993,2577,3107,3257,3352
"15","8","  Durable goods","B1707C0",142,171,187,221,230,239,226,253,253,286,235,277,261,229,215,232,246,268,280,291,290,293,352,357,384,401,474,477,502,529,633,712,897,847,835,1188,1559,1948,1698,1872
"16","9","  Nondurable goods","B1708C0",140,158,158,169,169,175,167,177,182,173,191,159,159,153,146,139,144,135,127,136,167,151,181,179,220,202,219,237,277,281,352,424,676,704,715,805,1018,1159,1559,1480
"17","10","Transportation and public utilities","A1709C0",292,336,351,385,393,407,402,465,546,620,646,604,600,603,609,707,701,772,769,781,863,890,969,1011,1186,1314,1549,1677,1786,2126,2553,3065,3271,3472,3907,4277,5184,6209,7634,8766
"18","11","  Transportation","B1710C0",225,256,259,282,282,286,270,324,399,467,483,438,436,436,432,514,496,561,550,546,620,630,694,709,848,949,1142,1186,1172,1407,1769,2151,2250,2355,2549,2793,2948,3284,3747,3838
"19","12","  Communication","B1711C0",6,8,10,13,16,18,20,20,21,22,21,39,39,36,38,44,49,50,52,33,29,31,34,41,49,52,64,66,112,133,156,172,197,223,402,459,885,1323,1802,2764
"20","13","  Electric, gas, and sanitary services","B1712C0",61,72,82,90,95,103,112,121,126,131,142,127,125,131,139,149,156,161,167,202,214,229,241,261,289,313,343,425,502,586,628,742,824,894,956,1025,1351,1602,2085,2164
"21","14","Wholesale trade","B1713C0",287,267,307,377,380,400,370,417,465,513,491,527,531,499,482,479,473,408,427,441,400,429,429,484,528,548,614,619,649,607,682,743,754,712,880,988,929,997,927,1045
"22","15","Retail trade","B1714C0",652,919,985,1042,1223,1312,1260,1177,1311,1352,1364,1442,1450,1351,1399,1380,1414,1325,1343,1363,1416,1477,1497,1534,1614,1729,1731,1841,1985,2172,2482,2870,2955,3801,4171,4522,4881,5711,5093,5470
"23","16","Finance, insurance, and real estate","A1715C0",580,627,707,807,836,961,987,1062,1101,1217,1250,1371,1495,1772,2087,2216,2453,2640,2953,3145,3417,4043,4499,5043,5881,6722,7622,8455,9024,9796,10945,13209,15514,19926,20978,26387,32740,37754,42969,41752
"24","17","  Finance and insurance","B1716C0",24,32,39,48,54,61,66,86,84,100,98,97,94,102,95,102,106,113,118,121,125,142,159,177,198,229,258,324,312,425,426,791,777,1582,2023,2309,2454,2645,2818,2167
"25","18","  Real estate \1\","A1717C0",556,595,668,759,782,900,921,976,1017,1117,1152,1274,1401,1670,1992,2114,2347,2527,2835,3024,3292,3901,4340,4866,5683,6493,7364,8131,8712,9371,10519,12418,14737,18344,18955,24078,30286,35109,40151,39585
"26","21","Services","B1720C0",637,747,791,865,901,861,1114,1039,1280,1384,1429,1503,1484,1549,1576,1639,1704,1745,1828,2018,2099,2314,2488,2627,2929,3243,3686,4335,4631,5258,5950,6917,7883,10453,12058,14612,18013,20912,21937,21713
"27","22","  Hotels and other lodging places","B2616C0",113,139,153,170,177,168,216,199,228,281,280,257,254,277,280,294,302,299,308,344,344,373,420,452,483,504,586,673,689,730,917,1124,1146,1569,1807,2288,2853,3731,4075,4639
"28","23","  Personal services","B2617C0",136,157,166,178,183,178,228,206,226,227,250,268,263,303,312,316,325,316,322,342,341,336,368,351,391,381,377,404,396,476,495,544,539,642,686,853,1110,1302,1400,1331
"29","24","  Business services","B2618C0",49,59,65,77,82,82,111,112,130,129,112,158,155,139,140,137,161,178,212,261,262,348,402,436,539,697,867,1175,1273,1551,1802,2104,2529,3440,4445,5281,5842,6984,7095,6310
"30","25","  Auto repair, services, and parking","B2619C0",0,0,0,0,0,0,0,0,95,129,94,92,90,116,107,123,121,127,129,173,163,201,191,216,227,261,276,285,355,392,441,555,615,650,803,1000,1123,1430,1438,1505
