"","Table 1#16# Sources and Uses of Private Enterprise Income       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2010 2:03:18 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Sources of private enterprise income","W259RC1",88.6,83,95,107.9,109.1,111.4,113.3,129.1,133,138.5,138.8,154.5,159.2,166.8,182.8,195.3,211.8,233.9,252.4,259.9,280.7,300.9,308.8,341.7,385.8,452.2,492.7,547.4,592.2,665.8,774.8,888.2,982.5,1195.7,1285.6,1386.1,1599.4,1722.7,1764.8,1895.7,2128.3,2357.5,2418.2,2384.6,2357.3,2405.8,2649.8,2970.1,3228.9,3540.4,3724.3,3974.5,4402.4,4352.5,4114.7,4131.8,4730.2,5507.6,6409.8,6864.2,6256.7
"9","2","Net operating surplus","W260RC1",79.9,73.8,84.9,96.5,96.4,97.5,98.4,112.1,113.6,116.7,116.5,128.7,129.9,135.9,148.5,157.5,169.9,188.3,202.2,204.9,217.4,224.4,219.3,243.6,274.9,310.6,315,354.3,394.1,446.7,511,549.3,565.7,658.5,673.6,759.3,912.6,970.4,995.1,1078,1196.4,1265.6,1297,1311.6,1392,1478,1632.3,1757.2,1944.7,2120.6,2214.1,2328.5,2435.7,2475.7,2515.3,2618.5,2925,3239.4,3544,3501.5,3461.7
"10","3","Income receipts on assets","W261RC1",8.7,9.2,10.1,11.4,12.7,13.9,14.8,16.9,19.4,21.8,22.2,25.8,29.2,30.8,34.2,37.9,41.9,45.5,50.2,55.1,63.3,76.5,89.5,98.1,110.9,141.5,177.7,193.1,198.1,219.1,263.8,338.9,416.8,537.2,611.9,626.8,686.8,752.3,769.8,817.8,931.9,1091.9,1121.2,1073,965.2,927.8,1017.5,1212.9,1284.3,1419.8,1510.2,1646,1966.7,1876.7,1599.5,1513.3,1805.2,2268.2,2865.8,3362.7,2795
