"","Table 6#12B# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2010 2:19:57 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","     Nonfarm proprietors' income","B046RC0",23226,22242,25735,27828,28609,29970,30484,33708,35580,37436,37880,40344,40014,42033,44087,45473,49479,52160,55716,58701,63430,65533,66615,72603,79925,86550,93786,99454,116616,131334,149148,160163,162689,157839,154985,168927,186282,190463,199805,229615
"9","2","Agricultural services, forestry, and fishing","J1800C0",328,347,377,419,454,477,524,538,557,565,579,587,620,647,787,745,882,925,983,1043,1193,1350,1368,1582,1778,1980,2259,2368,2753,2098,2391,2817,3131,3011,3024,3772,3773,4115,4246,5666
"10","3","Mining","J1801C0",402,289,296,309,279,301,294,342,407,416,375,283,281,281,203,256,278,276,191,389,680,451,543,384,691,1129,2934,3805,3162,5109,4479,5325,7418,7822,7152,3122,3673,3843,-2073,-1577
"11","4","Construction","J1802C0",2695,2681,3203,3344,3533,3565,3364,3674,3878,4171,3991,4337,4329,4746,4966,5298,5741,6220,6532,6707,7034,7579,7588,8843,10516,11731,12607,13038,17606,17787,21307,21839,23888,22394,23385,26386,32495,33453,38183,42718
"12","5","Manufacturing","J1803C0",1835,1592,2074,2217,2142,2186,2000,2138,2202,2116,1974,2026,1958,1885,1899,1827,1949,2026,2243,1973,1944,1898,1724,1713,2158,2406,2638,2326,2598,6233,8420,10350,7071,6890,6406,7217,8068,8428,9480,10990
"13","6","  Durable goods","J1804C0",838,714,1075,1194,1118,1142,1009,1154,1233,1161,1034,1164,1093,1066,1124,1128,1195,1309,1478,1368,1317,1298,1079,1091,1416,1460,1554,1388,1714,2577,3315,2886,4045,3693,3253,3458,4112,4430,5086,5984
"14","7","  Nondurable goods","J1805C0",997,878,999,1023,1024,1044,991,984,969,955,940,862,865,819,775,699,754,717,765,605,627,600,645,622,742,946,1084,938,884,3656,5105,7464,3026,3197,3153,3759,3955,3998,4394,5006
"15","8","Transportation and public utilities","A1806C0",627,624,737,845,908,989,1056,1071,1125,1218,1265,1305,1399,1566,1745,1910,2058,2227,2366,2364,2733,2760,2930,3397,4077,4483,5569,5643,6763,6895,7575,8279,7204,7624,7842,8183,9550,9491,10441,9338
"16","9","  Transportation","B1807C0",601,599,694,781,834,895,940,949,990,1048,1069,1103,1143,1262,1405,1501,1579,1749,1830,1768,2070,2070,2180,2489,2945,3273,4233,4103,4846,5288,5799,6127,5068,5341,5751,6092,7497,7011,8236,9387
"17","10","  Communication","B1808C0",8,8,11,14,18,19,22,19,19,18,46,73,71,74,60,93,117,99,107,15,36,26,36,57,34,31,48,49,65,190,176,234,1492,1507,1506,1657,1437,1595,869,-406
"18","11","  Electric, gas, and sanitary services","B1809C0",18,17,32,50,56,75,94,103,116,152,150,129,185,230,280,316,362,379,429,581,627,664,714,851,1098,1179,1288,1491,1852,1417,1600,1918,644,775,585,435,616,885,1336,357
"19","12","Wholesale trade","J1810C0",1886,1680,2359,2580,2427,2607,2341,2895,3261,3380,3312,3118,3102,3266,3311,3406,3346,3263,3450,3423,3742,3801,3861,4113,4910,5273,6464,6491,7136,6410,7826,8542,7603,6298,5818,6042,6745,7890,8177,10439
"20","13","Retail trade","J1811C0",8128,7452,7922,8656,8677,8689,9060,9123,9295,9540,9467,10163,9469,9428,9775,9523,10581,11103,11540,12082,12645,12874,13108,14053,14820,17321,18345,19091,21223,21823,24241,25279,21828,21525,21684,24987,26111,26693,29310,28840
"21","14","Finance, insurance, and real estate","J1812C0",1161,1346,1855,1945,2126,2331,2645,3210,3341,3603,3790,4039,4073,4271,4437,4746,5112,5487,5633,6028,7168,6922,6298,7807,8232,7005,5759,5970,9211,10318,12794,12915,11970,9177,2969,4601,-1635,-10421,-16109,-9856
"22","15","Services","J1813C0",6164,6231,6912,7513,8063,8825,9200,10717,11514,12427,13127,14486,14783,15943,16964,17762,19532,20633,22778,24692,26291,27898,29195,30711,32743,35222,37211,40722,46164,54661,60115,64817,72576,73097,76705,84618,97503,106971,118150,133056
"23","16","  Hotels and other lodging places","B1814C0",252,253,271,277,282,277,278,307,310,298,287,347,297,292,309,321,290,369,424,407,418,371,371,402,368,331,223,359,784,1365,1617,1570,1160,621,4,148,-669,-1529,-2253,-4161
"24","17","  Personal services","B1815C0",1005,1012,1108,1155,1193,1259,1298,1355,1460,1638,1638,1687,1724,1829,1911,1992,2140,2171,2442,2579,2725,2722,2784,2851,3037,3167,3465,3610,4349,4301,4794,4994,6559,6371,6870,7620,8222,9842,10805,11976
"25","18","  Business services","B1816C0",271,273,365,444,556,661,751,844,930,979,996,1096,1069,1179,1275,1395,1557,1581,1692,1901,2006,2110,2210,2549,3113,3499,3850,4259,5703,7846,8673,10192,12321,12567,14511,16720,19365,22011,24352,29927
"26","19","  Auto repair, services, and parking","B1817C0",277,279,332,399,407,458,509,607,723,683,747,770,879,927,1038,1103,1190,1145,1231,1392,1464,1553,1577,1953,2250,2508,2756,3137,3683,2774,3280,3285,5231,5583,5587,6322,7375,7666,8284,8643
"27","20","  Miscellaneous repair services","B1818C0",307,310,356,373,407,444,488,495,533,563,558,497,517,566,574,640,649,678,769,735,802,904,849,976,1083,1170,1329,1433,1561,1771,2020,1989,2823,2378,2530,3159,3587,3163,3474,3469
"28","21","  Motion pictures","B1819C0",65,65,78,88,85,80,98,80,72,50,73,80,76,105,134,134,140,155,160,166,244,197,189,230,253,223,140,130,446,713,947,890,2059,1829,2016,2189,2520,2982,2908,3558
