"","Table 3#15#6# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 19, 2009  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2010 2:11:58 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Government","A822RX1",1888.9,1907.9,1943.8,1985,2056.1,2097.8,2178.3,2279.6,2330.5,2362,2369.9,2402.1,2443.1,2518.1
"9","2","General public service","W575RX1",171.1,167.4,175.5,185.9,195.3,194.9,205.2,217.4,215.1,219.8,218.5,219.6,223.6,225.3
"10","3","National defense","A824RX1",476.8,470.4,457.2,447.5,455.8,453.5,470.7,505.3,549.2,580.4,589,598.4,611.5,659.4
"11","4","Public order and safety","W579RX1",204,213,220.3,229.4,238.9,245.2,254.7,263.5,262.2,263.4,266.3,271.5,280.9,293.2
"12","5","Economic affairs","W584RX1",298.2,299.6,306.9,310.2,325.7,337.1,347,360.5,361,354,343,342.5,342.2,343.4
"13","6","  Transportation","W589RX1",184.8,186.4,191.9,197.2,205.9,211.9,222.6,230.6,233.8,227.6,218.7,215.7,210.1,211.3
"14","7","  Space","W595RX1",19.5,20.5,20.5,19.3,18.6,18.4,18.7,18.1,18.2,18.9,18.4,17.9,19.7,21.1
"15","8","  Other economic affairs","W596RX1",93.4,92.1,94,93.4,101,106.6,105.7,111.9,109.1,107.5,106,108.9,112.9,111.6
"16","9","Housing and community services","W597RX1",39.5,41.8,43.1,43.5,45,40.9,45.2,48.8,49.8,48.4,48.4,53.7,54.6,52.6
"17","10","Health","W598RX1",97.7,97.5,95.3,95.4,98,99.9,101.4,112.3,120.3,119.6,125.2,122.5,124.5,130
"18","11","Recreation and culture","W599RX1",26.7,28,29.5,30.5,31,33.1,34.9,36.7,35.3,34.6,34.5,33.6,35.2,35.6
"19","12","Education","W600RX1",513,528.3,551.1,573,594.2,617.8,639.3,648.4,652,659.2,660,669.5,686.8,694.5
"20","13","Income security","W605RX1",61.9,62.3,65.3,70,72.7,75.6,80.4,87.3,86,82.8,85,90.9,84.1,85.1
"21","14","      Federal","A823RX1",704.1,696,689.1,681.4,694.6,698.1,726.5,779.5,831.1,865,876.3,894.9,906.4,975.9
"22","15","General public service","W611RX1",38.2,32.5,35.8,33.8,35,32,37.8,38.3,38.9,45.4,45.6,46.9,47.4,48.4
"23","16","National defense","A824RX1",476.8,470.4,457.2,447.5,455.8,453.5,470.7,505.3,549.2,580.4,589,598.4,611.5,659.4
"24","17","Public order and safety","W615RX1",23.8,26.1,26.7,27.7,29.5,32.1,33.7,36.4,38.1,39.6,40.4,42,44.2,52.5
"25","18","Economic affairs","W620RX1",92.3,93.2,94,92.9,96.4,99.6,97.9,106.4,106.5,104.5,102.9,104.9,106.3,111.8
"26","19","  Transportation","W625RX1",22.2,22.8,22.8,23.8,23.3,23.1,24.5,29.5,32.4,30.1,30.1,30.8,29.6,32.5
"27","20","  Space","W631RX1",19.5,20.5,20.5,19.3,18.6,18.4,18.7,18.1,18.2,18.9,18.4,17.9,19.7,21.1
"28","21","  Other economic affairs","W632RX1",50.6,49.7,50.6,49.7,54.5,58,54.5,58.9,55.8,55.5,54.4,56.2,57.1,58.3
"29","22","Housing and community services","W633RX1",0.7,0.8,1,1.7,1.7,-0.1,0.9,1.2,1.4,0.8,1.5,1.1,1.4,1.9
"30","23","Health","W634RX1",53.7,54,54.9,56.3,55.3,59,62.7,65.9,70.8,68.2,67.1,66.4,67.9,74
"31","24","Recreation and culture","W635RX1",3.6,3.7,4.1,4.3,3.8,4.2,4.2,4.6,4.6,4.6,4.5,4.3,4.2,4.5
"32","25","Education","W636RX1",5.4,5.6,5.6,6,6.5,6.8,7.6,8,7.9,7.9,7.8,6.6,6.9,7
"33","26","Income security","W640RX1",10.2,9.8,10.1,11,10.4,10.7,10.8,13.1,13.7,13.5,17.5,24.3,16.5,16.3
"34","27","      State and local","A829RX1",1183.6,1211.1,1254.3,1303.8,1361.8,1400.1,1452.3,1500.6,1499.7,1497.1,1493.6,1507.2,1536.7,1543.7
"35","28","General public service","W646RX1",133.4,135.1,140.1,152.2,160.5,163,167.6,179.3,176.4,174.4,172.9,172.7,176.1,176.9
"36","29","Public order and safety","W650RX1",180.4,187.2,193.8,201.9,209.6,213.2,221.1,227.1,224.2,223.8,225.9,229.5,236.7,240.9
"37","30","Economic affairs","W655RX1",205.5,206.1,212.7,217.2,229.3,237.5,249.4,254.2,254.6,249.5,240.1,237.6,236,232.4
"38","31","  Transportation","W660RX1",162.7,163.7,169.3,173.5,182.8,189.1,198.3,201.2,201.3,197.6,188.6,184.9,180.5,179.1
"39","32","  Other economic affairs","W665RX1",42.8,42.4,43.4,43.8,46.5,48.5,51.1,53,53.3,52,51.6,52.7,55.8,53.3
"40","33","Housing and community services","W666RX1",38.7,40.9,41.9,41.5,43,41,44.3,47.6,48.4,47.5,46.9,52.6,53.2,50.7
"41","34","Health","W671RX1",44,43.5,40.3,38.9,42.4,40.7,38.6,46.2,49.4,51.3,58.1,56.1,56.6,56.2
"42","35","Recreation and culture","W672RX1",23.1,24.2,25.4,26.3,27.2,29,30.7,32.1,30.6,30,30,29.4,31,31.1
"43","36","Education","W673RX1",507.7,522.6,545.5,567,587.8,611.1,631.7,640.4,644.1,651.3,652.3,662.8,679.8,687.6
"44","37","  Elementary and secondary","W674RX1",404.8,417.7,435.9,451.4,468.3,484.9,496.4,506.6,511.9,513.5,512.7,520.9,532,532.6
"45","38","  Higher","W675RX1",83.7,85.2,89.4,94.5,97.5,102.7,110.3,108.6,107.1,112.7,114.4,116.5,122.1,129.2
"46","39","  Libraries and other","W677RX1",19.5,20.2,20.7,21.4,22.3,23.6,24.7,25.2,25.3,25.1,25.2,25.4,25.7,26
"47","40","Income security","W678RX1",51.8,52.5,55.2,59,62.4,64.9,69.6,74.2,72.4,69.3,67.5,66.7,67.5,68.8
"48","41","Residual","W687RX1",-0.7,-0.6,-0.9,-0.5,-0.8,-0.5,-0.5,-0.8,-0.8,-0.1,-0.2,-0.2,-0.5,-2.6
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Note. Government consumption expenditures and gross investment is net of sales to other sectors.  Thus, growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","in the prices or quantities of sales to other sectors may partially, exactly, or more than offset the growth in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","the prices or quantities of gross consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","    The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
