"","Table 6#6B# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"59","52","    Finance, insurance, and real estate","J4452C0",3010,3095,3262,3418,3552,3708,3874,4005,4168,4314,4523,4791,4910,5203,5353,5522,5797,5962,6239,6516,6994,7400,7823,8347,8861,9270,9853,10609,11386,12184,13319,14465,16028,17526,19042,20892,22244,24044,26117,28029
"60","53","      Banking","J4453C0",3025,3166,3347,3481,3636,3776,3912,4045,4226,4311,4537,4675,4812,5000,5166,5305,5525,5677,5896,6070,6421,6839,7334,7720,8049,8444,9134,9833,10497,11060,11859,12812,14076,15449,17118,18428,19626,21095,22390,23720
"61","54","      Credit agencies other than banks","J4454C0",3200,3280,3314,3481,3650,3787,3952,4060,4137,4387,4607,4805,4935,5125,5257,5443,5639,5761,5925,6088,6427,6787,7247,7751,8085,8581,9246,9748,10641,11405,12188,13239,14448,15517,16847,18230,19397,21030,22876,23999
"62","55","      Security and commodity brokers","J4455C0",4679,4784,5607,5700,5429,5516,6672,7013,6612,6718,7253,8176,7640,8951,8039,8311,9025,9903,10963,12414,13606,12706,12221,14874,16431,16063,16570,19399,21823,23232,25219,27400,33027,34819,39814,48135,47482,52673,61277,65247
"63","56","      Insurance carriers","B4456C0",3273,3382,3505,3675,3831,3981,4059,4120,4292,4445,4615,4922,5141,5405,5700,5898,6201,6328,6626,6849,7225,7694,8255,8669,9194,9756,10504,11379,12123,12898,13610,14876,16381,18007,19640,21159,22620,24262,25917,27537
"64","57","      Insurance agents, brokers, and service","J4457C0",3245,3243,3341,3474,3573,3767,3917,4018,4208,4367,4527,4768,4910,5158,5359,5577,5805,5944,6253,6555,6988,7446,8022,8567,9153,9724,10341,11095,12017,13124,14319,15527,16882,17935,19404,20308,21494,23219,25101,27306
"65","58","      Real estate","J4458C0",2365,2359,2527,2659,2741,2887,3056,3222,3427,3546,3659,3877,3921,4137,4285,4462,4703,4846,4993,5142,5538,6038,6590,7011,7603,8147,8502,8746,9368,10261,12127,13179,14235,15446,15532,16783,18509,19850,20970,22269
"66","59","      Holding and other investment offices","B4459C0",5500,5583,5818,5750,5929,6071,5813,6000,6389,6250,7421,7900,6708,6846,7037,7185,7926,7774,7824,8143,8878,9617,10058,10600,11186,11548,11940,14341,13811,15188,19502,20667,23953,27065,27598,30501,32670,35303,37750,39967
"67","60","    Services","J4460C0",2085,2156,2213,2368,2554,2708,2844,2958,3115,3249,3378,3539,3688,3854,4023,4171,4383,4562,4785,5005,5377,5885,6406,6840,7243,7710,8354,9010,9642,10296,11152,12128,13394,14661,16065,17050,17897,18720,19660,21003
"68","61","      Hotels and other lodging places","J4461C0",2035,2124,2178,2274,2399,2494,2602,2706,2813,2948,3038,3170,3268,3339,3434,3497,3617,3728,3881,4074,4328,4630,4975,5206,5512,5751,6082,6458,6955,7437,8082,8919,9869,10888,11994,12706,13163,13614,14261,14755
"69","62","      Personal services","J4462C0",2080,2163,2246,2375,2526,2682,2817,2957,3129,3250,3369,3555,3665,3810,3968,4063,4267,4375,4551,4705,4960,5254,5636,5892,6268,6585,7079,7459,7943,8322,9032,9651,10505,11013,11678,12298,12673,13056,13668,14043
"70","63","      Business services","J4463C0",3435,3528,3730,3957,4145,4297,4453,4586,4791,4883,5025,5165,5311,5525,5699,5800,6043,6187,6344,6498,6801,7212,7630,7893,8145,8384,8937,9682,10256,10851,11949,13067,14436,15843,17032,18004,18754,19702,20507,21392
"71","64","      Auto repair, services, and parking","B4464C0",2520,2553,2658,2864,3000,3181,3254,3318,3445,3621,3712,3877,4000,4162,4396,4534,4715,4850,4997,5242,5641,6127,6534,6847,7252,7697,8250,8851,9464,10014,10986,11873,12836,13773,14588,15083,15783,16340,17002,17703
"72","65","      Miscellaneous repair services","B4465C0",2825,2789,2721,3107,3294,3458,3455,3623,3992,4136,4348,4589,4748,4969,5083,5213,5518,5735,6006,6214,6606,7126,7614,8262,8467,8985,9723,10403,11063,11681,12934,14065,15386,16588,17592,18118,19187,20093,20927,21776
"73","66","      Motion pictures","J4466C0",2964,3028,3089,3269,3485,3626,3929,4330,4587,4745,4940,5315,5444,5871,6008,6168,6603,7125,7397,7503,7946,8318,8359,8441,8882,9172,10108,10614,11987,13209,16578,18454,19753,21897,21545,23412,25936,27587,28648,32998
"74","67","      Amusement and recreation services","J4467C0",2475,2557,2605,2743,2956,3127,3320,3498,3651,3875,4218,4425,4584,4765,4922,5014,5223,5347,5592,5720,6067,6265,6766,7219,7252,7584,8107,8815,9181,9594,10353,11053,11980,12951,13970,14731,15274,16068,16959,18030
"75","68","      Health services","J4468C0",1824,1935,2045,2177,2344,2486,2592,2727,2789,2919,3077,3210,3414,3636,3831,4051,4277,4410,4565,4861,5292,5845,6593,7043,7499,7980,8727,9624,10465,11248,12129,13192,14637,16123,17890,19055,19977,20830,21806,23959
"76","69","      Legal services","J4469C0",2196,2308,2411,2573,2847,3032,3206,3438,3789,3962,4156,4326,4440,4715,4917,5148,5320,5486,5782,5925,6404,7134,8035,8768,9548,10466,11478,12378,13384,14397,14983,16332,18132,20213,24806,26887,28826,30751,33100,37068
"77","70","      Educational services","J4470C0",1978,2063,2135,2240,2320,2419,2535,2646,2866,2959,3080,3371,3529,3764,4010,4210,4528,4741,5020,5182,5664,6395,7013,7642,8389,8654,8926,9099,9402,9675,9910,10526,11653,12627,13542,14461,15037,15829,16605,17368
"78","71","      Social services and membership organizations","A4471C0",2209,2384,2495,2617,2746,2914,3055,3126,3216,3352,3498,3559,3584,3684,3787,3896,4000,4138,4280,4402,4655,5138,5449,5924,6088,6645,7130,7407,7701,8297,8858,9468,10290,11026,11876,12512,13210,13553,14376,14880
"79","72","        Social services","B4472C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6974,7260,7499,7719,8174,8783,9444,10328,10731,11236,11773,12364,13060
"80","73","        Membership organizations","J4473C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7616,7936,8751,9591,10373,11420,12248,13005,13887,14814,15097,16226,16568
"81","74","      Miscellaneous professional services","J4474C0",3335,3512,3651,4054,4489,4747,4885,5212,5721,5882,6123,6414,6680,7041,7473,7639,8014,8301,8817,9004,9362,9978,10601,11163,11383,11978,12923,14302,15220,16187,17147,18468,20434,22297,25216,26464,27766,28870,29968,31792
"82","75","      Private households","B4475C0",1500,1498,1502,1588,1707,1805,1874,1956,2017,2075,2154,2214,2356,2364,2418,2471,2557,2657,2780,2961,3254,3543,3847,4159,4478,4833,5260,5744,6479,6844,7543,7809,7946,8157,8439,8636,9504,9569,10132,10363
"83","76","  Government","A4476C0",2820,2890,3045,3154,3324,3429,3542,3755,3943,4087,4378,4453,4631,4777,4947,5175,5438,5676,5897,6175,6689,7176,7980,8649,9395,9996,10589,11397,12155,12928,13743,14689,16052,17683,19018,20230,21405,22499,23428,24547
"84","77","    Federal","A4477C0",2957,3016,3238,3227,3372,3456,3531,3816,4016,4103,4491,4611,4757,4861,4923,5220,5579,5845,5985,6064,6606,7101,8147,9014,10300,11006,11719,12591,13381,14222,15310,16250,17633,19610,21087,22051,23164,24294,25059,26039
"85","78","      General government","A4478C0",2949,2995,3220,3189,3326,3412,3487,3777,3986,4076,4464,4593,4726,4818,4867,5144,5510,5770,5928,6001,6528,7018,8044,9000,10336,11009,11645,12454,13164,13986,15084,15979,17242,19099,20705,21489,22625,23700,24470,25305
"86","79","        Civilian","B4479C0",3256,3481,3632,3924,4202,4412,4508,4804,5024,5205,5779,5852,6073,6455,6646,6996,7520,7860,8173,8262,9007,9694,10925,11774,12603,13471,14091,15213,16255,17491,18928,19927,21239,23050,24465,25327,26448,27366,28133,28984
"87","80","        Military \2\","B4480C0",2676,2599,2897,2788,2891,2927,2997,3237,3402,3439,3697,3824,3872,3813,3807,3997,4284,4477,4650,4732,5148,5526,6319,7139,8603,9070,9594,10064,10420,10854,11570,12316,13498,15537,17384,18120,19232,20418,21225,22009
"88","81","      Government enterprises","B4481C0",2996,3132,3345,3554,3789,3855,3908,4136,4247,4305,4678,4733,4964,5145,5307,5732,6034,6336,6366,6499,7143,7652,8774,9090,10106,10993,12095,13299,14517,15463,16489,17634,19639,22224,23089,25113,25998,27463,28238,30034
"89","82","    State and local","A4482C0",2677,2758,2845,3045,3246,3390,3556,3680,3860,4069,4265,4304,4516,4703,4968,5137,5324,5545,5825,6269,6756,7235,7861,8415,8876,9454,10006,10806,11561,12314,13018,13979,15330,16786,18054,19375,20572,21664,22693,23882
"90","83","      General government","A4483C0",2654,2731,2821,3018,3213,3358,3528,3650,3837,4053,4252,4303,4512,4714,4965,5133,5310,5527,5808,6258,6733,7211,7841,8389,8848,9411,9950,10745,11507,12251,12943,13919,15257,16695,17971,19261,20462,21532,22557,23772
"91","84","        Education","B4484C0",2666,2805,2934,3147,3327,3478,3685,3788,4018,4288,4561,4453,4687,4914,5209,5361,5565,5757,6046,6503,7019,7504,8170,8676,9139,9623,10089,11007,11849,12539,13222,14408,15781,17136,18539,19479,20770,21846,22892,24333
"92","85","        Other","B4485C0",2645,2676,2737,2919,3124,3263,3403,3536,3689,3858,3996,4164,4345,4523,4729,4904,5047,5285,5549,5988,6415,6879,7470,8064,8522,9173,9793,10455,11128,11933,12647,13416,14729,16244,17401,19037,20144,21204,22202,23194
"93","86","      Government enterprises","B4486C0",3000,3158,3201,3435,3655,3795,3925,4087,4179,4308,4456,4315,4572,4561,5013,5191,5524,5807,6085,6452,7123,7624,8182,8827,9334,10159,10891,11745,12393,13301,14176,14857,16373,18093,19210,20971,22101,23487,24587,25423
"94","87","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","1. Beginning with 1987, reflects the reclassification of air couriers from trucking and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
