"","Table 3#9#1# Percent Change From Preceding Period in Real Govern","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 26, 2010    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2010 2:08:26 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Government consumption expenditures and gross investment","A822RL1",10.2,4.2,-3.3,-3.3,12.8,2.7,16.7,-4.2,7.7,8.8,2.8,66.2,135.3,48.8,12.5,-12.7,-65.6,-15.1,7.3,11.9,0.1,36.6,20.4,7.2,-6.8,-3.7,0.1,4.5,3.2,3.4,0.2,5,6.2,2.6,2.2,3,8.8,7.7,3.1,-0.2,-2.4,-2.2,-0.7,-0.4,2.5,2.3,0.4,1.1,2.9,1.9,1.9,0.9,1.8,3.7,3.4,7,6.1,2.4,1.3,2.7,3.2,1.1,0.5,-0.8,0,0.6,1,1.9,2.1,3.6,2,3.8,4.7,2.2,1.4,0.3,1.4,1.7,3.1,1.8
"9","2","      Consumption expenditures \1\","A955RL1",6.5,3.8,0.3,2.5,10.5,1.7,8.6,-1.2,6.3,8.6,5.5,41.7,117.6,59.4,20.7,-4.5,-58.7,-18,2.5,6.5,-0.6,29.9,19.2,6.4,-7.2,-2,0,5.4,1.4,1.3,1.3,3.3,6.7,3.5,2.3,3.5,8.9,8.5,4.7,1.5,-1.3,-0.2,0.5,-1,2,2.3,0.2,1.9,2,1,1.7,1.8,2.4,2.9,1.6,5.6,5.4,1.7,1.7,2.5,2.4,1.2,0.4,-0.2,0.3,0.2,0.4,1.7,1.8,2.8,1.8,3.7,4.5,2.2,1.4,0.6,1,1.4,3,1.8
"10","3","      Gross investment \2\","A782RL1",18.8,5,-12.2,-20.2,20.6,6,39.6,-10.7,11.1,9.4,-3.3,124.4,161.1,36,0.4,-29,-86.8,14.6,39.6,38.1,2.8,61,23.8,9.2,-5.6,-8.4,0.2,1.7,9,9.7,-3,10.1,4.5,-0.2,1.9,1.4,8.7,5.1,-2.4,-6.6,-6.9,-10.7,-6.6,2.9,4.9,1.9,1.5,-2.9,7.7,6.2,2.9,-3,-1.2,7.7,12.4,13.7,9.1,5.7,-0.6,4,6.5,0.5,0.9,-3.7,-1.7,2.4,3.8,2.8,3.5,7.4,3.3,4.3,5.5,2.4,0.9,-0.8,3.3,3.2,3.4,1.9
