"","Table 3#20# State Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 13, 2006  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2006 11:01:42 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","    Current receipts","W730RC1",21.8,23.5,25.2,27.5,29.6,32.3,35.8,42.3,46.5,54.7,62.6,70.1,79.4,96.3,104.5,113.5,127.4,143.4,160,179.3,197.3,218.7,239.5,247.9,272.9,308.2,333.1,359.3,380.4,408.8,441.4,476.5,512.3,559.7,593.9,630.1,662.8,696,731.1,777.5,826.2,884.5,922,938.4,990.2,1066.1,1144.3
"9","2","Current tax receipts","W731RC1",16.7,18.1,19.3,21,22.4,24.5,26.9,30.2,32.7,38.6,44,48.1,53.8,63.5,70.2,75.9,81.9,93.8,105.1,117.4,128.9,140.9,155.6,162.3,180.5,205.4,220.9,234.1,253.6,269.5,288.1,305.4,314.1,338.6,356.9,380.2,401.4,425.9,449,480.7,508,540.7,547.2,536.1,562.6,611.3,675.3
"10","3","  Personal current taxes","W732RC1",3.1,3.4,3.7,4,4.3,4.9,5.4,6.4,7,8.8,10.8,12,13.4,17.9,19.8,21.1,23.2,27,30.9,35.6,38.9,43.7,48.5,52.3,58.9,68.2,73.2,78.3,87.5,90.4,102.4,109.6,111.8,120.6,126.3,132.1,140.9,150.9,162.7,180.4,192.5,213.6,219.9,198.5,202.2,221.4,246.1
"11","4","    Income taxes","W733RC1",2,2.3,2.5,2.8,3.1,3.6,3.9,4.8,5.3,6.9,8.6,9.6,11,15.2,16.8,18,19.9,23.4,27.2,31.6,34.6,39.1,43.6,47,53.2,61.9,66.1,70.7,79.1,81.5,92.9,99.6,101.4,109,114.9,120.2,128.4,138.6,149.7,166.8,178.4,199.2,205.5,183.7,186.2,204.7,228.6
"12","5","    Other","W734RC1",1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.5,2.7,3,3.1,3.2,3.5,3.7,4,4.3,4.6,4.9,5.3,5.7,6.4,7.1,7.6,8.3,8.9,9.5,10,10.4,11.6,11.3,11.9,12.5,12.3,13,13.6,14.1,14.3,14.3,14.8,16,16.8,17.5
