"","Table 7#2#4B# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162"
"11","3","        Truck output","A716RG3",25.276,25.404,25.517,25.943,26.08,26.042,26.357,26.546,26.572,26.705,27.133,27.33,27.498,28.002,28.206,28.595,29.406,30.088,29.978,29.839,30.263,30.429,30.536,30.255,30.153,30.668,30.913,30.884,31.822,32.683,33.843,35.308,35.64,36.876,38.181,38.776,39.441,39.75,40.569,41.46,42.21,42.967,44,45.427,46.006,46.966,47.886,48.426,49.992,51.285,51.245,52.46,53.986,54.415,56.512,58.302,60.271,62.285,62.965,64.224,64.211,65.634,67.206,67.5,67.801,67.706,68.416,69.451,70.42,71.277,71.843,71.667,72.425,72.928,73.211,74.169,74.039,75.127,74.817,75.696,74.76,75.094,75.932,75.585,74.602,75.342,76.539,77.921,77.477,78.656,78.953,80.332,79.504,80.907,81.035,82.569,82.161,83.52,84.372,85.731,85.478,86.371,86.103,86.808,88.595,89.745,90.939,92.017,93.308,94.345,95.331,95.316,96.155,96.992,97.476,98.101,98.778,99.04,99.069,99.396,99.625,100.07,100.494,99.901,98.791,98.172,98.716,99.36,99.886,100.31,100.079,100.111,99.658,100.184,100.109,100.049,99.084,98.675,99.109,98.471,97.863,97.543,96.963,97.158,96.891,95.548,96.055,96.581,96.708,96.981,96.181,97.391,98.108,97.668,96.373,95.507,96.097,96.441,94.528
"12","4","Final sales of domestic product","AB60RG3",32.114,32.338,32.941,33.486,33.341,33.561,33.906,34.154,34.115,34.287,34.626,34.593,34.659,34.961,35.201,36.354,37.276,37.619,36.962,36.165,36.785,37.057,37.234,36.371,36.408,36.584,36.889,36.823,37.458,38.239,39.861,41.292,41.38,42.414,42.94,43.792,44.837,45.371,46.175,47.41,47.735,48.273,48.776,50.287,51.085,51.572,52.416,53.154,54.262,55.925,56.556,57.252,58.908,60.27,61.201,61.888,62.653,64.923,66.431,66.557,66.802,67.745,68.952,68.779,69.628,70.13,70.963,71.425,72.164,72.579,73.26,73.214,74.002,74.56,75.15,75.28,74.815,75.711,76.71,77.578,77.424,78.304,79.533,79.474,77.777,78.015,79.751,80.243,80.542,81.708,81.975,82.668,82.465,82.908,82.92,83.507,84.561,85.417,86.162,86.709,86.673,87.642,87.955,88.384,89.595,90.542,91.702,92.49,93.701,94.842,96.161,96.479,97.132,97.652,97.689,98.22,99.222,99.713,100.288,100.771,101.197,100.943,101.077,100.81,99.854,99.171,99.708,99.895,100.074,100.051,100.079,100.264,99.854,100.307,100.017,99.822,99.183,99.062,99.242,99.005,98.807,98.679,98.238,98.358,97.186,95.912,96.122,96.361,96.672,97.286,96.518,97.501,98.46,98.255,96.977,96.883,97.69,97.617,96.572
"13","5","  Personal consumption expenditures","AB61RG3",28.65,28.903,29.537,30.012,29.957,30.132,30.381,30.627,30.616,30.771,30.839,31.076,31.049,31.239,31.615,32.712,33.61,33.809,33.13,32.493,33.097,33.435,33.65,33.082,33.314,33.72,33.855,33.788,33.728,34.608,36.512,37.947,38.245,38.99,39.577,40.379,41.111,41.831,42.636,43.825,44.136,44.427,44.647,45.794,46.813,47.448,48.487,49.466,50.371,51.521,51.807,52.145,53.348,54.225,55.228,56.466,57.084,58.956,60.378,61.385,61.758,62.424,63.097,63.248,64.304,64.991,65.87,66.813,67.272,68.101,68.794,68.971,69.66,69.988,70.256,70.684,70.979,71.788,72.991,73.893,74.321,75.831,76.979,77.383,76.072,76.592,77.933,78.708,79.083,79.805,79.672,80.271,79.879,79.815,79.737,80.414,81.354,82.308,82.847,83.37,83.082,83.869,84.589,85.257,86.089,87.556,89.068,90.465,91.01,92.165,93.851,95.533,96.709,97.45,97.335,98.002,99.211,99.286,99.761,100.417,100.796,100.187,99.822,99.947,99.282,98.734,99.185,99.299,99.098,99.135,99.97,100.139,99.728,100.289,99.866,100.117,100.487,100.301,99.859,100.095,99.713,99.387,99.562,99.17,97.71,97.037,96.378,95.168,95.353,95.889,95.936,96.848,97.934,98.149,97.113,97.295,97.827,97.633,97.441
"14","6","    New motor vehicles","AB67RG3",33.939,34.123,34.632,35.127,35.118,35.279,35.509,35.812,35.66,35.861,36.077,36.337,36.338,36.484,36.915,38.298,39.167,39.184,38.326,37.528,38.231,38.396,38.63,37.818,37.95,38.292,38.505,38.372,38.503,39.453,41.179,42.526,42.831,43.934,44.276,45.161,45.998,46.372,46.87,47.926,48.262,48.649,49.253,50.867,51.998,52.364,53.178,54.367,55.569,56.83,57.577,58.31,59.851,61.074,62.323,62.917,63.032,64.942,65.996,66.789,66.98,67.577,68.23,68.17,68.739,69.139,69.637,70.313,70.77,71.246,71.756,72.141,73.059,73.624,74.139,74.678,75.348,76.597,77.805,78.547,78.578,79.01,79.714,80.104,79.334,80.042,81.192,81.918,81.525,82.292,82.406,83.554,83.572,83.947,83.999,85.343,86.25,87.411,87.806,88.533,88.874,89.597,90.091,90.476,91.09,91.894,92.845,93.64,94.419,95.302,96.373,96.889,97.285,98,98.344,98.88,99.334,99.742,100.302,100.786,100.975,100.798,100.627,100.408,100.28,100.005,100.348,100.128,100.126,100.049,100.114,100.205,99.774,100.345,100.134,99.747,99.713,99.538,99.094,99.453,98.34,97.602,97.559,97.825,96.947,96.555,96.39,96.005,96.049,96.119,95.27,95.931,97.033,96.892,95.491,95.863,96.251,95.913,95.734
"15","7","      Autos","A136RG3",35.697,35.895,36.431,36.952,36.931,37.107,37.354,37.67,37.505,37.721,37.952,38.22,38.219,38.373,38.83,40.282,41.202,41.224,40.323,39.482,40.219,40.394,40.643,39.763,39.925,40.282,40.511,40.344,40.502,41.489,43.321,44.698,45.046,46.213,46.562,47.465,48.384,48.778,49.3,50.367,50.74,51.178,51.839,53.441,54.748,55.074,55.884,57.182,58.443,59.768,60.555,61.315,62.927,64.224,65.528,66.13,66.221,68.237,69.342,70.178,70.386,71.02,71.712,71.636,72.197,72.641,73.179,73.816,74.25,74.703,75.199,75.539,76.431,76.993,77.492,77.976,78.702,79.963,81.178,82.255,82.325,82.866,83.775,84.123,83.711,84.253,85.304,85.79,85.964,86.369,86.152,87.012,87.555,87.138,87.227,88.158,89.81,90.5,90.843,91.318,91.832,92.444,93.007,93.441,93.828,94.483,95.224,95.997,96.69,97.476,98.475,99.006,99.45,99.973,99.988,100.385,100.905,101.228,101.835,102.019,101.938,101.81,101.512,101.12,101.009,100.697,100.96,100.603,100.355,99.906,99.836,99.862,99.746,100.179,100.181,99.894,99.702,99.633,99.269,99.494,98.933,98.271,98.063,98.194,97.147,96.667,96.438,95.999,96.001,96.259,95.639,96.19,97.012,97.058,96.412,97.201,97.886,97.57,97.974
"16","8","      Light trucks (including utility vehicles)","B704RG3",31.326,31.393,31.834,32.272,32.45,32.492,32.645,32.955,32.889,33.019,33.174,33.505,33.525,33.678,34.057,35.392,36.168,36.141,35.329,34.578,35.195,35.308,35.482,34.932,34.889,35.219,35.394,35.437,35.482,36.427,37.922,39.33,39.374,40.319,40.67,41.616,42.297,42.672,43.156,44.297,44.496,44.737,45.199,47.001,47.705,48.233,49.134,50.101,51.245,52.431,53.135,53.862,55.334,56.412,57.597,58.237,58.433,60.124,61.096,61.819,62.016,62.543,63.118,63.095,63.709,63.97,64.378,65.252,65.88,66.495,67.103,67.661,68.691,69.288,69.859,70.539,71.082,72.363,73.624,73.575,73.564,73.8,74.099,74.605,73.044,74.137,75.526,76.758,75.278,76.738,77.482,79.167,78.331,80.138,80.113,82.232,81.766,83.709,84.17,85.297,85.38,86.285,86.684,87.001,87.926,88.942,90.19,91.031,91.948,92.972,94.15,94.654,94.987,95.934,96.677,97.383,97.754,98.258,98.766,99.579,100.067,99.842,99.798,99.747,99.6,99.36,99.777,99.686,99.908,100.175,100.37,100.525,99.796,100.505,100.094,99.617,99.722,99.459,98.952,99.411,97.899,97.105,97.176,97.533,96.778,96.443,96.317,95.961,96.025,95.979,94.991,95.714,96.992,96.725,94.84,94.921,95.087,94.731,94.112
"17","9","    Net purchases of used autos and used light trucks","W240RG3",14.638,15.021,15.873,16.26,16.108,16.32,16.605,16.702,17.038,17.071,16.774,16.947,16.863,17.141,17.364,17.749,18.624,19.299,19.089,18.885,19.229,20.086,20.247,20.383,20.936,21.591,21.491,21.634,21.052,21.761,24.183,25.825,26.102,25.919,27.125,27.7,28.116,29.868,31.607,33.3,33.646,33.674,32.602,32.301,32.968,34.568,36.49,36.798,36.727,37.573,36.435,35.591,35.89,35.865,36.234,39.186,41.194,42.965,45.407,47.027,47.982,48.904,49.665,50.458,53.143,54.887,57.264,59.274,59.752,61.918,63.252,62.739,62.693,62.23,61.625,61.676,60.709,60.035,61.29,62.822,64.619,69.874,72.578,72.997,69.908,69.799,71.777,72.715,75.606,76.2,75.235,74.219,72.642,71.329,70.919,69.96,71.059,71.619,72.486,72.602,70.975,71.891,73.075,74.34,75.641,78.485,81.224,84.01,84.037,85.768,88.765,92.915,95.646,96.403,95.365,96.26,98.972,98.403,98.715,99.665,100.359,99.03,98.337,99.104,97.482,96.434,97.094,97.75,97.226,97.475,99.646,99.978,99.614,100.178,99.356,100.852,102.043,101.861,101.423,101.37,102.652,103.183,103.789,101.916,99.185,97.873,96.015,92.835,93.372,95.036,97.188,98.676,99.693,100.712,100.58,100.33,101.157,101.256,101.036
"18","10","      Used autos","A137RG3",13.712,14.089,14.919,15.291,15.134,15.341,15.615,15.704,16.033,16.063,15.771,15.934,15.851,16.121,16.331,16.682,17.524,18.189,18.001,17.817,18.142,18.986,19.141,19.289,19.841,20.484,20.38,20.523,19.939,20.619,22.994,24.591,24.866,24.653,25.842,26.387,26.778,28.516,30.248,31.92,32.277,32.299,31.185,30.795,31.409,32.977,34.817,35.065,35.003,35.724,34.595,33.875,34.137,34.067,34.331,37.111,39.013,40.726,42.983,44.455,45.364,46.151,46.817,47.576,50.271,52.026,54.279,56.089,56.439,58.491,59.797,59.252,59.115,58.727,58.298,58.348,57.306,56.884,58.62,60.512,62.558,68.22,71.118,71.489,67.687,67.394,69.729,70.767,74.012,74.843,74.13,72.894,70.767,69.24,68.773,67.736,69.089,69.593,70.586,70.787,69.341,71.004,72.82,74.559,75.352,77.926,80.86,83.16,83.472,85.35,88.879,92.711,95.568,96.375,95.053,95.578,98.225,98.149,98.875,100.116,102.087,98.997,97.778,98.89,97.558,96.317,97.285,97.751,97.225,97.501,99.792,100.4,99.916,100.43,99.055,100.599,101.631,101.628,101.488,101.73,102.993,104.282,105.072,103.392,100.257,98.942,96.793,93.771,94.629,97.073,99.487,100.835,101.659,102.703,102.446,102.573,103.002,102.702,102.8
"19","11","      Used light trucks (including utility vehicles)","W241RG3",24.022,24.072,24.408,24.742,24.875,24.908,25.027,25.269,25.231,25.332,25.448,25.694,25.688,25.794,26.076,27.093,27.69,27.67,27.049,26.476,26.946,27.038,27.179,26.766,26.753,27.01,27.143,27.169,27.178,27.892,29.03,30.109,30.157,30.895,31.183,31.93,32.49,32.794,33.171,34.042,34.146,34.32,34.675,36.07,37.044,38.145,40.111,41.059,40.899,43.033,42.328,40.464,41.03,41.491,42.739,46.394,48.782,50.529,53.977,56.565,57.64,59.526,61.048,61.988,63.585,64.772,67.713,70.904,72.203,74.813,76.057,75.984,76.692,75.691,73.809,73.716,73.201,71.068,70.092,69.998,70.517,73.791,75.44,75.897,75.992,76.558,77.137,77.689,79.348,79.153,77.459,77.124,77.142,76.4,76.154,75.402,75.841,76.541,77.085,76.974,74.876,73.948,73.639,73.815,76.305,79.796,82.078,86.007,85.375,86.745,88.377,93.379,95.827,96.469,96.071,97.743,100.484,98.936,98.434,98.887,97.437,99.187,99.335,99.559,97.42,96.63,96.83,97.74,97.225,97.442,99.466,99.47,99.258,99.893,99.702,101.147,102.523,102.125,101.336,100.969,102.267,101.982,102.4,100.335,98.031,96.721,95.15,91.817,92.036,92.937,94.828,96.446,97.652,98.646,98.636,98.032,99.221,99.683,99.179
"20","12","  Private fixed investment","AB62RG3",31.742,31.83,32.04,32.51,32.471,32.746,32.982,33.388,33.238,33.448,34.061,34.265,34.611,34.808,35.151,36.108,36.99,37.398,37.11,36.775,37.502,37.722,37.962,37.148,36.79,37.312,37.936,38.215,39.134,40.108,41.286,42.539,43.332,44.566,44.67,45.57,46.649,46.73,47.516,48.575,48.984,49.804,51.386,53.594,54.851,55.279,56.056,56.709,58.415,59.749,60.456,62.286,64.18,65.563,67.522,67.998,68.465,70.735,71.11,71.893,71.351,72.062,72.93,72.895,73.193,72.97,72.937,73.204,73.548,73.644,73.674,73.713,74.367,75.31,76.24,77.911,78.789,81.034,81.647,83.773,82.993,82.427,82.565,82.451,82.396,82.979,84.059,85.468,85.194,85.909,86.34,88.15,88.049,88.262,88.904,91.046,92.823,92.972,93.492,95.338,96.228,96.303,95.364,95.624,96.635,96.394,96.222,96.575,98.833,99.84,99.815,98.087,97.178,97.447,98.16,98.455,98.214,99.358,100.245,100.362,100.298,100.867,102.334,101.677,100.462,99.895,100.175,100.798,102.201,102.148,100.346,100.273,100.192,100.021,100.414,99.373,96.365,96.443,98.752,97.511,98.215,98.819,96.625,98.653,99.688,97.675,101.135,108.025,108.343,108.881,106.337,106.903,106.648,105.548,104.358,103.785,104.628,104.842,102.154
"21","13","    New motor vehicles","AB68RG3",29.356,29.508,29.852,30.269,30.335,30.454,30.656,30.87,30.857,31.062,31.347,31.576,31.751,32.026,32.363,33.236,34.041,34.413,34.118,33.784,34.352,34.533,34.748,34.248,34.132,34.596,34.983,35.048,35.587,36.539,37.986,39.462,40.26,41.182,41.582,42.423,43.256,43.848,44.692,45.742,46.354,47.011,47.931,49.468,50.524,51.062,52.057,52.786,54.157,55.656,56.1,57.102,58.65,59.797,61.584,62.889,63.841,65.989,67.131,68.368,68.246,69.249,70.284,70.461,70.935,70.957,71.511,72.378,72.976,73.691,74.052,74.105,74.764,75.221,75.414,76.651,77.227,78.371,78.536,80.032,79.556,79.97,80.519,80.585,80.61,81.205,82.119,83.277,83.617,84.044,83.75,84.832,84.784,84.656,84.963,86.018,87.236,87.631,88.197,89.316,89.722,90.624,91.078,92.07,92.815,93.532,94.332,95.063,96.083,97.084,98.069,98.012,98.869,99.51,99.643,99.909,100.249,100.523,100.853,100.73,100.906,100.473,100.155,99.334,98.921,98.643,99.174,99.727,99.763,99.898,99.712,99.889,99.618,99.948,100.194,100.24,99.251,99.01,99.732,98.624,98.07,97.787,96.775,96.876,97.251,96.063,96.441,97.122,96.924,97.35,96.736,97.839,97.724,97.324,97.271,96.446,96.863,97.368,95.979
