"","Table 6#19B# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 10:26:08 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Corporate profits after tax","A055RC0",23455,19404,25308,22229,20831,21396,21719,27843,28470,27657,23999,30029,28849,28679,32911,35708,40941,49085,52819,50648,52811,51394
"9","2","Domestic industries","A3202C0",22194,18279,24039,20485,18943,19598,19757,25489,25649,24565,21476,27311,25712,25363,29139,31627,36472,44379,48291,45873,47175,44799
"10","3","  Agriculture, forestry, and fishing","A3203C0",91,67,86,64,14,-9,30,2,3,5,18,-5,22,23,74,20,47,133,150,57,123,115
"11","4","    Farms","B3204C0",90,71,87,61,11,-12,28,-2,-1,0,-7,-51,-26,-32,6,-30,5,80,87,17,65,42
"12","5","    Agricultural services, forestry, and fishing","B3205C0",1,-4,-1,3,3,3,2,4,4,5,25,46,48,55,68,50,42,53,63,40,58,73
"13","6","  Mining","A3206C0",1146,814,1117,1047,861,797,863,1032,1088,963,791,542,651,721,579,788,823,679,675,545,562,477
"14","7","    Metal mining","B3207C0",205,102,198,184,109,143,142,190,203,123,113,-28,64,108,55,103,151,103,177,-92,32,15
"15","8","    Coal mining","B3208C0",312,116,167,138,94,59,29,86,160,139,105,61,69,95,72,111,150,150,130,138,119,106
"16","9","    Oil and gas extraction","B3209C0",535,507,646,611,545,487,565,600,573,578,501,413,378,404,346,387,282,245,170,285,228,151
"17","10","    Nonmetallic minerals, except fuels","B3210C0",94,89,106,114,113,108,127,156,152,123,72,96,140,114,106,187,240,181,198,214,183,205
"18","11","  Construction","B3211C0",431,404,363,311,354,290,313,265,432,471,448,406,223,329,518,570,823,1045,1092,1263,1323,1280
"19","12","  Manufacturing","A3212C0",11991,9476,13299,10956,9591,10355,10517,14334,13956,13305,10451,14110,12699,11829,14161,15853,18412,23336,25111,23156,23437,21101
"20","13","    Durable goods","A3213C0",5594,4649,6957,5652,4977,5239,5140,7584,6960,6801,4647,6820,5611,5108,7085,8355,9796,13141,13778,12208,12282,10522
"21","14","      Lumber and wood products","B3214C0",369,203,417,331,249,217,237,359,280,171,242,375,242,251,349,445,546,672,538,556,899,927
"22","15","      Furniture and fixtures","B3215C0",108,82,134,97,94,79,75,131,137,112,80,98,79,91,127,147,180,245,235,244,259,240
