"","Table 1#2#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","       Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RL1",NA,-4.5,-6.9,8.9,12,2.6,2.1,-1,-11.9,-7.2,7.1,-9.5,25.2,11.4,32,6.4,-2.2,3,4.9,-0.5,-2.8,-9.7,3.4,22.8,6.8,2,-2.7,-13.8,-2.5,1,3,13.8,18.4,17.7,5.9,3.1,-4.2,-0.4,1.5,4.2,2.8,-2.7,6.5,-16.5,-16,-1.5,17.5,10.8,11.1,12.2,-4.5,2.9,21.2,-7.4,1.9,-17.9,3,11.9,12,8.3,10.8,-0.6,5.3,-2.1,9.4,1.7,8.2,2.1,11.3,5.8,10.9,-0.4,18.8,0.6,10.7,13.4,18.7,-2.4,3.8,6.5,-2.2,-4.1,1.6,-1,9.8,9.7,1.7,-1.6,14.3,-3.4,3.5
"13","5","    Final sales","A325RL1",NA,1.6,-0.2,-2.9,2.5,-6,-0.8,4.6,1.6,6,-2.5,0.8,2.9,8.3,29.2,-15.9,11.7,-6.9,16.7,11,-4.5,2.6,-10.5,23.2,9.4,2.3,0.5,-5.5,-3.4,3.6,1.8,10.4,8.7,14.4,7,0,-2.2,2.4,3,5,5.2,-3.8,4.5,-8.4,-14.7,-2.2,8.3,6.8,11.5,4.3,8,-3.8,9.4,5.5,-0.9,-3,-1.9,3.8,3.6,10.7,5.1,5,3.9,2.2,2.9,6,7.1,4.8,10.8,6.2,9.7,-0.6,9.6,4.9,9.2,16.8,10.5,-1.4,5.6,1.4,-1.3,6,-1.2,0.1,10.2,2.5,9.4,0.4,8.5,-1.5,2.3
"14","6","    Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RL1",NA,-9.1,-1,-6.4,27.8,-20,1.9,6.9,-13,-9.9,37.6,-29.9,25.7,50,70.7,7,-13.6,9.5,7.9,-10.4,-2.2,-19.2,-18.7,82.5,21.2,1.8,3.3,-35.8,-15.9,7.6,2.4,24.3,37.3,34.1,2.6,-0.6,-11.5,-6.9,-3,13.5,3,-3,4.5,-27.9,-39.9,-7.3,34.9,25.6,37.2,19.5,-16.6,0.4,52.7,-22.8,3.8,-30.9,-13.1,28.5,35.8,14,20.3,-4.1,15.5,-8.1,8.3,9.7,12.5,2.9,21.5,4.7,16.4,-5.4,43.3,-5.7,19,2.2,44.1,-7.1,12.2,5.3,-16.2,-3.4,2.3,4.9,3.8,8.9,5.1,8.3,15.2,-11,12.5
"16","8","    Final sales","A326RL1",NA,-4.7,-6.1,9,12,-15.9,0.8,5.4,-5.2,14.3,1.5,-1.5,0.1,15.3,86.4,-28,15,-14.4,19.7,18.6,-3.1,-0.3,-28.7,59.2,21.5,5,4,-15.3,-13,8.8,-4.7,13.2,18.7,26,10.6,-7.6,-11.8,2.7,4.8,5.9,7.4,-8.8,4,-12,-27.8,-9.7,9.5,12.2,26.3,5.4,12.5,-12.7,17.1,10.4,-0.9,-9.3,-8.6,6,8.8,18.4,9.6,8,6.2,5.3,1.9,8.3,12.2,10.4,12.3,5.8,12.1,-1.2,21.7,3.7,15.2,16,21.7,-6.9,10.3,3.4,-6.6,8.7,-2.8,0.2,12.5,1.5,13.5,0.3,16.4,-7.1,5.3
"17","9","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RL1",NA,-1.7,-10.3,18.9,3.9,18.1,2.3,-5.3,-11.2,-5.7,-7.8,5.5,24.9,-7.4,10.5,6,6.8,-1.2,2.7,7,-3.3,-2.7,20.5,-5.2,-2.6,2.2,-7,6.7,7.5,-3.1,3.4,7.3,6.7,6.7,8.4,6.1,1.7,4.6,4.9,-2.1,2.7,-2.5,8.1,-7.3,4.4,2.3,8.1,2.2,-4,7.2,5.3,4.7,2.4,5.9,0.6,-7.7,14.7,2.5,-1.6,4.4,4.4,2,-1.7,2.8,10.1,-3.9,5,1.5,4,6.6,6.7,3.9,1.9,6.3,4.2,23.5,0.9,1.8,-2.9,7.6,11.1,-4.6,1.1,-5.6,14.9,10.3,-1,-9.2,13.5,3.6,-3.5
"19","11","    Final sales","A334RL1",NA,5.3,3.2,-8.9,-2.6,0.2,-1.7,4.1,5.9,1.5,-4.9,2.3,4.7,4.2,0.9,-6,9.6,-1.4,14.8,6.1,-5.3,4.6,3.8,4.1,1.6,0.3,-2,2.2,3.9,0.1,6.5,8.5,2.3,6.6,4.4,6.2,5.4,2.2,1.9,4.3,3.7,0,4.9,-5.7,-4.4,2.9,7.5,3.5,2.5,3.6,4.9,2.9,4.4,2.1,-0.9,1.7,3,2.4,0.1,5.7,2,2.8,2.3,-0.1,3.7,4.3,3.4,0.8,9.6,6.5,7.9,-0.1,0.9,5.8,4.6,17.4,2.2,3.4,1.9,-0.3,3.3,3.8,0.1,-0.1,8.3,3.4,6.2,0.4,2.3,3.4,0
"20","12","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RL1",NA,5.8,0.3,-6.8,0.7,9.8,2.5,6.8,5.5,4.9,-3.1,-3.5,4.7,8.2,-1.9,13.1,20.6,19.4,18.3,2.5,10.8,11.9,2.7,4.1,8.2,4.8,-1.2,-0.8,-4.3,-2.1,3.9,2.6,3.3,-3.6,8,3.9,0,6.4,-2.4,12.4,2.6,2.1,2.7,8.5,-7.3,8.4,2,4.5,2.5,9.1,4.6,3.9,-2,6.1,-0.2,5.7,0.4,8.7,0.7,7.3,5.7,7.9,2.7,4.3,2.2,4.8,6.5,4,5.6,5.5,2,3.4,3.9,7.8,6.5,8.5,3.2,9.9,2.8,5.2,9.9,2.2,3.9,4.9,8.3,4.9,3.9,4.1,0.5,5.9,2.1
"22","14","Structures","A755RL1",NA,-5,42.8,53.7,1.6,25,1.2,-11.7,-11.2,3.2,24,24.1,30.2,33.8,20.5,-5.7,-8,-13.9,-9.2,-0.9,10.9,4.5,0.1,17.6,9.8,0.8,-5.5,5.6,9.7,8.5,12.8,9.4,21.4,6.2,-4,-6.2,0.7,5.8,-1.3,-2.4,0.7,-5,-1.2,1.6,-0.7,-5,13.1,26.2,21,9.4,-3.5,-12.1,12.2,-9.2,-0.8,6.5,8.3,-9.5,11.4,13.3,1.7,10.6,2.3,-1.1,3.8,19.6,11.2,2.9,17.2,-2.1,1.3,-2.4,5.9,15.3,7.6,4.1,8.4,-15.6,-2.1,-15.3,0.4,8,6.4,11.4,4.6,6.1,1.9,3.9,5.4,-1.8,1.3
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8,-7.6,4.7,83.4,23.1,-12.6,16,7.1,-29.8,44.4
"25","16","  Gross domestic product excluding motor vehicle output","A962RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,3.7,3,5.9,6.2,3.6,1.1,6.4,2.9,0.9
"26","17","  Final sales of computers \3\","BB01RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","18","  Gross domestic product excluding final sales of computers","BB00RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","  Final sales of domestic product, current dollars","A190RP1",NA,8.7,9.9,9.1,6.2,7.6,8.2,3.8,0.7,2.7,-3.5,1.4,5,13.1,24.8,2.1,28.4,4.2,15.7,11.8,3.9,8.6,-0.8,15.8,9.5,4.2,0.4,-0.9,-0.7,2.3,3.8,7.4,9.6,7.7,9.1,3.5,3,8.5,4.8,9.7,8.5,1.3,6.3,2.1,-6.8,3.8,7,8.4,10.3,8,6.3,0.1,5.3,5.7,1.3,3.7,0.8,5.2,4.2,10.6,7.4,8.1,4.3,4.3,3.9,7.4,8.1,6.8,10.6,6.3,7.1,2.9,8.3,9.3,9.7,14.1,9.5,5.8,7.3,4.8,6.2,7,5.9,8.2,13.5,8.8,10.1,8.4,8.5,7.6,8.2
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
