"","Table 6#15C# Net Interest by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 03, 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/26/2012 9:22:09 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Net interest","B060RC0",358977,378873,427873,437457,410932,380406,357367,354970,351313,362470,398306,470782,472741,527858
"9","2","Domestic industries","A1850C0",387977,411630,467796,476816,454741,421389,399791,404843,410512,428645,478008,551664,561242,631048
"10","3","  Agriculture, forestry, and fishing","B1851C0",12329,11398,11238,11000,9911,9156,8303,8816,9353,9678,9934,10032,10378,11050
"11","4","  Mining","B1852C0",2737,2690,2892,2584,2794,2034,1778,1927,2122,2251,2360,3217,3522,4644
"12","5","  Construction","B1853C0",1824,2703,4060,3507,3135,2046,2039,1894,2093,2229,2759,3442,3933,4983
"13","6","  Manufacturing","A1854C0",28916,34978,48408,52782,48664,38469,33742,33763,38891,33716,37553,47487,57363,65704
"14","7","    Durable goods","B1855C0",7902,9292,13681,16469,16317,9374,7217,6265,8121,3353,5261,11975,17156,21739
"15","8","    Nondurable goods","B1856C0",21014,25687,34727,36313,32347,29095,26525,27498,30770,30363,32292,35512,40207,43965
"16","9","  Transportation and public utilities","A1857C0",32213,33249,38623,40178,41396,38388,35462,34065,36613,38596,42098,47971,54395,63991
"17","10","    Transportation","B1858C0",4224,4794,6065,6292,6384,6058,5329,5150,5787,5700,6464,7343,9267,9950
"18","11","    Communications","B1859C0",8113,9555,11688,12750,13283,11378,10572,9657,11258,12700,14770,18579,22333,26190
"19","12","    Electric, gas, and sanitary services","B1860C0",19876,18900,20870,21136,21729,20952,19561,19258,19568,20196,20864,22049,22795,27851
"20","13","  Wholesale trade","B1861C0",6439,8925,10795,10267,8839,6213,4022,5235,8062,7981,11291,13473,14378,16113
"21","14","  Retail trade","B1862C0",11059,15270,22579,21320,18386,12849,10554,10656,14733,16154,17232,17635,17041,22866
"22","15","  Finance, insurance, and real estate","A1863C0",276779,285424,304812,310201,298538,293651,287784,293134,281797,299824,333317,384319,373261,412071
"23","16","    Finance","B1864C0",14393,2315,-4184,-15422,-36766,-31850,-21259,-10196,-40595,-31712,-4274,28974,-3125,-805
"24","17","    Real estate","B1865C0",265273,287781,313066,330816,335485,325618,309041,303257,322541,331317,349257,366783,389377,428841
"25","18","    Other","B1866C0",-2887,-4672,-4070,-5193,-181,-117,2,73,-149,219,-11666,-11438,-12991,-15965
"26","19","  Services","A1867C0",15681,16992,24389,24977,23078,18583,16107,15353,16848,18216,21464,24088,26971,29626
"27","20","Rest of the world","A1627C0",-29000,-32757,-39923,-39359,-43809,-40983,-42425,-49874,-59200,-66175,-79702,-80882,-88501,-103190
"28","21","  Receipts from the rest of the world","A2067C0",62897,79045,100645,106420,91360,71676,64448,77628,99726,104293,121737,137003,139913,175185
"29","22","  Less:  Payments to the rest of the world","B1869C0",91897,111802,140568,145779,135169,112659,106873,127503,158926,170468,201439,217885,228414,278375
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
