"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/26/2012 9:04:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      National income","A032RC1",888.5,929.5,1005.6,1110.3,1246.1,1341.5,1444,1609.8,1797.4,2027.9,2248.3,2433,2729.8,2851.4,3070.9,3461.3,3696.3,3871.5,4150,4522.3,4800.5,5059.5,5217.9,5517.1,5784.7,6181.3,6522.3,6931.7,7406,7875.6,8358,8938.9,9185.2,9408.5,9840.2,10534,11273.8,12031.2,12396.4,12609.1,12147.6,12840.1
"9","2","Domestic business","A368RC1",702.1,724.7,779.9,863.9,975.2,1044.3,1118.6,1253.2,1407.3,1600.3,1770.4,1896.6,2136.2,2198.6,2368.5,2695.8,2880.7,3010.1,3224.2,3516.5,3718.5,3882,3969.4,4198.5,4406,4744.6,5015.7,5360.5,5772.3,6167,6534.6,6994.5,7108.3,7212.7,7515.3,8075.3,8687.5,9336.8,9511.4,9490.4,8958.2,9577.2
"10","3","  Corporate business","A441RC1",531.5,547.7,591.3,657,735.6,791,850,958.4,1087.1,1241.9,1373.9,1483.2,1680.8,1736,1876.2,2118.4,2254.8,2350.8,2526.1,2736.7,2878.6,3003.9,3075.3,3240.2,3403.2,3665.7,3880.7,4119,4438.1,4720.9,4998.7,5331.4,5304.4,5366.8,5585.2,5965,6435,6897.4,6992.2,6970.5,6655.7,7191.4
"11","4","    Compensation of employees","A442RC1",378.6,400.2,425.3,472.5,533.9,587.4,614.9,695.2,784.8,901.8,1022,1120.1,1240,1293.8,1367.1,1513.9,1622.4,1720.4,1840,1980.4,2088.3,2200.6,2249.4,2375.5,2488.2,2634.8,2776,2914.9,3123.9,3396.8,3628.6,3950.7,3986.2,3980.7,4105.5,4265.9,4498.5,4743.4,4944.1,5025.9,4721.7,4821.5
"12","5","      Wage and salary accruals","A443RC1",338,356,376.2,414.8,464.6,508.9,528.4,591.2,662.7,756.2,855.6,935.6,1033.4,1073.1,1132.6,1256.8,1351.4,1432.3,1536.6,1656.7,1746,1838.2,1865.3,1958.4,2043.7,2163.6,2300.2,2438.6,2635.3,2868.6,3077.6,3344.4,3350.3,3294.4,3356.9,3507.8,3701.4,3930.9,4130.5,4167,3882.4,3973.6
"13","6","      Supplements to wages and salaries","A444RC1",40.6,44.2,49.1,57.8,69.3,78.5,86.4,104,122.1,145.6,166.3,184.5,206.6,220.7,234.4,257.1,271,288.1,303.5,323.7,342.3,362.4,384.1,417.1,444.5,471.2,475.8,476.3,488.5,528.3,551,606.3,635.9,686.3,748.5,758,797.1,812.5,813.6,858.9,839.3,848
"14","7","    Corporate profits with IVA and CCAdj","A445RC1",87.9,75.4,88.2,101.9,109.6,97.7,118.7,145.1,172.7,195.6,190.7,166,193.6,173.1,224.8,282,294.4,274.7,319.8,369.6,358.4,358.4,380.8,423.1,466.8,550.3,623.2,699.5,777.3,709.7,734.8,673.6,614.5,714.3,812,1041.9,1216.6,1351.5,1159.8,841.8,1001.6,1418.2
"15","8","    Net interest and miscellaneous payments","A453RC1",7.8,11.3,11.5,11.3,13,20.7,23.4,18.8,23.3,27.5,34.9,55.9,77.7,90,86.6,98.8,96.9,106.3,107.6,107.8,130,125.8,102.6,80.6,73.5,75,64.7,69.3,94.8,142.2,139,166.6,154.2,116.2,99.4,48.6,61.6,120.4,164.2,338.7,204.5,192.7
"16","9","    Taxes on production and imports less subsidies plus business current transfer payments","W460RC1",57.3,60.8,66.3,71.3,79.1,85.2,93.1,99.3,106.3,116.9,126.3,141.2,169.5,179,197.8,223.6,241,249.5,258.6,278.9,302,319.2,342.5,360.9,374.7,405.6,416.8,435.3,442.1,472.3,496.3,540.4,549.6,555.6,568.2,608.7,658.3,682.2,724.1,764.2,727.9,759
"17","10","  Noncorporate business","W461RC1",170.6,176.9,188.6,206.9,239.6,253.3,268.6,294.9,320.2,358.4,396.5,413.4,455.4,462.6,492.3,577.4,626,659.3,698,779.8,839.9,878.1,894.1,958.4,1002.9,1078.9,1135,1241.4,1334.3,1446,1535.9,1663.2,1804,1846.1,1930.4,2110.2,2252.6,2439.4,2519.2,2519.9,2302.6,2385.8
