"","Table 7#20# Transactions of Defined Benefit and Defined Contribu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1984 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2015 6:18:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","Current receipts","Y201RC1",469.1,504.7,553,593.6,621.6,685.2,729.1,761.5,811.2,824,861.8,909.3,938.2,983.8,997.5,1030,1054.8,1107.2,1172.4,1221.9,1290.1,1345.8,1433.5,1531.9,1651,1693.9,1706.8,1734.7,1801.3,1846.8,1878.1
"9","2","  Output \1\","Y204RC1",3.4,4.2,4.7,4.8,5.1,5.7,6.1,6.8,7.2,8,8.7,9,11,12.7,14.1,13.5,15.5,16.8,16.9,17.1,19.2,20.8,24.4,26.7,23.4,21.3,24.2,25.1,26.7,28.3,29.2
"10","3","  Contributions","Y202RC1",307.7,334.1,366.7,391.5,408.3,453.4,479.9,502.1,543.6,555,578.4,609.6,633.4,667.9,687.4,721.5,745.4,781.5,824.1,859.1,913.8,955.3,1018.7,1087.3,1162.5,1183.2,1206.1,1227,1269.9,1299.5,1325.6
